Company,Country
Angry Skull Studios,United States
Desert Owl Games,United States
Riverman Media,United States
Running With Scissors,United States
Wisdom Tree Games,United States
Basilisk Games,United States
Crosscut Games,United States
Dreamspike Studios,United States
Freehold Games,United States
igda Indianapolis Charter,United States
Mommy's Best Games,United States
Plow Games,United States
Plow Games,United States
Re-Logic,United States
Studio Cypher,United States
Tethys Interactive,United States
Geeta Games,United States
Plarium,United States
RespondWell,United States
Rightstick Studios,United States
S2 Games,United States
Underbite Games,United States
Bawden Studio,United States
Flipline Studios,United States
Fresh Games,United States
Handelabra Games,United States
Lantern Light Studios,United States
Lasso Games,United States
Max Gaming Studios,United States
Multivarious Games,United States
Nectar Game Studios,United States
Polytundra,United States
Socent Studios,United States
Studio Zevere,United States
Super Lame Games,United States
Super77,United States
Surgical Theater,United States
Truant Pixel,United States
WhatIf Sports,United States
Wraith Games,United States
Youngstown Game Developers,United States
Altfuture,Serbia
DEVANA Technologies,Serbia
Digital Arrow,Serbia
Ebb Software,Serbia
Eipix,Serbia
Eipix Entertainment,Serbia
Flat Hill Games,Serbia
LevelBit,Serbia
Mad Head Games,Serbia
Moonburnt Studio,Serbia
Nordeus,Serbia
Peaksel,Serbia
Sozap,Serbia
Superverse Industries,Serbia
TabTale,Serbia
Triton Studios (Big Fish Games),Serbia
Ubisoft Belgrade,Serbia
Abyss Gameworks,Turkey
Aral Ithalat,Turkey
ArcadeMonk,Turkey
Consala Games,Turkey
Crytek,Turkey
Cultic Games,Turkey
Digitoy Games,Turkey
Dream Games,Turkey
Dream Harvesters,Turkey
Elite Game Studio,Turkey
Gamegos,Turkey
Gamester,Turkey
Global Game Center,Turkey
Gram Games,Turkey
Happy Game Company,Turkey
Infosfer,Turkey
Lokum Games,Turkey
Madbyte,Turkey
MagiClick Games,Turkey
Momentum Digital Media Technologies,Turkey
Oldmoustache Gameworks,Turkey
OyunStüdyosu,Turkey
Peak Games,Turkey
Pera Games,Turkey
Riot Games,Turkey
Rocwise Entertainment,Turkey
Sobee,Turkey
tikle,Turkey
Tricksy Games,Turkey
Vertigo Games,Turkey
Zoetrope Interactive,Turkey
Aesir Interactive,Germany
Bit Barons,Germany
Bonus Level Entertainment,Germany
Bulkhead Darkhorse,Germany
Bulkhead Interactive,Germany
Chimera Entertainment,Germany
Connect2Media,Germany
Deep Silver Germany (Koch Media),Germany
Delightex,Germany
Digitalmindsoft,Germany
FDG Entertainment,Germany
Grimlore Games (THQ Nordic),Germany
Icebird Studios,Germany
igda Munich Chapter,Germany
Innoactive,Germany
Irrgheist,Germany
Klonk Games,Germany
Koch Media,Germany
MegaZebra,Germany
Mimimi Productions,Germany
mixtvision Digital,Germany
Morphicon,Germany
narayana games,Germany
Playgendary,Germany
Private Division,Germany
Reality Twist,Germany
RealmForge Studios,Germany
Schine,Germany
Shin'en Multimedia,Germany
Sixteen Tons Entertainment,Germany
Take 2 Interactive GmbH,Germany
Terzio Verlag,Germany
ThreeDee,Germany
Travian Games,Germany
Travian Publishing,Germany
A Bonfire of Souls,Spain
Fourattic,Spain
Genera Games,Spain
Odders Lab,Spain
Pixelatto,Spain
Silent Road Games,Spain
The Game Kitchen,Spain
Video Games Without Borders,Spain
Virtually Live,Spain
Zinkia Sevilla,Spain
Artigames,Peru
Bamtang Games,Peru
igda Peru Chapter,Peru
Leap Game Studios,Peru
Unforgiven,Peru
Asobo Studio,France
BeTomorrow Game Studio,France
Big Bad Wolf,France
Bulwark Studios,France
DSC Studio22,France
Goloso Games,France
Headbang Club,France
Hibernian Workshop,France
Honor Code,France
IntellySurf,France
Motion Twin,France
OUAT Entertainment,France
Playwing,France
shinypix,France
Shiro Games,France
SimforHealth,France
Studio Black Flag,France
Studio Nyx,France
Sweet Nitro,France
TripleFun,France
Ubisoft Bordeaux,France
UN JE NE SAIS QUOI,France
Aventurine SA,Greece
Dragontale,Greece
Eyelead Software,Greece
Games2Gaze,Greece
Happyland Entertainment,Greece
JoyFoundry,Greece
KickBack,Greece
LazyLand,Greece
Terahard,Greece
Total Eclipse,Greece
Traptics,Greece
DivMob,Vietnam
Gameloft,Vietnam
Glass Egg,Vietnam
gloops Vietnam (Nexon),Vietnam
igda Vietnam Chapter,Vietnam
Pine Entertainment,Vietnam
PLAY Publish,Vietnam
VNG Game Studios,Vietnam
Batovi Games Studio,Uruguay
Camara Uruguay de Desarrolladores De Videojuegos,Uruguay
Gameolic,Uruguay
Ironhide Game Studio,Uruguay
KefSensei Studios,Uruguay
Pomelo Games,Uruguay
EA Baton Rouge (Electronic Arts),United States
igda Baton Rouge,United States
Pixel Dash Studios,United States
Apps Ministry,Russia
Dynamic Pixels,Russia
My.Games,Russia
Pixonic,Russia
Battlestate Games,Russia
Creat Studios,Russia
Dark Crystal Games,Russia
Ink Stain Games,Russia
Ink Stains Games,Russia
Joy Craft Games,Russia
JoyBits,Russia
Larian Studios,Russia
Lazy Bear Games,Russia
Lesta Studio (Wargaming),Russia
My.Games,Russia
Mytona,Russia
NevoSoft,Russia
Orc Work,Russia
Playkot,Russia
Saber Interactive,Russia
Sperasoft,Russia
The Web Production,Russia
Tigrido,Russia
Triton Studios (Big Fish Games),Russia
Uroboros Games,Russia
Daily Magic Productions,Russia
G5 Entertainment,Russia
Game Forest,Russia
HeroCraft,Russia
My.Games,Russia
Realore Studios,Russia
Sobaka Studio,Russia
Tortuga Team,Russia
SkyRiver Studios,Russia
Alawar Entertainment,Russia
Friday's Games,Russia
Lemon Tree Studio,Russia
Matryoshka Games,Russia
mobStudio,Russia
Stereo7 Games,Russia
Tabatoune,Russia
Unigine,Russia
Epsilon Games,Russia
Extreme Developers,Russia
Targem Games,Russia
Ural Development,Russia
ACE Team,Chile
AmnesiaGames,Chile
BURA,Chile
Gameloft,Chile
Giant Monkey Robot,Chile
igda Chile Chapter,Chile
IguanaBee,Chile
Kemono Games,Chile
MEGO,Chile
Octeto Studios,Chile
Playmestudio,Chile
Psycho World,Chile
Raincup Games,Chile
Studio Pangea,Chile
Tinybytes Games,Chile
VideoGames Chile,Chile
Bitcutter Studios,Canada
Studio MDHR,Canada
Other Ocean Interactive,Canada
Queen Bee Games,Canada
Red Crow Studio (Electronic Arts),Canada
Telos Entertainment,Canada
Aquiris Game Studio,Brazil
IMGNATION Studios,Brazil
Izyplay Game Studio,Brazil
Kuupu,Brazil
Oniria,Brazil
igda Curitiba Chapter,Brazil
JoyMasher,Brazil
Sukafu Team,Brazil
TechFront,Brazil
Long Hat House,Brazil
O2 Games,Brazil
Rogue Snail,Brazil
Interama,Brazil
44 Bico Largo,Brazil
BitCake Studio,Brazil
Blizzard Entertainment,Brazil
Connect2Media,Brazil
Double Dash Studios,Brazil
Electronic Arts Brazil,Brazil
Gamebau,Brazil
GameBlox Interactive,Brazil
Gameloft,Brazil
Gazeus Games,Brazil
Hexa Game Studios,Brazil
Hissatsu Studios,Brazil
Icon Games,Brazil
igda Campinas Chapter,Brazil
igda Rio de Janiero,Brazil
iMAX Games,Brazil
Insolita Studios,Brazil
Interama,Brazil
Javary Co,Brazil
Latam Video Games Federation,Brazil
Manifesto Games,Brazil
Mukutu,Brazil
Odin Game Studios,Brazil
Overtime Studios,Brazil
Perceptum,Brazil
Pushstart Studios,Brazil
Red Cerberus,Brazil
Riot Games,Brazil
Sioux,Brazil
Smyowl,Brazil
Studio Pixel Punk,Brazil
Tapps Games,Brazil
Tectoy Studios,Brazil
Ubisoft Sao Paulo,Brazil
Vertice Games,Brazil
VRMonkey,Brazil
Webcore Games,Brazil
Wildlife Studios,Brazil
Zwift,Brazil
Bad Jokes,Italy
BTS Bioengineering,Italy
Gamera Interactive,Italy
Just Funny Games,Italy
Reludo,Italy
Smallthing Games,Italy
Studio Evil,Italy
TiconBlu,Italy
48H Studio,Italy
Balzo,Italy
Chestnut Games,Italy
Digital Tales,Italy
EpochalStorm,Italy
Ferhoxsoft,Italy
Forward Games,Italy
GamePix,Italy
GhostShark Games,Italy
Haruneko Entertainment,Italy
Hex Keep,Italy
Imagimotion,Italy
indiegala,Italy
Insidia,Italy
Interactive Project,Italy
Invader Studios,Italy
Ivan Venturi Production,Italy
LKA,Italy
Marslit,Italy
Midnite,Italy
redBit,Italy
redBit Games,Italy
Sedleo,Italy
Storm in a Teacup,Italy
Vae Victis,Italy
Artematica Entertainment,Italy
Foofa Studios,Italy
Singular Perception,Italy
Sir Reli Games,Italy
The Space Backyard,Italy
UNAmedia,Italy
Drakkar Dev,Italy
E-ludo Interactive,Italy
NAPS Team,Italy
Rimlight Studios,Italy
Stormind Games,Italy
Akaoni Studios,Spain
Chibig Studios,Spain
Deconstructeam,Spain
Devilish Games,Spain
Digital Sun Games,Spain
DreamBox Games,Spain
GameHouse Spain,Spain
Gameloft,Spain
Gronzragüer Games,Spain
Kitmaker,Spain
Mansion Games,Spain
Mutant Games,Spain
Playgram Games,Spain
PlaySpace,Spain
Rehametrics,Spain
Shanblue Interactive,Spain
Super Awesome Hyper Dimensional Mega Team,Spain
Super Awesome Hyper Dimensional Mega Team,Spain
Tama Games,Spain
Teku Studios,Spain
Wild Sphere,Spain
Balancing Monkey Games,New Zealand
RocketWerkz,New Zealand
Runawayplay,New Zealand
Black Lab Games,Australia
Stirfire Studios,Australia
Subversive Games,Australia
Aliasworlds Entertainment,Belarus
Aterdux Entertainment,Belarus
Belka Games,Belarus
Game Insight,Belarus
Game Stream (Wargaming),Belarus
Gameloft,Belarus
Knocknock Games,Belarus
Melsoft,Belarus
Playtika,Belarus
Saber Interactive,Belarus
Truly Social Games,Belarus
Wargaming Minsk,Belarus
Awem Studio,Belarus
Creative Assembly Sofia,Bulgaria
Dark-1,Macedonia
Dreamtek,Bulgaria
Gameloft,Bulgaria
Haemimont Games,Bulgaria
Imperia Online,Bulgaria
KAMAi MEDIA,Macedonia
Masthead Studios,Bulgaria
morgen studios,Bulgaria
Nordeus,Macedonia
Snapshot Games,Bulgaria
TabTale,Macedonia
TabTale,Bulgaria
Ubisoft Sofia,Bulgaria
XS Software,Bulgaria
Zariba,Bulgaria
ABRAGAMES,Brazil
igda Recife Chapter,Brazil
Joy Street,Brazil
Jynx Playware,Brazil
Manifesto Games,Brazil
KamaGames Studio,Russia
Mytona,Russia
Mytona,Russia
Critical Force Entertainment,Finland
Fingersoft,Finland
Jumbon,Finland
Kajak Games,Finland
Koukoi Games,Finland
Ludocraft,Finland
Mekiwi,Finland
Team Jolly Roger,Finland
2Pi Interactive,India
BlueGiant Interactive,India
EA Hyderabad (Electronic Arts),India
Glu Mobile,India
GoLive Games,India
Microsoft Casual Games,India
Nautilus Mobile,India
Ogre Head Studio,India
Slingshot Games (Electronic Arts),India
TAGS,India
Alucina Studio,Mexico
Artefacto Estudio,Mexico
Bromio,Mexico
Code 91,Mexico
EnsenaSoft,Mexico
Gamebau,Mexico
Gameloft,Mexico
HaiKu Studio,Mexico
Hollow Games,Mexico
Hyperbeard Games,Mexico
Kokonut Studio,Mexico
Mantiz Game Studios,Mexico
Mexican Game Development Association,Mexico
Phyne Games,Mexico
Riot Games,Mexico
Slang,Mexico
Squad,Mexico
WASD Estudio,Mexico
doinksoft,United States
Game Closure,United States
Innervision Games,United States
Knife Edge Software,United States
Lion Shield Studios,United States
Mad Otter Games,United States
Mutant Arm Studios,United States
Pipeworks Studios,United States
Sony Computer Entertainment Bend Studio,United States
Spotkin,United States
Two Guys From Andromeda,United States
ZeroTransform,United States
Zynga Eugene,United States
Blind Sky Studios,Wales
dakko dakko,Wales
Games Wales,Wales
Goldborough Studio,Wales
Quantum Soup Studios,Wales
Wales Interactive,Wales
Jam City,United States
Phantom EFX (WMS Gaming),United States
Scientific Games Interactive,United States
Victory VR,United States
Exbleative,Australia
Imagination Entertainment,Australia
Mighty Kingdom,Australia
ODD Games,Australia
Shark Jump,Australia
Team Cherry,Australia
Alien Pixel Studios,Scotland
Ant Workshop,Scotland
Beartrap Games,Scotland
Black Company Studios,Scotland
Blazing Griffin,Scotland
Build a Rocket Boy,Scotland
CobraMobile,Scotland
Cohort Studios,Scotland
Denki,Scotland
Dovetail Games,Scotland
eeGeo,Scotland
Extra Mile Studios,Scotland
Firebrand Games,Scotland
Firefly Studios,Scotland
Guerilla Tea,Scotland
HexWar,Scotland
Hunted Cow Studios,Scotland
I-play,Scotland
