Company,Country
11 bit studios,Poland
ACE Team,Chile
Akupara Games,United States
Alec Holowka,Canada
Alientrap,Canada
Amanita Design,Czech Republic
Ambrosia Software,United States
Amplitude Studios,France
AmnesiaGames,Chile
Ankama Games,France
Anna Anthropy,United States
Arcane Kids,United States
Arcen Games,United States
Arrowhead Game Studios,Sweden
Artix Entertainment,United States
Aventurine SA,Greece
Babaroga,United States
Basilisk Games,United States
The Behemoth,United States
Benjamin Rivers,Canada
Big Finish Games,United States
Blitz Games Studios,United Kingdom (England)
Blue Fang Games,United States
Bohemia Interactive Studio,Czech Republic
Boomzap Entertainment,Singapore
Bubble Gum Interactive,Australia
Capybara Games,Canada
CBE Software,Czech Republic
CCP Games,Iceland
The Chinese Room,United Kingdom (England)
Choice Provisions,United States
Christine Love,Canada
Christopher Howard Wolf,United States
Chronic Logic,United States
Cinemax,Czech Republic
ClockStone,Austria
Coffee Stain Studios,Sweden
Colossal Order,Finland
Comcept,Japan
Compulsion Games,Canada
Craneballs Studio,Czech Republic
Croteam,Croatia
Crytek Black Sea,Bulgaria
Curve Digital,United Kingdom (England)
Cypronia,Slovakia
Daedalic Entertainment,Germany
Datcroft Games,United Kingdom
Daniel Benmergui,Argentina
Davilex Games,Netherlands
Dejobaan Games,United States
Dennaton Games,Sweden
Derek Smart,United States
Derek Yu,United States
Digital Eel,United States
Digital Happiness,Indonesia
Dreadlocks Ltd,Czech Republic
DrinkBox Studios,Canada
Dr. Panda,China
Edmund McMillen,United States
Elixir Studios,United Kingdom
Eurocom,United Kingdom
"Evony, LLC",China
Facepunch Studios,United Kingdom (England)
Firefly Studios,United Kingdom (England)
Flying Wild Hog,Poland
Freebird Games,Canada
Frictional Games,Sweden
Frima,Canada
Frogwares,Ukraine
Frontier Developments,United Kingdom (England)
The Fullbright Company,United States
Games Distillery,Slovakia
GarageGames,United States
Gogii Games,Canada
Greenheart Games,Australia
Grip Digital,Czech Republic
Guild Software,United States
Haemimont Games,Bulgaria
Halfbrick Studios,Australia
Hanako Games,United Kingdom
Heart Machine,United States
Hello Games,United Kingdom
Hexage,Czech Republic
Hidden Path Entertainment,United States
Himalaya Studios,United States
Hoplon Infotainment,Brazil
Ice-Pick Lodge,Russia
Image & Form,Sweden
Inti Creates,Japan
Introversion Software,United Kingdom
Invictus Games,Hungary
Jagex,United Kingdom
Jason Rohrer,United States
Jonas Kyratzes,Germany
"Jonatan ""Cactus"" Söderström[1]",Sweden
Jph Wacheski,Canada
Keen Software House,Czech Republic
Klei Entertainment,Canada
Kloonigames,Finland
Kunos Simulazioni,Italy
Kiro'o Games,Cameroon
Laminar Research,United States
Larian Studios,Belgium
Lazy 8 Studios,United States
Lindsay Grace,United States
Little Green Men Games,Croatia
Llamasoft,United Kingdom
Madfinger Games,Czech Republic
Mega Cat Studios,United States
Messhof,United States
MidBoss,United States
Mighty Rabbit Studios,United States
Mode 7 Games,England
Mojang,Sweden
Molleindustria,Italy
Moon Studios,Austria
NeocoreGames,Hungary
New Star Games,United Kingdom
Nicalis,United States
Nifflas,Sweden
Nival Interactive,Russia
Number None,United States
The Odd Gentlemen,United States
Owlchemy Labs,United States
Parallax Studio,United States
PixelJAM Games,United States
Playdead,Denmark
Polytron Corporation,Canada
Puppy Games,United Kingdom (England)
Positech Games,United Kingdom
Private Moon Studios,Hungary
Provox Games,Croatia
Psyonix Studios,United States
Punch Entertainment,United States
Q-Games,Japan
Rake In Grass,Czech Republic
Red Thread Games,Norway
Renegade Kid,United States
Daniel Remar,Sweden
Relentless Software,United Kingdom
Renegade Kid,United States
Roll7,United Kingdom (England)
Ronimo Games,Netherlands
Rovio Entertainment,Finland
S2 Games,United States
Saber Interactive,United States
Sandlot Games,United States
Santa Cruz Games,United States
Schell Games,United States
Scott Cawthon,United States
Semi Secret Software,United States
Sidhe,New Zealand
Simogo,Sweden
Silver Creek Entertainment,United States
Ska Studios,United States
Skygoblin,Sweden
Soldak Entertainment,United States
Spiderweb Software,United States
Splash Damage,United Kingdom (England)
Squad,Mexico
Stardock,United States
Storm Impact,United States
Studio Pixel,Japan
Subatomic Studios,United States
Supergiant Games,United States
SuperVillain Studios,United States
Tarsier Studios,Sweden
Tale of Tales,Belgium
TaleWorlds,Turkey
Team Shanghai Alice,Japan
Telltale Games,United States
Terry Cavanagh,United Kingdom (England)
thatgamecompany,United States
Three Rings Design,United States
Tiger Style,United States
tinyBuild,United States
Terri Vellmann,Brazil
Toby Fox,United States
Torpex Games,United States
Tomorrow Corporation,United States
Trendy Entertainment,United States
Tribute Games,Canada
Trickster Arts,Czech Republic
Twisted Pixel,United States
Uber Entertainment,United States
Vectorpark,United States
Vlambeer,Netherlands
VoxelStorm,United Kingdom
Wadjet Eye Games,United States
"WayForward Technologies, Inc.",United States
Wolfire Games,United States
Xona Games,Canada
XMG Studio,Canada
Yacht Club Games,United States
Young Horses,United States
Zachary Barth,United States
Zoetrope Interactive,Turkey
Zoink,Sweden
Zoonami,United Kingdom
ZootFly,Slovenia
