Company,Country
0verflow,Japan
11 bit studios,Poland
1C Company,Russia
1-Up Studio,Japan
2K Czech,Czech Republic
2K Games,United States
2K Sports,United States
343 Industries,United States
38 Studios,United States
3D Realms,United States
42 Entertainment,United States
4A Games,Malta
4A Games,Ukraine
5th Cell,United States
989 Studios,United States
Acclaim Entertainment,United States
Acclaim Studios Austin,United States
Accolade,United States
Access Games,Japan
Access Software,United States
ACE Team,Chile
Aces Studio,United States
Acquire,Japan
Action Forms,Ukraine
Active Gaming Media,Japan
Activision,United States
Adventure Soft,United Kingdom
Akella,Russia
Alfa System,Japan
AlphaDream,Japan
Amazon Game Studios,United States
Double Helix Games,United States
"Amazon Game Studios, Orange County",United States
Ambrella,Japan
Amusement Vision,Japan
Ancient,Japan
Anino,Philippines
Ankama Games,France
Appy Entertainment,United States
AQ Interactive,Japan
Aquria,Japan
Arc System Works,Japan
Arcane Kids,United States
Arcen Games,United States
Arkane Studios,France
Arkedo Studio,France
ArenaNet,United States
Arika,Japan
"Art Co., Ltd",Japan
Artdink,Japan
ArtePiazza,Japan
Artificial Studios,United States
Artoon,Japan
Arzest,Japan
Ascaron,Germany
Asobo Studio,France
Atari,United States
Atlus,Japan
Atomic Planet Entertainment,United Kingdom
Attic Entertainment Software,Germany
Avalanche Studios Group,Sweden
Aventurine SA,Greece
Babaroga,United States
Backflip Studios,United States
Bandai Namco Studios,Japan
Bandai Namco Entertainment America,United States
Bandai Namco Entertainment,Japan
Bauhaus Entertainment,Japan
B.B. Studio,Japan
Beenox,Canada
Behaviour Digital,Canada
Behaviour Interactive,Canada
Behaviour Santiago,Chile
Bethesda Game Studios,United States
Bethesda Softworks,United States
Big Blue Bubble,Canada
Big Finish Games,United States
Big Huge Games,United States
BioWare,Canada
The Bitmap Brothers,United Kingdom
Best Way,Ukraine
Bits Studios,United Kingdom
Bizarre Creations,United Kingdom
Black Forest Games,Germany
Black Isle Studios,United States
Black Rock Studio,United Kingdom
Black Wing Foundation,Ukraine
Blitz Games Studios,United Kingdom
Blizzard North,United States
Blizzard Entertainment,United States
Bloober Team,Poland
Bluepoint Games,United States
Blueside,South Korea
Blue Fang Games,United States
Blue Tongue Entertainment,Australia
Bluehole,South Korea
Bohemia Interactive,Czech Republic
Boss Fight Entertainment,United States
Boss Key Productions,United States
BreakAway Games,United States
Broderbund,United States
Bugbear Entertainment,Finland
Bullfrog Productions,United Kingdom
Bungie,United States
Camelot Software Planning,Japan
Capcom,Japan
Capcom Vancouver,Canada
Carbine Studios,United States
Cattle Call,Japan
Cauldron,Slovakia
Cave,Japan
Cavia,Japan
CCP Games,Iceland
CD Projekt Red,Poland
Certain Affinity,United States
Chair Entertainment,United States
Chunsoft,Japan
Cing,Japan
Clap Hanz,Japan
Climax Entertainment,Japan
Climax Studios,United Kingdom
Clover Studio,Japan
Coded Illusions,Netherlands
Codemasters,United Kingdom
Coffee Stain Studios,Sweden
Cohort Studios,United Kingdom
Coktel Vision,France
Colossal Order,Finland
Compile Heart,Japan
Compulsion Games,Canada
Core Design,United Kingdom
Crafts & Meister,Japan
Crawfish Interactive,United Kingdom
Creat Studios,United States
Creative Assembly,United Kingdom
Creatures,Japan
Criterion Games,United Kingdom
Croteam,Croatia
Cryo Interactive,France
Culture Brain Excel,Japan
Crea-Tech,Japan
Cryptic Studios,United States
Crystal Dynamics,United States
Crytek,Germany
Crytek UK,United Kingdom
Cyan Worlds,United States
Cyanide,France
CyberConnect2,Japan
Blueline Simulations,United States
Cyberlore Studios,United States
CyberStep,Japan
Cygames,Japan
Dambuster Studios,United Kingdom
Danger Close Games,United States
Day 1 Studios,United States
Daybreak Game Company,United States
Deadline Games,Denmark
Deck13,Germany
Deep Silver Volition,United States
Demiurge Studios,United States
DeNA,Japan
Nexon development 3rd division,South Korea
devCAT Studios,South Korea
Developer House Technology PVT LTD,India
Developer House,India
Dhruva Interactive,India
Die Gute Fabrik,Denmark
Digital Extremes,Canada
Digital Eclipse,United States
Digitalmindsoft,Germany
Digital Reality,Hungary
Dimps,Japan
Disney Interactive Studios,United States
Dontnod Entertainment,France
DotEmu,France
Double Fine Productions,United States
Dynamix,United States
Dovetail Games,United Kingdom
The Dovetail Group,United States
EA Black Box,Canada
EA DICE,Sweden
EA Digital Illusions CE,Sweden
EA Gothenburg,Sweden
Distinctive Software,Canada
EA Vancouver,Canada
Eat Sleep Play,United States
Eko Software,France
Egosoft,Germany
Eden Games,France
Eighting,Japan
Electronic Arts,United States
EA Sports,United States
Elemental Games,Russia
Engine Software,Netherlands
Ensemble Studios,United States
Epic Games,United States
Epics,Japan
Epicenter Studios,United States
Epyx,United States
Softmax,South Korea
ESA,South Korea
Estranges Libellules,France
Eugen Systems,France
Eurocom,United Kingdom
Evolution Studios,United Kingdom
Examu,Japan
Eyedentity Games,South Korea
F4,France
Facepunch Studios,United Kingdom
FarSight Studios,United States
FASA Studio,United States
Fatshark,Sweden
feelplus,Japan
Felistella,Japan
Firaxis Games,United States
Firefly Studios,United Kingdom
Firesprite,United Kingdom
First Star Software,United States
Flagship Studios,United States
Flight-Plan,Japan
Flying Wild Hog,Poland
Focus Home Interactive,France
Foundation 9 Entertainment,United States
Fox Digital Entertainment,United States
FoxNext,United States
Frictional Games,Sweden
Frogwares,Ukraine
FromSoftware,Japan
Frontier Developments,United Kingdom
Frozenbyte,Finland
FTL Games,United States
FUN Labs,Romania
Funcom,Norway
FuRyu,Japan
Futuremark,Finland
Gaijin Entertainment,Russia
Game Arts,Japan
Game Freak,Japan
GameHouse,United States
Gameloft,France
Ganbarion,Japan
Gearbox Software,United States
Geewa,Czech Republic
Genius Sonority,Japan
Genki,Japan
Glu Mobile,United States
Gogii Games,Canada
Good-Feel,Japan
Granzella,Japan
Grasshopper Manufacture,Japan
Gravity,South Korea
Gray Matter Interactive,United States
Gremlin Interactive,United Kingdom
Grezzo,Japan
Grinding Gear Games,New Zealand
Griptonite Games,United States
GSC Game World,Ukraine
Guerrilla Cambridge,United Kingdom
Guerrilla Games,Netherlands
Gunfire Games,United States
GungHo Online Entertainment,Japan
Gust,Japan
Haemimont Games,Bulgaria
HAL Laboratory,Japan
Halfbrick,Australia
Hanaho,United States
h.a.n.d.,Japan
Hangar 13,United States
Harebrained Schemes,United States
Harmonix Music Systems,United States
Headstrong Games,United Kingdom
Heartbeat,Japan
HB Studios,Canada
HeroCraft,Russia
High Impact Games,United States
High Moon Studios,United States
High Voltage Software,United States
Hoplon Infotainment,Brazil
Hothead Games,Canada
Housemarque,Finland
Hudson Soft,Japan
Human Entertainment,Japan
Human Head Studios,United States
Humongous Entertainment,United States
Hyperion Entertainment,Belgium
Ice-Pick Lodge,Russia
id Software,United States
Idea Factory,Japan
Idol Minds,United States
Imageepoch,Japan
Image & Form,Sweden
Imagineer,Japan
Infinity Ward,United States
Infocom,United States
Incognito Entertainment,United States
Incredible Technologies,United States
indieszero,Japan
Innerloop Studios,Norway
Insomniac Games,United States
Intelligent Systems,Japan
Interplay Entertainment,United States
Introversion Software,United Kingdom
inXile Entertainment,United States
IO Interactive,Denmark
Ion Storm,United States
Ion Storm Austin,United States
Irem,Japan
Iron Galaxy Studios,United States
Iron Lore Entertainment,United States
Irrational Games,United States
Ivory Tower,France
Jadestone Group,Sweden
Jagex,United Kingdom
Jaleco,Japan
Jam City,United States
Javaground,United States
Jupiter,Japan
JV Games,United States
Kairosoft,Japan
Kalypso Media,Germany
Kaos Studios,United States
Keen Software House,Czech Republic
Kesmai,United States
Kiloo Games,Denmark
King,Sweden
Koei,Japan
Koei Tecmo Games,Japan
KOG Studios,South Korea
Kojima Productions,Japan
Konami Computer Entertainment Japan,Japan
Konami Computer Entertainment,Japan
Konami Digital Entertainment,Japan
Konami,Japan
Kongzhong,China
Krome Studios,Australia
Krome Studios Melbourne,Australia
Kuju Entertainment,United Kingdom
Kunos Simulazioni,Italy
Kush Games,United States
Kuma Reality Games,United States
Kylotonn,France
Larian Studios,Belgium
Legacy Interactive,United States
Legend Entertainment,United States
Legendo Entertainment,Sweden
Level-5,Japan
Lift London,United Kingdom
Limbic Entertainment,Germany
Lionhead Studios,United Kingdom
Liquid Entertainment,United States
Little Green Men Games,Croatia
LK Avalon,Poland
Llamasoft,United Kingdom
Linden Lab,United States
Locomotive Games,United States
Looking Glass Studios,United States
Love-de-Lic,Japan
LucasArts,United States
Luma Arcade,South Africa
Luxoflux,United States
MachineGames,Sweden
Magenta Software,United Kingdom
MAGES.,Japan
Majesco Entertainment,United States
Marvelous,Japan
Massive Entertainment,Sweden
Masthead Studios,Bulgaria
Matrix Software,Japan
Maxis,United States
Mean Hamster Software,United States
Media Molecule,United Kingdom
Media.Vision,Japan
Mediatonic,United Kingdom
MegaZebra,Germany
Mercury Steam,Spain
Metropolis Software,Poland
MicroProse Software,United States
Microsoft Games Studio,United States
Microsoft,United States
Midway Games,United States
Midway Studios,United Kingdom
miHoYo,China
Milestone,Japan
Milestone srl,Italy
Mimimi Games,Germany
Mistwalker,Japan
Mitchell Corporation,Japan
MLB Advanced Media,United States
Mode 7 Games,United Kingdom
Mojang AB,Sweden
Monolith Productions,United States
Monolith Soft,Japan
Monster Games,United States
Monte Cristo,France
Moon Studios,Austria
MTO,Japan
Mythic Entertainment,United States
Nadeo,France
Namco Tales Studio,Japan
Namco,Japan
Namco Bandai,Japan
Nanobit,Croatia
NAPS team,Italy
Natsume,Japan
NaturalMotion,United Kingdom
Naughty Dog,United States
NCSoft,South Korea
NDcube,Japan
NDOORS Corporation,South Korea
Neko Entertainment,France
Nerve Software,United States
NetDevil,United States
NetDragon Websoft,China
NetEase,China
NetherRealm Studios,United States
Neverland,Japan
Neversoft,United States
Nevosoft,Russia
New World Computing,United States
New World Interactive,United States
Nexon,Japan
Nexon Korea,South Korea
Next Level Games,Canada
Niantic,United States
Nibris,Poland
Nicalis,United States
Nihon Falcom,Japan
Nikita Online,Russia
Nimble Giant Entertainment,Argentina
Ninjabee,United States
Ninja Theory,United Kingdom
Nintendo,Japan
Nippon Ichi Software,Japan
Nival,Russia
Nordeus,Serbia
NovaLogic,United States
Novarama,Spain
Now Production,Japan
Nude Maker,Japan
n-Space,United States
Obsidian Entertainment,United States
Oddworld Inhabitants,United States
Omega Force,Japan
Origin Systems,United States
OtherSide Entertainment,United States
Outfit7,Slovenia
Outrage Entertainment,United States
Overkill Software,Sweden
Oxygen Studios,United Kingdom
Pack In Video,Japan
Page 44 Studios,United States
Pangea Software,United States
People Can Fly,Poland
Project Sora,Japan
Purple Lamp Studios,Austria
Papaya Studio,United States
Project Soul,Japan
Panther Games Pty Ltd,Australia
Paradox Development Studio,Sweden
Parallax Software,United States
Pandemic Studios,United States
Pendulo Studios,Spain
Penguin Software,United States
Perfect World,China
Petroglyph,United States
Phantagram,South Korea
Phenomic Game Development,Germany
Pipeworks Studios,United States
Piranha Bytes,Germany
Piranha Games,Canada
Pi Studios,United States
Pivotal Games,United Kingdom
Pixel Federation,Slovakia
Playdom,United States
Playfish,United Kingdom
PlayFirst,United States
Playground Games,United Kingdom
PlatinumGames,Japan
Polyphony Digital,Japan
PopCap Games,United States
Press Play,Denmark
Psyonix,United States
Punch Entertainment,Vietnam
Pyro Mobile,Spain
Q Entertainment,Japan
Q-Games,Japan
Quantic Dream,France
Quest Corporation,Japan
Radical Entertainment,Canada
