AChannel tt2670718
AKB0048 tt2245880
APolarBearInLove tt15181168
Aria tt0977907
AiYoriAoshi tt0339953
Airmaster tt0463281
AkahoriGedouHourLovege tt14642362
Akikan tt1427163
Albegas tt0159887
Avenger tt0883021
AyakashiAyashi tt0881819
BECK tt0434662
BProject tt5915166
Backflip tt13412606
Bastard1988 tt0103775
BeastSaga NONE
BeastWarsNeo tt0182562
BenTo tt3625280
Berserk2016 tt5847454
BeyondTheBoundary tt3114376
BikiniWarriors tt5020030
BlackCat tt1085074
BlackGod tt1352417
BloodC tt1890725
BloodPlus tt0482855
BoysOverFlowers tt0482107
Braiger tt2193617
ButtDetective NONE
CControl tt1893520
CandyCandy tt0270761
CaseClosed tt0131179
CatGod tt14470008
Charlotte tt4574736
Chinpui tt6466762
ChouKuseNiNarisou tt12299378
CityHunter tt0159208
CombattlerV tt0159856
ConcreteRevolutioChoujinGensou tt5241080
CosPrayers tt4146000
CowboyBebop tt0213338
CrayonShinChan tt12853970
CubeXCursedXCurious tt2073864
CuteHighEarthDefenseClubHappyKiss tt4219142
Cyborg009 tt0188359
DAYS tt5897818
DICE2005 tt1206165
DNA2 tt0108736
DNAngel tt0366004
DaimidalerTheSoundRobot tt3451740
Daimos tt0159923
DaisukiBuBuChaCha tt1584985
DamekkoDoubutsu tt0907604
Dancougar tt0180345
Dangaioh tt0220381
Danganronpa3TheEndOfHopesPeakHighSchool tt6016316
Dazzle tt1160834
DearS tt1019037
DenNohCoil tt1033796
Devilman tt0288355
DieBuster NONE
DigimonAdventure02 tt0243694
DigimonAdventure2020 tt11645760
Dororo2019 tt9458304
DoubleJ tt2016452
DoujinWork tt1177056
DreamStarButtonNose tt0302215
Drifters tt5225764
EatMan tt0239361
Eden tt10545250
EdenOfTheEast tt1415054
ElDLIVE tt6543300
EsperMami tt0291610
EternalAlice tt1179368
F tt0816222
FLCLProgressiveAndAlternative tt7112160
FightingFoodons tt0341765
Figure17TsubasaAndHikaru tt0475192
Flag tt0874001
FloralMagicianMaryBell tt0080217
FlyingHouse tt0083417
Free tt2904418
FreshPrettyCure NONE
FullMetalPanicFumoffu NONE
FullMoon tt0823967
FullmetalAlchemist tt0421357
FushigiYuugi tt0111973
Futakoi tt0988817
FutariEcchi tt0929753
FutariWaPrettyCure tt1441577
GAGeijutsukaArtDesignClass tt1468259
Gaiking NONE
GalaxyExpress999 tt0185066
GateKeepers21 tt3488994
Gekiganger3 NONE
Georgie tt0297580
GetterRobo tt0275838
GhostHunt tt0985285
GiantRobo tt0101950
GingaHyouryuuVifam tt0485066
GingaSengokuGunyuudenRai tt0346280
GoLion tt0137287
GodMars tt3124918
Godannar tt1634548
GokinjoMonogatari tt0346285
Gokusen tt0450430
GrimmsFairyTaleClassics tt0305033
HanaukyoMaidTeam tt0493328
HayateTheCombatButler tt0983962
HellTeacherNube tt0877508
Hellsing tt0325547
HenkeiShoujo tt7820408
HereComesTheThreeAngels tt6477282
HighSchoolGirls tt1068915
HikaruNoGo tt0426711
Himawari NONE
HimechanNoRibon tt0104421
HoneyHoney tt0415429
HoneybeeHutch tt0179574
