,Topic 0
0,videogamecaringpotential/0.0012777622323483229
1,takeyourtime/0.0012593339197337627
2,escortmission/0.0010996212949976325
3,gamemod/0.0010811928659677505
4,bottomlessmagazines/0.0010689073242247105
5,insurmountablewaistheightfence/0.0010504788951948285
6,magikarppower/0.0010320505825802684
7,earlygamehell/0.0009767654119059443
8,infinityminusonesword/0.0009767654119059443
9,playercharacter/0.0009706226410344243
10,contractualbossimmunity/0.0009153375285677612
11,tooawesometouse/0.0009091946994885802
12,pointofnoreturn/0.0009030519286170602
13,brokenbridge/0.0008969090995378792
14,videogamecrueltypunishment/0.0008907663286663592
15,infinityplusonesword/0.0008846235577948391
16,arbitraryheadcountlimit/0.0008539095870219171
17,moneyfornothing/0.0008539095870219171
18,loadsandloadsofloading/0.0008539095870219171
19,previousplayercharactercameo/0.0008354812161996961
20,justifiedtutorial/0.0007740533328615129
21,castfromhitpoints/0.0007740533328615129
22,levelgrinding/0.0007679105037823319
23,wideopensandbox/0.0007617677329108119
24,regeneratinghealth/0.0007556249620392919
25,undergroundmonkey/0.0007494821329601109
26,suicidaloverconfidence/0.0007494821329601109
27,vendortrash/0.0007433393620885909
28,helloinsertnamehere/0.0007433393620885909
29,youalllookfamiliar/0.0007433393620885909
30,meleeatrois/0.0007371965330094099
31,sciencefictionvideogames/0.0007371965330094099
32,beefgate/0.0007310537621378899
33,fetchquest/0.0007310537621378899
34,interfacespoiler/0.0007310537621378899
35,squishywizard/0.0007249109912663698
36,damagespongeboss/0.0007249109912663698
37,cuttingoffthebranches/0.0007249109912663698
38,noticethis/0.0007187681621871889
39,abnormalammo/0.0007064826204441488
40,jackofallstats/0.0007064826204441488
41,noobcave/0.0006880541914142668
42,anaxetogrind/0.0006880541914142668
43,criticalhit/0.0006819114205427468
44,informedequipment/0.0006757686496712267
45,greatoffscreenwar/0.0006757686496712267
46,holdtheline/0.0006757686496712267
47,everythingfades/0.0006696258205920458
48,boomheadshot/0.0006696258205920458
49,itemcrafting/0.0006634830497205257
50,armorisuseless/0.0006634830497205257
51,feelies/0.0006634830497205257
52,namestorunawayfromreallyfast/0.0006573402788490057
53,itsallupstairsfromhere/0.0006511974497698247
54,fantasticracism/0.0006450546788983047
55,randomdrop/0.0006327690789476037
56,fissionmailed/0.0006327690789476037
57,fantasycounterpartculture/0.0006327690789476037
58,savescumming/0.0006327690789476037
59,armorpiercingattack/0.0006266263080760837
60,whatthehellplayer/0.0006266263080760837
61,doortobefore/0.0006204834789969027
62,itsuptoyou/0.0006204834789969027
63,virtualpaperdoll/0.0006204834789969027
64,handcannon/0.0006143407081253827
65,summonmagic/0.0006143407081253827
66,zergrush/0.0006081979372538626
67,loadingscreen/0.0006081979372538626
68,friendlyfireproof/0.0006020551081746817
69,skippableboss/0.0006020551081746817
70,unusableenemyequipment/0.0006020551081746817
71,dungeonbypass/0.0005959123373031616
72,inuniversegameclock/0.0005959123373031616
73,stupidityistheonlyoption/0.0005959123373031616
74,allyourbasearebelongtous/0.0005959123373031616
75,realisbrown/0.0005897695664316416
76,youhaveresearchedbreathing/0.0005897695664316416
77,whereitallbegan/0.0005897695664316416
78,scrappyweapon/0.0005836267373524606
79,myrulesarenotyourrules/0.0005836267373524606
80,adamsmithhatesyourguts/0.0005774839664809406
81,expansionpack/0.0005774839664809406
82,slowpacedbeginning/0.0005713411374017596
83,moredakka/0.0005651983665302396
84,sortingalgorithmofweaponeffectiveness/0.0005651983665302396
85,combatmedic/0.0005651983665302396
86,onestattorulethemall/0.0005590555956587195
87,disconenuke/0.0005590555956587195
88,nowwherewasigoingagain/0.0005529127665795386
89,notcompletelyuseless/0.0005529127665795386
90,ludicrousgibs/0.0005529127665795386
91,pressxtodie/0.0005467699957080185
92,linearwarriorsquadraticwizards/0.0005467699957080185
93,thewarsequence/0.0005467699957080185
94,actionrpg/0.0005467699957080185
95,redshirtarmy/0.0005467699957080185
96,unintentionallyunwinnable/0.0005467699957080185
97,takeathirdoption/0.0005467699957080185
98,fightermagethief/0.0005467699957080185
99,relationshipvalues/0.0005406272248364985
100,amazonbrigade/0.0005406272248364985
101,enemychatter/0.0005406272248364985
102,flavortext/0.0005406272248364985
103,kleptomaniachero/0.0005344843957573175
104,greyandgraymorality/0.0005344843957573175
105,enemyscan/0.0005344843957573175
106,forcedtutorial/0.0005283416248857975
107,nerf/0.0005283416248857975
108,deflectorshields/0.0005283416248857975
109,swordofplotadvancement/0.0005283416248857975
110,healersignsonearly/0.0005283416248857975
111,savegamelimits/0.0005283416248857975
112,deathfromabove/0.0005283416248857975
113,hideyourchildren/0.0005221987958066165
114,zombieapocalypse/0.0005221987958066165
115,guyssmashgirlsshoot/0.0005221987958066165
116,randomnumbergod/0.0005221987958066165
117,tragicmonster/0.0005160560249350965
118,shortrangeshotgun/0.0005160560249350965
119,guiltbasedgaming/0.0005160560249350965
120,publicdomainartifact/0.0005160560249350965
121,poweredarmor/0.0005160560249350965
122,explodingbarrels/0.0005099132540635765
123,gueststarpartymember/0.0005037704249843955
124,controllablehelplessness/0.0005037704249843955
125,playerheadquarters/0.0005037704249843955
126,noherodiscount/0.0005037704249843955
127,ganguponthehuman/0.0005037704249843955
128,breakableweapons/0.0004976276541128755
129,heroespreferswords/0.0004976276541128755
130,rarecandy/0.0004976276541128755
131,purelyaestheticgender/0.0004976276541128755
132,firsttown/0.0004976276541128755
133,crutchcharacter/0.0004914848832413554
134,moneyspider/0.0004914848832413554
135,setamooktokillamook/0.00048534205416217446
136,gatlinggood/0.00048534205416217446
137,attackdrone/0.00048534205416217446
138,backstab/0.00048534205416217446
139,revolversarejustbetter/0.00048534205416217446
140,playthegameskipthestory/0.0004791992832906544
141,bearsarebadnews/0.0004791992832906544
142,damageovertime/0.0004791992832906544
143,goingthroughthemotions/0.0004791992832906544
144,evilsoundsdeep/0.0004791992832906544
145,hubcity/0.0004791992832906544
146,anticlimaxboss/0.0004791992832906544
147,beamspam/0.0004730564833153039
148,onlyonename/0.0004730564833153039
149,totalpartykill/0.0004730564833153039
150,theempire/0.0004730564833153039
151,wecannotgoonwithoutyou/0.0004730564833153039
152,blackandgraymorality/0.0004730564833153039
153,privatemilitarycontractors/0.0004730564833153039
