,Topic 0
0,shoutout/0.002892458811402321
1,foreshadowing/0.0028436414431780577
2,bigbad/0.002167519647628069
3,lampshadehanging/0.0021577561274170876
4,developersforesight/0.002035712357610464
5,videogamecrueltypotential/0.001855087815783918
6,darkerandedgier/0.0017135172383859754
7,bittersweetending/0.001684226794168353
8,callback/0.001620764029212296
9,nonstandardgameover/0.0016183231491595507
10,bookends/0.0016036779852584004
11,sequelhook/0.001601237105205655
12,whathappenedtothemouse/0.0015231291763484478
13,chekhovsgun/0.0014181715669110417
14,ohcrap/0.0014084080467000604
15,mythologygag/0.0013815584825351834
16,continuitynod/0.001379117602482438
17,meaningfulname/0.0013498271582648158
18,antifrustrationfeatures/0.0013425045181065798
19,guidedangit/0.0013351818779483438
20,deadpansnarker/0.0013351818779483438
21,exaggeratedtrope/0.0013180958339944482
22,runninggag/0.0013107731938362122
23,easteregg/0.0012863645097240806
24,whamline/0.0012375470250844955
25,toodumbtolive/0.0012375470250844955
26,nicejobbreakingithero/0.0012302243849262595
27,inuniverse/0.0012033748207613826
28,whatthehellhero/0.0011887295404449105
29,subvertedtrope/0.0011862886603921652
30,jerkass/0.0011789660202339292
31,takethat/0.0011618799762800336
32,gameplayandstorysegregation/0.0011521164560690522
33,unexpectedgameplaychange/0.0011301485355943441
34,interfacescrew/0.0011203851317986846
35,butthoumust/0.001115503371693194
36,videogamecaringpotential/0.001115503371693194
37,leaningonthefourthwall/0.0011032989714294672
38,hoistbyhisownpetard/0.0010862129274755716
39,arsonmurderandjaywalking/0.001074008527211845
40,allthereinthemanual/0.0010544814867898822
41,downerending/0.0010495997266843915
42,sceneryporn/0.0010300728026777506
43,insurmountablewaistheightfence/0.0010300728026777506
44,wordofgod/0.00102519104257226
45,bodyhorror/0.0010227501625195146
46,justifiedtrope/0.0010227501625195146
47,titledrop/0.0010154275223612785
48,thereveal/0.0010129866423085332
49,thestinger/0.0010032232385128736
50,blatantlies/0.0010007823584601283
51,whatthehellplayer/0.000991018838249147
52,noodleincident/0.0009763736161403358
53,playedforlaughs/0.0009739327360875905
54,multipleendings/0.0009739327360875905
55,bilingualbonus/0.0009641692158766091
56,brickjoke/0.0009544057538732886
57,crapsackworld/0.000949523993767798
58,moodwhiplash/0.0009422013536095619
59,breakingthefourthwall/0.0009373196517117321
60,irony/0.0009324378916062415
61,doesthisremindyouofanything/0.0009104700293391943
62,arcwords/0.0009055882692337036
63,andnowforsomeonecompletelydifferent/0.0008933839271776378
64,kickthedog/0.0008860612870194018
65,hundredpercentcompletion/0.0008762978250160813
66,thedragon/0.0008689751848578453
67,heroicsacrifice/0.0008640934247523546
68,takeyourtime/0.0008640934247523546
69,schmuckbait/0.0008592117228545249
70,axcrazy/0.0008567708428017795
71,gamebreakingbug/0.0008543299627490342
72,thecameo/0.0008518890826962888
73,videogamesofthe2000s/0.0008494482026435435
74,karmahoudini/0.000839684740640223
75,showntheirwork/0.0008372438605874777
76,temptingfate/0.0008299212204292417
77,screwthisimouttahere/0.000825039460323751
78,interfacespoiler/0.000825039460323751
79,slidingscaleofgameplayandstoryintegration/0.0008128351182676852
80,timedmission/0.0008128351182676852
81,pressxtonotdie/0.0008055124781094491
82,lighterandsofter/0.000790867256000638
83,andimustscream/0.0007884263759478927
84,andyourrewardisclothes/0.0007811037357896566
85,earnyourhappyending/0.0007811037357896566
86,videogamecrueltypunishment/0.0007811037357896566
87,disproportionateretribution/0.0007786629139445722
88,evenevilhasstandards/0.0007688993937335908
89,pun/0.0007688993937335908
90,buttmonkey/0.0007664585136808455
91,whamepisode/0.0007640176336281002
92,redherring/0.0007615767535753548
93,exactwords/0.0007615767535753548
94,fissionmailed/0.000756695051677525
95,greaterscopevillain/0.0007396089495159686
96,driventosuicide/0.0007347271894104779
97,unintentionallyunwinnable/0.0007322863093577325
98,largeham/0.0007298454293049872
99,handwave/0.0007298454293049872
100,exactlywhatitsaysonthetin/0.0007274045492522418
101,permanentlymissablecontent/0.0007249636691994965
102,heelfaceturn/0.0007249636691994965
103,avertedtrope/0.0007225227891467512
104,roaringrampageofrevenge/0.0007225227891467512
105,videogamesof20152019/0.0007176410872489214
106,expy/0.000715200207196176
107,punnyname/0.0007127593271434307
108,blackcomedy/0.0007029958069324493
109,stealthpun/0.0007005549850873649
110,cuttingoffthebranches/0.0007005549850873649
111,pointofnoreturn/0.0006981141050346196
112,violationofcommonsense/0.0006907914648763835
113,precisionfstrike/0.0006907914648763835
114,downplayedtrope/0.0006907914648763835
115,nogearlevel/0.0006859097047708929
116,nostalgialevel/0.0006859097047708929
