,Topic 8,Topic 9,Topic 11
0,japanesegames/0.002570114564150572,coolplane/0.007041264791041613,thenicknamer/0.005622377619147301
1,fantasyvideogames/0.002393928123638034,deflectorshields/0.007041264791041613,ashface/0.005622377619147301
2,optionalboss/0.0023128262255340815,videogamesofthe1980s/0.007041264791041613,expandeduniverse/0.005622377619147301
3,infinityplusonesword/0.0018681649817153811,energyweapon/0.007041264791041613,goofyprintunderwear/0.005622377619147301
4,bigbad/0.0016807919600978494,minimecha/0.005285338032990694,whonamestheirkiddude/0.005622377619147301
5,easternrpg/0.0016416393918916583,standardfpsguns/0.005285338032990694,firebreathingdiner/0.005622377619147301
6,finalboss/0.0016136731719598174,firebreathingweapon/0.005285338032990694,popupvideogames/0.005622377619147301
7,gameplayandstorysegregation/0.0014766391832381487,gatlinggood/0.005285338032990694,blazinginfernohellfiresauce/0.005622377619147301
8,disconenuke/0.0014766391832381487,goombastomp/0.005285338032990694,gardenhosesquirtsurprise/0.0028251747135072947
9,theverydefinitelyfinaldungeon/0.0014458764344453812,itsrainingmen/0.005285338032990694,saveourteam/0.0028251747135072947
10,limitbreak/0.001434690086171031,recurringboss/0.005285338032990694,yiddishasasecondlanguage/0.0028251747135072947
11,paletteswap/0.001429096795618534,fictionalcounterpart/0.005285338032990694,lifelines/0.0028251747135072947
12,playingwithfire/0.001417910330928862,abnormalammo/0.005285338032990694,artsymoon/0.0028251747135072947
13,newgameplus/0.0014151138020679355,spiritualsuccessor/0.005285338032990694,passfail/0.0028251747135072947
14,awesomebutimpractical/0.0013759612338617444,artificialbrilliance/0.0035294117406010628,fakehairdrama/0.0028251747135072947
15,hopelessbossfight/0.00133960519451648,deadpansnarker/0.0035294117406010628,dreamtropes/0.0028251747135072947
16,bfs/0.001300452626310289,thegoomba/0.0035294117406010628,floatingadvicereminder/0.0028251747135072947
17,guidedangit/0.0012920628068968654,moneyspider/0.0035294117406010628,batmanparody/0.0028251747135072947
18,dualwielding/0.0012780798133462667,greatoffscreenwar/0.0035294117406010628,spycam/0.0028251747135072947
19,wakeupcallboss/0.0012696898775175214,sortingalgorithmofweaponeffectiveness/0.0035294117406010628,hatesbaths/0.0028251747135072947
20,onewingedangel/0.0012585035292431712,theallseeingai/0.0035294117406010628,karmicbuttmonkey/0.0028251747135072947
21,glasscannon/0.0011829949216917157,acepilot/0.0035294117406010628,heroiccaninesvillainousfelines/0.0028251747135072947
22,permanentlymissablecontent/0.0011522321728989482,falseflagoperation/0.0035294117406010628,bondgunbarrel/0.0028251747135072947
23,statuseffects/0.0011522321728989482,sequelfirst/0.0035294117406010628,opposingsportsteam/0.0028251747135072947
24,stripperiffic/0.0011466389987617731,realsongthemetune/0.0035294117406010628,jumpingoutofacake/0.0028251747135072947
25,slidingscaleofgameplayandstoryintegration/0.0011354525340721011,airborneaircraftcarrier/0.0035294117406010628,kineticnovel/0.0028251747135072947
26,magikarppower/0.0011270627146586776,chargedattack/0.0035294117406010628,fullbodydisguise/0.0028251747135072947
27,actionrpg/0.0011270627146586776,scififlyby/0.0035294117406010628,unexpectedlyobscureanswer/0.0028251747135072947
28,shockandawe/0.001118672895245254,hamtohamcombat/0.0035294117406010628,bonusround/0.0028251747135072947
29,levelgrinding/0.0011130796046927571,cynicismcatalyst/0.0035294117406010628,comedicspanking/0.0028251747135072947
30,squishywizard/0.0010990966111421585,moeanthropomorphism/0.0035294117406010628,vampireshategarlic/0.0028251747135072947
31,onehitkill/0.0010879101464524865,fragilespeedster/0.0035294117406010628,fourthwallmailslot/0.0028251747135072947
32,arbitraryheadcountlimit/0.001079520327039063,importedalienphlebotinum/0.0035294117406010628,supernaturalaid/0.0028251747135072947
33,thecomputerisacheatingbastard/0.001079520327039063,sobaditsgood/0.0035294117406010628,atasteoftheirownmedicine/0.0028251747135072947
34,antifrustrationfeatures/0.0010711305076256394,specialguest/0.0035294117406010628,fakemuscles/0.0028251747135072947
35,dualboss/0.001040367758832872,arcology/0.0035294117406010628,asleepinclass/0.0028251747135072947
36,counterattack/0.0010319779394194484,telepathicspacemen/0.0035294117406010628,chocolateofromance/0.0028251747135072947
37,bossinmookclothing/0.0010124016553163528,notruescotsman/0.0035294117406010628,embarrassingmiddlename/0.0028251747135072947
38,eldritchabomination/0.001006808364763856,lowculturehightech/0.0035294117406010628,hollywoodheartattack/0.0028251747135072947
39,bonusdungeon/0.0010040117194876075,standardscifiarmy/0.0035294117406010628,theprankster/0.0028251747135072947
40,elementalpowers/0.0009928253712132573,thisisnotadrill/0.0035294117406010628,cranialeruption/0.0028251747135072947
41,castfromhitpoints/0.0009900287259370089,deathlyunmasking/0.0017734854482114315,crushblush/0.0028251747135072947
42,elementalrockpaperscissors/0.0009816389065235853,corrallingvacuum/0.0017734854482114315,countingsheep/0.0028251747135072947
43,heroicsacrifice/0.0009816389065235853,masssuperempoweringevent/0.0017734854482114315,stockaudioclip/0.0028251747135072947
44,anaxetogrind/0.0009788422612473369,secretwar/0.0017734854482114315,everyoneisasuspect/0.0028251747135072947
45,combinationattack/0.0009676557965576649,ascendedfannickname/0.0017734854482114315,promotionalconsideration/0.0028251747135072947
46,turnsred/0.0009676557965576649,boldlycoming/0.0017734854482114315,asianandnerdy/0.0028251747135072947
47,heelfaceturn/0.0009564693318679929,spaceplane/0.0017734854482114315,catupatree/0.0028251747135072947
48,interfacespoiler/0.0009536727447994053,immediateselfcontradiction/0.0017734854482114315,sassyblackwoman/0.0028251747135072947
49,actiongirl/0.0009480795124545693,inlovewiththemark/0.0017734854482114315,hundredpercentcompletion/0.0028251747135072947
50,itemcrafting/0.0009452829253859818,adaptationalkarma/0.0017734854482114315,motionblur/0.0028251747135072947
51,gueststarpartymember/0.0009340964606963098,fightingfingerprint/0.0017734854482114315,facelessmasses/0.0028251747135072947
52,defeatmeansfriendship/0.0009257066412828863,sexysecretary/0.0017734854482114315,oneoftheboys/0.0028251747135072947
53,aniceperson/0.0009201134089380503,therearenogoodexecutives/0.0017734854482114315,servilesnarker/0.0028251747135072947
54,sealedevilinacan/0.0009145201765932143,summonbackupdancers/0.0017734854482114315,workaholic/0.0028251747135072947
55,bossrush/0.0009145201765932143,oppositesexclone/0.0017734854482114315,hippieparents/0.0028251747135072947
56,shoutout/0.0009089269442483783,buckethelmet/0.0017734854482114315,helicritter/0.0028251747135072947
57,darkisnotevil/0.0009089269442483783,rescuesex/0.0017734854482114315,thumbtackonthechair/0.0028251747135072947
58,mightyglacier/0.0009061303571797907,obscuredspecialeffects/0.0017734854482114315,musthavecaffeine/0.0028251747135072947
59,braggingrightsreward/0.0009005371248349547,notsoextinct/0.0017734854482114315,audienceparticipation/0.0028251747135072947
60,didyoujustpunchoutcthulhu/0.0008921473054215312,paranormalgamblingadvantage/0.0017734854482114315,fallenprincess/0.0028251747135072947
61,earlygamehell/0.0008837574278004467,gascylinderrocket/0.0017734854482114315,floralthemenaming/0.0028251747135072947
62,oldsavebonus/0.0008837574278004467,randompowerranking/0.0017734854482114315,namelessnarrative/0.0028251747135072947
63,infinityminusonesword/0.0008781641954556108,vehicularturnabout/0.0017734854482114315,tomboywithagirlystreak/0.0028251747135072947
64,fanservice/0.0008781641954556108,wingman/0.0017734854482114315,westernzodiac/0.0028251747135072947
65,jackofallstats/0.0008697743760421872,fantasyconflictcounterpart/0.0017734854482114315,sleepyhead/0.0028251747135072947
66,recurringboss/0.0008641811436973512,implausibleboardingskills/0.0017734854482114315,shorttitles/0.0028251747135072947
67,brainwashedandcrazy/0.0008529947372153401,partyofrepresentatives/0.0017734854482114315,fishingforsole/0.0028251747135072947
68,katanasarejustbetter/0.0008446048595942557,eviltakesanap/0.0017734854482114315,karma/0.0028251747135072947
69,improbableweaponuser/0.0008446048595942557,protagonistpowerupprivileges/0.0017734854482114315,audiencegame/0.0028251747135072947
70,helloinsertnamehere/0.0008418082725256681,ihavethehighground/0.0017734854482114315,visualnovel/0.0028251747135072947
71,mythologygag/0.0008362150401808321,dieorfly/0.0017734854482114315,rulesspiel/0.0028251747135072947
72,fireicelightning/0.0008362150401808321,alightershadeofgrey/0.0017734854482114315,prankpunishment/0.0028251747135072947
73,antigrinding/0.0008362150401808321,thecomputerisacheatingbastard/0.0017734854482114315,cartoonbomb/0.0028251747135072947
74,guestfighter/0.0008334184531122446,capturedsuperentity/0.0017734854482114315,myfriendsandzoidberg/0.0028251747135072947
75,lightningbruiser/0.0008334184531122446,rocketride/0.0017734854482114315,pointandclick/0.0028251747135072947
76,dropthehammer/0.0008306218078359962,pompouspoliticalpundit/0.0017734854482114315,allegedlyfreegame/0.0028251747135072947
77,undergroundmonkey/0.0008278252207674086,strongandskilled/0.0017734854482114315,victorypose/0.0028251747135072947
78,truefinalboss/0.0008278252207674086,occupiersoutofourcountry/0.0017734854482114315,takenforgranite/0.0028251747135072947
79,blowyouaway/0.0008250285754911602,georgelucasalteredversion/0.0017734854482114315,unintentionallyunwinnable/0.0028251747135072947
80,supermode/0.0008222319884225726,mirroredconfrontationshot/0.0017734854482114315,interfacespoiler/2.797202796500642e-05
81,luckbasedmission/0.0008194353431463242,maniacmonkeys/0.0017734854482114315,heroicmime/2.797202796500642e-05
82,summonmagic/0.0008110455237329006,siliconbasedlife/0.0017734854482114315,heelfaceturn/2.797202796500642e-05
83,nerf/0.0008110455237329006,spacewestern/0.0017734854482114315,runninggag/2.797202796500642e-05
84,metalslime/0.0008082489366643131,stormingthebeaches/0.0017734854482114315,unexpectedgameplaychange/2.797202796500642e-05
85,giantspacefleafromnowhere/0.0008026557043194771,beliefmakesyoustupid/0.0017734854482114315,bottomlessmagazines/2.797202796500642e-05
