,series,HH_index,works_in_series
0,aidungeon,0.5,2
1,avalleywithoutwind,0.5,2
2,acecombat,1.0,14
3,ageofwonders,1.0,2
4,akibastrip,0.5,2
5,alanwake,1.0,2
6,alien,0.4320987654320988,9
7,alphadia,0.5,4
8,alundra,0.5,2
9,angrybirds,0.6800000000000002,5
10,animalcrossing,0.53125,8
11,anodyne,0.5,2
12,armoredcore,1.0,6
13,assassinscreed,0.5733333333333333,15
14,asterix,1.0,3
15,atelier,0.356401384083045,17
16,avatarthelastairbender,0.5555555555555556,3
17,axiomverge,1.0,2
18,azurestrikergunvolt,0.25,4
19,baldursgate,0.5555555555555556,3
20,banjokazooie,0.5,2
21,batmanarkham,0.42857142857142855,7
22,battlekid,1.0,2
23,battlefield,1.0,10
24,bayonetta,0.5555555555555556,3
25,beholder,0.5,2
26,bioshock,1.0,3
27,blastermaster,0.375,4
28,blazblue,0.7222222222222223,6
29,bloodomen,1.0,2
30,bloodstained,0.5,2
31,bloonstowerdefense,0.5,2
32,bomberman,0.27111111111111114,15
33,boogeyman,1.0,2
34,borderlands,0.6800000000000002,5
35,boxxyquestthe,0.5,2
36,bravely,0.5555555555555556,3
37,breathoffire,1.0,5
38,brokensword,1.0,2
39,bulletheaven,1.0,2
40,callofduty,0.40484429065743943,17
41,callofjuarez,0.375,4
42,capcomvssnk,1.0,2
43,carmensandiego,0.6800000000000002,5
44,castlevania,0.30357142857142855,28
45,celestiantales,1.0,2
46,chaosrings,0.625,4
47,chivalry,1.0,2
48,clocktower,0.52,5
49,commandandconquer,0.30612244897959184,7
50,conflictdesertstorm,1.0,2
51,corpseparty,0.5555555555555556,3
52,crackdown,1.0,2
53,crashbandicoot,0.6800000000000002,5
54,crashteamracing,0.5,2
55,criminalgirls,1.0,2
56,dangerousdave,1.0,2
57,darkseed,1.0,2
58,darksouls,1.0,4
59,darkestdungeon,1.0,2
60,darksiders,0.375,4
61,deadoralive,0.5555555555555556,3
62,deadrising,0.44000000000000006,5
63,deadspace,0.625,4
64,deadlypremonition,0.5,2
65,demongaze,0.5,2
66,destiny,0.5,2
67,destroyallhumans,0.28,5
68,deusex,0.5,6
69,d,1.0,7
70,devilsurvivor,1.0,2
71,diablo,1.0,3
72,digimon,0.295,20
73,discworld,0.5555555555555556,3
74,disgaea,0.53125,8
75,dishonored,1.0,3
76,disneyskimpossible,0.5,2
77,divinityoriginalsin,1.0,2
78,d,0.48611111111111105,12
79,doom,0.5,6
80,doubledragon,1.0,5
81,dragonage,1.0,4
82,dragonball,0.5555555555555556,15
83,dragonquest,0.3750000000000001,20
84,dragonslayer,1.0,2
85,drakengard,0.5555555555555556,3
86,dukenukem,0.5,4
87,dynastywarriors,0.3333333333333333,3
88,earthbound,1.0,2
89,earthdefenseforce,0.5,6
90,ecstatica,0.5,2
91,endlessspace,1.0,2
92,epicbattlefantasy,0.5,6
93,epicmickey,0.5555555555555556,3
94,eternalsenia,1.0,2
95,everquest,1.0,2
96,evildead,0.3333333333333333,3
97,evilgenius,1.0,2
98,fable,0.3600000000000001,5
99,fallout,0.6033057851239669,11
100,farcry,0.48148148148148145,9
101,fatalframe,0.5555555555555556,6
102,fatalfury,0.5555555555555556,3
103,finalfantasy,0.4245867768595042,44
104,fireemblem,0.44,15
105,fistofthenorthstar,0.5,2
106,fivenightsatfreddys,0.3827160493827161,9
107,frontmission,0.34375,8
108,fullspectrumwarrior,1.0,2
109,fullmetalalchemist,0.5555555555555556,3
110,ganbaregoemon,0.5555555555555556,3
111,garfield,0.3600000000000001,5
112,gearsofwar,1.0,2
113,godofwar,0.52,10
114,goldensun,1.0,4
115,granbluefantasy,0.5,2
116,grandtheftauto,0.5,14
117,grandia,0.44000000000000006,5
118,gravityrush,0.5,2
119,gremlins,1.0,2
120,guacamelee,1.0,2
121,halflife,1.0,5
122,halo,0.4380165289256198,11
123,halowars,1.0,2
124,hamtarohamham,1.0,2
125,harrypotter,0.28,10
126,harvestmoon,0.9201388888888891,24
127,hillclimbracing,0.5,2
128,hitman,0.375,8
129,homeworld,1.0,4
130,hostilewaters,0.5,2
131,hotlinemiami,0.5,2
132,huniepop,1.0,2
133,hyperdimensionneptunia,0.7551020408163265,7
134,indianajones,0.22448979591836732,7
135,infamous,0.5,2
136,infinitode,1.0,2
137,injustice,1.0,2
138,jakanddaxterthe,0.5,2
139,jojosbizarreadventure,0.375,4
140,jumpstart,0.40277777777777785,12
141,justcause,0.5,4
142,kerbalspaceprogram,0.5,2
143,kessen,0.5555555555555556,3
144,kidicarus,0.5,2
145,kidklownin,0.5,2
146,kindergarten,1.0,2
147,kingdomhearts,0.45833333333333337,12
148,kingsquest,0.6094674556213019,13
149,kirby,0.2928,25
150,knightsofpenandpaper,1.0,2
151,legomarvelsuperheroes,0.5,2
152,langrisser,0.28,5
153,left4dead,1.0,2
154,legacyofkain,0.5555555555555556,3
155,leisuresuitlarry,0.30000000000000004,10
156,lifeisstrange,1.0,4
157,liloandstitch,0.5555555555555556,3
158,littlenightmares,1.0,2
159,looneytunes,0.44000000000000006,5
160,lufia,0.5555555555555556,3
161,luigismansion,1.0,3
162,luminousavengerix,0.5,2
163,mafia,1.0,4
164,manakhemia,0.5,2
165,maplestory,0.5,2
166,marioand,0.5918367346938775,7
167,mariokart,1.0,9
168,mariosports,0.5,2
169,marvelvscapcom,0.6800000000000002,5
170,masseffect,1.0,5
171,maxpayne,1.0,2
172,medalofhonor,1.0,7
173,medieval,1.0,2
174,megaman,0.26521893912424355,53
175,megamitensei,0.3333333333333333,3
176,metalgear,0.5570934256055364,17
177,metalslug,0.33333333333333337,6
178,metroid,0.4044444444444444,15
179,mickey,0.44000000000000006,5
180,miraclegirls,0.5,2
181,mirrorsedge,0.5,2
182,mobilesuitgundam,0.5,2
183,monkeyisland,1.0,2
184,monsterhunter,0.5,6
185,monsterrancher,0.25,4
186,monumentvalley,0.5,2
187,mortalkombat,0.5,14
188,mrhoppsplayhouse,1.0,2
189,mysims,0.3333333333333333,3
190,naruto,0.6326530612244896,14
191,needforspeed,0.5,2
192,neverwinternights,1.0,2
193,newstyleboutique,1.0,3
194,newsupermariobros,1.0,5
195,nier,0.5,2
196,nightsofazure,0.5,2
197,nightshade,0.5,2
198,ninjagaiden,0.34375,8
199,nioh,0.5,2
200,nomoreheroes,1.0,3
201,ogrebattle,0.5555555555555556,3
202,onepiece,0.7222222222222223,6
203,onimusha,1.0,5
204,oriandthe,1.0,2
205,outbreak,1.0,5
206,outlast,1.0,2
207,overblood,0.5,2
208,overlord,0.5510204081632654,7
209,payday,1.0,2
210,pacman,0.30612244897959184,7
211,papermario,0.5,6
212,parasiteeve,1.0,2
213,pathfinder,1.0,2
214,pathologic,1.0,2
215,perfectdark,0.5,2
216,persona,0.30177514792899407,13
217,phantasmagoria,0.5,2
218,phantasystar,0.33333333333333326,12
219,pikmin,0.5,4
220,pillarsofeternity,1.0,2
221,pinkpanther,1.0,2
222,pitfall,0.5555555555555556,3
223,plantsvszombies,0.375,4
224,pokemon,0.2520087655222791,37
225,pokernight,1.0,2
226,policequest,0.5555555555555556,3
227,portal,0.5555555555555556,3
228,powerprokunpocket,0.3979591836734694,14
229,princeofpersia,0.5555555555555556,3
230,princessmaker,1.0,4
231,professorlayton,0.46875,8
232,prototype,1.0,2
233,psychonauts,1.0,3
234,puyopuyo,0.29591836734693877,14
235,quakei,0.375,4
236,questforglory,0.22222222222222227,6
237,rage,0.5,2
238,raidoukuzunohavs,0.5,2
239,rainbowsix,1.0,2
240,ratchetandclank,0.45833333333333337,12
241,ravenloftst,0.5,2
242,rayman,0.625,4
243,rebelgalaxy,0.5,2
244,reddeadredemption,0.5555555555555556,3
245,redorchestra,1.0,2
246,residentevil,0.7349999999999999,20
247,risingstorm,1.0,2
248,rivercitygirls,0.5,2
249,rivercityransom,0.5,2
250,robotunicornattack,0.5,2
251,roguelegacy,0.5,2
252,romancingsaga,1.0,3
253,runaway,0.3333333333333333,3
254,runefactory,0.78125,8
255,snkvscapcom,1.0,4
256,sagafrontier,0.5,2
257,saintseiya,0.5555555555555556,3
258,saintsrow,0.5,6
259,sakurawars,0.346938775510204,7
260,samandmax,0.375,4
261,samuraijack,0.3333333333333333,3
262,scoobydoo,0.28,5
263,serioussam,0.42857142857142855,7
264,shadowwarrior,0.5555555555555556,3
265,shellshock,1.0,2
266,shenmue,0.5555555555555556,3
267,sherlockholmes,1.0,4
268,shinmegamitensei,0.43055555555555564,12
269,shiningforce,0.625,4
270,shivers,1.0,2
271,shrek,0.5,2
272,silenthill,0.5041322314049586,11
273,sly,1.0,2
274,sniperelite,1.0,4
275,sniperghostwarrior,1.0,4
276,s,0.26877892488430044,53
277,soulcalibur,0.5555555555555556,3
278,southpark,0.3600000000000001,5
279,spacequest,0.5061728395061729,9
280,sparktheelectricjester,1.0,2
281,,0.19111111111111115,15
282,splatoon,0.5555555555555556,3
283,splintercell,0.510204081632653,7
284,spyro,0.40495867768595034,11
285,starcraft,0.5555555555555556,6
286,starfox,0.25,8
287,starocean,0.5555555555555556,3
288,starruler,1.0,2
289,startrek,0.3979591836734694,14
290,starwars,0.6800000000000002,5
291,stateofdecay,0.5,2
292,steamworld,0.5555555555555556,3
