,series,HH_index,works_in_series
0,acecombat,1.0,2
1,alanwake,1.0,2
2,assassinscreed,0.7222222222222223,6
3,baldursgate,0.5,2
4,batmanarkham,1.0,4
5,bioshock,0.5555555555555556,3
6,borderlands,0.375,4
7,callofduty,0.5,2
8,castlevania,1.0,2
9,commandandconquerredalert,1.0,2
10,darksouls,1.0,4
11,deadrising,1.0,2
12,deadspace,0.5555555555555556,3
13,destiny,0.5,2
14,deusex,1.0,2
15,devilmaycry,1.0,4
16,diablo,0.5555555555555556,3
17,disgaea,1.0,4
18,doom,0.3333333333333333,3
19,dragonage,1.0,3
20,dragonquest,0.6800000000000002,5
21,fablei,0.5,2
22,fallout,0.5555555555555556,6
23,farcry,1.0,3
24,finalfantasy,0.26530612244897955,21
25,fireemblem,0.58,10
26,gearsofwar,1.0,2
27,godofwar,1.0,3
28,goldensun,0.5,2
29,grandtheftauto,1.0,5
30,halflife,1.0,3
31,halo,0.5510204081632654,7
32,hitman2,1.0,2
33,injustice,1.0,2
34,kingdomhearts,1.0,7
35,kirby,1.0,3
36,left4dead,1.0,2
37,marioandluigi,1.0,3
38,masseffect,0.625,4
39,maxpayne,1.0,2
40,megaman,0.7551020408163265,7
41,metalgear,0.625,8
42,metroid,1.0,6
43,mortalkombat,1.0,3
44,neverwinternights,1.0,2
45,nier,0.5,2
46,nomoreheroes,1.0,2
47,papermario,1.0,4
48,perfectdark,1.0,2
49,persona,0.3600000000000001,5
50,pillarsofeternity,0.5,2
51,pokemon,0.8200000000000001,10
52,portal,0.5,2
53,prototype,1.0,2
54,psychonauts,1.0,2
55,reddeadredemption,0.5,2
56,residentevil,1.0,6
57,saintsrow,0.5,4
58,shinmegamitensei,1.0,4
59,sonic,0.5702479338842975,11
60,splatoon,1.0,2
61,streetfighter,1.0,2
62,supermario,0.5199999999999999,10
63,superrobotwars,1.0,3
64,supersmashbros,0.5555555555555556,3
65,theelderscrolls,0.44000000000000006,5
66,thelegendofheroestrails,0.5555555555555556,3
67,thelegendofzelda,0.42148760330578505,11
68,thesims,1.0,3
69,thewitcher,0.5,2
70,xcom,1.0,2
71,xenobladechronicles,0.5555555555555556,3
72,yakuza,0.5555555555555556,3
