,series,HH_index,works_in_series
0,aidungeon,0.5,2
1,avalleywithoutwind,0.5,2
2,acecombat,1.0,14
3,ageofwonders,1.0,2
4,akibastrip,1.0,2
5,alanwake,1.0,2
6,alien,0.2839506172839506,9
7,alphadia,1.0,4
8,alundra,1.0,2
9,angrybirds,0.3600000000000001,5
10,animalcrossing,1.0,8
11,anodyne,1.0,2
12,armoredcore,0.3888888888888889,6
13,assassinscreed,0.4133333333333332,15
14,asterix,1.0,3
15,atelier,1.0,17
16,avatarthelastairbender,0.5555555555555556,3
17,axiomverge,0.5,2
18,azurestrikergunvolt,0.375,4
19,baldursgate,1.0,3
20,banjokazooie,1.0,2
21,batmanarkham,0.5510204081632654,7
22,battlekid,1.0,2
23,battlefield,0.52,10
24,bayonetta,0.5555555555555556,3
25,beholder,0.5,2
26,bioshock,0.5555555555555556,3
27,blastermaster,0.625,4
28,blazblue,0.5,6
29,bloodomen,0.5,2
30,bloodstained,1.0,2
31,bloonstowerdefense,0.5,2
32,bomberman,0.28,15
33,boogeyman,1.0,2
34,borderlands,0.3600000000000001,5
35,boxxyquestthe,1.0,2
36,bravely,1.0,3
37,breathoffire,1.0,5
38,brokensword,0.5,2
39,bulletheaven,1.0,2
40,callofduty,0.7854671280276817,17
41,callofjuarez,0.5,4
42,capcomvssnk,1.0,2
43,carmensandiego,0.6800000000000002,5
44,castlevania,0.24744897959183673,28
45,celestiantales,1.0,2
46,chaosrings,1.0,4
47,chivalry,0.5,2
48,clocktower,0.6800000000000002,5
49,commandandconquer,0.7551020408163265,7
50,conflictdesertstorm,0.5,2
51,corpseparty,0.5555555555555556,3
52,crackdown,1.0,2
53,crashbandicoot,0.44000000000000006,5
54,crashteamracing,0.5,2
55,criminalgirls,1.0,2
56,dangerousdave,1.0,2
57,darkseed,1.0,2
58,darksouls,0.625,4
59,darkestdungeon,1.0,2
60,darksiders,0.375,4
61,deadoralive,1.0,3
62,deadrising,0.52,5
63,deadspace,0.625,4
64,deadlypremonition,0.5,2
65,demongaze,1.0,2
66,destiny,0.5,2
67,destroyallhumans,0.28,5
68,deusex,0.5,6
69,d,0.7551020408163265,7
70,devilsurvivor,1.0,2
71,diablo,0.5555555555555556,3
72,digimon,0.605,20
73,discworld,0.5555555555555556,3
74,disgaea,0.59375,8
75,dishonored,1.0,3
76,disneyskimpossible,0.5,2
77,divinityoriginalsin,1.0,2
78,d,0.4305555555555556,12
79,doom,0.7222222222222223,6
80,doubledragon,0.6800000000000002,5
81,dragonage,0.625,4
82,dragonball,0.36,15
83,dragonquest,0.815,20
84,dragonslayer,0.5,2
85,drakengard,1.0,3
86,dukenukem,0.375,4
87,dynastywarriors,0.5555555555555556,3
88,earthbound,1.0,2
89,earthdefenseforce,0.3888888888888889,6
90,ecstatica,1.0,2
91,endlessspace,1.0,2
92,epicbattlefantasy,1.0,6
93,epicmickey,0.5555555555555556,3
94,eternalsenia,1.0,2
95,everquest,0.5,2
96,evildead,0.5555555555555556,3
97,evilgenius,1.0,2
98,fable,0.44000000000000006,5
99,fallout,0.3553719008264462,11
100,farcry,0.4320987654320988,9
101,fatalframe,1.0,6
102,fatalfury,0.5555555555555556,3
103,finalfantasy,0.7551652892561983,44
104,fireemblem,0.52,15
105,fistofthenorthstar,0.5,2
106,fivenightsatfreddys,0.8024691358024691,9
107,frontmission,0.21875,8
108,fullspectrumwarrior,0.5,2
109,fullmetalalchemist,0.5555555555555556,3
110,ganbaregoemon,0.5555555555555556,3
111,garfield,0.6800000000000002,5
112,gearsofwar,1.0,2
113,godofwar,0.8200000000000001,10
114,goldensun,1.0,4
115,granbluefantasy,0.5,2
116,grandtheftauto,1.0,14
117,grandia,1.0,5
118,gravityrush,0.5,2
119,gremlins,0.5,2
120,guacamelee,0.5,2
121,halflife,0.6800000000000002,5
122,halo,0.6859504132231405,11
123,halowars,0.5,2
124,hamtarohamham,1.0,2
125,harrypotter,0.20000000000000004,10
126,harvestmoon,0.9201388888888891,24
127,hillclimbracing,0.5,2
128,hitman,0.78125,8
129,homeworld,1.0,4
130,hostilewaters,0.5,2
131,hotlinemiami,1.0,2
132,huniepop,1.0,2
133,hyperdimensionneptunia,0.5918367346938775,7
134,indianajones,0.18367346938775508,7
135,infamous,0.5,2
136,infinitode,1.0,2
137,injustice,0.5,2
138,jakanddaxterthe,0.5,2
139,jojosbizarreadventure,0.5,4
140,jumpstart,0.33333333333333326,12
141,justcause,0.625,4
142,kerbalspaceprogram,0.5,2
143,kessen,0.5555555555555556,3
144,kidicarus,0.5,2
145,kidklownin,1.0,2
146,kindergarten,1.0,2
147,kingdomhearts,0.8472222222222221,12
148,kingsquest,0.727810650887574,13
149,kirby,0.44000000000000006,25
150,knightsofpenandpaper,0.5,2
151,legomarvelsuperheroes,1.0,2
152,langrisser,0.44000000000000006,5
153,left4dead,1.0,2
154,legacyofkain,0.3333333333333333,3
155,leisuresuitlarry,0.5,10
156,lifeisstrange,1.0,4
157,liloandstitch,0.5555555555555556,3
158,littlenightmares,1.0,2
159,looneytunes,0.28,5
160,lufia,1.0,3
161,luigismansion,1.0,3
162,luminousavengerix,0.5,2
163,mafia,1.0,4
164,manakhemia,1.0,2
165,maplestory,1.0,2
166,marioand,0.5918367346938775,7
167,mariokart,1.0,9
168,mariosports,0.5,2
169,marvelvscapcom,1.0,5
170,masseffect,0.6800000000000002,5
171,maxpayne,1.0,2
172,medalofhonor,1.0,7
173,medieval,1.0,2
174,megaman,0.5272338910644355,53
175,megamitensei,0.5555555555555556,3
176,metalgear,0.8892733564013842,17
177,metalslug,0.22222222222222227,6
178,metroid,0.8755555555555556,15
179,mickey,0.6800000000000002,5
180,miraclegirls,0.5,2
181,mirrorsedge,0.5,2
182,mobilesuitgundam,0.5,2
183,monkeyisland,1.0,2
184,monsterhunter,0.5,6
185,monsterrancher,0.375,4
186,monumentvalley,1.0,2
187,mortalkombat,0.4693877551020409,14
188,mrhoppsplayhouse,1.0,2
189,mysims,0.5555555555555556,3
190,naruto,0.7448979591836733,14
191,needforspeed,1.0,2
192,neverwinternights,1.0,2
193,newstyleboutique,1.0,3
194,newsupermariobros,1.0,5
195,nier,1.0,2
196,nightsofazure,1.0,2
197,nightshade,0.5,2
198,ninjagaiden,0.625,8
199,nioh,0.5,2
200,nomoreheroes,0.5555555555555556,3
201,ogrebattle,1.0,3
202,onepiece,0.3333333333333333,6
203,onimusha,0.6800000000000002,5
204,oriandthe,1.0,2
205,outbreak,0.6800000000000002,5
206,outlast,1.0,2
207,overblood,0.5,2
208,overlord,0.5918367346938775,7
209,payday,1.0,2
210,pacman,0.26530612244897955,7
211,papermario,0.5,6
212,parasiteeve,0.5,2
213,pathfinder,1.0,2
214,pathologic,1.0,2
215,perfectdark,0.5,2
216,persona,0.3017751479289941,13
217,phantasmagoria,1.0,2
218,phantasystar,0.7083333333333334,12
219,pikmin,0.375,4
220,pillarsofeternity,1.0,2
221,pinkpanther,1.0,2
222,pitfall,0.5555555555555556,3
223,plantsvszombies,1.0,4
224,pokemon,0.39225712198685164,37
225,pokernight,1.0,2
226,policequest,0.5555555555555556,3
227,portal,0.3333333333333333,3
228,powerprokunpocket,0.3775510204081633,14
229,princeofpersia,0.3333333333333333,3
230,princessmaker,1.0,4
231,professorlayton,1.0,8
232,prototype,1.0,2
233,psychonauts,0.5555555555555556,3
234,puyopuyo,0.6428571428571428,14
235,quakei,0.625,4
236,questforglory,1.0,6
237,rage,0.5,2
238,raidoukuzunohavs,1.0,2
239,rainbowsix,1.0,2
240,ratchetandclank,0.4722222222222221,12
241,ravenloftst,0.5,2
242,rayman,0.5,4
243,rebelgalaxy,1.0,2
244,reddeadredemption,0.3333333333333333,3
245,redorchestra,1.0,2
246,residentevil,0.815,20
247,risingstorm,1.0,2
248,rivercitygirls,1.0,2
249,rivercityransom,0.5,2
250,robotunicornattack,1.0,2
251,roguelegacy,0.5,2
252,romancingsaga,1.0,3
253,runaway,1.0,3
254,runefactory,1.0,8
255,snkvscapcom,1.0,4
256,sagafrontier,1.0,2
257,saintseiya,0.5555555555555556,3
258,saintsrow,0.5,6
259,sakurawars,0.346938775510204,7
260,samandmax,0.5,4
261,samuraijack,0.5555555555555556,3
262,scoobydoo,0.3600000000000001,5
263,serioussam,0.42857142857142855,7
264,shadowwarrior,0.3333333333333333,3
265,shellshock,0.5,2
266,shenmue,1.0,3
267,sherlockholmes,1.0,4
268,shinmegamitensei,0.8472222222222221,12
269,shiningforce,1.0,4
270,shivers,0.5,2
271,shrek,1.0,2
272,silenthill,0.8347107438016528,11
273,sly,1.0,2
274,sniperelite,1.0,4
275,sniperghostwarrior,0.625,4
276,s,0.27803488786044855,53
277,soulcalibur,0.5555555555555556,3
278,southpark,0.28,5
279,spacequest,0.654320987654321,9
280,sparktheelectricjester,1.0,2
281,,0.5555555555555556,15
282,splatoon,0.5555555555555556,3
283,splintercell,1.0,7
284,spyro,0.38842975206611563,11
285,starcraft,0.3333333333333333,6
286,starfox,0.4375,8
287,starocean,0.5555555555555556,3
288,starruler,1.0,2
289,startrek,0.3061224489795919,14
290,starwars,0.28,5
291,stateofdecay,1.0,2
292,steamworld,0.3333333333333333,3
293,storyofseasons,1.0,5
294,streetfighter,0.7083333333333334,12
