,series,HH_index,works_in_series
0,aidungeon,1.0,2
1,avalleywithoutwind,1.0,2
2,acecombat,1.0,14
3,ageofwonders,1.0,2
4,akibastrip,1.0,2
5,alanwake,1.0,2
6,alien,1.0,9
7,alphadia,1.0,4
8,alundra,1.0,2
9,angrybirds,1.0,5
10,animalcrossing,1.0,8
11,anodyne,1.0,2
12,armoredcore,1.0,6
13,assassinscreed,1.0,15
14,asterix,1.0,3
15,atelier,1.0,17
16,avatarthelastairbender,1.0,3
17,axiomverge,1.0,2
18,azurestrikergunvolt,1.0,4
19,baldursgate,1.0,3
20,banjokazooie,1.0,2
21,batmanarkham,1.0,7
22,battlekid,1.0,2
23,battlefield,1.0,10
24,bayonetta,1.0,3
25,beholder,1.0,2
26,bioshock,1.0,3
27,blastermaster,1.0,4
28,blazblue,1.0,6
29,bloodomen,1.0,2
30,bloodstained,1.0,2
31,bloonstowerdefense,1.0,2
32,bomberman,1.0,15
33,boogeyman,1.0,2
34,borderlands,1.0,5
35,boxxyquestthe,1.0,2
36,bravely,1.0,3
37,breathoffire,1.0,5
38,brokensword,1.0,2
39,bulletheaven,1.0,2
40,callofduty,1.0,17
41,callofjuarez,1.0,4
42,capcomvssnk,1.0,2
43,carmensandiego,1.0,5
44,castlevania,1.0,28
45,celestiantales,1.0,2
46,chaosrings,1.0,4
47,chivalry,1.0,2
48,clocktower,1.0,5
49,commandandconquer,1.0,7
50,conflictdesertstorm,1.0,2
51,corpseparty,1.0,3
52,crackdown,1.0,2
53,crashbandicoot,1.0,5
54,crashteamracing,1.0,2
55,criminalgirls,1.0,2
56,dangerousdave,1.0,2
57,darkseed,1.0,2
58,darksouls,1.0,4
59,darkestdungeon,1.0,2
60,darksiders,1.0,4
61,deadoralive,1.0,3
62,deadrising,1.0,5
63,deadspace,1.0,4
64,deadlypremonition,1.0,2
65,demongaze,1.0,2
66,destiny,1.0,2
67,destroyallhumans,1.0,5
68,deusex,1.0,6
69,d,1.0,7
70,devilsurvivor,1.0,2
71,diablo,1.0,3
72,digimon,1.0,20
73,discworld,1.0,3
74,disgaea,1.0,8
75,dishonored,1.0,3
76,disneyskimpossible,1.0,2
77,divinityoriginalsin,1.0,2
78,d,1.0,12
79,doom,1.0,6
80,doubledragon,1.0,5
81,dragonage,1.0,4
82,dragonball,1.0,15
83,dragonquest,1.0,20
