i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
0,doctorwho,0.028605962933118453,0.10878323932312652,0.03263497179693795,0.060435132957292505,0.06325543916196616,0.13295729250604352,0.033037872683319904,0.05439161966156326,0.022965350523771154,0.10717163577759871,0.048348106365834004,0.04915390813859791,0.038275584206285254,0.02054794520547945,0.045124899274778404,0.020145044319097503,0.032232070910556,0.004834810636583401,0.014907332796132152,0.024576954069298954,0.01974214343271555,0.014907332796132152,0.0012087026591458502,0.014504431909750202,0.0056406124093473006,0.0016116035455278
1,thesimpsons,0.027721157766000815,0.11047696697920913,0.03505911129229515,0.06196494088870771,0.08683245006114962,0.14064410925397472,0.04565837749694252,0.053811659192825115,0.019160211985324093,0.09743171626579698,0.03342845495311863,0.04443538524256013,0.038320423970648186,0.013452914798206279,0.03913575214023644,0.02323685283326539,0.02282918874847126,0.005707297187117815,0.008968609865470852,0.02323685283326539,0.027721157766000815,0.015083571137382797,0.00040766408479412964,0.02119853240929474,0.0020383204239706482,0.0020383204239706482
2,mylittleponyfriendshipismagic,0.0149118843199277,0.11793944871215545,0.039313149570718485,0.06552191595119747,0.07410754631721644,0.13782196113872572,0.02937189335743335,0.05422503389064618,0.01852688657930411,0.09263443289652055,0.042476276547672845,0.05241753276095797,0.03750564844103028,0.022593764121102575,0.04835065521915951,0.01807501129688206,0.023045639403524627,0.0072300045187528245,0.01762313601446001,0.02394938996836873,0.028016267510167194,0.009941256213285133,0.0013556258472661546,0.016267510167193855,0.004518752824220515,0.0022593764121102574
3,buffythevampireslayer,0.026606425702811246,0.1290160642570281,0.036646586345381524,0.05823293172690763,0.05220883534136546,0.13253012048192772,0.0286144578313253,0.06224899598393574,0.028112449799196786,0.09789156626506024,0.04618473895582329,0.05572289156626506,0.043674698795180725,0.02208835341365462,0.040160642570281124,0.02359437751004016,0.017570281124497992,0.005522088353413655,0.014056224899598393,0.027610441767068273,0.020080321285140562,0.016566265060240965,0.001004016064257028,0.00853413654618474,0.004518072289156626,0.001004016064257028
4,futurama,0.02207727044656297,0.12142498745609634,0.0386352232814852,0.05920722528850978,0.07375815353738083,0.13948820873055695,0.04114400401404917,0.05619668840943302,0.013547415955845458,0.09884596086302057,0.04315102860010035,0.04114400401404917,0.040642247867536375,0.010536879076768691,0.047666833918715505,0.023582538886101356,0.030607124937280482,0.007024586051179127,0.010536879076768691,0.02207727044656297,0.02007024586051179,0.014550928248871048,0.0005017561465127947,0.019066733567486203,0.0035122930255895636,0.0010035122930255895
5,familyguy,0.029605263157894735,0.13760964912280702,0.043859649122807015,0.06195175438596491,0.08442982456140351,0.15625,0.05263157894736842,0.0537280701754386,0.015350877192982455,0.07949561403508772,0.019736842105263157,0.03837719298245614,0.041666666666666664,0.00712719298245614,0.03344298245614035,0.02850877192982456,0.015899122807017545,0.00712719298245614,0.003289473684210526,0.02412280701754386,0.024671052631578948,0.01864035087719298,0.0005482456140350877,0.017543859649122806,0.0021929824561403508,0.0021929824561403508
6,naruto,0.016374269005847954,0.1327485380116959,0.03508771929824561,0.07076023391812865,0.02865497076023392,0.10877192982456141,0.012865497076023392,0.07192982456140351,0.031578947368421054,0.09415204678362574,0.05263157894736842,0.06374269005847953,0.03684210526315789,0.028070175438596492,0.04152046783625731,0.02046783625730994,0.015789473684210527,0.006432748538011696,0.023391812865497075,0.03450292397660819,0.02631578947368421,0.012280701754385965,0.005263157894736842,0.011695906432748537,0.015789473684210527,0.0023391812865497076
7,avatarthelastairbender,0.01264367816091954,0.1385057471264368,0.03045977011494253,0.06954022988505747,0.04310344827586207,0.1235632183908046,0.014942528735632184,0.07011494252873564,0.028735632183908046,0.09540229885057472,0.05,0.06494252873563218,0.039655172413793106,0.02471264367816092,0.040229885057471264,0.017241379310344827,0.013793103448275862,0.005172413793103448,0.021264367816091954,0.029885057471264367,0.026436781609195402,0.013793103448275862,0.0017241379310344827,0.01264367816091954,0.009195402298850575,0.0022988505747126436
8,startrekthenextgeneration,0.023576768257619323,0.13801035077630822,0.0327774583093732,0.053479010925819435,0.041403105232892465,0.13571017826336976,0.029902242668200116,0.0621046578493387,0.023001725129384705,0.10580793559516964,0.060379528464634846,0.051753881541115584,0.04542840713053479,0.014951121334100058,0.039677975848188614,0.019551466359977,0.04025301897642323,0.002875215641173088,0.010925819436457734,0.024151811385853938,0.01437607820586544,0.014951121334100058,0.0,0.009200690051753882,0.004600345025876941,0.0011500862564692352
9,supernatural,0.03260225251926497,0.13515115589804386,0.03438055720213397,0.04682868998221695,0.04386484884410195,0.13870776526378187,0.03023117960877297,0.06816834617664493,0.029045643153526972,0.0983995257854179,0.048014226437462955,0.05986959098992294,0.048014226437462955,0.023117960877296978,0.03260225251926497,0.021932424422050976,0.01896858328393598,0.0035566093657379964,0.013633669235328987,0.029045643153526972,0.00889152341434499,0.018375815056312982,0.0023710729104919974,0.007113218731475993,0.004742145820983995,0.0023710729104919974
