Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
413/0.03803463075329288,581/0.006316582073735289,201/0.01919439189941026,200/0.014228587370966241,943/0.013136520940744403,1063/0.006985441117670579,1272/0.022578796561604584,20/0.013956446905634962,1121/0.033149950627733106,1866/0.008498213196199773,960/0.01715359912273831,1576/0.014740440076906645,2960/0.018585298196948683,263/0.0315712187958884,155/0.01846892603195124,331/0.03774825726686834,1408/0.027689243027888447,156/0.11278688524590164,1217/0.04130390767361814,475/0.028455284552845527,79/0.0316608532331634,1279/0.04171033326346678,2341/0.15384615384615385,2750/0.045874292523086085,1938/0.08063737324963785,3010/0.26990692864529475
328/0.03773864140890928,893/0.006121367616710357,702/0.017803493935684877,1170/0.012415139960941133,2926/0.013065894484073734,360/0.006773761083801773,144/0.022120343839541548,1112/0.0127216942303375,2434/0.0279305966991113,1924/0.008193149132746448,910/0.015430406516801129,43/0.014740440076906645,517/0.018030513176144243,1903/0.03010279001468429,644/0.018191892141471974,2365/0.029199000394581086,2537/0.0249003984063745,1387/0.07868852459016394,2747/0.03826685563879328,232/0.027439024390243903,1704/0.030319291655486986,111/0.041500733598826244,609/0.13871374527112232,2804/0.044682752457551385,680/0.07870593915982617,2446/0.23061013443640124
67/0.029154950421784814,914/0.005940097049472921,590/0.017580950261488818,281/0.012322142657862922,1283/0.012995268027403065,369/0.006397441023590564,1036/0.019140401146131806,1308/0.012646860734864925,1425/0.0279305966991113,1249/0.008193149132746448,832/0.014803791023733063,370/0.013031403546250802,398/0.017545076282940362,2315/0.02643171806167401,558/0.0170837565795549,1198/0.02867289227936341,1763/0.02450199203187251,1046/0.0780327868852459,296/0.03280016197610852,1202/0.0245750184774575,1436/0.02991682318218406,1256/0.04108153426954517,2245/0.13619167717528374,2937/0.03544831694965743,1918/0.05504587155963303,361/0.17890382626680454
2360/0.02293917418972917,2907/0.0059261531596854254,854/0.017414042505841772,326/0.012089649400167395,11/0.012006497634013702,799/0.00625632100101136,1930/0.01856733524355301,125/0.012197859762029485,919/0.027789533079418817,1089/0.008193149132746448,349/0.014098848594031488,1125/0.012775048066652426,2573/0.017475728155339806,2069/0.024963289280469897,1438/0.0170837565795549,2515/0.028278311192950153,312/0.023705179282868527,729/0.07475409836065573,1729/0.03219275156914355,302/0.024390243902439025,592/0.028575261604507646,1689/0.04087193460490463,1348/0.0807061790668348,1632/0.03395889186773905,384/0.05311443746982134,2845/0.11478800413650465
1695/0.022347195500961967,324/0.005772770372022979,1361/0.016913319238900635,623/0.011996652097089184,2207/0.009463945193869623,1488/0.006162240985958558,2430/0.01822349570200573,944/0.012197859762029485,255/0.025391451544646636,27/0.0077137627473197945,869/0.013785540847497455,1037/0.012561418500320444,532/0.01608876560332871,1942/0.024229074889867842,100/0.01680672268907563,401/0.027883730106536893,1791/0.02250996015936255,3026/0.07213114754098361,1949/0.030775460619558614,1888/0.02402069475240207,904/0.025757982291387174,2800/0.035841542653531754,381/0.0807061790668348,1462/0.033661006851355375,1884/0.05311443746982134,1280/0.10961737331954498
1134/0.02205120615657836,357/0.005647275363935523,2593/0.016635139646155556,883/0.011903654794010973,2494/0.009252065823857618,1244/0.005832960933273749,615/0.01707736389684814,948/0.012085609518820624,1531/0.02369868810833686,151/0.007583021005839798,1360/0.013785540847497455,909/0.01251869258705405,2178/0.01581137309292649,1137/0.02373959862946647,169/0.016714378058915874,1404/0.024990135472839667,239/0.022111553784860558,2584/0.06754098360655737,1467/0.030168050212593642,106/0.023558758314855877,2725/0.024953045344781325,908/0.03563194298889122,2300/0.07566204287515763,2989/0.032469466785820675,1463/0.05166586190246258,639/0.09617373319544985
663/0.021311232795619358,1898/0.005619387584360533,1568/0.016301324134861468,1407/0.011903654794010973,1144/0.008898933540504273,2046/0.005809440929510548,570/0.0166189111747851,2425/0.011973359275611764,2383/0.023275497249259414,861/0.007277956942386472,2653/0.013002271481162371,522/0.012262337107455673,1490/0.01581137309292649,2654/0.023494860499265784,2263/0.014590451565241481,2532/0.02472708141523083,2672/0.02111553784860558,1820/0.06229508196721312,1150/0.029358169669973677,1637/0.02263488543976349,860/0.022940702978266704,1273/0.03353594634248585,1247/0.07440100882723834,1140/0.03127792672028597,2168/0.050700144857556736,
559/0.021015243451235757,440/0.005605443694573038,2281/0.015967508623567377,1026/0.011624662884776342,365/0.008757680627162935,563/0.005691840910694546,1849/0.0166189111747851,1780/0.011748858789194043,2284/0.022852306390181973,1587/0.007277956942386472,1844/0.012453982924727814,1384/0.0119632557145909,1079/0.015672676837725382,1190/0.02276064610866373,2590/0.014590451565241481,2110/0.023937919242404314,2412/0.01952191235059761,2457/0.058360655737704915,2361/0.029155699534318687,377/0.021988174427198817,1274/0.02280654682049906,885/0.03164954936072102,2276/0.07313997477931904,957/0.02919273160560024,2675/0.04925156929019797,
364/0.019683291401509546,2171/0.005591499804785543,2431/0.01591187270501836,80/0.011392169627080815,495/0.00854580125715093,2461/0.005621280899404944,930/0.015587392550143266,2351/0.010476689366160294,226/0.02271124277048949,755/0.007277956942386472,1987/0.012297329051460797,31/0.0119632557145909,235/0.015464632454923717,2760/0.02178169358786099,308/0.014590451565241481,256/0.023806392213599894,1367/0.019123505976095617,1169/0.057704918032786885,2862/0.028143348856043734,2059/0.02189578713968958,1405/0.02186745371612557,2332/0.031020750366799413,2993/0.06935687263556116,1460/0.028894846589216563,2362/0.04056011588604539,
1325/0.019535296729317746,112/0.005535724245635563,588/0.015633693112273285,715/0.011392169627080815,2441/0.00854580125715093,1751/0.005597760895641743,501/0.014670487106017193,1668/0.010439272618424006,1078/0.022429115531104528,1685/0.00723437636189314,1602/0.012297329051460797,1107/0.011792352061525315,473/0.015117891816920944,780/0.021536955457660302,2768/0.014498106935081726,1427/0.023806392213599894,3005/0.01852589641434263,2719/0.05180327868852459,44/0.027940878720388744,1210/0.02087952697708795,675/0.02119667292728736,1654/0.031020750366799413,934/0.06683480453972257,2003/0.02829907655644921,2658/0.0386286817962337,
