i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
0,doctorwho,0.2912973408541499,0.24174053182917002,0.4536663980660757,0.01329572925060435
1,thesimpsons,0.2874031797798614,0.25112107623318386,0.45128414186710153,0.010191602119853241
2,mylittleponyfriendshipismagic,0.2706732941708089,0.25576140985088114,0.45820153637596023,0.015363759602349751
3,buffythevampireslayer,0.2735943775100402,0.2615461847389558,0.4528112449799197,0.012048192771084338
4,futurama,0.2754641244355243,0.26091319618665326,0.4515805318615153,0.012042147516307075
5,familyguy,0.2708333333333333,0.29385964912280704,0.4232456140350877,0.01206140350877193
6,naruto,0.27485380116959063,0.2415204678362573,0.45380116959064326,0.02982456140350877
7,avatarthelastairbender,0.25632183908045975,0.2620689655172414,0.4632183908045977,0.01839080459770115
8,startrekthenextgeneration,0.2645198389879241,0.273720529039678,0.45313398504887864,0.008625646923519264
9,supernatural,0.26556016597510373,0.27385892116182575,0.4475400118553646,0.013040901007705987
10,southpark,0.25982905982905985,0.2849002849002849,0.445014245014245,0.010256410256410256
11,gameofthrones,0.2543352601156069,0.2825947334617855,0.4515093127809891,0.011560693641618497
12,bleach,0.2612732095490716,0.2486737400530504,0.4608753315649867,0.029177718832891247
13,startrekdeepspacenine,0.27009646302250806,0.26881028938906754,0.45401929260450163,0.00707395498392283
14,fullmetalalchemist,0.26450742240215924,0.25708502024291496,0.45479082321187586,0.023616734143049933
15,startrekvoyager,0.264426125554851,0.284717818642993,0.44324667089410275,0.007609384908053266
16,startrektheoriginalseries,0.24205061648280338,0.28163530175210905,0.46658014276443865,0.00973393900064893
17,stevenuniverse,0.26658163265306123,0.2627551020408163,0.45153061224489793,0.01913265306122449
18,angel,0.26283367556468173,0.2758384668035592,0.4483230663928816,0.013004791238877482
19,stargatesg1,0.266384778012685,0.25017618040873857,0.4785059901338971,0.004933051444679351
20,babylonfive,0.2696793002915452,0.260932944606414,0.45918367346938777,0.01020408163265306
21,neongenesisevangelion,0.26559060895084374,0.27953044754218637,0.43506969919295674,0.019809244314013204
22,deathnote,0.23671875,0.30703125,0.44140625,0.01484375
23,dragonballz,0.26264150943396225,0.24301886792452831,0.470188679245283,0.024150943396226414
24,phineasandferb,0.2177713037144938,0.3197378004369993,0.4471959213401311,0.01529497450837582
25,codegeass,0.2614785992217899,0.2723735408560311,0.4443579766536965,0.02178988326848249
26,firefly,0.24012158054711247,0.2986322188449848,0.45364741641337386,0.007598784194528876
27,sailormoon,0.2543527630582892,0.2785768357305072,0.4420893262679788,0.02498107494322483
28,teentitans,0.2383177570093458,0.2866043613707165,0.4602803738317757,0.014797507788161994
29,batmantheanimatedseries,0.2199528672427337,0.30479183032207385,0.46504320502749413,0.01021209740769835
30,negimamagisternegimagi,0.3027375201288245,0.23107890499194847,0.43800322061191627,0.02818035426731079
31,thelegendofkorra,0.2652388797364086,0.24629324546952225,0.47364085667215816,0.014827018121911038
32,mysterysciencetheater3000,0.22401847575057737,0.3279445727482679,0.43956889915319475,0.008468052347959968
33,yugioh,0.25222312045270817,0.28213419563459985,0.44381568310428454,0.021827000808407437
34,adventuretime,0.26121794871794873,0.27724358974358976,0.4479166666666667,0.013621794871794872
35,battlestargalactica2003,0.25459098497495825,0.2888146911519199,0.44991652754590983,0.00667779632721202
36,gravityfalls,0.21546052631578946,0.31743421052631576,0.453125,0.013980263157894737
37,saturdaynightlive,0.23979591836734693,0.3333333333333333,0.4175170068027211,0.00935374149659864
38,ncis,0.2446351931330472,0.3484978540772532,0.4034334763948498,0.0034334763948497852
39,thexfiles,0.2646331409727947,0.2967848309975268,0.43033800494641383,0.008244023083264633
40,howimetyourmother,0.23529411764705882,0.38140417457305503,0.3738140417457306,0.009487666034155597
41,friends,0.23512195121951218,0.37853658536585366,0.37853658536585366,0.007804878048780488
42,ranmaonehalf,0.2517543859649123,0.2982456140350877,0.4236842105263158,0.02631578947368421
43,kingofthehill,0.2247585601404741,0.36435469710272167,0.4047410008779631,0.006145741878841089
44,kimpossible,0.2687188019966722,0.2853577371048253,0.43594009983361065,0.009983361064891847
45,justiceleague,0.25021570319240727,0.274374460742019,0.46505608283002586,0.010353753235547885
46,scrubs,0.21585482330468003,0.3667621776504298,0.4049665711556829,0.012416427889207259
47,reddwarf,0.2374784110535406,0.2910189982728843,0.46286701208981,0.008635578583765112
48,community,0.2163375224416517,0.37163375224416517,0.40484739676840215,0.00718132854578097
49,fairytail,0.2768670309653916,0.24408014571949,0.44808743169398907,0.030965391621129327
50,thefairlyoddparents,0.23108552631578946,0.2911184210526316,0.4629934210526316,0.014802631578947368
51,gargoyles,0.25678119349005424,0.2793851717902351,0.45569620253164556,0.0081374321880651
52,americandad,0.2592274678111588,0.3150214592274678,0.41974248927038627,0.006008583690987125
53,theventurebrothers,0.23618538324420676,0.3146167557932264,0.44385026737967914,0.0053475935828877
54,smallville,0.2594644506001847,0.2945521698984303,0.43490304709141275,0.0110803324099723
55,tengentoppagurrenlagann,0.2696737044145873,0.2562380038387716,0.44241842610364684,0.03166986564299424
56,lost,0.22013170272812793,0.3217309501411101,0.4524929444967074,0.005644402634054563
57,charmed1998,0.25951219512195123,0.29365853658536584,0.43609756097560975,0.010731707317073172
58,thepowerpuffgirls,0.21783088235294118,0.30330882352941174,0.4632352941176471,0.015625
59,criminalminds,0.24850299401197604,0.3313373253493014,0.41417165668662675,0.005988023952095809
60,thebigbangtheory,0.2528032619775739,0.35881753312945974,0.381243628950051,0.007135575942915392
61,bones,0.23874755381604695,0.3512720156555773,0.4050880626223092,0.004892367906066536
62,dannyphantom,0.23300970873786409,0.30194174757281556,0.44854368932038835,0.01650485436893204
63,house,0.21586345381526104,0.3714859437751004,0.40763052208835343,0.0050200803212851405
64,rugrats,0.19477911646586346,0.3704819277108434,0.42369477911646586,0.01104417670682731
65,berserk,0.2907801418439716,0.2127659574468085,0.47112462006079026,0.025329280648429583
66,stargateatlantis,0.23383084577114427,0.28258706467661693,0.4736318407960199,0.009950248756218905
67,souleater,0.25823045267489714,0.2623456790123457,0.448559670781893,0.030864197530864196
68,animaniacs,0.20655412115193644,0.34657398212512414,0.42800397219463754,0.018867924528301886
69,csi,0.24120603015075376,0.3437185929648241,0.41105527638190953,0.004020100502512563
70,totaldrama,0.21248741188318226,0.33131923464249746,0.44410876132930516,0.012084592145015106
71,rickandmorty,0.24448705656759348,0.3087248322147651,0.44007670182166825,0.006711409395973154
