Topic 1,Topic 2,Topic 3,Topic 4
475/0.003781275321040096,581/0.003965579123370654,20/0.002423604478145325,3010/0.04873039581777446
232/0.0036462297738600927,893/0.0038430225941715615,1576/0.002241671702305998,2446/0.04163554891710231
331/0.003523461094605544,914/0.003729220102772404,201/0.002241671702305998,361/0.032300224047796866
1202/0.003265646868170992,2907/0.0037204660649724683,43/0.002241671702305998,156/0.03211351755041075
302/0.0032410931323200824,324/0.003624171649173181,1112/0.0022091837066204037,1938/0.031179985063480208
1888/0.0031919856606182633,357/0.003545385308973764,1308/0.002196188508346166,680/0.030433159073935772
413/0.0031551550568418986,1898/0.0035278772333738936,125/0.00211821731870074,2341/0.022778192681105303
328/0.0031306013209909888,440/0.0035191231955739584,944/0.00211821731870074,1387/0.022404779686333084
106/0.0031306013209909888,2171/0.003510369157774023,948/0.002098724521289384,1046/0.022218073188946974
1637/0.0030078326417364402,112/0.0034753530065742824,702/0.002079231723878027,1918/0.02128454070201643
377/0.0029218945662582564,1041/0.003466598968774347,2425/0.002079231723878027,729/0.02128454070201643
2059/0.0029096176983328015,1547/0.0034315828175746064,590/0.002053241327329552,2845/0.020724421209858103
79/0.0028973408304073466,621/0.003352796477375189,1780/0.002040246129055314,384/0.020537714712471993
1121/0.0028850639624818917,318/0.003344042439575254,854/0.0020337485299181954,3026/0.020537714712471993
1704/0.002774572151152798,129/0.0033177803261754484,200/0.0019882653359583635,609/0.020537714712471993
2191/0.002774572151152798,756/0.003309026288375513,370/0.0019817677368212444,1884/0.020537714712471993
1210/0.002774572151152798,216/0.0032827641749757076,1361/0.0019752701376841257,2245/0.020164301717699777
1241/0.0027500184153018883,1727/0.0032740101371757724,2593/0.0019427821419985315,1463/0.019977595220313667
1436/0.0027377415473764334,323/0.0032302399481760964,1125/0.0019427821419985315,1280/0.019790888722927558
2365/0.0027254646794509785,1917/0.0032302399481760964,1037/0.0019102941463129373,2168/0.019604182225541448
39/0.0027131878115255236,98/0.003221485910376161,909/0.0019037965471758185,2584/0.019230769230769232
1198/0.002676357207749159,801/0.0032127318725762256,1568/0.0019037965471758185,2675/0.019044062733383122
1459/0.0026518034718982495,437/0.003195223796976355,522/0.0018648109523531056,1820/0.017737117251680357
2515/0.0026395266039727946,86/0.0031602076457766144,2281/0.0018648109523531056,639/0.01736370425690814
2722/0.0026395266039727946,16/0.003142699570176744,2431/0.0018583133532159867,2457/0.016616878267363706
592/0.002614972868121885,1248/0.003133945532376809,588/0.0018258253575303925,1169/0.016430171769977596
401/0.00260269600019643,220/0.003098929381177068,31/0.0018193277583932737,2362/0.01568334578043316
2267/0.0025658653964200652,514/0.003098929381177068,1384/0.0018193277583932737,2658/0.014936519790888723
445/0.002516757924718246,2190/0.0030814213055771976,2351/0.0018193277583932737,2551/0.014749813293502613
2203/0.002504481056792791,414/0.0030639132299773273,1668/0.0018128301592561548,234/0.014749813293502613
51/0.002504481056792791,254/0.0030639132299773273,1983/0.001806332560119036,2719/0.014749813293502613
1217/0.002504481056792791,653/0.0030551591921773916,1667/0.0017998349609819172,2828/0.014376400298730396
2513/0.0024799273209418814,972/0.0030464051543774564,1107/0.0017933373618447984,1611/0.014376400298730396
1262/0.0024676504530164265,1019/0.0030464051543774564,109/0.0017868397627076795,474/0.014376400298730396
155/0.0024553735850909716,2435/0.0030376511165775212,1048/0.001773844564433442,2084/0.01362957430918596
1279/0.0024430967171655167,23/0.0030376511165775212,446/0.001773844564433442,530/0.01362957430918596
225/0.0024430967171655167,4/0.003020143040977651,1199/0.001767346965296323,1348/0.01194921583271098
1425/0.002430819849240062,210/0.003020143040977651,1848/0.0017608493661592042,381/0.01194921583271098
2434/0.002430819849240062,2213/0.0030113890031777156,463/0.0017608493661592042,2902/0.01176250933532487
111/0.002430819849240062,2516/0.0030113890031777156,60/0.0017608493661592042,2188/0.011389096340552652
644/0.002418542981314607,221/0.0030026349653777804,404/0.0017608493661592042,2300/0.011202389843166542
1272/0.002418542981314607,1493/0.00298512688977791,2476/0.0017543517670220853,970/0.011202389843166542
919/0.002418542981314607,1392/0.00298512688977791,1443/0.0017543517670220853,674/0.011202389843166542
67/0.002418542981314607,721/0.002976372851977975,1126/0.0017543517670220853,1247/0.011015683345780434
1256/0.002406266113389152,1189/0.0029501107385781693,90/0.0017543517670220853,2276/0.010828976848394324
937/0.002393989245463697,487/0.002932602662978299,566/0.0017478541678849664,3024/0.010455563853622106
2575/0.002393989245463697,1411/0.0029238486251783637,2960/0.0017413565687478478,2993/0.010268857356235997
1689/0.002393989245463697,802/0.0029063405495784933,805/0.0017413565687478478,1828/0.010082150858849889
144/0.0023694355096127878,1014/0.0029063405495784933,1170/0.0017348589696107289,934/0.009895444361463779
2054/0.002357158641687333,6/0.0029063405495784933,637/0.00172836137047361,2743/0.009708737864077669
904/0.002357158641687333,892/0.0028888324739786224,2796/0.0017218637713364911,2995/0.008961911874533234
916/0.002344881773761878,1003/0.002871324398378752,281/0.0017218637713364911,1735/0.008215085884988798
1404/0.002332604905836423,1636/0.0028538163227788817,772/0.0017218637713364911,2223/0.008215085884988798
2747/0.002320328037910968,2349/0.0028450622849789465,184/0.0017023709739251347,1444/0.0076549663928304704
2532/0.0023080511699855133,1295/0.0028363082471790113,2534/0.0017023709739251347,2632/0.0074682598954443615
2725/0.0022834974341346035,2623/0.0028363082471790113,536/0.0016958733747880158,1399/0.007281553398058253
558/0.0022712205662091486,1097/0.0028363082471790113,1640/0.0016958733747880158,2669/0.007094846900672144
1438/0.0022712205662091486,2037/0.002827554209379076,517/0.001689375775650897,887/0.00597460791635549
1375/0.0022712205662091486,342/0.002827554209379076,326/0.001689375775650897,461/0.004294249439880508
2535/0.0022589436982836937,159/0.002827554209379076,72/0.001682878176513778,1453/0.004107542942494399
524/0.002246666830358239,512/0.002818800171579141,1524/0.0016763805773766594,1468/0.004107542942494399
2110/0.0022343899624327843,264/0.002818800171579141,623/0.0016763805773766594,378/0.0033607169529499626
110/0.0022343899624327843,1258/0.002818800171579141,1407/0.0016633853791024216,1663/0.0028005974607916355
1646/0.0022343899624327843,598/0.0028100461337792057,73/0.0016633853791024216,259/0.0028005974607916355
100/0.0022343899624327843,695/0.0027925380581793353,883/0.0016633853791024216,1533/0.0024271844660194173
256/0.0022221130945073294,1877/0.0027837840203794,696/0.001650390180828184,717/0.0014936519790888724
1427/0.0022221130945073294,556/0.0027837840203794,398/0.0016438925816910652,2946/0.0003734129947722181
169/0.0022221130945073294,1080/0.0027837840203794,2573/0.0016373949825539463,
255/0.0022098362265818745,36/0.002775029982579465,319/0.0016308973834168274,
2692/0.0021975593586564196,160/0.002731259793579789,819/0.0016308973834168274,
1133/0.00217300562280551,1487/0.002731259793579789,489/0.0016308973834168274,
1560/0.0021484518869546,2123/0.0027225057557798533,1/0.0016243997842797086,
1009/0.0021484518869546,984/0.002713751717979918,1026/0.0016243997842797086,
2548/0.0021238981511036903,396/0.002713751717979918,435/0.0016243997842797086,
1296/0.0021238981511036903,488/0.0026962436423800477,2758/0.0016243997842797086,
744/0.0021116212831782354,2227/0.0026962436423800477,2652/0.0016243997842797086,
860/0.002099344415252781,1718/0.0026962436423800477,1301/0.00161790218514259,
2800/0.002099344415252781,490/0.0026874896045801125,1999/0.001611404586005471,
2893/0.002099344415252781,2525/0.002661227491180307,1577/0.0015984093877312333,
303/0.002099344415252781,114/0.0026524734533803717,372/0.0015984093877312333,
908/0.002087067547327326,77/0.0026349653777805013,2162/0.0015984093877312333,
258/0.002087067547327326,551/0.0026349653777805013,80/0.0015919117885941144,
1274/0.002087067547327326,1332/0.002626211339980566,715/0.0015919117885941144,
1531/0.002062513811476416,1788/0.002617457302180631,269/0.0015854141894569957,
406/0.002062513811476416,1500/0.0026087032643806957,927/0.0015854141894569957,
1036/0.0020502369435509613,870/0.0026087032643806957,279/0.001572418991182758,
2383/0.0020256832077000515,1063/0.0025999492265807605,1582/0.001565921392045639,
63/0.0020134063397745966,195/0.0025911951887808253,1329/0.0015529261937714015,
161/0.0020134063397745966,952/0.0025911951887808253,562/0.0015464285946342827,
1405/0.0020011294718491417,70/0.00258244115098089,2015/0.0015464285946342827,
1747/0.0020011294718491417,1047/0.00258244115098089,966/0.0015399309954971638,
296/0.001988852603923687,1816/0.002573687113180955,499/0.0015399309954971638,
2284/0.001988852603923687,749/0.002573687113180955,1513/0.0015334333963600449,
1930/0.001988852603923687,757/0.002573687113180955,13/0.0015334333963600449,
762/0.001976575735998232,69/0.0025649330753810193,2219/0.0015139405989486885,
226/0.001976575735998232,2118/0.002556179037581084,3021/0.0015139405989486885,
1273/0.0019642988680727775,694/0.002547424999781149,2039/0.0015139405989486885,
1078/0.0019520220001473223,1033/0.0025386709619812137,10/0.0015139405989486885,
1729/0.0019520220001473223,1723/0.0025299169241812785,113/0.0015139405989486885,
2430/0.0019520220001473223,544/0.0025299169241812785,2342/0.0015139405989486885,
675/0.0019397451322218675,360/0.0025211628863813433,1509/0.0015139405989486885,
2263/0.0019397451322218675,2866/0.002503654810781473,2258/0.0015139405989486885,
2590/0.0019397451322218675,1113/0.0024949007729815377,1569/0.0015139405989486885,
308/0.0019397451322218675,1267/0.0024773926973816673,2599/0.0015074429998115696,
2768/0.0019274682642964128,722/0.002468638659581732,532/0.0015074429998115696,
1303/0.0019274682642964128,241/0.002468638659581732,166/0.0015009454006744507,
1458/0.001902914528445503,946/0.002468638659581732,681/0.001494447801537332,
1732/0.001902914528445503,1968/0.002468638659581732,449/0.001494447801537332,
1666/0.001902914528445503,700/0.0024423765461819265,1168/0.001494447801537332,
2840/0.001902914528445503,2918/0.0024423765461819265,1165/0.001494447801537332,
2360/0.001902914528445503,507/0.0024423765461819265,2540/0.0014879502024002132,
1316/0.001890637660520048,1353/0.002424868470582056,71/0.0014879502024002132,
785/0.001890637660520048,1905/0.002424868470582056,678/0.0014879502024002132,
873/0.001890637660520048,2024/0.002424868470582056,462/0.0014879502024002132,
2750/0.001890637660520048,1243/0.002416114432782121,1490/0.0014814526032630943,
1205/0.001890637660520048,9/0.002389852319382315,2588/0.0014814526032630943,
931/0.0018783607925945932,369/0.0023810982815823797,2178/0.0014814526032630943,
2175/0.0018783607925945932,68/0.0023723442437824445,541/0.0014749550041259754,
2307/0.0018783607925945932,1643/0.0023635902059825093,147/0.0014749550041259754,
2512/0.0018660839246691385,915/0.0023635902059825093,519/0.0014684574049888565,
1949/0.0018660839246691385,604/0.0023635902059825093,1079/0.0014684574049888565,
2614/0.0018538070567436836,1676/0.002354836168182574,362/0.0014684574049888565,
885/0.0018538070567436836,799/0.0023285740547827685,99/0.0014684574049888565,
307/0.0018538070567436836,815/0.0023198200169828333,2985/0.0014619598058517379,
1695/0.0018538070567436836,2112/0.0023198200169828333,583/0.001455462206714619,
2804/0.0018415301888182287,760/0.002311065979182898,102/0.0014489646075775,
857/0.0018415301888182287,922/0.002311065979182898,235/0.0014489646075775,
793/0.0018415301888182287,1212/0.002311065979182898,2255/0.0014489646075775,
615/0.0018292533208927738,1813/0.0022935579035830277,1872/0.0014424670084403812,
1134/0.0018292533208927738,1488/0.0022935579035830277,668/0.0014359694093032623,
1467/0.0018292533208927738,257/0.0022848038657830925,2858/0.0014359694093032623,
1878/0.001816976452967319,579/0.0022848038657830925,1030/0.0014294718101661437,
1654/0.001816976452967319,851/0.0022848038657830925,322/0.0014294718101661437,
2332/0.001816976452967319,2522/0.002267295790183222,564/0.0014294718101661437,
19/0.001804699585041864,981/0.002258541752383287,2481/0.0014294718101661437,
2779/0.001804699585041864,2925/0.002258541752383287,1114/0.0014229742110290248,
2076/0.001804699585041864,1186/0.002232279638983481,2640/0.0014229742110290248,
2220/0.0017924227171164093,2216/0.002232279638983481,240/0.0014229742110290248,
2991/0.0017924227171164093,15/0.002232279638983481,960/0.0014229742110290248,
574/0.0017924227171164093,1880/0.0022147715633836105,242/0.0014229742110290248,
1150/0.0017801458491909544,1512/0.0022147715633836105,473/0.001416476611891906,
622/0.0017801458491909544,782/0.0022060175255836753,1129/0.001416476611891906,
1849/0.0017801458491909544,224/0.0022060175255836753,459/0.001416476611891906,
570/0.0017801458491909544,1570/0.0022060175255836753,373/0.001416476611891906,
2033/0.0017678689812654995,939/0.00219726348778374,339/0.001409979012754787,
663/0.0017678689812654995,117/0.00219726348778374,709/0.001409979012754787,
2361/0.0017678689812654995,154/0.002188509449983805,1782/0.0014034814136176684,
327/0.0017555921133400446,2200/0.0021797554121838697,2618/0.0014034814136176684,
1736/0.0017555921133400446,136/0.0021797554121838697,1752/0.0014034814136176684,
2485/0.0017555921133400446,1244/0.0021710013743839345,719/0.0014034814136176684,
481/0.0017555921133400446,2165/0.0021710013743839345,1320/0.0013969838144805495,
2581/0.0017555921133400446,458/0.0021710013743839345,565/0.0013969838144805495,
559/0.0017433152454145897,2320/0.0021710013743839345,1021/0.0013969838144805495,
1530/0.001731038377489135,982/0.0021710013743839345,753/0.0013969838144805495,
1501/0.0017187615095636802,214/0.0021622473365839993,1840/0.0013904862153434306,
1192/0.0017187615095636802,41/0.0021622473365839993,133/0.0013904862153434306,
2705/0.0017187615095636802,2046/0.0021622473365839993,194/0.0013904862153434306,
2630/0.0017064846416382253,552/0.002153493298784064,538/0.0013839886162063117,
1746/0.0017064846416382253,441/0.002144739260984129,367/0.0013839886162063117,
443/0.0017064846416382253,290/0.0021359852231841937,1310/0.0013839886162063117,
2862/0.0017064846416382253,2914/0.0021359852231841937,2139/0.0013839886162063117,
1408/0.0017064846416382253,1396/0.0021184771475843234,494/0.0013839886162063117,
1340/0.0016942077737127704,563/0.0021184771475843234,1869/0.0013839886162063117,
44/0.0016942077737127704,648/0.002109723109784388,1117/0.0013839886162063117,
1291/0.0016942077737127704,660/0.002109723109784388,1790/0.0013839886162063117,
1071/0.0016942077737127704,1771/0.0020922150341845178,2545/0.0013774910170691928,
2347/0.0016942077737127704,2222/0.0020922150341845178,2957/0.0013774910170691928,
