Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
914/0.01562573374031463,1041/0.025453602291885265,1547/0.010893115841385293,581/0.025783430489312843,1576/0.013862646432904394,72/0.02077659326122481,404/0.022128967721472662,413/0.028789568711062908,2446/0.12331891006899778,2123/0.040844309635600616,757/0.07536803925752081,1329/0.15708350894093565,501/0.16626102829327655
893/0.014451749236910073,396/0.016635031419106116,98/0.009803376908645689,112/0.02184066419360537,909/0.00850587057552192,1320/0.020180011931626593,390/0.020225925293385707,414/0.012712517176995458,2341/0.09244532803180915,1636/0.03087214858519965,700/0.07451461489225518,2750/0.1092781022337287,144/0.09765743839367204
20/0.01114698285982625,241/0.015479657160373021,324/0.009329019961453156,2907/0.019904610492845788,1125/0.007511419611898937,1075/0.02010219697559204,644/0.017322565691560737,802/0.012422896087650433,1763/0.04952637118465677,1014/0.0293139984210745,2177/0.07440793684659697,200/0.08971039797700042,336/0.09309400669303317
129/0.011029584409485794,1243/0.014784074698482688,801/0.009149533549001927,1019/0.01615968910086557,2015/0.007325788765355981,240/0.01761211838248645,373/0.017322565691560737,440/0.012071653489934126,1150/0.049234007718395506,1244/0.02428636722483068,2481/0.055312566673778533,2985/0.08778373171172256,2570/0.0724064496501369
1411/0.010313453862409016,1637/0.013970596904068568,621/0.008816201640163931,221/0.013446387564034623,43/0.00731915909226516,459/0.017145228646279147,372/0.017322565691560737,1003/0.011048736450970847,296/0.0490001169453865,2461/0.01957036606141189,272/0.036163857478131,1191/0.055331446805948585,1773/0.06784301794949803
948/0.00974994130077483,370/0.013664069039506725,2171/0.00867090311579865,2431/0.012209856915739269,449/0.0068086742642720285,2540/0.016808030503462766,2588/0.016688218215531753,159/0.01100560139511095,361/0.04566717343000819,1751/0.018240744588025097,2345/0.031149989332195434,1736/0.04738394846167741,1665/0.06038941283845452
1248/0.009626672927917352,1361/0.013605121373244834,1898/0.008316203776906936,1443/0.011679915209326973,1524/0.006351226821005456,1989/0.015926127668404535,1217/0.016078268719350038,210/0.010161386730424387,2245/0.0436206291661794,1269/0.017929114555200066,974/0.030936633240879027,1462/0.04238665783611295,515/0.0573471250380286
984/0.009297957266964077,79/0.013333962108440126,357/0.0081751787385524,2525/0.011227698286521816,1037/0.006258411397733978,60/0.015537052888231784,868/0.01566350306194647,490/0.010062792317030337,1869/0.04356215647292714,2368/0.017472057173723354,744/0.029603157670151484,1623/0.033716659642362576,1095/0.057042896257986
944/0.008869452923221414,335/0.013098171443392556,318/0.007965777924025965,487/0.010789613142554319,522/0.005873890358466424,532/0.015459237932197235,558/0.015565911142557396,488/0.009502036590851672,155/0.041223248742837094,2803/0.016994224456724976,1327/0.028109665030936634,1140/0.03112770184839545,1152/0.0533921508974749
125/0.00877553416294905,1117/0.012709116846064064,216/0.007760650595510276,160/0.010584702349408231,319/0.0057346672235592065,2329/0.014836718283920837,1562/0.015004757606070217,1392/0.009298685613226441,1995/0.03373874400654894,120/0.015041342917688121,2911/0.025389374866652444,2804/0.027635619242579325,2438/0.048372376026772135
