i_doc,doc,Topic 1,Topic 2
0,acertainmagicalindex,0.8264110756123536,0.17358892438764642
1,acertainscientificrailgun,0.8251028806584362,0.1748971193415638
2,achannel,0.72,0.28
3,adestructivegodsitsnexttome,0.9130434782608695,0.08695652173913043
4,aicoincarnation,0.7142857142857143,0.2857142857142857
5,akb0048,0.6788321167883211,0.32116788321167883
6,alittlesnowfairysugar,0.7471264367816092,0.25287356321839083
7,aplacefurtherthantheuniverse,0.8482142857142857,0.15178571428571427
8,apolarbearinlove,0.42857142857142855,0.5714285714285714
9,aria,0.7758620689655172,0.22413793103448276
10,asistersallyouneed,0.5555555555555556,0.4444444444444444
11,accelworld,0.8355263157894737,0.16447368421052633
12,aceattorney,0.8809523809523809,0.11904761904761904
13,actionheroinecheerfruits,0.813953488372093,0.18604651162790697
14,activeraid,0.7631578947368421,0.23684210526315788
15,adachiandshimamura,0.8615384615384616,0.13846153846153847
16,aestheticaofaroguehero,0.8157894736842105,0.18421052631578946
17,afrosamurai,0.8401639344262295,0.1598360655737705
18,aftertherain2014,0.4,0.6
19,afterwargundamx,0.7515527950310559,0.2484472049689441
20,agathachristiesgreatdetectivespoirotandmarple,0.8148148148148148,0.18518518518518517
21,agentaika,0.8015873015873016,0.1984126984126984
22,aggretsuko,0.8552631578947368,0.14473684210526316
23,ahmybuddha,0.8867924528301887,0.11320754716981132
24,ahmygoddess,0.861236802413273,0.138763197586727
25,ahogirl,0.8421052631578947,0.15789473684210525
26,aiyoriaoshi,0.8870292887029289,0.11297071129707113
27,aikatsu,0.8016528925619835,0.19834710743801653
28,aikatsustars,0.8780487804878049,0.12195121951219512
29,aimfortheace,0.8333333333333334,0.16666666666666666
30,airgear,0.8556962025316456,0.14430379746835442
31,airmaster,0.8461538461538461,0.15384615384615385
32,aishiteruzebaby,0.896551724137931,0.10344827586206896
33,aiura,0.3333333333333333,0.6666666666666666
34,akagi,0.8113207547169812,0.18867924528301888
35,akahorigedouhourlovege,0.8260869565217391,0.17391304347826086
36,akamegakill,0.8121827411167513,0.18781725888324874
37,akazukinchacha,0.8242424242424242,0.17575757575757575
38,akikan,0.8666666666666667,0.13333333333333333
39,akudaisakusensrungle,0.631578947368421,0.3684210526315789
40,akumanoriddle,0.8461538461538461,0.15384615384615385
41,albegas,0.4,0.6
42,alderaminonthesky,0.5,0.5
43,aldnoahzero,0.6983695652173914,0.3016304347826087
44,allpurposeculturalcatgirlnukunuku,0.8165137614678899,0.1834862385321101
45,allisonandlillia,0.8111111111111111,0.18888888888888888
46,alpsstoriesmyannette,0.8928571428571429,0.10714285714285714
47,amagibrilliantpark,0.8249027237354085,0.17509727626459143
48,amatsuki,0.8387096774193549,0.16129032258064516
49,andyetthetownmoves,0.5806451612903226,0.41935483870967744
50,andersenmonogatari,0.7058823529411765,0.29411764705882354
51,androidannouncermaico2010,0.75,0.25
52,andromedastories,0.3333333333333333,0.6666666666666666
53,angevierge,0.7058823529411765,0.29411764705882354
54,angelbeats,0.8658227848101265,0.1341772151898734
55,angelcop,0.8045977011494253,0.19540229885057472
56,angelheart,0.7560975609756098,0.24390243902439024
57,angellinks,0.6964285714285714,0.30357142857142855
58,angelsanctuary,0.8214285714285714,0.17857142857142858
59,angeltales,0.6666666666666666,0.3333333333333333
60,angeliclayer,0.8385093167701864,0.16149068322981366
61,animaldetectiveskiruminzoo,0.8148148148148148,0.18518518518518517
62,animalyokocho,0.7692307692307693,0.23076923076923078
63,animegataris,0.8717948717948718,0.1282051282051282
64,annehappy,0.5789473684210527,0.42105263157894735
65,anohanatheflowerwesawthatday,0.8698630136986302,0.13013698630136986
66,aoharuxmachinegun,0.8387096774193549,0.16129032258064516
67,aquarionevol,0.8602620087336245,0.13973799126637554
68,arabiannightsadventuresofsinbad,0.875,0.125
69,arakawaunderthebridge,0.825,0.175
70,argentosoma,0.7142857142857143,0.2857142857142857
71,ariathescarletammo,0.8333333333333334,0.16666666666666666
72,armitageiii,0.75,0.25
73,armoredtroopervotoms,0.6923076923076923,0.3076923076923077
74,asmissbeelzebublikes,0.625,0.375
75,ashitanonadja,0.912751677852349,0.087248322147651
76,askdrrin,0.7209302325581395,0.27906976744186046
77,asobiasobase,0.6666666666666666,0.3333333333333333
78,assassinationclassroom,0.8574423480083857,0.14255765199161424
79,assaultlilybouquet,0.7352941176470589,0.2647058823529412
80,astroboy,0.8010471204188482,0.19895287958115182
81,asuracryin,0.7380952380952381,0.2619047619047619
82,atomthebeginning,0.7619047619047619,0.23809523809523808
83,attacknumberone,0.8333333333333334,0.16666666666666666
84,attackontitan,0.8157327586206896,0.18426724137931033
