Topic 1,Topic 2
413/0.004950070193097237,1329/0.013973766382620899
581/0.003866182819908352,2446/0.01129577359177749
112/0.003274971525441687,2123/0.010529867653596276
2907/0.0029846634704526792,2750/0.009721113830761567
914/0.0028204381108786055,2341/0.008467813204646853
1547/0.0027007125261568616,200/0.007980418516713352
893/0.0026085344211056074,1636/0.007958994574386606
98/0.002430535321696289,2985/0.007809026978099375
1019/0.002423118692554234,757/0.007568007626923469
324/0.002312928773872275,1014/0.007557295655760095
1041/0.0022875003310995155,700/0.007482311857616479
801/0.0022684289990199456,2177/0.007471599886453106
1576/0.002215453076576696,1244/0.006261147144991886
414/0.002185786560008476,501/0.005854092240783688
621/0.002185786560008476,2481/0.005554157048209226
2171/0.0021497629327470666,2461/0.005045338417948979
802/0.0021359891929118215,1191/0.004922150749570182
440/0.002075596641326517,404/0.004857878922589941
1898/0.0020618229014912723,1751/0.004702555340721023
357/0.0020268587926787276,1269/0.00462221555699572
221/0.0020162636081900776,1763/0.004536519787688731
20/0.0020120255343946177,1150/0.004509739859780298
129/0.0019908351654173177,2368/0.004504383874198611
318/0.001974942388684343,296/0.00448831591745355
216/0.0019240855031388234,390/0.0044401120472183685
437/0.0019134903186501734,2803/0.004381196205819814
1003/0.0018997165788149286,72/0.004290144450931138
159/0.0018922999496728736,1736/0.004215160652787523
16/0.0018742881360421688,361/0.0041830247392974015
86/0.001864752470002384,1320/0.004166956782552341
1411/0.0018615739146557889,1075/0.004150888825807281
2431/0.0018308478796387041,2245/0.003995565243938363
756/0.0017651577358090747,1869/0.003990209258356676
323/0.0017630386989113448,120/0.003877733561141253
948/0.0017598601435647497,373/0.003802749762997638
1917/0.001754562551320425,644/0.003802749762997638
1443/0.00175138399597383,372/0.003802749762997638
210/0.00174714592217837,155/0.003775969835089204
254/0.001743967366831775,1462/0.003770613849507517
1248/0.001737610256138585,2588/0.0036634941378737807
490/0.00173019362699653,824/0.003658138152292094
2516/0.0017280745900988001,240/0.003636714209965347
972/0.0016984080735305803,272/0.00363135822438366
1727/0.0016888724074907953,908/0.003626002238801973
2525/0.0016835748152464706,657/0.0035831543541484786
984/0.0016782772230021455,2926/0.003567086397403418
514/0.0016729796307578205,459/0.003540306469494984
854/0.0016634439647180356,1217/0.0035295944983316104
2435/0.0016570868540248457,2540/0.0034706786569330557
488/0.001633777448149816,144/0.0034385427434429345
109/0.001633777448149816,868/0.0034385427434429345
588/0.001629539374354356,558/0.0034171188011161875
1771/0.001625301300558896,2506/0.00339569485878944
487/0.001617884671416841,963/0.0032939311327373905
952/0.0016147061160702461,1562/0.0032939311327373905
598/0.001608349005377056,1989/0.003288575147155704
1718/0.0016072894869281912,658/0.003283219161574017
944/0.0016009323762350013,336/0.0032778631759923303
1392/0.0015988133393372713,60/0.0032082353634304015
160/0.0015871586363997562,2783/0.003202879377848715
125/0.0015839800810531614,532/0.0031921674066853413
2118/0.0015691468227690515,2345/0.0031278955797050994
2024/0.0015638492305247264,974/0.0031064716373783523
2623/0.0015638492305247264,1995/0.0030904036806332917
1308/0.0015638492305247264,2348/0.003079691709469918
749/0.0015543135644849415,2329/0.003063623752724858
2190/0.0015511350091383467,2360/0.003063623752724858
1332/0.0015415993430985618,654/0.003058267767143171
1493/0.0015394803062008318,764/0.0030154198824896765
695/0.0015331231955076417,2693/0.0030047079113263027
1487/0.0015257065663655867,1623/0.002999351925744616
892/0.001510873308081477,744/0.002972571997836182
489/0.0014992186051439621,966/0.002967216012254495
2227/0.001496040049797367,1327/0.002822604401548951
396/0.001494980531348502,1036/0.002817248415967264
220/0.001490742457553042,1382/0.0028065364448038904
201/0.0014812067915132572,1942/0.0028065364448038904
1500/0.0014790877546155272,2185/0.0028011804592222036
1189/0.0014631949778825524,2077/0.0027851125024771434
1788/0.0014536593118427675,1729/0.0027797565168954565
328/0.0014494212380473076,564/0.0027744005313137697
590/0.0014388260535586575,1140/0.002769044545732083
1295/0.0014377665351097927,2747/0.002742264617823649
2213/0.0014367070166609276,226/0.002731552646660275
69/0.0014314094244166026,1280/0.0027261966610785883
3021/0.0014292903875188726,38/0.002651212862934973
2349/0.0014102190554393028,1247/0.0026244329350265387
637/0.001401742907848383,867/0.002592297021536418
241/0.001391147723359733,792/0.0025762290647913574
1080/0.001391147723359733,1702/0.002570873079209671
721/0.001379493020422218,1449/0.002565517093627984
653/0.001379493020422218,2570/0.0025494491368829235
1780/0.0013731359097290282,2911/0.0025494491368829235
909/0.0013593621698937833,2284/0.0025494491368829235
1097/0.0013583026514449182,869/0.0025440931513012366
1905/0.0013561836145471883,2409/0.0025280251945561764
1676/0.0013455884300585385,1071/0.002506601252229429
1047/0.0013445289116096734,663/0.002506601252229429
678/0.0013381718009164835,1397/0.0024905332954843684
2037/0.0013328742086721585,1302/0.002479821324320995
2960/0.0013328742086721585,2804/0.0024583973819942476
1243/0.0013286361348766986,2076/0.002442329425249187
1267/0.0013233385426323736,286/0.002442329425249187
2914/0.0013212195057346436,1918/0.0024316174540858137
556/0.0013191004688369137,975/0.00242090548292244
331/0.0013138028765925886,994/0.00242090548292244
722/0.001291552989166424,1938/0.00242090548292244
1877/0.001291552989166424,1540/0.002415549497340753
2796/0.0012904934707175589,1277/0.0023994815405956925
870/0.001280957804677774,1430/0.002394125555014006
1723/0.001280957804677774,1773/0.0023887695694323192
264/0.001271422138637989,2307/0.002361989641523885
3000/0.0012608269541493392,156/0.0023512776703605116
1112/0.0012555293619050142,119/0.002335209713615451
1637/0.0012555293619050142,985/0.002329853728033764
1241/0.0012512912881095543,640/0.002329853728033764
929/0.0012481127327629593,282/0.002329853728033764
2593/0.0012470532143140942,1395/0.0023244977424520773
23/0.0012311604375811194,149/0.0023191417568703904
2320/0.0012290414006833894,1542/0.0023137857712887035
2216/0.0012290414006833894,364/0.0022977178145436434
370/0.0012279818822345243,877/0.0022977178145436434
2425/0.0012237438084390644,755/0.0022816498577985828
2758/0.0012226842899901995,1613/0.0022816498577985828
1361/0.0012226842899901995,11/0.0022602259154718357
702/0.0012216247715413344,1611/0.002254869929890149
70/0.0012205652530924696,359/0.002244157958726775
2866/0.0012184462161947394,2653/0.002244157958726775
2304/0.0012152676608481446,785/0.002244157958726775
1125/0.0012004344025640346,919/0.0022388019731450883
79/0.0011983153656663047,570/0.0022280900019817146
41/0.0011951368103197096,576/0.0022280900019817146
512/0.0011887796996265197,2248/0.0022227340164000277
77/0.0011877201811776547,209/0.0022120220452366544
694/0.0011866606627287898,1315/0.0022120220452366544
15/0.0011845416258310598,84/0.0022013100740732807
1258/0.0011813630704844648,1435/0.0022013100740732807
2351/0.0011803035520356,1593/0.0022013100740732807
4/0.0011803035520356,1616/0.002179886131746533
335/0.0011771249966890049,655/0.00216917416058316
1199/0.001175005959791275,89/0.002163818175001473
1490/0.001172886922893545,2675/0.002158462189419786
2015/0.001170767885995815,1687/0.0021370382470930387
43/0.00116970836754695,2937/0.0021263262759296654
1667/0.00116970836754695,1665/0.0021263262759296654
195/0.001168648849098085,1163/0.0021156143047662917
1568/0.0011644107753026249,2737/0.0021156143047662917
1983/0.001160172701507165,2607/0.0020888343768578573
1668/0.0011591131830583,2630/0.002078122405694484
2165/0.001158053664609435,731/0.0020513424777860497
1117/0.0011421608878764602,2275/0.002040630506622676
1186/0.0011411013694275951,1685/0.0020352745210409895
3/0.0011411013694275951,1328/0.0020352745210409895
922/0.0011347442587344052,1501/0.002019206564295929
214/0.0011326252218366753,515/0.002019206564295929
799/0.0011305061849389453,1387/0.002019206564295929
2059/0.0011294466664900802,682/0.002019206564295929
232/0.0011283871480412154,1095/0.002008494593132555
2918/0.0011273276295923503,2061/0.002008494593132555
551/0.0011146134082059703,44/0.0020031386075508683
475/0.0011050777421661854,1022/0.0020031386075508683
2925/0.0011018991868195905,2141/0.0019977826219691815
1888/0.0011008396683707255,167/0.001992426636387495
898/0.0010997801499218606,1078/0.001992426636387495
398/0.0010987206314729955,1090/0.0019763586796424345
1799/0.0010987206314729955,1255/0.0019710026940607476
342/0.0010966015945752655,253/0.0019710026940607476
2281/0.0010955420761264005,378/0.0019656467084790607
2767/0.0010955420761264005,608/0.0019495787517340003
1704/0.0010934230392286705,172/0.0019495787517340003
281/0.0010913040023309405,2613/0.0019227988238255662
6/0.0010902444838820757,85/0.0019227988238255662
73/0.0010881254469843457,1134/0.0019174428382438794
449/0.0010881254469843457,480/0.0019120868526621927
1643/0.0010838873731888856,1021/0.0019067308670805058
1640/0.0010807088178422907,1863/0.0018853069247537586
2640/0.0010679945964559108,1152/0.0018799509391720717
604/0.001066935078007046,1460/0.0018638829824270114
883/0.0010648160411093157,317/0.0018638829824270114
681/0.0010584589304161258,1662/0.0018638829824270114
1048/0.0010563398935183959,2447/0.0018585269968453245
1880/0.0010552803750695308,1741/0.001842459040100264
224/0.0010552803750695308,2002/0.0018371030545185772
507/0.001054220856620666,1756/0.0018317470689368904
1713/0.001054220856620666,639/0.0018317470689368904
114/0.001047863745927476,75/0.0018263910833552035
2513/0.001043625672132016,1554/0.0018263910833552035
68/0.001042566153683151,2021/0.0018263910833552035
2219/0.001040447116785421,652/0.0018263910833552035
279/0.0010383280798876911,1390/0.0018263910833552035
689/0.001035149524541096,394/0.0018210350977735169
946/0.001031970969194501,1439/0.001783543198701709
473/0.001031970969194501,315/0.001783543198701709
99/0.0010309114507456362,1557/0.0017674752419566486
1113/0.0010256138585013111,2389/0.0017674752419566486
257/0.0010256138585013111,12/0.0017621192563749618
544/0.001024554340052446,1465/0.0017406953140482145
1524/0.0010150186740126613,2517/0.0017246273573031541
106/0.0010118401186660663,2569/0.0017246273573031541
1111/0.0010097210817683363,1516/0.0017192713717214673
302/0.0010012449341774163,859/0.0017139153861397804
1037/0.0010001854157285514,2376/0.0017085594005580938
1572/0.0010001854157285514,1498/0.001703203414976407
772/0.0009970068603819564,2438/0.001703203414976407
536/0.0009959473419330915,1749/0.00169784742939472
36/0.0009864116758933066,2168/0.0016924914438130332
1813/0.0009842926389955766,3002/0.0016924914438130332
760/0.0009832331205467115,818/0.0016871354582313465
67/0.0009821736020978464,2639/0.0016871354582313465
2599/0.0009821736020978464,912/0.0016817794726496596
2041/0.0009800545652001165,2824/0.0016764234870679728
660/0.0009800545652001165,810/0.0016764234870679728
58/0.0009789950467512516,2298/0.0016764234870679728
2108/0.0009779355283023865,1879/0.001671067501486286
305/0.0009779355283023865,1521/0.001671067501486286
1972/0.0009736974545069266,1250/0.0016657115159045993
463/0.0009715784176091966,2204/0.0016603555303229124
