i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
0,doctorwho,0.0961494645705172,0.005012531328320802,0.034062428799270905,0.25256322624743677,0.022100706311232628,0.021303258145363407,0.012303485987696514,0.02346776030986557,0.07849168375484165,0.03884711779448621,0.045910230120756436,0.008430166324903166,0.04021417179311916,0.012873091820460241,0.027682843472317156,0.0076327181590339485,0.02301207564365459,0.03474595579858738,0.03144224196855776,0.006721348826611985,0.01344269765322397,0.0035315561631351104,0.00580997949419002,0.009569377990430622,0.024948735475051265,0.009683299156983367,0.016290726817042606,0.022100706311232628,0.006607427660059239,0.008088402825244931,0.004784688995215311,0.002961950330371383,0.002734107997265892,0.00455684666210982,0.019936204146730464,0.015037593984962405,0.006493506493506494,0.000455684666210982
1,thesimpsons,0.052182277263436334,0.0021642419141517373,0.029337501502945774,0.3171816760851269,0.03066009378381628,0.013225922808705062,0.01058073824696405,0.006132018756763256,0.024407839365155705,0.01334615847060238,0.056270289767945174,0.022604304436695925,0.006973668390044487,0.004929662137790069,0.016592521341829987,0.0013225922808705061,0.038836118792833954,0.0073343753757364434,0.031020800769508236,0.015510400384754118,0.003727305518816881,0.002404713237946375,0.017073463989419262,0.008055789347120356,0.07214139713839125,0.001442827942767825,0.02416736804136107,0.0731032824335698,0.0634844294817843,0.009017674642298907,0.0030058915474329684,0.0007214139713839125,0.003366598533124925,0.003727305518816881,0.002404713237946375,0.008055789347120356,0.0025249488998436934,0.00096188529517855
2,mylittleponyfriendshipismagic,0.04480908804039129,0.002366677185231934,0.044966866519406755,0.2574944777532345,0.03250236667718523,0.0096244872199432,0.012622278321236984,0.018775639002840013,0.06390028400126223,0.015462290943515304,0.04622909435153045,0.0276112338277059,0.005680025244556642,0.009151151782896813,0.028557904701798673,0.003313348059324708,0.006784474597664879,0.014042284632376143,0.045282423477437675,0.016093404859577155,0.02082675923004102,0.006784474597664879,0.019564531397917324,0.009782265698958662,0.04796465762070053,0.017513411170716316,0.03439570842537078,0.012780056800252446,0.03408015146733986,0.006468917639633954,0.002682234143262859,0.003944461975386557,0.008520037866834964,0.01167560744714421,0.037551278005680026,0.004417797412432944,0.013253392237298833,0.0025244556642473968
3,buffythevampireslayer,0.11884776802747044,0.019648988935520792,0.0433040824112934,0.17512399847386495,0.02174742464708127,0.027851964898893553,0.012972148035101107,0.029950400610454026,0.09194963754292255,0.015833651278138114,0.057611598626478445,0.0019076688286913392,0.0019076688286913392,0.012972148035101107,0.034910339565051504,0.0038153376573826785,0.02575352918733308,0.027470431133155285,0.030331934376192294,0.00782144219763449,0.011255246089278902,0.0013353681800839375,0.020412056466997328,0.02060282334986646,0.03719954215948111,0.010110644792064097,0.009919877909194963,0.03662724151087371,0.0049599389545974815,0.016405951926745516,0.0007630675314765357,0.0024799694772987407,0.0047691720717283476,0.002861503243037009,0.036436474628004575,0.012209080503624571,0.009156810377718427,0.0007630675314765357
4,futurama,0.046645935139937804,0.0015548645046645935,0.027765437583296314,0.2816525988449578,0.03398489560195469,0.015104398045313194,0.01288316303864949,0.01776988005330964,0.03442914260328743,0.051088405153265216,0.06286095068858286,0.02221235006663705,0.037760995113282986,0.0059973345179920035,0.018880497556641493,0.004886717014660151,0.016215015548645045,0.029098178587294535,0.03820524211461573,0.016437139049311416,0.003553976010661928,0.0006663705019991116,0.009551310528653932,0.00866281652598845,0.05508662816525989,0.005553087516659262,0.020435362061306087,0.049089293647267884,0.032652154597956465,0.010661928031985785,0.0037760995113282985,0.000444247001332741,0.005553087516659262,0.0028876055086628164,0.0053309640159928924,0.006441581519324745,0.0033318525099955577,0.000888494002665482
5,familyguy,0.04783436458829129,0.0014278914802475012,0.03212755830556878,0.2686815801999048,0.04140885292717753,0.0188005711565921,0.014040932889100428,0.007615421227986673,0.015706806282722512,0.008567348881485007,0.06901475487862922,0.02641599238457877,0.005235602094240838,0.0016658733936220848,0.01213707758210376,0.0007139457401237506,0.03450737743931461,0.008567348881485007,0.03046168491194669,0.020704426463588766,0.0007139457401237506,0.0014278914802475012,0.015230842455973346,0.011185149928605425,0.0809138505473584,0.0019038553069966682,0.02284626368396002,0.09781056639695383,0.06282722513089005,0.017848643503093765,0.0016658733936220848,0.0,0.0028557829604950024,0.003569728700618753,0.0011899095668729176,0.008329366968110423,0.003093764873869586,0.0009519276534983341
6,naruto,0.122636815920398,0.0017412935323383085,0.06592039800995025,0.10522388059701493,0.02437810945273632,0.003482587064676617,0.011940298507462687,0.020398009950248756,0.1482587064676617,0.010696517412935324,0.030845771144278607,0.002736318407960199,0.004975124378109453,0.010945273631840797,0.034328358208955224,0.009203980099502488,0.007213930348258706,0.009701492537313432,0.03383084577114428,0.0057213930348258705,0.022388059701492536,0.003233830845771144,0.017661691542288558,0.018159203980099504,0.006716417910447761,0.033582089552238806,0.04203980099502488,0.005970149253731343,0.0012437810945273632,0.010945273631840797,0.00472636815920398,0.0017412935323383085,0.0037313432835820895,0.03333333333333333,0.04701492537313433,0.0014925373134328358,0.08159203980099503,0.0002487562189054726
7,avatarthelastairbender,0.0836245631552671,0.00024962556165751375,0.06215676485272092,0.18122815776335496,0.02471293060409386,0.011233150274588119,0.010733899151273091,0.010234648027958064,0.11982026959560658,0.006240639041437843,0.044433349975037444,0.006490264603095357,0.009485771342985522,0.014478282576135796,0.03944083874188717,0.012481278082875686,0.004243634548177734,0.00798801797304044,0.03070394408387419,0.004243634548177734,0.05067398901647529,0.0012481278082875687,0.01797304043934099,0.008736894658012981,0.019221168247628557,0.025961058412381426,0.03220169745381927,0.00998502246630055,0.00998502246630055,0.006240639041437843,0.006240639041437843,0.000998502246630055,0.013979031452820768,0.011482775836245632,0.05142286570144783,0.011482775836245632,0.03669495756365452,0.0012481278082875687
8,startrekthenextgeneration,0.08548553719008264,0.00025826446280991736,0.032283057851239666,0.1872417355371901,0.01962809917355372,0.03331611570247934,0.01859504132231405,0.02453512396694215,0.061466942148760334,0.058884297520661155,0.05242768595041322,0.002066115702479339,0.07980371900826447,0.0030991735537190084,0.030475206611570247,0.014462809917355372,0.019886363636363636,0.0565599173553719,0.0253099173553719,0.0038739669421487604,0.011363636363636364,0.01962809917355372,0.0023243801652892563,0.00878099173553719,0.02246900826446281,0.0046487603305785125,0.010072314049586776,0.01859504132231405,0.010072314049586776,0.003615702479338843,0.007747933884297521,0.013946280991735538,0.0046487603305785125,0.002066115702479339,0.009297520661157025,0.013171487603305785,0.005165289256198347,0.022727272727272728
9,supernatural,0.14780119698152486,0.0234192037470726,0.045797553994275306,0.1686182669789227,0.015352589123080927,0.028363257871454592,0.012750455373406194,0.04033307311995837,0.08691126723913609,0.013010668748373666,0.0507416081186573,0.0052042674993494666,0.0018214936247723133,0.008326827998959146,0.0351288056206089,0.004163413999479573,0.04241478011969815,0.04007285974499089,0.0234192037470726,0.0059849076242518865,0.013531095498308613,0.0018214936247723133,0.009107468123861567,0.011449388498568826,0.0273224043715847,0.0075461878740567265,0.008066614623991674,0.027062190996617226,0.004163413999479573,0.011449388498568826,0.0005204267499349467,0.0026021337496747333,0.00312256049960968,0.00312256049960968,0.04267499349466563,0.015092375748113453,0.00858704137392662,0.00312256049960968
