Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
expositoryhairstylechange/0.002932252224687014,hunterofmonsters/0.02059202059202059,evolvingcredits/0.006217358865953743,oddnameout/0.0014464738911462648,thecameo/0.010594245764990589,americanseries/0.016487962775642323,adayinthelimelight/0.01906260930395243,superspeed/0.01301720130172013,notsostoic/0.0031119524908586396,setrightwhatoncewentwrong/0.008776950963556573,absenteeactor/0.005827074000471555,westernanimation/0.02280178837555887,acepilot/0.006672226855713094,secretidentity/0.013520117282945105,monsteroftheweek/0.010511911426261119,mauveshirt/0.022093813732154997,marriedtothejob/0.00542601554480129,fantasticdrug/0.007633587786259542,attackofthe50footwhatever/0.006558265582655827,slapstickknowsnogender/0.015667466027178258,boyishshorthair/0.012174875484228001,lampshadehanging/0.014635184003403532,precociouscrush/0.011318835050235279,beachepisode/0.015328467153284672,thejoyofx/0.0054791932360304186,callingyourattacks/0.011168943829971807,artshift/0.01139994191112402,seinfeldianconversation/0.004154150955454719,scoutout/0.005353206675763619,betacouple/0.0171990171990172,wavemotiongun/0.02119164619164619,bigbad/0.017848659653885306,wordofgod/0.0372168284789644,anime/0.01595489443378119,charlesatlassuperpower/0.009324997350853025,clearmyname/0.01669009135628953,iamnotlefthanded/0.008684115305753226,shoutout/0.015892628887942052
posthumouscharacter/0.002702771615798465,vanhelsinghatecrimes/0.02059202059202059,onetruethreesome/0.005927215452209235,creatorworship/0.0011440293502702277,ruleoffunny/0.007905350900779779,promotiontoopeningtitles/0.01375682783734574,bilingualbonus/0.014777894368660371,broughtdowntonormal/0.011157601115760111,badasscrew/0.0027488913669251316,humanpopsicle/0.00763213127265789,theteaser/0.005355518879046111,companycrossreferences/0.010581222056631893,unusualuserinterface/0.005421184320266889,evilerthanthou/0.012705652386382146,heroofanotherstory/0.00821048703116253,anazibyanyothername/0.02141400407885792,deadpersonimpersonation/0.005279366476022877,ascendtoahigherplaneofexistence/0.007175572519083969,animesque/0.006287262872628726,spoofaesop/0.01486810551558753,awesomemomentofcrowning/0.010237963475373547,runninggag/0.013529036375239311,parentalfavoritism/0.011318835050235279,meganekko/0.013990267639902677,womenarewiser/0.004912380142647962,merchandisedriven/0.008891780524831923,animationbump/0.011254719721173395,strawfeminist/0.004026330926056113,meatovision/0.0050383121654245825,friendsrentcontrol/0.016497016497016497,compilationmovie/0.018427518427518427,heelfaceturn/0.014387512724804886,ruleofcool/0.02330097087378641,gratuitousenglish/0.01067658349328215,deadlyupgrade/0.0062519868602310055,instantsedation/0.014406184118060435,worldsstrongestman/0.00711615004221445,ohcrap/0.011205794631444397
redshirt/0.002651775924934343,thetropewithoutatitle/0.016087516087516088,wholeepisodeflashback/0.005885766393102876,deliberatelymonochrome/0.001117729824976659,accidentalmisnaming/0.007421349825221833,andstarring/0.012846449524580214,homage/0.013553690101434068,powerperversionpotential/0.01092515109251511,glowingeyesofdoom/0.0025673608049583776,themultiverse/0.007155123068116772,thecastshowoff/0.005254471353026373,tertiarysexualcharacteristics/0.009388971684053652,thrownouttheairlock/0.005421184320266889,poweredarmor/0.012705652386382146,theleader/0.007339677800584686,numbertwo/0.020734194425560844,dirtycop/0.004839419269687638,hateplague/0.006717557251908397,comicbookadaptation/0.005636856368563686,hurricaneofpuns/0.014708233413269385,theempath/0.008854454897620365,exaggeratedtrope/0.01131674111891087,dumbblonde/0.010810123362584256,clingyjealousgirl/0.012165450121654502,sitcomarchnemesis/0.004817911293750886,howdoishotweb/0.00878334417696812,lawyerfriendlycameo/0.009802497821667151,kavorkaman/0.0037706908672588994,animatedsitcom/0.00440852314474651,informedattractiveness/0.01561951561951562,mechamooks/0.01812039312039312,darkerandedgier/0.01316593145571768,andtheadventurecontinues/0.022977346278317153,shonendemographic/0.010076775431861805,deusexitmachina/0.0062519868602310055,frameup/0.012297962052002811,fingerpokeofdoom/0.006995537329634543,foreshadowing/0.010907541542394546
fingore/0.002626278079502282,undeadchild/0.016087516087516088,crossovership/0.005719970156677443,theycopieditsoitsucks/0.0010256814864491696,theditz/0.007313794030653401,seriesofthe2010s/0.01213837750354036,intercontinuitycrossover/0.01329136061559986,demonicpossession/0.010344026034402603,badasslongcoat/0.0025154949301107337,earthshatteringkaboom/0.0066781148635756534,realliferelative/0.0049513287749671595,limitedanimation/0.007749627421758569,sciencefictionseries/0.0052821795941062,decompositecharacter/0.01189118748981919,mytharc/0.007090875163276731,interservicerivalry/0.01937457511896669,enhancebutton/0.004766094735298431,elseworld/0.006259541984732824,neversaydie/0.005474254742547426,birthdayepisode/0.01310951239008793,smugsmiler/0.008854454897620365,catchphrase/0.010891299723463093,thefriendswhoneverhang/0.009538344143456695,teacherstudentromance/0.01119221411192214,adamwesting/0.004298332624816967,allyourpowerscombined/0.008566471481240512,manofathousandvoices/0.00878594249201278,thebeard/0.003706780852559596,outofcontexteavesdropping/0.004093628634407474,adatewithrosiepalms/0.014391014391014392,colonydrop/0.017813267813267815,nicejobbreakingithero/0.012419409569053274,redherring/0.021035598705501618,namestoknowinanime/0.008637236084452975,smugsuper/0.0062519868602310055,literaryallusiontitle/0.012297962052002811,fantasyanimeandmanga/0.00651308647931492,meaningfulname/0.01048146570089476
backforthedead/0.002473291006909916,friendlyneighborhoodvampire/0.016087516087516088,signatureline/0.005471275802039294,nonsequiturthud/0.0010125317238023853,coolandunusualpunishment/0.007260016133369185,seriesofthe2000s/0.011430305482500507,storyarc/0.012591815320041973,urbanfantasy/0.0099953509995351,evilishammy/0.0025154949301107337,forgottenphlebotinum/0.006487311581759206,instrumentalthemetune/0.00410926605813601,xraysparks/0.007749627421758569,fasterthanlighttravel/0.0052821795941062,adaptationalearlyappearance/0.011076722593256231,villainwithgoodpublicity/0.006904273185295764,warishell/0.01937457511896669,rippedfromtheheadlines/0.004546121132130811,trustpassword/0.006259541984732824,evilsoundsdeep/0.005311653116531165,negativecontinuity/0.012310151878497202,longlived/0.008301051466519093,berserkbutton/0.010168049351201872,comicbooktime/0.009156810377718427,anguisheddeclarationoflove/0.010948905109489052,ashimself/0.004109394927022814,heroicrrod/0.008458035133376708,troperworks/0.007914609352309032,discriminateandswitch/0.003515050808461686,captivityharmonica/0.0035688044505090793,stupidsexyflanders/0.01368901368901369,midseasonupgrade/0.017506142506142505,curbstompbattle/0.011740753308449271,invertedtrope/0.020064724919093852,animeandmangaofthe2000s/0.008277351247600769,artifactofdoom/0.006040055102257073,blufftheimpostor/0.011595221363316937,arcfatigue/0.00591002291641539,jerkass/0.010268427780144865
bloodfromthemouth/0.002447793161477855,whoyougonnacall/0.016087516087516088,generationxerox/0.005056785210975711,takethataudience/0.0009467829105684642,beat/0.0072062382360849695,onceaseason/0.01102569289904916,castinggag/0.012154599510318293,masquerade/0.009646675964667596,bridalcarry/0.0025154949301107337,teleportation/0.006201106659034536,howwegothere/0.004075583549462764,bananapeel/0.007749627421758569,organictechnology/0.0050041701417848205,alieninvasion/0.010913829613943639,nothingisthesameanymore/0.006779871866641787,klingonpromotion/0.01937457511896669,californiadoubling/0.004546121132130811,coconutsuperpowers/0.006259541984732824,titlethemetune/0.005149051490514906,musicalepisode/0.011990407673860911,godsaveusfromthequeen/0.007470946319867183,playedforlaughs/0.010168049351201872,oppositesattract/0.008902454533892917,singletargetsexuality/0.010948905109489052,lastsecondwordswap/0.0037787539558830478,transformationsequence/0.008349598785512904,animationageghetto/0.007841998257333721,headtiltinglykinky/0.003515050808461686,babysittingepisode/0.0035688044505090793,depravedbisexual/0.013513513513513514,macrossmissilemassacre/0.01597051597051597,mythologygag/0.011333559552086868,youhaveoutlivedyourusefulness/0.019741100323624597,bishonen/0.00791746641074856,physicalgod/0.005722157465296174,diehardonanx/0.01106816584680253,camebackstrong/0.0056687974912555785,callback/0.010012782275244993
teamdad/0.0024222953160457942,transhumantreachery/0.014800514800514801,cargoship/0.005056785210975711,descendedcreator/0.0009467829105684642,invokedtrope/0.006991126646948105,lgbtpluscreators/0.009710702002832288,previouslyon/0.011979713186428822,grandtheftme/0.009530450953045095,evilcostumeswitch/0.0024895619926869118,cyborg/0.005914901736309865,thedanza/0.003873488497423288,talkinganimal/0.007749627421758569,humansarewhite/0.0050041701417848205,darthvaderclone/0.009284899820817722,evilgloating/0.006531069229333831,laresistance/0.01937457511896669,jurisdictionfriction/0.004472796597741605,humanityisinfectious/0.005954198473282443,humongousmecha/0.0050406504065040655,snapback/0.011510791366906475,achildshallleadthem/0.007470946319867183,expy/0.009870240374388429,towngirls/0.008648098690067404,iwasquitealooker/0.01070559610705596,fivefivefive/0.0037787539558830478,thiscannotbe/0.008349598785512904,fanficsof20102014/0.007769387162358408,acceptableethnictargets/0.0032594107496644723,yourtomcatispregnant/0.0034638396137294004,blackcomedyrape/0.013513513513513514,primarycolorchampion/0.015356265356265357,heroicsacrifice/0.010994231421784866,redeyestakewarning/0.019579288025889968,bonusmaterial/0.00791746641074856,anotherdimension/0.005616191586309208,masterofdisguise/0.01089248067463106,singlestrokebattle/0.005427572066095766,subvertedtrope/0.009970174691095015
guilehero/0.002371299625181672,monsterprogenitor/0.014157014157014158,intergenerationalfriendship/0.004808090856337561,nothyperbole/0.0009073336226281116,imaginespot/0.006829792955095456,realitysubtext/0.009508395711106616,creatorcameo/0.01180482686253935,youcantfightfate/0.009414225941422594,thememusicpowerup/0.0024895619926869118,noplansnoprototypenobackup/0.00553329517267697,itakeoffensetothatlastone/0.00377244097140355,fourfingeredhands/0.007749627421758569,weaponofmassdestruction/0.004726160689463442,adaptationnamechange/0.009284899820817722,midseasontwist/0.006468868570006842,thecaptain/0.018694765465669613,buriedalive/0.004252822994573985,youalreadychangedthepast/0.005648854961832061,voluntaryshapeshifting/0.0050406504065040655,madlibscatchphrase/0.011510791366906475,propheteyes/0.007194244604316547,continuitynod/0.009742607955754094,ijustwanttohavefriends/0.008139387002416381,victoriassecretcompartment/0.010462287104622872,overlynarrowsuperlative/0.0037787539558830478,superpoweredevilside/0.007915853394057688,fanficsof20152019/0.007696776067383096,nobisexuals/0.003195500734965169,helpimstuck/0.0034638396137294004,romanticfalselead/0.01281151281151281,rammingalwaysworks/0.015049140049140049,bigdamnheroes/0.010722768917543264,themenaming/0.019417475728155338,surprisinglygoodenglish/0.007677543186180422,wingedhumanoid/0.005616191586309208,destinationdefenestration/0.01089248067463106,strongandskilled/0.005186346640935955,chekhovsgun/0.00911802300809544
neverfoundthebody/0.002371299625181672,vegetarianvampire/0.014157014157014158,affectionatenickname/0.004725192738124845,cowboyepisode/0.0009073336226281116,myfriendsandzoidberg/0.006722237160527024,directedbycastmember/0.009002629981792434,handwave/0.011717383700594613,alwayschaoticevil/0.009181775918177593,mrexposition/0.0024895619926869118,youarenumbersix/0.00553329517267697,pacmanfever/0.0035703459193640744,westernanimationofthe1990s/0.007153502235469449,spacepirates/0.004726160689463442,unskilledbutstrong/0.009122006841505131,unspokenplanguarantee/0.006157865273371897,breakoutthemuseumpiece/0.018014955812372536,narroweditdowntotheguyirecognize/0.004106173925795572,kissmeimvirtual/0.0053435114503816794,aliensspeakingenglish/0.004986449864498645,valentinesdayepisode/0.011510791366906475,dontmakemedestroyyou/0.007194244604316547,buttmonkey/0.009572431397574984,whatdoessheseeinhim/0.008012209080503624,authoravatar/0.010097323600973237,orphanedpunchline/0.003542581833640357,dangerousforbiddentechnique/0.007482108002602472,twodvisualsthreedeffects/0.007406331687481847,mistakenforpedophile/0.0031315907202658657,playgroundsong/0.003253909940170043,onedialoguetwoconversations/0.012285012285012284,transformingmecha/0.013513513513513514,allthereinthemanual/0.009772650152697659,timeskip/0.017961165048543688,yougottahavebluehair/0.007197696737044146,supernaturalgoldeyes/0.005616191586309208,thebigboard/0.010716795502459592,nonchalantdodge/0.0050657339283560485,whamepisode/0.008947592671495527
taponthehead/0.002345801779749611,foodchainofevil/0.013513513513513514,hugeguytinygirl/0.004642294619912128,creatorsfavoriteepisode/0.0008941838599813274,geniusditz/0.006668459263242808,showrunner/0.008901476835929597,genderflip/0.011629940538649878,fantasykitchensink/0.008716875871687587,moredakka/0.0024117631804154455,proprecycling/0.005342491890860523,reallygetsaround/0.0035703459193640744,allanimalsaredogs/0.0067064083457526085,spaceopera/0.004726160689463442,bringit/0.009122006841505131,bloodlesscarnage/0.00603346395471792,everybodysdeaddave/0.016315431679129844,faircop/0.004032849391406365,someonehastodie/0.0053435114503816794,animatedadaptation/0.004932249322493225,acquiredsituationalnarcissism/0.010711430855315748,genocidebackfire/0.0063641394576646375,deadpansnarker/0.009232078281216763,savvyguyenergeticgirl/0.007757853236678112,accidentalpervert/0.009732360097323601,malaproper/0.003400878560294743,coolsword/0.006723053567555845,doityourselfthemetune/0.007043276212605286,theunfairsex/0.0029398606761679557,amateurfilmmakingplot/0.0030439802666106853,thecasanova/0.011758511758511758,superprototype/0.013513513513513514,tookalevelinbadass/0.009704784526637257,worthyopponent/0.01699029126213592,butnottooforeign/0.006957773512476007,superpowerlottery/0.005616191586309208,omniglot/0.010541110330288124,crosscounter/0.004945121215776143,bookends/0.008521516829995739
