Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
doctorwho,ededdneddy,berserk,stargateatlantis,elfenlied,strangerthings,beastwars,littlestpetshop2012,thefreshprinceofbelair,saintseiya,bones,theateam,sgtfrog
stevenuniverse,thepowerpuffgirls,attackontitan,startrekdiscovery,beinghumanuk,legendsoftomorrow,mightymorphinpowerrangers,ducktales1987,duckman,shamanking,whitecollar,castle,sayonarazetsubousensei
archer,thesmurfs,thelegendofkorra,babylonfive,mobilesuitgundamseed,gargoyles,gijoearealamericanhero,americandragonjakelong,drawntogether,toriko,daredevil2015,monk,azumangadaioh
thetwilightzone1959,gravityfalls,ranmaonehalf,dollhouse,robinhood,girlsundpanzer,kamenriderdouble,thelooneytunesshow,glee,assassinationclassroom,ncislosangeles,smallville,spartacusbloodandsand
bojackhorseman,kimpossible,justiceleague,terminatorthesarahconnorchronicles,startrekpicard,loisandclark,sheraandtheprincessesofpower,theflintstones,fatherted,acertainscientificrailgun,poirot,hogansheroes,majisukagakuen
americandad,totaldrama,fairytail,fringe,tengentoppagurrenlagann,nyarukocrawlingwithlove,megaman,thomasandfriends,qi,rosarioplusvampire,hannibal,torchwood,survivor
robotchicken,spongebobsquarepants,heroes,eureka,superdimensionfortressmacross,xmentheanimatedseries,ninjago,freakazoid,that70sshow,myhime,jag,lost,totallyspies
starvstheforcesofevil,readyjetgo,dragonball,battlestargalactica2003,robotech,blacklagoon,batmanthebraveandthebold,chowder,brooklynninenine,demonslayerkimetsunoyaiba,elementary,breakingbad,greatteacheronizuka
thetwilightzone1985,reddwarf,transformersprime,grimm,trigun,digimonfrontier,getterrobo,thegrimadventuresofbillyandmandy,thegoldengirls,thesevendeadlysins,csimiami,thexfiles,gintama
mash,regularshow,puellamagimadokamagica,startrektheoriginalseries,mazingerz,digimonadventure,teenagemutantninjaturtles1987,pinkyandthebrain,boymeetsworld,shakugannoshana,ncis,theboondocks,kaguyasamaloveiswar
angel,couragethecowardlydog,merlin2008,lostgirl,ghostintheshellstandalonecomplex,princesstutu,redwall,theadventuresofjimmyneutronboygenius,roseanne,sekirei,lawandorder,arrow,kon
adventuretime,thefairlyoddparents,dragonballz,misfits,trueblood,ultimatespiderman2012,witch,amphibia,greysanatomy,tsubasareservoirchronicle,orphanblack,getsmart,ouranhighschoolhostclub
mylittleponyfriendshipismagic,phineasandferb,jojosbizarreadventure,sliders,macrossfrontier,charmed1998,theowlhouse,darkwingduck,rugrats,boruto,csiny,thatmitchellandwebblook,excelsaga
familyguy,miraculousladybug,starwarstheclonewars,startrekenterprise,hellsing,ahmygoddess,dragonsridersofberk,horriblehistories,house,inuyasha,lawandordercriminalintent,thewalkingdead,luckystar
thesimpsons,kaeloo,youngjustice,primeval,castlevania2017,wonderwoman1975,swatkats,johnnybravo,thenanny,dgrayman,lawandorderspecialvictimsunit,leverage,sabrinatheteenagewitch
southpark,theamazingworldofgumball,durarara,theouterlimits1995,lucifer2016,fullmetalpanic,ben10ultimatealien,liloandstitchtheseries,recess,magicknightrayearth,thepretender,agentsofshield,fruitsbasket
supernatural,arthur,samuraijack,stargatesg1,mobilesuitgundamironbloodedorphans,supermantheanimatedseries,kamenriderooo,tinytoonadventures,cornergas,souleater,midsomermurders,missionimpossible,wizardsofwaverlyplace
buffythevampireslayer,futurama,caseclosed,stargateuniverse,mobilesuitgundam,thegoodplace,reboot,beetlejuice,lastweektonightwithjohnoliver,pandorahearts,thementalist,burnnotice,pantyandstockingwithgarterbelt
,heyarnold,onceuponatime,farscape,the100,supergirl2015,thedreamstone,houseofmouse,thebigbangtheory,tigerandbunny,thesopranos,blackadder,
,dannyphantom,dragonballsuper,startrekdeepspacenine,cowboybebop,theventurebrothers,kamenriderbuild,dexterslaboratory,downtonabbey,yuyuhakusho,criminalminds,thewire,
,,negimamagisternegimagi,andromeda,mobilesuitgundam00,xenawarriorprincess,powerrangersrpm,ducktales2017,happydays,blackclover,cobrakai,personofinterest,
,,haruhisuzumiya,startrekthenextgeneration,mobilesuitzetagundam,toloveru,mahousentaimagiranger,thebackyardigans,thecritic,acertainmagicalindex,lukecage2016,macgyver1985,
,,darkerthanblack,blakesseven,starwarsrebels,thespectacularspiderman,transformersanimated,thesmurfs1981,victorious,monstermusume,scandal,,
,,bleach,warehouse13,voltronlegendarydefender,ultimatespiderman,sonicthehedgehogsatam,codenamekidsnextdoor,community,swordartonline,dexter,,
,,gameofthrones,startrekvoyager,mobilesuitgundamseeddestiny,baccano,sonicx,adventuresofsonicthehedgehog,thesuitelifeofzackandcody,rurounikenshin,csi,,
,,hayatethecombatbutler,lexx,themandalorian,batmanbeyond,teenagemutantninjaturtles2003,bigcitygreens,scrubs,yugioharcv,sherlock,,
,,avatarthelastairbender,,teenwolf,prettycure,kungfupandalegendsofawesomeness,rickandmorty,theloudhouse,magilabyrinthofmagic,bettercallsaul,,
,,fistofthenorthstar,,thevampirediaries,monster,powerrangersinspace,animaniacs,er,hunterxhunter,rome,,
,,naruto,,mobilesuitgundamwing,theflash2014,samuraisentaishinkenger,talespin,twoandahalfmen,slayers,murdochmysteries,,
,,reborn2004,,magicalgirllyricalnanohastrikers,revolutionarygirlutena,thetransformers,teentitansgo,fullhouse,tokyoghoul,boardwalkempire,,
,,,,blackbutler,herculesthelegendaryjourneys,captainplanetandtheplaneteers,invaderzim,cheers,killlakill,chuck,,
,,,,crossange,arrowverse,teenagemutantninjaturtles2012,okkoletsbeheroes,parksandrecreation,fushigiyuugi,thedefenders2017,,
