i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
0,doctorwho,0.17464114832535885,0.03087263613579403,0.10207336523125997,0.25256322624743677,0.06744133059922533,0.08771929824561403,0.13727500569605833,0.02175894281157439,0.048986101617680564,0.006949191159717476,0.022670312143996355,0.04704944178628389
1,thesimpsons,0.07659011662859204,0.010220031261272093,0.11626788505470723,0.3171816760851269,0.06913550559095828,0.08236142839966334,0.03378622099314657,0.10159913430323433,0.011302152218347962,0.004088012504508838,0.03222315738848142,0.14524467957196105
2,mylittleponyfriendshipismagic,0.10870937204165351,0.029189018617860524,0.12369832754812243,0.2574944777532345,0.027295676869674976,0.12085831492584412,0.053960239823288104,0.0777847901546229,0.07746923319659199,0.013253392237298833,0.04954244241085516,0.06074471442095298
3,buffythevampireslayer,0.21079740557039298,0.035482640213658906,0.12266310568485311,0.17512399847386495,0.08222052651659671,0.08813429988553988,0.07516215185043876,0.014689049980923312,0.0686760778328882,0.004578405188859214,0.04864555513162915,0.07382678367035482
4,futurama,0.08107507774322523,0.013771657041314972,0.12461128387383386,0.2816525988449578,0.04842292314526877,0.0904042647712128,0.13571745890715237,0.07130164371390493,0.020213238560639717,0.0019991115059973343,0.02665482007996446,0.10417592181252777
5,familyguy,0.0635411708710138,0.004521656354117087,0.14255116611137553,0.2686815801999048,0.0794859590671109,0.0794859590671109,0.029985721085197526,0.1099476439790576,0.007853403141361256,0.002379819133745835,0.03284150404569253,0.17872441694431224
6,naruto,0.2708955223880597,0.03805970149253731,0.12114427860696518,0.10522388059701493,0.023134328358208955,0.12213930348258706,0.045771144278606964,0.009701492537313432,0.17313432835820897,0.0052238805970149255,0.07288557213930348,0.012686567164179104
7,avatarthelastairbender,0.2034448327508737,0.06964553170244633,0.13130304543185223,0.18122815776335496,0.03320019970044932,0.11308037943085372,0.03394907638542187,0.02071892161757364,0.12855716425361957,0.003494757863205192,0.05217174238642037,0.029206190713929107
8,startrekthenextgeneration,0.14695247933884298,0.03383264462809917,0.10433884297520661,0.1872417355371901,0.0699896694214876,0.08445247933884298,0.21978305785123967,0.016012396694214875,0.02221074380165289,0.05630165289256198,0.017820247933884297,0.04106404958677686
9,supernatural,0.23471246422066094,0.04163413999479573,0.11189175123601353,0.1686182669789227,0.09731980223783503,0.07936507936507936,0.09523809523809523,0.015352589123080927,0.06713505074160812,0.0075461878740567265,0.026801977621649754,0.05438459536820193
10,southpark,0.09048913043478261,0.008967391304347826,0.13858695652173914,0.26657608695652174,0.057880434782608695,0.10244565217391305,0.041304347826086954,0.08695652173913043,0.014130434782608696,0.0038043478260869567,0.042663043478260866,0.14619565217391303
11,gameofthrones,0.29108796296296297,0.06741898148148148,0.15393518518518517,0.15162037037037038,0.07928240740740741,0.08130787037037036,0.03616898148148148,0.0014467592592592592,0.05613425925925926,0.00318287037037037,0.030960648148148147,0.047453703703703706
12,bleach,0.2617534942820839,0.0295425667090216,0.12738246505717915,0.0860864040660737,0.01207115628970775,0.11912325285895807,0.05082592121982211,0.005717916137229987,0.2042566709021601,0.0038119440914866584,0.09021601016518424,0.009212198221092757
13,startrekdeepspacenine,0.19955156950672645,0.04932735426008968,0.1213965406790519,0.16335682254964767,0.09385009609224856,0.07431133888532991,0.21268417680973734,0.011531069827033953,0.01729660474055093,0.0012812299807815502,0.01569506726457399,0.03971812940422806
14,fullmetalalchemist,0.2892751721876025,0.04362085929813053,0.1197113807805838,0.09740898655296819,0.03115775664152181,0.11052804198097738,0.05313217448343719,0.00754345687110528,0.11020006559527715,0.05706789111183995,0.06723515906854706,0.013119055428009183
15,startrekvoyager,0.13272010512483573,0.02890932982917214,0.09986859395532194,0.18988173455978974,0.0752299605781866,0.0831143232588699,0.22568988173455978,0.011826544021024968,0.019053876478318004,0.07161629434954007,0.02102496714848883,0.04106438896189225
16,startrektheoriginalseries,0.15533333333333332,0.032,0.09933333333333333,0.19366666666666665,0.06266666666666666,0.089,0.22066666666666668,0.008666666666666666,0.021666666666666667,0.065,0.020666666666666667,0.03133333333333333
17,stevenuniverse,0.13509843856076034,0.031568228105906315,0.13374066530889342,0.21181262729124237,0.025458248472505093,0.12253903598099117,0.08757637474541752,0.054989816700611,0.09368635437881874,0.003054989816700611,0.05431093007467753,0.0461642905634759
18,angel,0.26180257510729615,0.04256080114449213,0.12195994277539342,0.1301859799713877,0.09728183118741059,0.08834048640915594,0.09477825464949928,0.00894134477825465,0.06545064377682404,0.002145922746781116,0.024320457796852647,0.06223175965665236
19,stargatesg1,0.20539568345323742,0.04028776978417266,0.10323741007194244,0.14532374100719425,0.08633093525179857,0.0841726618705036,0.24964028776978417,0.007913669064748202,0.030575539568345324,0.0017985611510791368,0.013309352517985611,0.03201438848920863
20,babylonfive,0.2238517946738711,0.05827865688923196,0.09764569664222308,0.14511771516788885,0.08259359320725589,0.06715553840216133,0.2462369741412582,0.007333076032419915,0.023157082207641837,0.0019297568506368198,0.014280200694712466,0.032419915090698574
21,neongenesisevangelion,0.22588235294117648,0.03882352941176471,0.11764705882352941,0.12117647058823529,0.03058823529411765,0.10745098039215686,0.08588235294117647,0.0058823529411764705,0.07019607843137254,0.0796078431372549,0.09607843137254903,0.020784313725490194
22,deathnote,0.2660361842105263,0.013157894736842105,0.15049342105263158,0.09827302631578948,0.07195723684210527,0.09457236842105263,0.03125,0.007401315789473684,0.04358552631578947,0.1196546052631579,0.07730263157894737,0.02631578947368421
23,dragonballz,0.22841800908715407,0.02395704254440314,0.10863279636513837,0.12556794712928543,0.009913258983890954,0.157786038826931,0.09995869475423379,0.014456836018174308,0.1755472945064023,0.007021891780256092,0.0375877736472532,0.011152416356877323
24,phineasandferb,0.0427314620863008,0.005027230833682447,0.14746543778801843,0.2735651445328865,0.025136154168412233,0.1478843736908253,0.03602848764139087,0.1562630917469627,0.017595307917888565,0.0025136154168412233,0.042312526183493925,0.10347716799329702
