Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
notsostoic/0.0015428130624839291,wavemotiongun/0.006070737286644378,thecameo/0.0027206186990747136,oddnameout/0.0014464738911462648,americanseries/0.0046686143094460675,adayinthelimelight/0.003649451745208002,superspeed/0.003411513859275053,westernanimation/0.006802418637737863,callingyourattacks/0.0031128169482305297,shoutout/0.006044401231567007,wordofgod/0.0075165855093303705,thejoyofx/0.0031506328426313215
expositoryhairstylechange/0.001478529184880432,mauveshirt/0.005718810487418617,absenteeactor/0.002389172766192515,creatorworship/0.0011440293502702277,promotiontoopeningtitles/0.003895285558801627,monsteroftheweek/0.0028291621327529923,broughtdowntonormal/0.0029241547365214744,slapstickknowsnogender/0.0043571047483549705,charlesatlassuperpower/0.0026594940916921032,lampshadehanging/0.005574461189434452,ruleofcool/0.004706036144972058,womenarewiser/0.002824705307186702
posthumouscharacter/0.0013628182051941373,anazibyanyothername/0.005542847087805737,theteaser/0.002195829305344566,deliberatelymonochrome/0.001117729824976659,andstarring/0.0036375093085868134,bilingualbonus/0.0028291621327529923,powerperversionpotential/0.0028632348461772768,spoofaesop/0.004134803485683799,secretidentity/0.0025083864728459608,runninggag/0.005153135634419057,andtheadventurecontinues/0.004640674531847446,sitcomarchnemesis/0.0027703840512792654
badasscrew/0.0013628182051941373,numbertwo/0.005366883688192856,thecastshowoff/0.0021543985637342907,theycopieditsoitsucks/0.0010256814864491696,seriesofthe2010s/0.003437016669530847,artshift/0.002628274880723194,setrightwhatoncewentwrong/0.0028023149558330795,hurricaneofpuns/0.0040903432331495645,merchandisedriven/0.0024781649490767323,exaggeratedtrope/0.004310484524388268,anime/0.004346547272786693,adamwesting/0.002471617143788364
redshirt/0.0013371046541527385,compilationmovie/0.005278901988386416,evolvingcredits/0.002071537080513741,nonsequiturthud/0.0010125317238023853,seriesofthe2000s/0.003236524030474881,homage/0.002594793672051561,demonicpossession/0.0027109351203167833,birthdayepisode/0.00364574070780722,howdoishotweb/0.002447943425307504,ohcrap/0.004261870037271106,redherring/0.004248504853099774,ashimself/0.0023629746319734912
fingore/0.001324247878632039,mechamooks/0.005190920288579976,ruleoffunny/0.0020301063389034663,takethataudience/0.0009467829105684642,onceaseason/0.003121956808157186,animationbump/0.002594793672051561,urbanfantasy/0.0026195552848004874,negativecontinuity/0.003423439445136048,allyourpowerscombined/0.0023875003777690472,bigbad/0.004261870037271106,beachepisode/0.004117781626850551,fivefivefive/0.0021728502362974634
glowingeyesofdoom/0.0012728207765492414,colonydrop/0.005102938588773535,realliferelative/0.0020301063389034663,descendedcreator/0.0009467829105684642,betacouple/0.0028068969467835254,intercontinuitycrossover/0.0025445718590441117,masquerade/0.002528175449284191,musicalepisode/0.0033345189400675796,poweredarmor/0.0023572788539998188,catchphrase/0.004148436233997731,invertedtrope/0.004052420013725939,lastsecondwordswap/0.0021728502362974634
bridalcarry/0.0012471072255078426,interservicerivalry/0.0050149568889670945,onetruethreesome/0.0019748653500897668,nothyperbole/0.0009073336226281116,lgbtpluscreators/0.002749613335624678,storyarc/0.0024106470243575795,grandtheftme/0.0024977155041120925,valentinesdayepisode/0.0032011381824648766,heroicrrod/0.0023572788539998188,foreshadowing/0.004148436233997731,youhaveoutlivedyourusefulness/0.003987058400601327,overlynarrowsuperlative/0.0021728502362974634
evilishammy/0.0012471072255078426,laresistance/0.0050149568889670945,wholeepisodeflashback/0.0019610551028863416,cowboyepisode/0.0009073336226281116,clearmyname/0.002720971530045254,castinggag/0.002326944002678497,youcantfightfate/0.002467255558939994,snapback/0.0032011381824648766,evilerthanthou/0.0023572788539998188,meaningfulname/0.003986387943607195,redeyestakewarning/0.0039543775940390205,orphanedpunchline/0.002037047096528872
backforthedead/0.0012471072255078426,warishell/0.0050149568889670945,accidentalmisnaming/0.001905814114072642,creatorsfavoriteepisode/0.0008941838599813274,friendsrentcontrol/0.0026923297244658305,previouslyon/0.0022934627940068637,humanpopsicle/0.0024367956137678953,madlibscatchphrase/0.0032011381824648766,thiscannotbe/0.0023270573302305903,jerkass/0.0039053637984119267,themenaming/0.003921696787476715,specialguest/0.001955565212667717
badasslongcoat/0.0012471072255078426,midseasonupgrade/0.0050149568889670945,crossovership/0.001905814114072642,stockscream/0.0008810340973345431,realitysubtext/0.0026923297244658305,creatorcameo/0.0022599815853352307,alwayschaoticevil/0.0024063356685957967,companycrossreferences/0.003156677929930642,transformationsequence/0.0023270573302305903,playedforlaughs/0.0038729541403338193,meganekko/0.0037582927546651853,sarcasmblind/0.001955565212667717
thememusicpowerup/0.0012342504499871431,klingonpromotion/0.0050149568889670945,theditz/0.001878193619665792,thenapoleon/0.0008810340973345431,directedbycastmember/0.0025491206965687118,lawyerfriendlycameo/0.0022599815853352307,fantasykitchensink/0.002284495887907402,acquiredsituationalnarcissism/0.0029788369197937046,decompositecharacter/0.0022061712351536763,berserkbutton/0.0038729541403338193,timeskip/0.0036275695284159614,malaproper/0.001955565212667717
evilcostumeswitch/0.0012342504499871431,thecaptain/0.004838993489354214,coolandunusualpunishment/0.001864383372462367,parodysue/0.0008678843346877589,informedattractiveness/0.0025491206965687118,handwave/0.002243240980999414,themultiverse/0.002284495887907402,peripheryhatedom/0.00293437666725947,superpoweredevilside/0.0022061712351536763,callback/0.003808134824177605,worthyopponent/0.0034314846890421257,realafterall/0.001955565212667717
bloodfromthemouth/0.0012342504499871431,breakoutthemuseumpiece/0.004663030089741334,beat/0.0018505731252589422,framingdevice/0.0008678843346877589,showrunner/0.002520478890989288,genderflip/0.0022265003766635976,groundhogdayloop/0.002254035942735303,parentalbonus/0.0028899164147252357,iamnotlefthanded/0.002175949711384448,subvertedtrope/0.0037919299951385513,backfromthedead/0.0033988038824798194,cantgetawaywithnuthin/0.001955565212667717
mrexposition/0.0012342504499871431,macrossmissilemassacre/0.004575048389934893,signatureline/0.0018229526308520922,editedforsyndication/0.0008547345720409747,ineedafreakingdrink/0.0024631952798304406,heroofanotherstory/0.002209759772327781,voiceofthelegion/0.0021931160523911055,earworm/0.002845456162191001,dangerousforbiddentechnique/0.0020852851400767628,expy/0.003759520337060444,laserguidedamnesia/0.003300761462792902,compressedvice/0.0019284045847139987
teamdad/0.0012213936744664437,primarycolorchampion/0.004399084990322013,invokedtrope/0.0017953321364452424,marathonrunning/0.0008547345720409747,fakegueststar/0.0024631952798304406,spinoff/0.0021930191679919646,cutemonstergirl/0.0021321961620469083,dreadfulmusician/0.0028009959096567667,adaptationalearlyappearance/0.0020550636163075343,continuitynod/0.0037109058499432833,clingyjealousgirl/0.003268080656230596,hypocriticalheartwarming/0.0019284045847139987
moredakka/0.001195680123425045,rammingalwaysworks/0.004311103290515573,imaginespot/0.0017539013948349674,parodydisplacement/0.0008415848093941904,breakupbreakout/0.0023486280575127456,shareduniverse/0.002176278563656148,rapidaging/0.0021321961620469083,tertiarysexualcharacteristics/0.0028009959096567667,alieninvasion/0.002024842092538306,buttmonkey/0.0036460865337870686,colourcodedforyourconvenience/0.0032353998496682896,laughtrack/0.0019284045847139987
neverfoundthebody/0.001195680123425045,everybodysdeaddave/0.0042231215907091325,myfriendsandzoidberg/0.0017262809004281177,andimthequeenofsheba/0.0008415848093941904,instantsedation/0.0023486280575127456,notsoaboveitall/0.0021595379593203315,earthshatteringkaboom/0.0021321961620469083,youaregrounded/0.002712075404588298,coolsword/0.0018737344736921636,deadpansnarker/0.0035164479014746395,nosell/0.0032027190431059838,ittasteslikefeet/0.0019012439567602803
guilehero/0.001195680123425045,puttingonthereich/0.0042231215907091325,geniusditz/0.0017124706532246927,loonyfan/0.0008415848093941904,adatewithrosiepalms/0.0023486280575127456,seriesfauxnale/0.002142797354984515,retgone/0.002071276271702711,domesticonlycartoon/0.0026676151520540637,transformationisafreeaction/0.001843512949922935,chekhovsgun/0.0034678334143574785,nicejobfixingitvillain/0.003137357429981372,embarrassingmiddlename/0.0019012439567602803
taponthehead/0.0011828233479043457,generalripper/0.0042231215907091325,generationxerox/0.0016848501588178429,shallowparody/0.0008284350467474062,crossreferencedtitles/0.002319986251933322,wholeplotreference/0.0021260567506486984,forgottenphlebotinum/0.002071276271702711,areyouponderingwhatimpondering/0.0026231548995198292,coolbike/0.0018132914261537066,earlyinstallmentweirdness/0.003435423756279371,teacherstudentromance/0.003006634203732148,hercodenamewasmarysue/0.0019012439567602803
instantexpert/0.0011828233479043457,amillionisastatistic/0.004047158191096252,cargoship/0.0016848501588178429,dvdcommentary/0.0008284350467474062,stupidsexyflanders/0.0022340608351950507,resetbutton/0.002109316146312882,camebackwrong/0.0020408163265306124,spacewhaleaesop/0.0026231548995198292,onewingedangel/0.0017830699023844783,heelfaceturn/0.003435423756279371,sequelhook/0.0029739533971698423,blahblahblah/0.001874083328806562
theabridgedseries/0.0011699665723836463,laststand/0.003959176491289812,instrumentalthemetune/0.0016848501588178429,doesnotlikespam/0.0008284350467474062,depravedbisexual/0.002205419029615627,specialeditiontitle/0.0020590943333054323,yourmindmakesitreal/0.0020103563813585134,openingshoutout/0.0025786946469855947,deusexitmachina/0.0017830699023844783,itmakessenseincontext/0.003435423756279371,singletargetsexuality/0.0029412725906075364,ineedtogoironmydog/0.0018469227008528436
diedinyourarmstonight/0.0011571097968629469,transformingmecha/0.0038711947914833716,howwegothere/0.0016710399116144179,slidingscaleofcontinuity/0.0008284350467474062,blackcomedyrape/0.002205419029615627,attackofthe50footwhatever/0.0020256131246337993,teleportation/0.0019798964361864148,widgetseries/0.0025786946469855947,deadlyupgrade/0.0017830699023844783,whamepisode/0.003403014098201264,anguisheddeclarationoflove/0.0029412725906075364,parodyepisode/0.0018469227008528436
darkactiongirl/0.0011571097968629469,boyishshorthair/0.0038711947914833716,longrunners/0.0016572296644109929,spellmynamewithathe/0.0008284350467474062,marriedtothejob/0.0021194936128773557,manofathousandvoices/0.0020256131246337993,cyborg/0.0018885166006701187,weightwoe/0.002489774141917126,worldsstrongestman/0.0017830699023844783,takethat/0.0032895802949278884,precociouscrush/0.00290859178404523,thethingthatwouldnotleave/0.0018197620728991255
dynamicentry/0.0011571097968629469,superprototype/0.0038711947914833716,intergenerationalfriendship/0.001601988675597293,fatandskinny/0.0008284350467474062,romanticfalselead/0.002090851807297932,theverse/0.0019753913116263497,aformyouarecomfortablewith/0.0018885166006701187,vanillaedition/0.0024008536368486572,bythepowerofgrayskull/0.0017830699023844783,bookends/0.0032409658078107278,parentalfavoritism/0.00290859178404523,seinfeldianconversation/0.0017654408169916888
backtobackbadasses/0.0011442530213422474,mildlymilitary/0.0038711947914833716,thedanza/0.0015881784283938683,magiccountdown/0.0008284350467474062,deadpersonimpersonation/0.0020622100017185082,failureistheonlyoption/0.0019753913116263497,rippleeffectproofmemory/0.00185805665549802,honestjohnsdealership/0.0024008536368486572,smugsuper/0.0017830699023844783,brickjoke/0.0032085561497326204,gratuitousenglish/0.00290859178404523,terribleintervieweesmontage/0.0017654408169916888
startervillain/0.001131396245821548,bandofbrothers/0.003695231391870491,badbadacting/0.0015743681811904433,popularitypolynomial/0.0008152852841006219,amicableexes/0.0020622100017185082,theleader/0.0019753913116263497,humanmomnonhumandad/0.00185805665549802,bigthinshorttrio/0.0023563933843144228,fingerpokeofdoom/0.0017528483786152498,characterdevelopment/0.0031923513206935667,iwasquitealooker/0.002875910977482924,thanksgivingepisode/0.0017382801890379706
adaptationdistillation/0.0011185394703008486,coolstarship/0.003695231391870491,affectionatenickname/0.0015743681811904433,mrviceguy/0.0007758359961602693,onedialoguetwoconversations/0.0020049263905596608,stockfootage/0.0019753913116263497,futurebadass/0.00185805665549802,limitedanimation/0.0023119331317801887,powercopying/0.0017528483786152498,whamline/0.003176146491654513,spoileropening/0.002875910977482924,sassyblackwoman/0.0017382801890379706
theendoftheworldasweknowit/0.0011185394703008486,hufflepuffhouse/0.0036072496920640505,itakeoffensetothatlastone/0.0015467476867835933,memeticmolester/0.0007758359961602693,frameup/0.0020049263905596608,insufferablegenius/0.0019419101029547166,journeytothecenterofthemind/0.00185805665549802,fourfingeredhands/0.0023119331317801887,wreckedweapon/0.0017226268548460213,darkerandedgier/0.0031437368335764057,takingthebullet/0.0028105493643583125,vanityplate/0.0017382801890379706
theheart/0.0011056826947801492,ironlady/0.0035192679922576102,hugeguytinygirl/0.0015467476867835933,drunkwithpower/0.0007495364708667009,literaryallusiontitle/0.0020049263905596608,animesque/0.0019419101029547166,lotuseatermachine/0.0018275967103259215,yetanotherchristmascarol/0.0023119331317801887,thisisadrill/0.0017226268548460213,exactlywhatitsaysonthetin/0.0031437368335764057,victoriassecretcompartment/0.0028105493643583125,hewhomustnotbeseen/0.0017382801890379706
noonecouldsurvivethat/0.0011056826947801492,youareincommandnow/0.0035192679922576102,almostkiss/0.0015329374395801685,noyou/0.0007495364708667009,twofertokenminority/0.001976284584980237,mytharc/0.0019084288942830836,yearinsidehouroutside/0.001766676819981724,talkinganimal/0.0023119331317801887,artifactofdoom/0.0017226268548460213,noodleincident/0.0031437368335764057,arbitraryskepticism/0.0027778685577960066,strawfeminist/0.0017111195610842523
