i_doc,doc,Topic 1,Topic 2
0,doctorwho,0.6239462292093871,0.3760537707906129
1,thesimpsons,0.5964891186725982,0.4035108813274017
2,mylittleponyfriendshipismagic,0.6240138845061534,0.37598611549384664
3,buffythevampireslayer,0.6012972148035101,0.3987027851964899
4,futurama,0.579742336739227,0.42025766326077296
5,familyguy,0.5566396953831508,0.4433603046168491
6,naruto,0.6246268656716418,0.3753731343283582
7,avatarthelastairbender,0.6325511732401398,0.36744882675986024
8,startrekthenextgeneration,0.5792871900826446,0.4207128099173554
9,supernatural,0.6021337496747333,0.39786625032526673
10,southpark,0.6019021739130435,0.39809782608695654
11,gameofthrones,0.6811342592592593,0.31886574074074076
12,bleach,0.5981575603557815,0.40184243964421856
13,startrekdeepspacenine,0.5598975016015375,0.44010249839846255
14,fullmetalalchemist,0.6739914726139717,0.3260085273860282
15,startrekvoyager,0.5772010512483574,0.4227989487516426
16,startrektheoriginalseries,0.6023333333333334,0.39766666666666667
17,stevenuniverse,0.606245756958588,0.3937542430414121
18,angel,0.6044349070100143,0.3955650929899857
19,stargatesg1,0.5399280575539568,0.46007194244604316
20,babylonfive,0.5357005017367812,0.4642994982632188
21,neongenesisevangelion,0.6517647058823529,0.34823529411764703
22,deathnote,0.7290296052631579,0.2709703947368421
23,dragonballz,0.6274266831887649,0.372573316811235
24,phineasandferb,0.6141600335148723,0.38583996648512775
25,codegeass,0.6714709622721492,0.3285290377278508
26,firefly,0.6845924029022621,0.31540759709773797
27,sailormoon,0.6107066381156316,0.3892933618843683
28,teentitans,0.6423927178153446,0.3576072821846554
29,batmantheanimatedseries,0.7056258177060619,0.2943741822939381
30,negimamagisternegimagi,0.5338312829525483,0.46616871704745166
31,thelegendofkorra,0.605570530098832,0.394429469901168
32,mysterysciencetheater3000,0.6908431550317317,0.30915684496826834
33,yugioh,0.6715261958997722,0.3284738041002278
34,adventuretime,0.6320976067573909,0.3679023932426091
35,battlestargalactica2003,0.6038461538461538,0.39615384615384613
36,gravityfalls,0.6681159420289855,0.3318840579710145
37,saturdaynightlive,0.5803008248423096,0.41969917515769045
38,ncis,0.612950340798442,0.3870496592015579
39,thexfiles,0.6238397655105031,0.3761602344894968
40,howimetyourmother,0.5354176844162188,0.46458231558378116
41,friends,0.441802872709262,0.558197127290738
42,ranmaonehalf,0.5892053973013494,0.4107946026986507
43,kingofthehill,0.5850202429149798,0.4149797570850202
44,kimpossible,0.5976602238046795,0.40233977619532046
45,justiceleague,0.6017699115044248,0.39823008849557523
46,scrubs,0.5956227201667535,0.4043772798332465
47,reddwarf,0.5486772486772487,0.45132275132275135
48,community,0.5868869936034116,0.4131130063965885
49,fairytail,0.569593147751606,0.430406852248394
50,thefairlyoddparents,0.5969989281886388,0.4030010718113612
51,gargoyles,0.6991957104557641,0.30080428954423594
52,americandad,0.5486338797814208,0.45136612021857925
53,theventurebrothers,0.6988287785833798,0.30117122141662017
54,smallville,0.5785915492957746,0.42140845070422533
55,tengentoppagurrenlagann,0.649514008004574,0.35048599199542596
56,lost,0.7277936962750716,0.2722063037249284
57,charmed1998,0.5803830528148578,0.4196169471851422
58,thepowerpuffgirls,0.6228172293364377,0.37718277066356226
59,criminalminds,0.6233842538190364,0.37661574618096355
60,thebigbangtheory,0.47299703264094956,0.5270029673590505
61,bones,0.5925480769230769,0.4074519230769231
62,dannyphantom,0.6082224909310762,0.39177750906892383
63,house,0.6172161172161172,0.38278388278388276
64,rugrats,0.612369871402327,0.387630128597673
65,berserk,0.6346749226006192,0.3653250773993808
66,stargateatlantis,0.5653250773993808,0.4346749226006192
67,souleater,0.654228855721393,0.34577114427860695
68,animaniacs,0.638125,0.361875
69,csi,0.5725907384230288,0.42740926157697123
70,totaldrama,0.6612296110414053,0.33877038895859474
71,rickandmorty,0.6658275645059786,0.3341724354940214
72,heroes,0.640506329113924,0.3594936708860759
73,farscape,0.5354430379746835,0.46455696202531643
74,transformersanimated,0.6721623335447051,0.3278376664552949
75,dragonball,0.6370558375634517,0.3629441624365482
76,glee,0.5807692307692308,0.41923076923076924
77,codenamekidsnextdoor,0.6996098829648895,0.30039011703511054
78,sesamestreet,0.6067708333333334,0.3932291666666667
79,theloudhouse,0.5909389363099147,0.4090610636900854
80,theflash2014,0.5715227422544495,0.42847725774555045
81,yuyuhakusho,0.634857521537442,0.365142478462558
82,startrekenterprise,0.5529490616621984,0.44705093833780163
83,mightymorphinpowerrangers,0.6261808367071525,0.3738191632928475
84,acertainmagicalindex,0.5732788002726653,0.4267211997273347
85,ducktales2017,0.6899653979238755,0.31003460207612454
86,puellamagimadokamagica,0.6140963014654571,0.3859036985345429
87,batmanthebraveandthebold,0.6954385964912281,0.3045614035087719
88,invaderzim,0.6848137535816619,0.3151862464183381
89,batmanbeyond,0.663059163059163,0.33694083694083693
90,swordartonline,0.6413593637020969,0.3586406362979031
91,lawandorderspecialvictimsunit,0.6078147612156295,0.3921852387843705
92,attackontitan,0.6855072463768116,0.3144927536231884
93,dexterslaboratory,0.6475290697674418,0.35247093023255816
94,montypythonsflyingcircus,0.6877729257641921,0.31222707423580787
95,jojosbizarreadventure,0.6503649635036496,0.34963503649635036
96,starwarstheclonewars,0.6536764705882353,0.3463235294117647
97,rurounikenshin,0.6833578792341679,0.3166421207658321
98,thirtyrock,0.5486008836524301,0.45139911634756996
99,jackiechanadventures,0.6632124352331606,0.33678756476683935
100,cowboybebop,0.7360594795539034,0.26394052044609667
101,theofficeus,0.5980611483967189,0.40193885160328113
102,thegrimadventuresofbillyandmandy,0.664179104477612,0.3358208955223881
103,darkwingduck,0.6791885800150262,0.3208114199849737
104,daredevil2015,0.6717325227963525,0.3282674772036474
105,starwarsrebels,0.7259541984732825,0.27404580152671754
106,tinytoonadventures,0.6190476190476191,0.38095238095238093
107,seinfeld,0.4795050270688322,0.5204949729311679
108,mash,0.5690993788819876,0.4309006211180124
109,ducktales1987,0.6858475894245724,0.3141524105754277
110,slayers,0.6095089633671084,0.39049103663289164
111,twentyfour,0.7300469483568075,0.2699530516431925
112,frasier,0.4510571652310102,0.5489428347689899
113,arrow,0.582807570977918,0.41719242902208203
114,miraculousladybug,0.5826086956521739,0.41739130434782606
115,bobsburgers,0.6052215189873418,0.3947784810126582
116,marriedwithchildren,0.5711974110032363,0.42880258899676377
117,killlakill,0.6923076923076923,0.3076923076923077
118,arthur,0.4959150326797386,0.5040849673202614
119,chuck,0.6781045751633987,0.32189542483660133
120,blakesseven,0.6208026208026208,0.37919737919737917
121,theamazingworldofgumball,0.5924404272801972,0.4075595727198028
122,mythbusters,0.7376644736842105,0.2623355263157895
123,blackadder,0.7349794238683127,0.2650205761316872
124,rockosmodernlife,0.5975308641975309,0.4024691358024691
125,beastwars,0.6540362438220758,0.34596375617792424
126,parksandrecreation,0.5840266222961731,0.415973377703827
127,samuraijack,0.671940049958368,0.32805995004163196
128,yugiohgx,0.6808333333333333,0.31916666666666665
129,ededdneddy,0.5806182121971596,0.4193817878028404
130,cheers,0.5384615384615384,0.46153846153846156
131,dragonballsuper,0.5907534246575342,0.4092465753424658
132,haruhisuzumiya,0.557006092254134,0.44299390774586594
