Topic 1,Topic 2
shoutout/0.0010728194154428473,wordofgod/0.0011380054228432323
lampshadehanging/0.0009894098630357626,americanseries/0.0008064994953193342
runninggag/0.0009146288850156178,westernanimation/0.0007570209986739763
exaggeratedtrope/0.000765066928975328,ruleofcool/0.0007124903516931542
ohcrap/0.0007564383545883883,andtheadventurecontinues/0.0007025946523640825
bigbad/0.0007564383545883883,promotiontoopeningtitles/0.0006729075543768678
catchphrase/0.0007363050143521954,anime/0.0006580640053832604
foreshadowing/0.0007363050143521954,redherring/0.0006432204563896531
meaningfulname/0.0007075430997290627,andstarring/0.0006283769073960457
jerkass/0.0006931621424174964,beachepisode/0.0006234290577315099
berserkbutton/0.0006874097594928699,invertedtrope/0.0006135333584024384
playedforlaughs/0.0006874097594928699,youhaveoutlivedyourusefulness/0.0006036376590733667
callback/0.0006759049936436169,redeyestakewarning/0.0005986898094088309
subvertedtrope/0.0006730288021813036,seriesofthe2010s/0.0005937419597442952
expy/0.0006672764192566771,themenaming/0.0005937419597442952
continuitynod/0.0006586478448697373,thejoyofx/0.000573950561086152
buttmonkey/0.0006471430790204843,meganekko/0.0005690027114216162
adayinthelimelight/0.0006270097387842914,seriesofthe2000s/0.0005591070120925446
deadpansnarker/0.0006241335473219781,superspeed/0.0005541591624280088
chekhovsgun/0.0006155049729350383,timeskip/0.000549211312763473
itmakessenseincontext/0.0006097525900104118,onceaseason/0.0005393156134344014
heelfaceturn/0.0006097525900104118,worthyopponent/0.0005195242147762582
earlyinstallmentweirdness/0.0006097525900104118,backfromthedead/0.0005145763651117224
whamepisode/0.0006040002070857853,womenarewiser/0.0005145763651117224
takethat/0.0005838668668495925,callingyourattacks/0.0005096285154471867
bookends/0.0005752382924626527,sitcomarchnemesis/0.0005046806657826509
brickjoke/0.0005694859095380262,laserguidedamnesia/0.0004997328161181151
thecameo/0.0005666097180757129,clingyjealousgirl/0.0004947849664535792
characterdevelopment/0.0005666097180757129,colourcodedforyourconvenience/0.0004898371167890435
whamline/0.0005637335266133996,nosell/0.0004848892671245077
exactlywhatitsaysonthetin/0.000557981143688773,slapstickknowsnogender/0.0004848892671245077
darkerandedgier/0.000557981143688773,betacouple/0.0004848892671245077
noodleincident/0.000557981143688773,broughtdowntonormal/0.0004749935677954361
whathappenedtothemouse/0.00054647637783952,lgbtpluscreators/0.0004749935677954361
arsonmurderandjaywalking/0.00054647637783952,nicejobfixingitvillain/0.0004749935677954361
jerkwithaheartofgold/0.0005407239949148935,clearmyname/0.00047004571813090033
justifiedtrope/0.0005378478034525802,realitysubtext/0.0004650978684663645
heroicbsod/0.0005349716119902669,powerperversionpotential/0.0004650978684663645
inuniverse/0.0005292192290656404,friendsrentcontrol/0.0004650978684663645
nicejobbreakingithero/0.0005263430376033272,spoofaesop/0.00046015001880182874
largeham/0.0005234668461410139,setrightwhatoncewentwrong/0.0004552021691372929
doesthisremindyouofanything/0.0005205906546787006,hurricaneofpuns/0.0004552021691372929
hypocriticalhumor/0.0005148382717540741,teacherstudentromance/0.0004552021691372929
moodwhiplash/0.0005148382717540741,adamwesting/0.00045025431947275714
fanservice/0.0005119620802917609,sequelhook/0.00045025431947275714
bittersweetending/0.0005062096973671343,anguisheddeclarationoflove/0.0004453064698082214
actorallusion/0.0005004573144425078,singletargetsexuality/0.0004453064698082214
curbstompbattle/0.0004975811229801946,parentalfavoritism/0.00044035862014368555
absenteeactor/0.0004975811229801946,informedattractiveness/0.00044035862014368555
shiptease/0.0004860763571309415,directedbycastmember/0.00044035862014368555
monsteroftheweek/0.0004860763571309415,demonicpossession/0.00044035862014368555
pun/0.0004860763571309415,gratuitousenglish/0.00044035862014368555
bilingualbonus/0.0004860763571309415,precociouscrush/0.00044035862014368555
cloudcuckoolander/0.0004832001656686282,spoileropening/0.0004354107704791498
mythologygag/0.00048032397420631496,charlesatlassuperpower/0.0004354107704791498
toodumbtolive/0.00048032397420631496,iwasquitealooker/0.0004354107704791498
leaningonthefourthwall/0.00047457159128168845,showrunner/0.0004354107704791498
whatthehellhero/0.0004716953998193752,ashimself/0.00043046292081461396
heroicsacrifice/0.00046594301689474864,ineedafreakingdrink/0.0004255150711500782
grandfinale/0.00046594301689474864,victoriassecretcompartment/0.0004255150711500782
putonabus/0.0004630668254324354,takingthebullet/0.0004255150711500782
theteaser/0.0004573144425078089,urbanfantasy/0.0004255150711500782
bigdamnheroes/0.0004544382510454956,fakegueststar/0.0004255150711500782
disproportionateretribution/0.0004544382510454956,arbitraryskepticism/0.00042056722148554236
downerending/0.0004544382510454956,dumbblonde/0.00042056722148554236
artshift/0.0004515620595831823,bloodknight/0.0004156193718210066
