i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
0,acertainmagicalindex,0.013633265167007498,0.08793456032719836,0.04430811179277437,0.014314928425357873,0.06339468302658487,0.15882753919563736,0.1383776414451261,0.05862304021813224,0.053169734151329244,0.033401499659168374,0.1608725289706885,0.028629856850715747,0.010906612133605999,0.016359918200409,0.070892978868439,0.03953646898432175,0.004771642808452625,0.002044989775051125,0.0,0.0
1,acertainscientificrailgun,0.01485148514851485,0.08085808580858085,0.10561056105610561,0.01155115511551155,0.0924092409240924,0.09900990099009901,0.10891089108910891,0.0924092409240924,0.07755775577557755,0.0297029702970297,0.08085808580858085,0.01485148514851485,0.006600660066006601,0.0231023102310231,0.08085808580858085,0.07260726072607261,0.006600660066006601,0.0,0.0016501650165016502,0.0
2,achannel,0.0,0.18518518518518517,0.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.0,0.14814814814814814,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,adestructivegodsitsnexttome,0.0,0.0,0.19230769230769232,0.0,0.21153846153846154,0.09615384615384616,0.038461538461538464,0.057692307692307696,0.11538461538461539,0.0,0.057692307692307696,0.038461538461538464,0.0,0.0,0.038461538461538464,0.1346153846153846,0.0,0.0,0.019230769230769232,0.0
4,aicoincarnation,0.0,0.06896551724137931,0.13793103448275862,0.0,0.10344827586206896,0.0,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.13793103448275862,0.034482758620689655,0.0,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0
5,akb0048,0.027210884353741496,0.02040816326530612,0.08843537414965986,0.02040816326530612,0.08163265306122448,0.047619047619047616,0.20408163265306123,0.08843537414965986,0.05442176870748299,0.061224489795918366,0.08843537414965986,0.013605442176870748,0.0,0.02040816326530612,0.05442176870748299,0.10884353741496598,0.0,0.006802721088435374,0.013605442176870748,0.0
6,alittlesnowfairysugar,0.0,0.08333333333333333,0.14583333333333334,0.041666666666666664,0.08333333333333333,0.03125,0.010416666666666666,0.19791666666666666,0.13541666666666666,0.0,0.03125,0.010416666666666666,0.020833333333333332,0.03125,0.03125,0.11458333333333333,0.03125,0.0,0.0,0.0
7,aplacefurtherthantheuniverse,0.008333333333333333,0.125,0.14166666666666666,0.05,0.15833333333333333,0.06666666666666667,0.0,0.075,0.1,0.008333333333333333,0.008333333333333333,0.041666666666666664,0.03333333333333333,0.0,0.025,0.15,0.0,0.0,0.008333333333333333,0.0
8,apolarbearinlove,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,aria,0.0,0.10309278350515463,0.0979381443298969,0.015463917525773196,0.1134020618556701,0.061855670103092786,0.09278350515463918,0.16494845360824742,0.12371134020618557,0.010309278350515464,0.03608247422680412,0.020618556701030927,0.005154639175257732,0.015463917525773196,0.02577319587628866,0.08247422680412371,0.005154639175257732,0.010309278350515464,0.015463917525773196,0.0
10,asistersallyouneed,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,accelworld,0.0,0.13953488372093023,0.0,0.029069767441860465,0.05813953488372093,0.1744186046511628,0.06395348837209303,0.05813953488372093,0.09883720930232558,0.023255813953488372,0.23837209302325582,0.05232558139534884,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.0,0.005813953488372093,0.0,0.0,0.0
12,aceattorney,0.02766798418972332,0.05928853754940711,0.14624505928853754,0.03162055335968379,0.08300395256916997,0.11067193675889328,0.019762845849802372,0.11067193675889328,0.03557312252964427,0.003952569169960474,0.02766798418972332,0.03557312252964427,0.019762845849802372,0.1225296442687747,0.07509881422924901,0.08695652173913043,0.003952569169960474,0.0,0.0,0.0
13,actionheroinecheerfruits,0.010638297872340425,0.02127659574468085,0.14893617021276595,0.05319148936170213,0.0851063829787234,0.05319148936170213,0.02127659574468085,0.09574468085106383,0.0851063829787234,0.0,0.07446808510638298,0.05319148936170213,0.010638297872340425,0.05319148936170213,0.10638297872340426,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.0,0.0
