Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
reallygetsaround/0.011880097558417036,clingyjealousgirl/0.005404800954226927,shoutout/0.02534411352701139,birthdayepisode/0.003675521645312161,wordofgod/0.005713534208142151,howwegothere/0.0024102555538856327,laserguidedamnesia/0.0045149565078240195,artshift/0.008649539839559033,anime/0.05759062241192585,notquitedead/0.0076349522496297435,monsteroftheweek/0.011313428839202035,thereasonyousuckspeech/0.010077687182817423,americanseries/0.031119450022720277,stockfootage/0.011707879462510933,bigbad/0.01904907040536422,runninggag/0.022051634109301214,alphabitch/0.026517273576097105,shortrunners/0.06827479193116096,westernanimation/0.08015089221379222,seriesofthe2010s/0.3341500188465888
dirtycop/0.011014659987936324,iwantmybelovedtobehappy/0.004137468316684062,catchphrase/0.015782020829526767,asideglance/0.0033864356732089575,leaningonthefourthwall/0.004244965952596663,lefthanging/0.002065138130465519,redeyestakewarning/0.004400653811423411,gratuitousenglish/0.007197696737044146,animeandmangaofthe2000s/0.0209912722176212,badasslongcoat/0.007481742505490016,transformationsequence/0.006038291605301915,driventosuicide/0.009596651995093441,britishseries/0.01610940912622213,adaptationexpansion/0.009243062733561262,actiongirl/0.009102915777710047,lampshadehanging/0.019211966132018556,thesmartguy/0.023996265172735762,canadianseries/0.04253068133728311,titlethemetune/0.027041919213325986,seriesofthe2020s/0.11439879381831888
adatewithrosiepalms/0.010018095512837324,arrangedmarriage/0.003851697231747925,meaningfulname/0.011389244168341556,sickepisode/0.0029837802120652097,coolcar/0.004120758687202268,realliferelative/0.0017812512176521996,mundaneutility/0.0038634311383405535,beachepisode/0.0067178502879078695,animeandmangaofthe2010s/0.020449767471491367,bloodlesscarnage/0.007430672590776773,callingyourattacks/0.0058240728343821125,truthintelevision/0.008105442913149097,seriesofthe2000s/0.01470221779217543,adaptedout/0.008885266756778245,heroicsacrifice/0.009031799248196687,jerkass/0.01800536728452849,thelancer/0.022642390289449112,gameshow/0.023980815347721823,westernanimationofthe2010s/0.022760988428771247,thealcoholic/0.07444402563136072
drowningmysorrows/0.008208544229104928,betacouple/0.003826847572188261,expy/0.01077258054692734,laughtrack/0.0029115087190394085,imaginespot/0.0041061460677441035,villainprotagonist/0.0017422863472660577,urbanfantasy/0.00353195331877879,tsundere/0.006693242777695753,humongousmecha/0.017009619672548895,heknowstoomuch/0.006741228742148,brainwashedandcrazy/0.005127861828892757,abusiveparents/0.007468071289414821,seriesofthe1990s/0.009689098664634056,canonforeigner/0.008328695237337999,evenevilhasstandards/0.007375800060957025,buttmonkey/0.017526888431213465,thebigguy/0.022362278244631186,realitytv/0.02144167019325716,animatedadaptation/0.021023184842961895,artisticlicensehistory/0.05672823218997362
straightgay/0.007788938134326401,almostkiss/0.003789573082848765,jerkwithaheartofgold/0.010262500761313112,musicalepisode/0.002426257265866174,doityourselfthemetune/0.004011164041266038,posthumouscharacter/0.001664356606493774,sciencefictionseries/0.003406220352738121,evolvingcredits/0.006471775185786702,magicalgirl/0.010638975600433203,alternateuniverse/0.006230529595015576,bythepowerofgrayskull/0.004967197750702906,bitchinsheepsclothing/0.006590182071818554,chuckcunninghamsyndrome/0.009630465692382111,merchandisedriven/0.008288940128806552,thedragon/0.00676622980798537,deadpansnarker/0.016788366722835922,sixthranger/0.019281045751633988,transatlanticequivalent/0.01826773875017633,westernanimationofthe2000s/0.0197516212435892,historicalseries/0.05559743686392763
serialkiller/0.007290655896776901,starcrossedlovers/0.0036777496148302767,exaggeratedtrope/0.009386990681527499,realafterall/0.002281714279814572,castinggag/0.003777362129935412,notsostoic/0.0016420909662731215,aiisacrapshoot/0.0033376387348977563,yougottahavebluehair/0.006434863920468527,twelveepisodeanime/0.010033764413582212,darkactiongirl/0.006204994637658955,hotblooded/0.004873477038425492,manipulativebastard/0.0065420785530461555,absenteeactor/0.00847246449040618,shareduniverse/0.007632980838037688,enemymine/0.006420806664634766,foreshadowing/0.014447981027273295,thehero/0.019094304388422037,gameshowhost/0.017915079700945125,domesticonlycartoon/0.016827024965032,historicaldomaincharacter/0.049189596683000374
crimeandpunishmentseries/0.006871049801998374,distantfinale/0.0035659261468117885,onceperepisode/0.008975881600584688,blindwithoutem/0.002157820291770342,genkigirl/0.003682380103457346,nosocialskills/0.0015585948154456747,voluntaryshapeshifting/0.0033147781956176345,animationbump/0.0059058024509080174,animeandmangaofthe1990s/0.009906351532139899,allyourbasearebelongtous/0.006204994637658955,spoileropening/0.004806533672513054,mrfanservice/0.00614522452317387,longrunners/0.008179299629146451,compositecharacter/0.006977021547268824,assholevictim/0.0058925124453926645,berserkbutton/0.01419833988641328,thechick/0.018674136321195144,studioaudience/0.015869657215404148,edutainmentshow/0.016615097698469885,koreanseries/0.03901243874858651
maydecemberromance/0.0067923736592274,doggedniceguy/0.0034292530192336365,largeham/0.008534319995127597,companycrossreferences/0.002157820291770342,instrumentalthemetune/0.003514334979688459,doublesubversion/0.0015363291752250221,broughtdowntonormal/0.00324619657777727,artevolution/0.005622816083468675,shonendemographic/0.009428553226731223,moredakka/0.00610285480823247,badassnormal/0.004485205516133351,breakthecutie/0.0059167328090049785,suspiciouslysimilarsubstitute/0.007607628149689978,adaptationdistillation/0.0067384908960801465,axcrazy/0.005851874428527888,ohcrap/0.01347021989223824,mistakenforgay/0.017320261437908498,onewordtitle/0.015305402736634222,westernanimationofthe1990s/0.01547069045903446,miniseries/0.03750471164719186
dachief/0.006608795992761795,momentkiller/0.003342279210774812,heelfaceturn/0.008465801814970461,noantagonist/0.0021061977967519125,theteaser/0.0034412718823976386,firstepisodetwist/0.001436133794232086,demonicpossession/0.0031661846902968443,ruleoffunny/0.005475171022195974,midseasonupgrade/0.008345543734471555,laresistance/0.006000714978805986,eldritchabomination/0.003963047262016334,establishingcharactermoment/0.00586862929023258,britishbrevity/0.006904032482666627,intercontinuitycrossover/0.006599348016220084,faceheelturn/0.005445494259880118,cloudcuckoolander/0.012149202188520667,theleader/0.01699346405228758,nonfictionseries/0.014670616448018056,allcgicartoon/0.01496206501928538,costumedrama/0.030531473803241612
amoralattorney/0.005743358422281084,modestytowel/0.003342279210774812,earlyinstallmentweirdness/0.00790243011145624,madlibscatchphrase/0.0020339263037261117,coololdguy/0.0032366952099833414,catapultnightmare/0.0014138681540114334,twentyminutesintothefuture/0.0031433241510167224,offmodel/0.005438259756877799,combiningmecha/0.008281837293750397,imperialstormtroopermarksmanshipacademy/0.005898575149379501,sealedevilinacan/0.003963047262016334,unresolvedsexualtension/0.004762248358467422,andstarring/0.005936588440509521,alternatecontinuity/0.0065794704619543615,themole/0.005262623183988621,bittersweetending/0.012149202188520667,fivemanband/0.015826330532212884,manipulativeediting/0.014176893779094372,preschoolshow/0.013860043233162379,fantasyseries/0.029023746701846966
