i_doc,doc,Topic 1,Topic 2,Topic 3
0,acertainmagicalindex,0.4158145875937287,0.5773687798227676,0.006816632583503749
1,acertainscientificrailgun,0.334983498349835,0.6567656765676567,0.00825082508250825
2,achannel,0.4444444444444444,0.5555555555555556,0.0
3,adestructivegodsitsnexttome,0.21153846153846154,0.7692307692307693,0.019230769230769232
4,aicoincarnation,0.5172413793103449,0.4827586206896552,0.0
5,akb0048,0.4557823129251701,0.5238095238095238,0.02040816326530612
6,alittlesnowfairysugar,0.20833333333333334,0.7604166666666666,0.03125
7,aplacefurtherthantheuniverse,0.125,0.8666666666666667,0.008333333333333333
8,apolarbearinlove,0.7142857142857143,0.2857142857142857,0.0
9,aria,0.27835051546391754,0.6907216494845361,0.030927835051546393
10,asistersallyouneed,0.6666666666666666,0.3333333333333333,0.0
11,accelworld,0.4476744186046512,0.5465116279069767,0.005813953488372093
12,aceattorney,0.23715415019762845,0.758893280632411,0.003952569169960474
13,actionheroinecheerfruits,0.24468085106382978,0.7127659574468085,0.0425531914893617
14,activeraid,0.4875,0.5125,0.0
15,adachiandshimamura,0.15584415584415584,0.8181818181818182,0.025974025974025976
16,aestheticaofaroguehero,0.41379310344827586,0.5574712643678161,0.028735632183908046
17,afrosamurai,0.3391003460207612,0.6539792387543253,0.006920415224913495
18,aftertherain2014,0.8,0.2,0.0
19,afterwargundamx,0.47150259067357514,0.5233160621761658,0.0051813471502590676
20,agathachristiesgreatdetectivespoirotandmarple,0.5172413793103449,0.4827586206896552,0.0
21,agentaika,0.4014084507042254,0.5915492957746479,0.007042253521126761
22,aggretsuko,0.12637362637362637,0.8131868131868132,0.06043956043956044
23,ahmybuddha,0.30357142857142855,0.6964285714285714,0.0
24,ahmygoddess,0.29588431590656283,0.6863181312569522,0.017797552836484983
25,ahogirl,0.15789473684210525,0.7894736842105263,0.05263157894736842
26,aiyoriaoshi,0.21768707482993196,0.7755102040816326,0.006802721088435374
27,aikatsu,0.17424242424242425,0.803030303030303,0.022727272727272728
28,aikatsustars,0.19047619047619047,0.7976190476190477,0.011904761904761904
29,aimfortheace,0.24,0.72,0.04
30,airgear,0.26458333333333334,0.70625,0.029166666666666667
31,airmaster,0.26744186046511625,0.7209302325581395,0.011627906976744186
32,aishiteruzebaby,0.13559322033898305,0.847457627118644,0.01694915254237288
33,aiura,1.0,0.0,0.0
34,akagi,0.2033898305084746,0.751412429378531,0.04519774011299435
35,akahorigedouhourlovege,0.34615384615384615,0.6538461538461539,0.0
36,akamegakill,0.41228070175438597,0.5877192982456141,0.0
37,akazukinchacha,0.34054054054054056,0.6108108108108108,0.04864864864864865
38,akikan,0.23711340206185566,0.7628865979381443,0.0
39,akudaisakusensrungle,0.3157894736842105,0.6842105263157895,0.0
40,akumanoriddle,0.24064171122994651,0.7433155080213903,0.016042780748663103
41,albegas,0.45454545454545453,0.45454545454545453,0.09090909090909091
42,alderaminonthesky,0.375,0.5,0.125
43,aldnoahzero,0.4601366742596811,0.530751708428246,0.009111617312072893
44,allpurposeculturalcatgirlnukunuku,0.2796610169491525,0.6949152542372882,0.025423728813559324
