Topic 1,Topic 2,Topic 3
anime/0.0056293823870075844,shoutout/0.0031631587499014184,westernanimation/0.029319193140766236
monsteroftheweek/0.002630989002777328,americanseries/0.0020172382174949567,seriesofthe2010s/0.027489650681427044
animeandmangaofthe2000s/0.002051860062521017,runninggag/0.002014387668906881,shortrunners/0.015008450005426608
animeandmangaofthe2010s/0.001998928922820171,catchphrase/0.0019697290743603607,titlethemetune/0.009891932958122083
stockfootage/0.0018339083108116522,bigbad/0.0017815928675473595,seriesofthe2020s/0.009411290447617718
humongousmecha/0.0016626605058971517,lampshadehanging/0.0017549877473919855,canadianseries/0.009349272059165543
adaptationexpansion/0.0014478223506407782,jerkass/0.0016447665353197223,alphabitch/0.008806611160209001
reallygetsaround/0.0014104591932048872,buttmonkey/0.0016010581236358937,westernanimationofthe2010s/0.008325968649704637
transformationsequence/0.0014042320002989053,deadpansnarker/0.001533595140384767,thesmartguy/0.007969362916104625
adaptedout/0.0013917776144869417,meaningfulname/0.0014214735625871198,animatedadaptation/0.007690280168069833
callingyourattacks/0.0013544144570510506,expy/0.001344508750709074,thelancer/0.0075197295998263485
dirtycop/0.0013077105102561868,foreshadowing/0.001319803996279084,thebigguy/0.0074267020171480845
canonforeigner/0.0013045969138031958,berserkbutton/0.0012969996075744778,westernanimationofthe2000s/0.007225142254678512
merchandisedriven/0.001298369720897214,jerkwithaheartofgold/0.0012808464989087149,sixthranger/0.0064033986076871795
laserguidedamnesia/0.0012298705989314137,ohcrap/0.0012304868071860429,thehero/0.006341380219235003
redeyestakewarning/0.0011987346344015045,exaggeratedtrope/0.0011715754696991435,thechick/0.006201838845217607
shareduniverse/0.0011956210379485135,onceperepisode/0.0011202655951137797,domesticonlycartoon/0.006155325053878475
brainwashedandcrazy/0.0011925074414955226,bittersweetending/0.0011098135836241684,thealcoholic/0.006124315859652387
adatewithrosiepalms/0.0011893938450425318,cloudcuckoolander/0.0011098135836241684,edutainmentshow/0.0060778020683132546
bythepowerofgrayskull/0.0011551442840596316,whamepisode/0.0010746568177045673,mistakenforgay/0.0057522055289393305
hotblooded/0.0011333491088886952,largeham/0.001065154989077648,westernanimationofthe1990s/0.0056591779462610665
spoileropening/0.0011177811266237406,heelfaceturn/0.0010566033433134206,theleader/0.005643673349148022
compositecharacter/0.0010928723549998131,britishseries/0.0010442509660984257,allcgicartoon/0.0054731227809045385
adaptationdistillation/0.001055509197563922,playedforlaughs/0.0010299982231580468,gameshow/0.005271563018434966
mundaneutility/0.0010523956011109312,chekhovsgun/0.0010242971259818952,fivemanband/0.005256058421321922
badassnormal/0.0010430548117519585,subvertedtrope/0.0010128949316295921,adultsareuseless/0.005163030838643658
magicalgirl/0.0010399412152989676,callback/0.0009976920058265212,realsongthemetune/0.005085507853078438
intercontinuitycrossover/0.0010337140223929857,earlyinstallmentweirdness/0.0009862898114742181,preschoolshow/0.005070003255965394
alternatecontinuity/0.0010306004259399949,putonabus/0.0009682363370830717,richbitch/0.005070003255965394
adaptationdyejob/0.00098078288269214,seriesofthe2000s/0.0009530334112800009,saturdaymorningcartoon/0.004930461881947998
twelveepisodeanime/0.00098078288269214,thecameo/0.0009482824969665412,bookdumb/0.0048684434934958215
evilplan/0.0009745556897861582,darkerandedgier/0.0009454319483784654,annoyingyoungersibling/0.004806425105043645
drowningmysorrows/0.0009745556897861582,fanservice/0.0009349799368888542,dumbblonde/0.004806425105043645
animeandmangaofthe1990s/0.0009683284968801764,titledrop/0.0009340297540261623,takenforgranite/0.004744406716591469
disneydeath/0.0009652149004271854,mythologygag/0.0009226275596738592,realitytv/0.004713397522365381
urbanfantasy/0.0009621013039741945,bookends/0.0009102751824588642,vomitindiscretionshot/0.004713397522365381
adaptationnamechange/0.0009621013039741945,takethat/0.0009055242681454045,artisticlicensehistory/0.004666883731026249
teampet/0.0009371925323502672,christmasepisode/0.0009036239024200208,spoiledbrat/0.004651379133913205
notquitedead/0.0009309653394442854,inuniverse/0.0008998231709692531,historicalseries/0.004573856148347985
sciencefictionseries/0.0009278517429912944,heroicbsod/0.0008760685994019549,clusterfbomb/0.0045428469541218975
straightgay/0.0009247381465383034,itmakessenseincontext/0.000875118416539263,dirtyoldman/0.004418810177217545
eldritchabomination/0.0009216245500853125,moodwhiplash/0.0008741682336765711,dramedy/0.004341287191652325
sealedevilinacan/0.0009216245500853125,whathappenedtothemouse/0.0008732180508138791,doublestandard/0.004077709040730577
japaneseseries/0.0009216245500853125,downerending/0.0008722678679511872,historicaldomaincharacter/0.004046699846504489
shonendemographic/0.0009216245500853125,whamline/0.0008665667707750356,transatlanticequivalent/0.0040156906522784
thememusicpowerup/0.0009185109536323216,continuitynod/0.000862766039324268,gameshowhost/0.0039381676667131806
transformationtrinket/0.0009122837607263397,onlysaneman/0.0008608656735988841,limitedanimation/0.0038761492782610043
badasslongcoat/0.0009122837607263397,exactlywhatitsaysonthetin/0.0008589653078735003,blondebrunetteredhead/0.0038296354869218723
aiisacrapshoot/0.0009091701642733489,actiongirl/0.0008513638449719648,localhangout/0.0037676170984696964
bloodlesscarnage/0.0009060565678203579,heroicsacrifice/0.0008447125649331214,brattyteenagedaughter/0.00370559871001752
bfg/0.0009060565678203579,karmahoudini/0.000837111102031586,fountainofyouth/0.0036900941129044762
voluntaryshapeshifting/0.000902942971367367,nicejobbreakingithero/0.0008228583590912071,comedyseries/0.0036900941129044762
canonwelding/0.0008998293749143761,brickjoke/0.000798153604661217,thenineties/0.0036745895157914324
adaptationalvillainy/0.0008904885855554034,adayinthelimelight/0.0007972034217985252,westernanimationofthe2020s/0.0036280757244523
broughtdowntonormal/0.0008842613926494215,thereasonyousuckspeech/0.0007962532389358332,thebully/0.003566057336000124
racelift/0.0008718070068374578,characterdevelopment/0.0007934026903477574,threeshorts/0.00355055273888708
twogirlstoateam/0.0008686934103844669,curbstompbattle/0.0007896019588969897,studioaudience/0.003488534350434904
serialkiller/0.0008655798139314759,whatthehellhero/0.0007867514103089139,westernanimationofthe1980s/0.00339550676775664
demonicpossession/0.0008624662174784851,doesthisremindyouofanything/0.0007839008617208382,siblingrivalry/0.0033800021706435956
sparedbytheadaptation/0.0008624662174784851,noodleincident/0.0007829506788581463,onewordtitle/0.0033644975735305518
twentyminutesintothefuture/0.0008562390245725032,shiptease/0.0007753492159566108,funnyanimal/0.0033644975735305518
