i_doc,doc,Topic 1,Topic 2
0,doctorwho,0.8333333333333334,0.16666666666666666
1,thesimpsons,0.8333333333333334,0.16666666666666666
2,mylittleponyfriendshipismagic,0.7142857142857143,0.2857142857142857
3,buffythevampireslayer,0.7142857142857143,0.2857142857142857
4,futurama,1.0,0.0
5,familyguy,0.8333333333333334,0.16666666666666666
6,naruto,0.8333333333333334,0.16666666666666666
7,avatarthelastairbender,1.0,0.0
8,startrekthenextgeneration,0.8333333333333334,0.16666666666666666
9,supernatural,0.8333333333333334,0.16666666666666666
10,southpark,1.0,0.0
11,gameofthrones,0.8333333333333334,0.16666666666666666
12,bleach,1.0,0.0
13,startrekdeepspacenine,0.8333333333333334,0.16666666666666666
14,fullmetalalchemist,0.8333333333333334,0.16666666666666666
15,startrekvoyager,0.8333333333333334,0.16666666666666666
16,startrektheoriginalseries,0.8333333333333334,0.16666666666666666
17,stevenuniverse,0.8333333333333334,0.16666666666666666
18,angel,0.8333333333333334,0.16666666666666666
19,stargatesg1,0.8333333333333334,0.16666666666666666
20,babylonfive,1.0,0.0
21,neongenesisevangelion,0.8333333333333334,0.16666666666666666
22,deathnote,0.8333333333333334,0.16666666666666666
23,dragonballz,1.0,0.0
24,phineasandferb,1.0,0.0
25,codegeass,1.0,0.0
26,firefly,0.8333333333333334,0.16666666666666666
27,sailormoon,1.0,0.0
28,teentitans,1.0,0.0
29,batmantheanimatedseries,0.8333333333333334,0.16666666666666666
30,negimamagisternegimagi,1.0,0.0
31,thelegendofkorra,1.0,0.0
32,mysterysciencetheater3000,0.7142857142857143,0.2857142857142857
33,yugioh,1.0,0.0
34,adventuretime,0.8333333333333334,0.16666666666666666
35,battlestargalactica2003,1.0,0.0
36,gravityfalls,1.0,0.0
37,saturdaynightlive,0.8333333333333334,0.16666666666666666
38,ncis,1.0,0.0
39,thexfiles,1.0,0.0
40,howimetyourmother,0.8333333333333334,0.16666666666666666
41,friends,1.0,0.0
42,ranmaonehalf,1.0,0.0
43,kingofthehill,1.0,0.0
44,kimpossible,1.0,0.0
45,justiceleague,0.7142857142857143,0.2857142857142857
46,scrubs,0.8333333333333334,0.16666666666666666
47,reddwarf,0.8333333333333334,0.16666666666666666
48,community,0.8333333333333334,0.16666666666666666
49,fairytail,0.8333333333333334,0.16666666666666666
50,thefairlyoddparents,0.8333333333333334,0.16666666666666666
51,gargoyles,0.7142857142857143,0.2857142857142857
52,americandad,1.0,0.0
53,theventurebrothers,0.8333333333333334,0.16666666666666666
54,smallville,0.8333333333333334,0.16666666666666666
55,tengentoppagurrenlagann,1.0,0.0
56,lost,0.8333333333333334,0.16666666666666666
57,charmed1998,1.0,0.0
58,thepowerpuffgirls,1.0,0.0
59,criminalminds,1.0,0.0
60,thebigbangtheory,0.8333333333333334,0.16666666666666666
61,bones,1.0,0.0
62,dannyphantom,0.8333333333333334,0.16666666666666666
63,house,1.0,0.0
64,rugrats,0.8333333333333334,0.16666666666666666
65,berserk,0.8333333333333334,0.16666666666666666
66,stargateatlantis,0.8333333333333334,0.16666666666666666
67,souleater,0.8333333333333334,0.16666666666666666
68,animaniacs,1.0,0.0
69,csi,0.7142857142857143,0.2857142857142857
70,totaldrama,0.8333333333333334,0.16666666666666666
71,rickandmorty,0.7142857142857143,0.2857142857142857
72,heroes,0.8333333333333334,0.16666666666666666
