i_doc,doc,Topic 1,Topic 2,Topic 3
0,acertainmagicalindex,1.0,0.0,0.0
1,acertainscientificrailgun,1.0,0.0,0.0
2,achannel,1.0,0.0,0.0
3,adestructivegodsitsnexttome,1.0,0.0,0.0
4,aicoincarnation,1.0,0.0,0.0
5,akb0048,1.0,0.0,0.0
6,alittlesnowfairysugar,1.0,0.0,0.0
7,aplacefurtherthantheuniverse,1.0,0.0,0.0
8,apolarbearinlove,1.0,0.0,0.0
9,aria,1.0,0.0,0.0
10,asistersallyouneed,1.0,0.0,0.0
11,accelworld,1.0,0.0,0.0
12,aceattorney,1.0,0.0,0.0
13,actionheroinecheerfruits,1.0,0.0,0.0
14,activeraid,1.0,0.0,0.0
15,adachiandshimamura,1.0,0.0,0.0
16,aestheticaofaroguehero,1.0,0.0,0.0
17,afrosamurai,1.0,0.0,0.0
18,aftertherain2014,1.0,0.0,0.0
19,afterwargundamx,1.0,0.0,0.0
20,agathachristiesgreatdetectivespoirotandmarple,1.0,0.0,0.0
21,agentaika,1.0,0.0,0.0
22,aggretsuko,1.0,0.0,0.0
23,ahmybuddha,1.0,0.0,0.0
24,ahmygoddess,0.8333333333333334,0.16666666666666666,0.0
25,ahogirl,1.0,0.0,0.0
26,aiyoriaoshi,1.0,0.0,0.0
27,aikatsu,1.0,0.0,0.0
28,aikatsustars,1.0,0.0,0.0
29,aimfortheace,1.0,0.0,0.0
30,airgear,1.0,0.0,0.0
31,airmaster,1.0,0.0,0.0
32,aishiteruzebaby,1.0,0.0,0.0
33,aiura,1.0,0.0,0.0
34,akagi,1.0,0.0,0.0
35,akahorigedouhourlovege,1.0,0.0,0.0
36,akamegakill,1.0,0.0,0.0
37,akazukinchacha,1.0,0.0,0.0
38,akikan,1.0,0.0,0.0
39,akudaisakusensrungle,1.0,0.0,0.0
40,akumanoriddle,1.0,0.0,0.0
41,albegas,1.0,0.0,0.0
42,alderaminonthesky,1.0,0.0,0.0
43,aldnoahzero,1.0,0.0,0.0
44,allpurposeculturalcatgirlnukunuku,1.0,0.0,0.0
45,allisonandlillia,1.0,0.0,0.0
46,alpsstoriesmyannette,1.0,0.0,0.0
47,amagibrilliantpark,1.0,0.0,0.0
48,amatsuki,1.0,0.0,0.0
49,andyetthetownmoves,1.0,0.0,0.0
50,andersenmonogatari,1.0,0.0,0.0
51,androidannouncermaico2010,1.0,0.0,0.0
52,andromedastories,1.0,0.0,0.0
53,angevierge,1.0,0.0,0.0
54,angelbeats,1.0,0.0,0.0
55,angelcop,1.0,0.0,0.0
56,angelheart,1.0,0.0,0.0
57,angellinks,1.0,0.0,0.0
58,angelsanctuary,1.0,0.0,0.0
59,angeltales,1.0,0.0,0.0
60,angeliclayer,1.0,0.0,0.0
61,animaldetectiveskiruminzoo,1.0,0.0,0.0
62,animalyokocho,1.0,0.0,0.0
63,animegataris,1.0,0.0,0.0
64,annehappy,1.0,0.0,0.0
65,anohanatheflowerwesawthatday,1.0,0.0,0.0
66,aoharuxmachinegun,1.0,0.0,0.0
67,aquarionevol,1.0,0.0,0.0
68,arabiannightsadventuresofsinbad,1.0,0.0,0.0
69,arakawaunderthebridge,1.0,0.0,0.0
70,argentosoma,1.0,0.0,0.0
71,ariathescarletammo,1.0,0.0,0.0
72,armitageiii,1.0,0.0,0.0
73,armoredtroopervotoms,1.0,0.0,0.0
74,asmissbeelzebublikes,1.0,0.0,0.0
75,ashitanonadja,1.0,0.0,0.0
76,askdrrin,1.0,0.0,0.0
77,asobiasobase,1.0,0.0,0.0
78,assassinationclassroom,1.0,0.0,0.0
79,assaultlilybouquet,1.0,0.0,0.0
80,astroboy,1.0,0.0,0.0
81,asuracryin,1.0,0.0,0.0
82,atomthebeginning,1.0,0.0,0.0
83,attacknumberone,1.0,0.0,0.0
84,attackontitan,1.0,0.0,0.0
85,attackontitanjuniorhigh,1.0,0.0,0.0
86,attackeryou,1.0,0.0,0.0
87,aurabattlerdunbine,1.0,0.0,0.0
88,avenger,1.0,0.0,0.0
89,ayakashiayashi,1.0,0.0,0.0
90,ayakashisamuraihorrortales,1.0,0.0,0.0
91,azumangadaioh,1.0,0.0,0.0
92,azurlane,1.0,0.0,0.0
93,bdamancrossfire,1.0,0.0,0.0
94,beck,1.0,0.0,0.0
95,bgatahkei,1.0,0.0,0.0
96,bnabrandnewanimal,1.0,0.0,0.0
97,bproject,1.0,0.0,0.0
98,bthebeginning,1.0,0.0,0.0
99,babelii,1.0,0.0,0.0
100,babyfelixandfriends,1.0,0.0,0.0
101,babysteps,1.0,0.0,0.0
102,baccano,1.0,0.0,0.0
103,backarrow,1.0,0.0,0.0
104,backstreetgirls,1.0,0.0,0.0
105,backflip,1.0,0.0,0.0
106,bakaandtestsummonthebeasts,1.0,0.0,0.0
