i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
0,doctorwho,0.017587939698492462,0.1855108877721943,0.07244556113902847,0.08835845896147404,0.032663316582914576,0.10510887772194305,0.0347571189279732,0.042294807370184255,0.024706867671691793,0.010887772194304857,0.05695142378559464,0.019262981574539362,0.05150753768844221,0.020100502512562814,0.06658291457286432,0.01423785594639866,0.012144053601340033,0.005443886097152429,0.007537688442211055,0.05611390284757119,0.03015075376884422,0.012144053601340033,0.007956448911222781,0.01675041876046901,0.005862646566164154,0.002931323283082077
1,thesimpsons,0.018541930046354824,0.19131900547829753,0.0855457227138643,0.08807416772018542,0.03034134007585335,0.09987357774968394,0.03413400758533502,0.04804045512010114,0.033291192583227984,0.012220817530552043,0.056890012642225034,0.016013485040033713,0.05309734513274336,0.01980615254951538,0.05436156763590392,0.01053518752633797,0.012220817530552043,0.0050568900126422255,0.01053518752633797,0.041719342604298354,0.02781289506953224,0.018120522545301308,0.008428150021070375,0.017277707543194267,0.00337126000842815,0.00337126000842815
2,mylittleponyfriendshipismagic,0.015186378278877128,0.19144040497008744,0.08191440404970088,0.09479981592268753,0.031753336401288544,0.1063046479521399,0.02393005062126093,0.04095720202485044,0.02577082374597331,0.011965025310630465,0.06028531983433042,0.02024850437183617,0.057063966866083754,0.017487344684767602,0.04693971468016567,0.013345605154164749,0.01150483202945237,0.005522319374137137,0.0050621260929590425,0.061665899677864705,0.028992176714219973,0.016566958122411414,0.008743672342383801,0.014726184997699034,0.004601932811780948,0.0032213529682466636
3,buffythevampireslayer,0.014676113360323886,0.1882591093117409,0.07236842105263158,0.09868421052631579,0.035931174089068825,0.11386639676113361,0.032388663967611336,0.0465587044534413,0.02479757085020243,0.010121457489878543,0.061234817813765184,0.02277327935222672,0.04908906882591093,0.021761133603238867,0.040991902834008095,0.01720647773279352,0.011639676113360324,0.006072874493927126,0.008097165991902834,0.05313765182186235,0.0354251012145749,0.0075910931174089065,0.005566801619433198,0.01417004048582996,0.004048582995951417,0.00354251012145749
4,futurama,0.017373530914665303,0.1936637710781809,0.0802248339294839,0.09555442003065917,0.03168114460909555,0.1032192130812468,0.025549310168625446,0.04241185487991824,0.031170158405723045,0.012263668880940215,0.05620848237097598,0.01890648952478283,0.057230454777721,0.018395503321410323,0.06693919264179868,0.009708737864077669,0.013285641287685232,0.0035769034236075624,0.010219724067450179,0.044966785896780784,0.021972406745017884,0.015329586101175269,0.006642820643842616,0.015840572304547777,0.004087889626980072,0.0035769034236075624
5,familyguy,0.017467248908296942,0.21561135371179038,0.0906113537117904,0.10480349344978165,0.03275109170305677,0.09388646288209607,0.035480349344978165,0.05403930131004367,0.03820960698689956,0.01146288209606987,0.06168122270742358,0.016375545851528384,0.05349344978165939,0.018013100436681223,0.034934497816593885,0.006004366812227074,0.009279475982532752,0.0032751091703056767,0.010917030567685589,0.026746724890829694,0.0212882096069869,0.015283842794759825,0.006004366812227074,0.019650655021834062,0.0016375545851528383,0.001091703056768559
6,naruto,0.008036739380022962,0.18427095292766935,0.05109070034443169,0.10045924225028703,0.03788748564867968,0.12342135476463835,0.01951779563719862,0.04764638346727899,0.007462686567164179,0.014351320321469576,0.07347876004592423,0.022962112514351322,0.05109070034443169,0.024110218140068886,0.04075774971297359,0.02066590126291619,0.012055109070034443,0.005166475315729047,0.004592422502870264,0.06888633754305395,0.040183696900114814,0.00975889781859931,0.012055109070034443,0.010332950631458095,0.0057405281285878304,0.004018369690011481
7,avatarthelastairbender,0.01071630005640158,0.1889452904681331,0.05752961082910321,0.10547095318668923,0.03440496333897349,0.12408347433728144,0.026508742244782856,0.03666102650874224,0.015792442188381276,0.01071630005640158,0.06091370558375635,0.023688663282571912,0.05696559503666103,0.018612521150592216,0.049069373942470386,0.02086858432036097,0.009024252679075015,0.0045121263395375075,0.0045121263395375075,0.06147772137619854,0.03778905809362662,0.01353637901861252,0.01015228426395939,0.01015228426395939,0.003948110547095319,0.003948110547095319
8,startrekthenextgeneration,0.02041973908111174,0.19001701644923427,0.05955757231990925,0.10833806012478729,0.03516732841747022,0.12081678956324447,0.02949517867271696,0.036301758366420876,0.016449234259784458,0.006239364719228588,0.05331820760068066,0.0238230289279637,0.05331820760068066,0.02041973908111174,0.07090187180941576,0.015314804310833806,0.012478729438457176,0.003403289846851957,0.009075439591605219,0.04367555303460011,0.03460011344299489,0.00737379466817924,0.0045377197958026095,0.01588201928530913,0.005104934770277935,0.003970504821327283
9,supernatural,0.015240328253223915,0.19050410316529895,0.049824150058616644,0.10785463071512309,0.041031652989449004,0.12192262602579132,0.03634232121922626,0.04865181711606096,0.022860492379835874,0.005861664712778429,0.053927315357561546,0.0246189917936694,0.047479484173505275,0.023446658851113716,0.041617819460726846,0.016412661195779603,0.00996483001172333,0.0035169988276670576,0.008206330597889801,0.05451348182883939,0.03458382180539273,0.008792497069167644,0.007033997655334115,0.017584994138335287,0.005275498241500586,0.0029308323563892145
