Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
858/0.04734379300853289,2295/0.004321546412824481,33/0.01202014443177499,263/0.0076877096270713645,244/0.025376747091434372,276/0.007834776130904981,1333/0.025401701323251417,2015/0.01890831252229754,91/0.030141843971631204,88/0.08011869436201781,734/0.013965087281795512,111/0.03380237402719912,1283/0.015504740658114892,124/0.03684123575086734,742/0.014370837714686295,2503/0.04032417473809053,514/0.054027504911591355,205/0.12852112676056338,2033/0.07930859176410777,292/0.014705882352941176,168/0.02588670364767188,402/0.060664730558244596,525/0.08179419525065963,1547/0.04587884806355511,2201/0.1419284940411701,2072/0.17872968980797638
357/0.04679328378750344,1527/0.004306946593862236,506/0.011877613074876473,2559/0.007637897253677813,2114/0.02225345514171937,548/0.0074494592720080145,136/0.0222117202268431,917/0.01855155190866928,752/0.02675693101225016,886/0.06312381980037766,385/0.013507896924355778,31/0.03230878075622986,1860/0.014723926380368098,1236/0.03320667437634231,1430/0.013582194181563267,278/0.03419648151808658,430/0.053290766208251475,1661/0.11443661971830986,2303/0.06609049313675648,2163/0.014458724666337124,498/0.024121701126239705,845/0.051306873184898356,1864/0.06420404573438875,560/0.03773584905660377,453/0.09967497291440953,573/0.1757754800590842
1610/0.04266446462978255,839/0.004292346774899991,1164/0.011687571265678449,1126/0.0075216683824261945,2391/0.021941125946747873,475/0.006987079041331655,1118/0.02138468809073724,937/0.017909382804138424,2454/0.02385557704706641,1792/0.05206366333962773,459/0.013258520365752285,1562/0.0321515604119173,290/0.01422197434467373,199/0.03254584503551958,1924/0.012355415352260778,1461/0.03380114647163471,227/0.050589390962671905,1216/0.0994718309859155,719/0.06558210472801221,387/0.014211566979733069,1605/0.023365271474197345,1943/0.03904485317844466,2382/0.06376429199648197,1397/0.03634558093346574,2638/0.09642470205850487,987/0.12259970457902511
1579/0.036608863198458574,883/0.004277746955937746,1888/0.011497529456480426,1170/0.007073357021884236,393/0.020457562270633247,1152/0.006935703460145393,171/0.021148393194706995,60/0.01691045308597931,1810/0.02192134107027724,78/0.04936606420285945,1928/0.012385702410640067,1588/0.028456882320572283,463/0.01422197434467373,1986/0.030232942342640012,959/0.012092534174553101,820/0.033603478948408774,1536/0.05034381139489195,2440/0.09330985915492958,676/0.057956278596847995,1404/0.014211566979733069,1857/0.023113128256849892,2047/0.03743142949338496,2249/0.06244503078276165,810/0.0349553128103277,1649/0.09100758396533044,2030/0.10782865583456426
1639/0.03495733553537022,270/0.004117148947353053,174/0.011354998099581909,1063/0.006957128150632617,306/0.018895916295775746,52/0.006910015669552262,283/0.02055765595463138,989/0.016696396717802355,1878/0.02192134107027724,1862/0.04909630428918263,868/0.012385702410640067,1074/0.028063831459790897,895/0.01411042944785276,433/0.029737320337022963,455/0.011216263582194182,507/0.03320814390195691,887/0.04960707269155206,332/0.08450704225352113,919/0.05490594814438231,2053/0.01384083044982699,853/0.022945032778618254,530/0.03743142949338496,142/0.05804749340369393,309/0.03455809334657398,2439/0.08775731310942579,1450/0.10782865583456426
727/0.03495733553537022,505/0.004102549128390808,716/0.01097491448118586,1176/0.006874107528310032,721/0.01850550480206137,1423/0.0068586400883659995,125/0.01973062381852552,204/0.015554762754191938,524/0.020793036750483558,1592/0.046938224979768,978/0.011637572734829594,1632/0.026570238188821635,1754/0.01411042944785276,48/0.029406905666611596,722/0.011216263582194182,110/0.03281280885550504,2473/0.047396856581532414,2345/0.08274647887323944,1199/0.05236400610066091,1825/0.01384083044982699,1052/0.022104555387460076,1318/0.03323652791222975,2670/0.05760773966578716,856/0.033962264150943396,971/0.08234019501625135,2593/0.09601181683899557
1149/0.03220478943022296,2130/0.0039857505766928494,2228/0.01097491448118586,581/0.0068408992793809985,1119/0.018427422503318497,1060/0.006755888925993475,1591/0.019139886578449904,446/0.015198002140563683,1331/0.020470664087685365,621/0.04316158618829242,795/0.011346633416458854,2183/0.026334407672352803,450/0.01388733965421082,66/0.02907649099620023,1720/0.011041009463722398,681/0.03162680371614943,939/0.0469056974459725,813/0.07746478873239436,1992/0.04880528723945094,2319/0.013593672763222936,267/0.021516221213649354,1138/0.03323652791222975,1620/0.055848724714160074,297/0.03118172790466733,1211/0.07367280606717226,546/0.07976366322008863
1145/0.030002752546105148,41/0.0039711507577306045,521/0.010452299505891296,80/0.0067246704081293796,112/0.018193175607089874,1961/0.006704513344807213,2558/0.018431001890359167,1577/0.014912593649661077,880/0.019825918762088973,134/0.042891826274615595,420/0.011305070656691604,2536/0.025784136467258863,362/0.013831567205800335,464/0.02907649099620023,700/0.010865755345250614,98/0.029650128483890096,2271/0.0469056974459725,1254/0.06778169014084508,2620/0.04880528723945094,664/0.013037567968363816,1824/0.02118003025718608,1726/0.03130041949015812,1788/0.051451187335092345,953/0.030983118172790466,2220/0.056338028169014086,1140/0.07533234859675036
679/0.028626479493531518,2144/0.00392735130084387,422/0.009692132269099202,207/0.006708066283664862,289/0.018115093308346996,295/0.006678825554214082,2667/0.018431001890359167,296/0.014056368176953264,434/0.019825918762088973,1465/0.0410035068788778,1561/0.011305070656691604,1618/0.025548305950790034,1073/0.013552704963747908,1399/0.028415661655377497,85/0.01069050122677883,2014/0.029057125914212296,221/0.04543222003929273,656/0.06426056338028169,2284/0.041687849517031014,610/0.012975778546712802,553/0.020759791561606993,743/0.030977734753146177,533/0.05013192612137203,1291/0.030585898709036743,2326/0.05308775731310943,1663/0.03545051698670606
1252/0.028626479493531518,1142/0.00389815166291938,130/0.009692132269099202,614/0.006691462159200345,1652/0.017490434918403998,516/0.00662744997302782,240/0.017840264650283554,64/0.013699607563325009,2157/0.019825918762088973,2612/0.03911518748314,758/0.01113881961762261,150/0.02476220422922726,2206/0.013385387618516454,830/0.028415661655377497,2550/0.01025236593059937,20/0.028464123344534492,2237/0.04469548133595285,670/0.061619718309859156,1340/0.041687849517031014,935/0.01272862086010875,1796/0.02059169608337536,640/0.030009680542110357,2432/0.04661389621811785,444/0.029592850049652432,1324/0.05308775731310943,976/0.0206794682422452
