Topic 1,Topic 2,Topic 3,Topic 4
88/0.00722574994525947,263/0.0027617224081265025,111/0.002856402659775872,205/0.0533625730994152
886/0.005693015108386249,2559/0.002743827878484214,31/0.002730189518995078,2201/0.04788011695906433
1547/0.00562002773520181,1126/0.0027020739759855412,1562/0.002716903925228678,1661/0.04751461988304093
124/0.005425394740043306,1170/0.0025410232092049462,1588/0.0024046924717182924,2072/0.04422514619883041
514/0.005352407366858867,1063/0.0024992693067062734,1074/0.002371478487302294,573/0.04349415204678363
430/0.005279419993674428,1176/0.0024694450906357925,1632/0.0022452653465214996,1216/0.041301169590643276
227/0.0050117996253314845,581/0.0024575154042076005,734/0.0022319797527551,2440/0.03874269005847953
1536/0.004987470500936671,80/0.0024157615017089277,2183/0.0022253369558719004,332/0.03508771929824561
2503/0.004963141376541858,207/0.0024097966584948317,2536/0.0021788373776895024,2345/0.03435672514619883
887/0.004914483127752232,614/0.0024038318152807352,1618/0.002158908987039903,453/0.033625730994152045
1236/0.004890154003357419,26/0.0023978669720666392,244/0.002158908987039903,2638/0.03252923976608187
199/0.004792837505778167,318/0.0023919021288525432,385/0.002158908987039903,813/0.03216374269005848
1792/0.004695521008198915,744/0.0023441833831397744,459/0.002119052205740705,1649/0.03070175438596491
2473/0.004695521008198915,408/0.002338218539925678,150/0.0020924810182079063,987/0.03033625730994152
939/0.004646862759409289,486/0.002326288853497486,180/0.0020858382213247064,2439/0.029605263157894735
2271/0.004646862759409289,698/0.0023024294806411015,90/0.0020526242369087082,1254/0.028143274853801168
560/0.004622533635014476,1955/0.002290499794212909,1434/0.0020459814400255083,971/0.027777777777777776
402/0.00457387538622485,1931/0.0022726052645706206,168/0.0020459814400255083,656/0.0266812865497076
91/0.004549546261830037,765/0.0022666404213565246,226/0.0020393386431423084,2030/0.0266812865497076
525/0.004525217137435224,1322/0.0022666404213565246,451/0.002032695846259109,1450/0.0266812865497076
221/0.0045008880130404105,38/0.0022368162052860442,101/0.0019795534711935115,670/0.025584795321637425
78/0.0044522297642507844,65/0.00221295683242966,868/0.0019795534711935115,1211/0.024853801169590642
1397/0.0044522297642507844,661/0.002189097459573275,2435/0.0019795534711935115,2593/0.023757309941520467
1986/0.0044522297642507844,67/0.002183132616359179,1928/0.0019795534711935115,546/0.019736842105263157
1862/0.004427900639855971,351/0.002177167773145083,194/0.0019729106743103116,2220/0.019005847953216373
2237/0.004427900639855971,1343/0.002171202929930987,2541/0.0019529822836607126,2650/0.019005847953216373
433/0.004379242391066345,897/0.0021473435570746025,236/0.0019529822836607126,1140/0.01864035087719298
48/0.004330584142276719,903/0.0021473435570746025,498/0.0019064827054783146,2326/0.017909356725146198
810/0.004281925893487093,902/0.0021234841842182176,477/0.0018931971117119152,1324/0.017909356725146198
