i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
0,acertainmagicalindex,0.18801652892561985,0.024793388429752067,0.4256198347107438,0.13636363636363635,0.17148760330578514,0.04442148760330578,0.009297520661157025
1,acertainscientificrailgun,0.23443983402489627,0.029045643153526972,0.42946058091286304,0.1037344398340249,0.14937759336099585,0.04564315352697095,0.008298755186721992
2,achannel,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.0
3,adestructivegodsitsnexttome,0.21951219512195122,0.0,0.4878048780487805,0.04878048780487805,0.1951219512195122,0.04878048780487805,0.0
4,aicoincarnation,0.10714285714285714,0.03571428571428571,0.4642857142857143,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.0
5,akb0048,0.16058394160583941,0.014598540145985401,0.4306569343065693,0.15328467153284672,0.16058394160583941,0.08029197080291971,0.0
6,alittlesnowfairysugar,0.30952380952380953,0.011904761904761904,0.3333333333333333,0.14285714285714285,0.15476190476190477,0.047619047619047616,0.0
7,aplacefurtherthantheuniverse,0.2767857142857143,0.017857142857142856,0.5,0.08928571428571429,0.07142857142857142,0.03571428571428571,0.008928571428571428
8,apolarbearinlove,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
9,aria,0.16666666666666666,0.017241379310344827,0.40804597701149425,0.19540229885057472,0.1781609195402299,0.028735632183908046,0.005747126436781609
10,asistersallyouneed,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0
11,accelworld,0.22435897435897437,0.04487179487179487,0.3525641025641026,0.14102564102564102,0.17307692307692307,0.057692307692307696,0.00641025641025641
12,aceattorney,0.26851851851851855,0.018518518518518517,0.47685185185185186,0.125,0.06944444444444445,0.032407407407407406,0.009259259259259259
13,actionheroinecheerfruits,0.27586206896551724,0.05747126436781609,0.42528735632183906,0.13793103448275862,0.04597701149425287,0.05747126436781609,0.0
14,activeraid,0.1917808219178082,0.0273972602739726,0.3972602739726027,0.1232876712328767,0.1095890410958904,0.0958904109589041,0.0547945205479452
15,adachiandshimamura,0.3088235294117647,0.0,0.39705882352941174,0.1323529411764706,0.07352941176470588,0.08823529411764706,0.0
16,aestheticaofaroguehero,0.19753086419753085,0.0,0.4074074074074074,0.15432098765432098,0.19753086419753085,0.037037037037037035,0.006172839506172839
17,afrosamurai,0.21544715447154472,0.012195121951219513,0.5,0.14227642276422764,0.08943089430894309,0.036585365853658534,0.0040650406504065045
18,aftertherain2014,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
19,afterwargundamx,0.20303030303030303,0.015151515151515152,0.4393939393939394,0.1606060606060606,0.14545454545454545,0.030303030303030304,0.006060606060606061
20,agathachristiesgreatdetectivespoirotandmarple,0.17857142857142858,0.03571428571428571,0.42857142857142855,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.03571428571428571
21,agentaika,0.18110236220472442,0.007874015748031496,0.41732283464566927,0.1889763779527559,0.16535433070866143,0.03937007874015748,0.0
22,aggretsuko,0.2857142857142857,0.023255813953488372,0.45514950166112955,0.09302325581395349,0.08637873754152824,0.036544850498338874,0.019933554817275746
23,ahmybuddha,0.2545454545454545,0.01818181818181818,0.4,0.14545454545454545,0.10909090909090909,0.05454545454545454,0.01818181818181818
24,ahmygoddess,0.23969465648854962,0.01984732824427481,0.40916030534351144,0.11145038167938931,0.16793893129770993,0.03816793893129771,0.013740458015267175
25,ahogirl,0.16666666666666666,0.1111111111111111,0.3888888888888889,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.0
26,aiyoriaoshi,0.2976190476190476,0.015873015873015872,0.39285714285714285,0.13095238095238096,0.10714285714285714,0.03968253968253968,0.015873015873015872
27,aikatsu,0.29838709677419356,0.008064516129032258,0.4274193548387097,0.11290322580645161,0.08064516129032258,0.07258064516129033,0.0
28,aikatsustars,0.22784810126582278,0.0379746835443038,0.4430379746835443,0.08860759493670886,0.13924050632911392,0.06329113924050633,0.0
29,aimfortheace,0.19148936170212766,0.0,0.425531914893617,0.14893617021276595,0.14893617021276595,0.0851063829787234,0.0
30,airgear,0.2230769230769231,0.017948717948717947,0.4205128205128205,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.005128205128205128
31,airmaster,0.2716049382716049,0.024691358024691357,0.38271604938271603,0.08641975308641975,0.12345679012345678,0.1111111111111111,0.0
32,aishiteruzebaby,0.3333333333333333,0.0,0.42105263157894735,0.14035087719298245,0.05263157894736842,0.03508771929824561,0.017543859649122806
33,aiura,0.0,0.0,0.0,0.4,0.2,0.4,0.0
34,akagi,0.24342105263157895,0.046052631578947366,0.5,0.11842105263157894,0.05921052631578947,0.02631578947368421,0.006578947368421052
35,akahorigedouhourlovege,0.2028985507246377,0.028985507246376812,0.4057971014492754,0.08695652173913043,0.17391304347826086,0.10144927536231885,0.0
36,akamegakill,0.20212765957446807,0.010638297872340425,0.46808510638297873,0.13829787234042554,0.1276595744680851,0.0425531914893617,0.010638297872340425
37,akazukinchacha,0.19879518072289157,0.006024096385542169,0.3855421686746988,0.1686746987951807,0.14457831325301204,0.0963855421686747,0.0
38,akikan,0.26666666666666666,0.011111111111111112,0.36666666666666664,0.16666666666666666,0.1111111111111111,0.07777777777777778,0.0
39,akudaisakusensrungle,0.0,0.05263157894736842,0.42105263157894735,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.0
40,akumanoriddle,0.21511627906976744,0.023255813953488372,0.5058139534883721,0.09302325581395349,0.10465116279069768,0.03488372093023256,0.023255813953488372
41,albegas,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.36363636363636365,0.0
42,alderaminonthesky,0.1875,0.0,0.4375,0.1875,0.0625,0.125,0.0
43,aldnoahzero,0.19337016574585636,0.019337016574585635,0.43646408839779005,0.143646408839779,0.15469613259668508,0.049723756906077346,0.0027624309392265192
44,allpurposeculturalcatgirlnukunuku,0.22522522522522523,0.036036036036036036,0.38738738738738737,0.11711711711711711,0.12612612612612611,0.0990990990990991,0.009009009009009009
45,allisonandlillia,0.36666666666666664,0.022222222222222223,0.3111111111111111,0.17777777777777778,0.08888888888888889,0.022222222222222223,0.011111111111111112
46,alpsstoriesmyannette,0.30952380952380953,0.047619047619047616,0.4642857142857143,0.10714285714285714,0.011904761904761904,0.047619047619047616,0.011904761904761904
47,amagibrilliantpark,0.272,0.024,0.496,0.064,0.108,0.028,0.008
48,amatsuki,0.21951219512195122,0.016260162601626018,0.3983739837398374,0.12195121951219512,0.17886178861788618,0.06504065040650407,0.0
49,andyetthetownmoves,0.22580645161290322,0.0,0.41935483870967744,0.16129032258064516,0.06451612903225806,0.0967741935483871,0.03225806451612903
50,andersenmonogatari,0.0625,0.0625,0.5625,0.0625,0.0625,0.1875,0.0
51,androidannouncermaico2010,0.4166666666666667,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.25,0.0
52,andromedastories,0.0,0.125,0.25,0.0,0.375,0.25,0.0
53,angevierge,0.17142857142857143,0.02857142857142857,0.34285714285714286,0.08571428571428572,0.14285714285714285,0.22857142857142856,0.0
54,angelbeats,0.23366834170854273,0.017587939698492462,0.48743718592964824,0.12814070351758794,0.10301507537688442,0.02763819095477387,0.002512562814070352
55,angelcop,0.23255813953488372,0.023255813953488372,0.4186046511627907,0.13953488372093023,0.11627906976744186,0.046511627906976744,0.023255813953488372
56,angelheart,0.09523809523809523,0.023809523809523808,0.47619047619047616,0.21428571428571427,0.047619047619047616,0.09523809523809523,0.047619047619047616
57,angellinks,0.14814814814814814,0.0,0.4444444444444444,0.14814814814814814,0.2037037037037037,0.05555555555555555,0.0
58,angelsanctuary,0.1958041958041958,0.006993006993006993,0.4405594405594406,0.11888111888111888,0.15384615384615385,0.08391608391608392,0.0
59,angeltales,0.28,0.0,0.16,0.16,0.12,0.28,0.0
60,angeliclayer,0.2641509433962264,0.012578616352201259,0.37735849056603776,0.1509433962264151,0.11320754716981132,0.06289308176100629,0.018867924528301886
61,animaldetectiveskiruminzoo,0.20930232558139536,0.023255813953488372,0.4186046511627907,0.10465116279069768,0.13953488372093023,0.10465116279069768,0.0
62,animalyokocho,0.2,0.0,0.52,0.08,0.08,0.12,0.0
63,animegataris,0.304,0.04,0.392,0.128,0.072,0.064,0.0
64,annehappy,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.0
65,anohanatheflowerwesawthatday,0.2866666666666667,0.013333333333333334,0.5066666666666667,0.10666666666666667,0.06666666666666667,0.02,0.0
66,aoharuxmachinegun,0.22826086956521738,0.03260869565217391,0.5,0.09782608695652174,0.09782608695652174,0.043478260869565216,0.0
67,aquarionevol,0.2645739910313901,0.013452914798206279,0.4618834080717489,0.10762331838565023,0.10762331838565023,0.04484304932735426,0.0
68,arabiannightsadventuresofsinbad,0.225,0.0,0.325,0.1,0.225,0.125,0.0
69,arakawaunderthebridge,0.29508196721311475,0.02459016393442623,0.4098360655737705,0.11475409836065574,0.09836065573770492,0.05737704918032787,0.0
70,argentosoma,0.2619047619047619,0.0,0.47619047619047616,0.07142857142857142,0.09523809523809523,0.09523809523809523,0.0
