Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
1170/0.008696071199546292,2295/0.06036673159989837,1126/0.0073433501884404674,402/0.016987285837993575,781/0.009462723563629127,1618/0.07568286765281365,2434/0.1256202780633913
744/0.008347635269129688,2405/0.04573558058778691,1063/0.00634240474829275,2435/0.015991842218139735,475/0.009381304336026198,1825/0.05509900602645378,296/0.042916536277884575
1187/0.008262379669134137,362/0.04336410603879055,263/0.005583832418421097,1587/0.013418256274127368,191/0.00806955011353459,88/0.054003287156609535,125/0.04135187089275336
698/0.008014026399581877,624/0.0407597188108749,2559/0.004899267145122287,1434/0.011969602550925438,807/0.007942897981707813,468/0.03438470167749341,752/0.041217756716884976
581/0.007591455164821315,2573/0.03660963835013128,207/0.004884465733807719,1306/0.011751090536811181,1283/0.007870525334949656,78/0.02324489316741019,1935/0.038669587375385575
311/0.007302327477879879,839/0.03006690946048954,111/0.004429322335884727,202/0.011087461456908622,292/0.007680547137209491,887/0.01873157496543268,830/0.030399213196834904
80/0.007079921564848004,686/0.027716608791394936,1955/0.004296109634053607,2541/0.01099843804375096,1563/0.007662453975519953,2163/0.018418512431191462,473/0.027806339130046046
65/0.006979838903983661,1888/0.026297958837977472,803/0.00409999093413557,819/0.01082039121743564,1080/0.007553895005382716,387/0.018418512431191462,2258/0.024587598909204703
486/0.006898290069205307,33/0.024858135004658253,1343/0.0040814891699923585,2536/0.010634251353560532,430/0.007318683903418703,134/0.01771412172914873,483/0.024140551656310072
67/0.0066647638605218384,2570/0.02403235368848988,318/0.004011182466248157,150/0.010585693128201809,115/0.00709251938229946,221/0.01771412172914873,1701/0.02400643748044168
26/0.006661057095304641,297/0.02350300669094605,649/0.003770659532386413,420/0.010205320362891804,558/0.007047286478075611,269/0.01635751741410347,1366/0.023291161875810273
614/0.006646230034435849,895/0.02265605149487592,617/0.003685551417327642,701/0.009679272921505628,290/0.007011100154696533,495/0.01573139234562104,2026/0.023022933524073495
408/0.00629038057358485,90/0.022486660455661896,903/0.0035689903032254124,853/0.00943648179471201,1404/0.006857308280335447,1943/0.015470506900420025,2454/0.02195002011712638
747/0.006060561130118579,224/0.021682053019395273,38/0.0035116348343814585,477/0.009250341930836901,514/0.006739702729353441,1592/0.015444418355899924,1103/0.02105592561133712
351/0.0060197867127294025,1895/0.020644532904209367,1762/0.003504234128724174,180/0.009039922954282431,655/0.006640190340060974,2311/0.014844381831937595,919/0.02051946890786356
998/0.005838155217086705,252/0.01939527399000593,1322/0.0034931330702382473,2047/0.008772852714809449,1446/0.006549724531613277,1023/0.014818293287417496,2057/0.020474764182574098
345/0.005827034921435111,1415/0.01820953671550775,31/0.0034616800711947883,498/0.008416759062178808,2319/0.00645021214232081,1864/0.014374788030575774,893/0.02020653583083732
661/0.005782553738828736,35/0.01808249343609723,1176/0.0033765719561360177,553/0.008246805273423275,886/0.00644116556147604,1832/0.013905194229213953,240/0.01993830747910054
1775/0.005667644017095601,124/0.01795545015668671,1931/0.003300714723148852,1073/0.007680292644238162,386/0.006414025818941731,1469/0.013200803527171219,1615/0.019670079127363762
2225/0.005486012521452904,1392/0.017066147200813078,1275/0.0031675020213177327,857/0.00756699011840114,2589/0.006305466848804495,272/0.012913829537450105,1445/0.019312441325048058
396/0.005348862208416581,1838/0.015880409926314898,1562/0.003158251139246127,267/0.00711378001505305,706/0.006196907878667258,455/0.012913829537450105,802/0.01819482319281148
708/0.005337741912764988,2044/0.01543575844837808,901/0.003126798140202668,83/0.006668662949264747,610/0.006097395489374791,1093/0.012835563903889803,2182/0.017077205060574904
765/0.005334035147547789,889/0.014842889811128992,1797/0.0029898850855429064,231/0.00645015093515049,2503/0.006034069423461403,2111/0.012470324280608385,253/0.016987795609995977
902/0.005322914851896196,2572/0.014821715931227239,274/0.002949181204427842,1897/0.006369220559552617,227/0.005853137806566008,1726/0.011948553390206361,2373/0.016496043631811882
466/0.005319208086678998,2552/0.013699500296434318,2183/0.002838170619568576,525/0.006223545883476445,2633/0.005753625417273541,1602/0.011818110667605854,775/0.01604899637891725
99/0.005274726904072623,918/0.013699500296434318,2629/0.002825219384668328,890/0.006166894620557934,658/0.0055998335429124566,809/0.011635490855965146,518/0.015780768027180474
459/0.005259899843203832,588/0.013572457017023799,852/0.0028178186790110437,935/0.006085964244960061,2271/0.005500321153619989,2345/0.011426782499804337,326/0.014618445169654432
1059/0.00522653895624905,1610/0.013148979418988736,1412/0.002767863915824374,151/0.0060374060196013365,1792/0.00549127457277522,1997/0.011348516866244033,676/0.014350216817917654
244/0.005159817182339488,412/0.012894892860167697,938/0.0027438116224381996,928/0.005859359193286016,557/0.0054369950877066016,1909/0.011322428321723931,1884/0.013545531762707319
1078/0.005081975112778332,954/0.012873718980265944,1256/0.0027382610931952363,2341/0.005802707930367505,196/0.005418901926017062,1216/0.010931100153922412,2665/0.013232598685681076
183/0.005078268347561134,678/0.011709155585669519,2061/0.0026846059771799243,1871/0.005689405404530483,366/0.005400808764327522,2300/0.009887558373118364,2453/0.012070275828155036
1039/0.005041200695389155,532/0.011560938426357246,1467/0.0026716547422796764,225/0.005559916803573885,445/0.005382715602637983,2392/0.009678850016957554,1847/0.01184675220170772
587/0.005033787164954759,1342/0.01132802574743796,897/0.0026568533309651076,977/0.005551823766014098,939/0.005355575860103674,984/0.009548407294357047,1992/0.011355000223523627
174/0.004933704504090416,165/0.010544592191073092,1310/0.0026087487441927588,1506/0.005519451615774949,574/0.0052470168899664375,995/0.009209256215595731,452/0.01095265769591846
476/0.004922584208438822,1410/0.009972897433725756,39/0.002606898567778438,1363/0.0054951725030955864,1538/0.0052470168899664375,1449/0.009130990582035429,2442/0.010907952970628996
440/0.004852155669312062,1974/0.009909375794020497,264/0.0025976476857068323,517/0.005478986427976012,664/0.005237970309121667,785/0.008322245701912291,291/0.010818543520050069
866/0.00481879478235728,2418/0.009888201914118743,981/0.0025698950394920156,1642/0.005381869977258564,1755/0.005138457919829201,2129/0.008087448801231379,2588/0.010818543520050069
1189/0.0048113812519228845,1939/0.00980350639451173,371/0.0025680448630776946,1862/0.005341404789459628,1151/0.005093225015605352,484/0.007957006078630873,1251/0.010147972640708124
682/0.004796554191054092,1880/0.009676463115101211,1988/0.0025643445102490523,2053/0.005300939601660691,2329/0.005029898949691964,2339/0.007643943544389659,2349/0.010013858464839733
736/0.004700178295406947,510/0.009358854916574913,2114/0.00254399256969152,1326/0.005236195301182393,1593/0.004966572883778576,1318/0.007409146643708748,1383/0.009924449014260808
194/0.004514840034547052,401/0.0082789870415855,1588/0.002525490805548309,545/0.005220009226062818,1817/0.004939433141244266,1003/0.007330881010148444,1503/0.009656220662524029
1186/0.004448118260637489,2356/0.00821546540188024,1019/0.0025217904527196668,339/0.005155264925584519,1181/0.004903246817865188,2316/0.007096084109467533,2181/0.009432697036076713
789/0.0043739829562935316,2599/0.007982552722960955,1136/0.002486637100847566,1111/0.005139078850464945,1982/0.0048399207519518,190/0.007069995564947432,2284/0.00894094505789262
429/0.004370276191076334,1262/0.007664944524434657,1767/0.002473685865947318,979/0.005122892775345371,625/0.0048399207519518,76/0.007017818475907229,2230/0.008896240332603157
645/0.00423312587804001,2143/0.0074320318455153725,451/0.002457034278218428,273/0.005114799737785583,62/0.0047856412668831816,700/0.006783021575226318,2117/0.00867271670615584
2388/0.004218298817171219,2243/0.006902684847971542,1975/0.0024459332197325017,1099/0.005074334549986646,1154/0.004767548105193642,2236/0.006756933030706217,1556/0.008359783629129598
585/0.004210885286736824,1334/0.00675446768865927,1133/0.002420030749932006,876/0.005001497211948561,1082/0.0047585015243488725,1734/0.0066786673971459135,1148/0.008359783629129598
419/0.004203471756302427,1971/0.006330990090624206,2130/0.0024163303971033636,1611/0.004961032024149624,1180/0.004749454943504102,872/0.006652578852625812,1990/0.008180964727971746
1890/0.004188644695433636,435/0.00616159905141018,2217/0.0024126300442747217,463/0.004952938986589836,699/0.004713268620125024,1781/0.006626490308105711,1899/0.008136260002682284
730/0.0041812311649992405,1803/0.005992208012196154,917/0.0024070795150317585,316/0.004904380761231113,1461/0.004695175458435484,2226/0.006443870496465002,1245/0.006750413518708928
1497/0.004170110869347646,2637/0.005971034132294402,1364/0.002405229338617437,447/0.0048477294983126015,259/0.004668035715901175,1212/0.0061047194177036865,1272/0.006482185166972149
1523/0.004147870278044459,1014/0.005865164732785636,1632/0.002399678809374474,2401/0.004815357348073452,2535/0.004586616488298247,1902/0.0061047194177036865,331/0.00621395681523537
461/0.004140456747610063,2233/0.00569577369357161,556/0.0023756265159882994,1536/0.0048072643105136655,1104/0.004532337003229629,359/0.006026453784143382,779/0.003308149671420269
113/0.003925464365012584,680/0.005547556534259338,313/0.0023571247518450883,1005/0.004710147859796217,964/0.004478057518161011,1466/0.006000365239623282,2462/0.003263444946130806
