Cluster 1,Cluster 2
zyudensentaikyoryuger,sakuradiaries
thebrothersflub,stormchasers
thebackyardigans,stargirl2019
thebotsmaster,shonenonmyouji
theawesomes,shizukuchan
theavengersunitedtheystand,fiftygrandslam
theavengersearthsmightiestheroes,fifteentoone
theatomantshow,shionnoou
thearchieshow,theamazingspiez
theaquamanandfriendsactionhour,stateoftheunion
theantandtheaardvark,fernwoodtonight
theanimalsoffarthingwood,fergusmcphail
theangrybeavers,femmyrorarfleranfyraelefanter
theamazingworldofgumball,steveharveysfunderdome
theamazingchanandthechanclan,shigurui
theamazingadrenalinibrothers,shadowshouse
thealvinshow,storyofyanxipalace
thebagelandbeckyshow,fantasy
thebananasplits,sevensensesofthereunion
thebarkleys,strangedaysatblakeholseyhigh
theblueracer,strangehillhigh
thebravestknight,strangereport
thebrakshow,fatedtoloveyou
thebradykids,fatguystuckininternet
thebossbabybackinbusiness,senyuu
theboondocks,streetlegal
thebluffers,streetsmarts
thebiskitts,streettime
thebaskervilles,sensualphrase
thebigknights,strikeitlucky
thebellflowerbunnies,strikeitrich
thebeebees,seiyuslife
thebeatles,figureitout
thebearwhosleptthroughchristmas,shouwagenrokurakugoshinjuu
thebatman,shrineofthemorningmist
theadventuresoftintin1991,starcade
theadventuresofteddyruxpin,fonejacker
theadventuresofsupermariobros3,flowerboyramyunshop
teenwolf,spellboundmagicalprincesslilpri
tenkoandtheguardiansofthemagic,floricienta
teenagemutantninjaturtles2012,specialdutycombatunitshinesman
teenagemutantninjaturtles2003,sparrow
teenagemutantninjaturtles1987,spacebrothers
teenagefairytaledropouts,soutenkouro
teenageeuthanasia,flashvsarrow
teentitansgo,spender
testamentthebibleinanimation,flashgordon1954
teentitans,sorcererstabberorphen
teendays,spinthewheel
tedsiegerswildlife,sorcererontherocks
tearalongthedottedline,splitsecond1972
teamosupremo,splittinguptogether
teamumizoomi,sonnyboy
tennesseetuxedoandhistales,somedaysdreamersiisora
the13ghostsofscoobydoo,somedaysdreamers
theadventuresofsamandmaxfreelancepolice,fivehundredquestions
theadventuresofjimmyneutronboygenius,spotless
theadventuresofrockyandbullwinkle,spyforce
theadventuresofpussinboots,smiledowntherunway
theadventuresofportlandbill,firingline
theadventuresofpaddythepelican,starfalls
theadventuresofpaddington,starsearch
theadventuresofkiddanger,finderskeepers
theadventuresoffigaropho,silverspoon
the7d,shutendoji
theadventuresofdoncoyoteandsanchopanda,strongwomandobongsoon
theadventuresofdawdlethedonkey,sugarrush
theadventuresofchuckandfriends,soyluna
theadventuresofbatman,exit57
theaddamsfamily1992,swingtown
theaddamsfamily1973,eyeguess
thebremenavenueexperience,thedatingguy
thebrothersgrunt,extrememalebeauty
earthflight,sykes
thebugsbunnyroadrunnershow,systemcrash
thefunkyphantom,extraordinaryyou
thefungies,rumikotakahashianthology
thefruitties,tvfunhouse
thefrogshow,extra
thefreakbrothers,tvsbloopersandpracticaljokes
thefoxbusters,tabithassalontakeover
theforgottentoys,romanceofthethreekingdoms
thefoolandtheflyingship,expeditionunknown
thefonzandthehappydaysgang,exit
theflintstones,summersdesire
theflintstonekids,excused
theflintstonecomedyshow,rizelmine
theflaminthongs,takeitall
thefightforthefoxbox,takemeout
thefantasticfour1978,ristoranteparadiso
thefunnycompany,takethemoneyandrun
thefutureiswild,riskysafety
thegarfieldshow,restauranttoanotherworld
thegreatestadventurestoriesfromthebible,theemperorsnewschool
thehappets,talkabout
thehalloweentree,eveningshade
thehairbearbunch,evenstevens
thegroovenians,talkinboutyourgeneration
thegrinchgrinchesthecatinthehat,tallhopes
thegrimadventuresofbillyandmandy,thecramptwins
thegreatnorth,sweetandsour
thegarycolemanshow,facethemusic
thegreatgrapeape,faerietaletheatre
thegoodefamily,sunrecords
thegoodthebadandhuckleberryhound,familygamenight
thegodzillapowerhour,sasamisanatganbaranai
theghostandmollymcgee,sungkyunkwanscandal
thegetalonggang,familyfortunes
thefantasticfour1967,supahninjas
thefamilyness,superdave
thefairlyoddparents,sarutobiecchan
thechristmastree,superfunnight
thecrayonbox,superpaycards
thecountrymouseandcitymouseadventures,sankarea
thecompletelymentalmisadventuresofedgrimley,familychallenge
thecomicstrip,supercarrier
theclevelandshow,samuraigun
theclangers,samuraigirls
thechipmunksrockinthroughthedecades,familiesatwar
thecroodsfamilytree,supermarketsweep
thechickensquad,supernanny
thecattanoogacats,superstark
thecatinthehatknowsalotaboutthat,superstition
thecasagrandes,famalam
thecariboukitchen,sallythewitch
thebuzzonmaggie,surface
thecritic,survivingjack
thecrumpets,sakiachigahen
theepictalesofcaptainunderpants,survivorsouthafrica
thedickandpaulacelebrityspecial,faith
theeggs,suspects
thedrinkycrowshow,faircity
thedreamstone,forbetterorworse
thedragonprince,steamdetectives
thedogandponyshow,scattergories
thedicktracyshow,gameshowmarathon
thedevilanddanielmouse,tokimekitonight
thedaltons,toiletboundhanakokun
thedeputydawgshow,selenatheseries
thedeerskins,toyoureternity
thedeep,spiritridingfree
thedaymybuttwentpsycho,senseandsensibility
thedavincibles,sesamstraat
thedavidspumpkinshalloweenspecial,setforlife
teamgalaxy,spygroove
teacherspet,sevenkeys
tazmania,threeleavesthreecolors
tarzanlordofthejungle,sevenwondersoftheindustrialworld
splashandbubbles,theworldofnarue
spiralzone,theworldisstillbeautiful
spideyandhisamazingfriends,gamesmaster
spiderwoman,thepilotslovesong
spidermanunlimited,thewisegrandson
spidermanthenewanimatedseries,gameshowmomentsgonebananas
spidermantheanimatedseries,theweatheringcontinent
spidermanfreshmanyear,gameshowdongvang
spidermanandhisamazingfriends,gameon2015
spiderman1981,thetitansbride
spiderman1967,shadowhunters
spider,shafted
speedracerthenextgeneration,thestoryofsaiunkoku
speedbuggy,shakespeareretold
specialagentoso,thestoryofperrine
spliced,thestoryofcinderella
spongebobsquarepants,gambit
