i_doc,doc,Topic 1,Topic 2
0,acertainmagicalindex,0.6136363636363636,0.38636363636363635
1,acertainscientificrailgun,0.6639004149377593,0.3360995850622407
2,achannel,0.5833333333333334,0.4166666666666667
3,adestructivegodsitsnexttome,0.7073170731707317,0.2926829268292683
4,aicoincarnation,0.5714285714285714,0.42857142857142855
5,akb0048,0.5912408759124088,0.40875912408759124
6,alittlesnowfairysugar,0.6428571428571429,0.35714285714285715
7,aplacefurtherthantheuniverse,0.7767857142857143,0.22321428571428573
8,apolarbearinlove,0.16666666666666666,0.8333333333333334
9,aria,0.5747126436781609,0.42528735632183906
10,asistersallyouneed,0.7142857142857143,0.2857142857142857
11,accelworld,0.5769230769230769,0.4230769230769231
12,aceattorney,0.7453703703703703,0.25462962962962965
13,actionheroinecheerfruits,0.7011494252873564,0.2988505747126437
14,activeraid,0.589041095890411,0.410958904109589
15,adachiandshimamura,0.7058823529411765,0.29411764705882354
16,aestheticaofaroguehero,0.6049382716049383,0.3950617283950617
17,afrosamurai,0.7154471544715447,0.2845528455284553
18,aftertherain2014,0.3333333333333333,0.6666666666666666
19,afterwargundamx,0.6424242424242425,0.3575757575757576
20,agathachristiesgreatdetectivespoirotandmarple,0.6071428571428571,0.39285714285714285
21,agentaika,0.5984251968503937,0.4015748031496063
22,aggretsuko,0.7408637873754153,0.2591362126245847
23,ahmybuddha,0.6545454545454545,0.34545454545454546
24,ahmygoddess,0.648854961832061,0.3511450381679389
25,ahogirl,0.5555555555555556,0.4444444444444444
26,aiyoriaoshi,0.6904761904761905,0.30952380952380953
27,aikatsu,0.7258064516129032,0.27419354838709675
28,aikatsustars,0.6708860759493671,0.3291139240506329
29,aimfortheace,0.6170212765957447,0.3829787234042553
30,airgear,0.6435897435897436,0.3564102564102564
31,airmaster,0.654320987654321,0.345679012345679
32,aishiteruzebaby,0.7543859649122807,0.24561403508771928
33,aiura,0.0,1.0
34,akagi,0.743421052631579,0.2565789473684211
35,akahorigedouhourlovege,0.6086956521739131,0.391304347826087
36,akamegakill,0.6702127659574468,0.32978723404255317
37,akazukinchacha,0.5843373493975904,0.41566265060240964
38,akikan,0.6333333333333333,0.36666666666666664
39,akudaisakusensrungle,0.42105263157894735,0.5789473684210527
40,akumanoriddle,0.7209302325581395,0.27906976744186046
41,albegas,0.18181818181818182,0.8181818181818182
42,alderaminonthesky,0.625,0.375
43,aldnoahzero,0.6298342541436464,0.3701657458563536
44,allpurposeculturalcatgirlnukunuku,0.6126126126126126,0.38738738738738737
45,allisonandlillia,0.6777777777777778,0.32222222222222224
46,alpsstoriesmyannette,0.7738095238095238,0.2261904761904762
47,amagibrilliantpark,0.768,0.232
48,amatsuki,0.6178861788617886,0.3821138211382114
49,andyetthetownmoves,0.6451612903225806,0.3548387096774194
50,andersenmonogatari,0.625,0.375
51,androidannouncermaico2010,0.4166666666666667,0.5833333333333334
52,andromedastories,0.25,0.75
53,angevierge,0.5142857142857142,0.4857142857142857
54,angelbeats,0.7211055276381909,0.27889447236180903
55,angelcop,0.6511627906976745,0.3488372093023256
56,angelheart,0.5714285714285714,0.42857142857142855
57,angellinks,0.5925925925925926,0.4074074074074074
58,angelsanctuary,0.6363636363636364,0.36363636363636365
59,angeltales,0.44,0.56
60,angeliclayer,0.6415094339622641,0.3584905660377358
61,animaldetectiveskiruminzoo,0.627906976744186,0.37209302325581395
62,animalyokocho,0.72,0.28
63,animegataris,0.696,0.304
64,annehappy,0.3888888888888889,0.6111111111111112
65,anohanatheflowerwesawthatday,0.7933333333333333,0.20666666666666667
66,aoharuxmachinegun,0.7282608695652174,0.2717391304347826
67,aquarionevol,0.726457399103139,0.273542600896861
68,arabiannightsadventuresofsinbad,0.55,0.45
69,arakawaunderthebridge,0.7049180327868853,0.29508196721311475
70,argentosoma,0.7380952380952381,0.2619047619047619
71,ariathescarletammo,0.6843853820598007,0.31561461794019935
72,armitageiii,0.5925925925925926,0.4074074074074074
73,armoredtroopervotoms,0.594059405940594,0.40594059405940597
74,asmissbeelzebublikes,0.625,0.375
75,ashitanonadja,0.8355263157894737,0.16447368421052633
76,askdrrin,0.6190476190476191,0.38095238095238093
77,asobiasobase,0.4444444444444444,0.5555555555555556
78,assassinationclassroom,0.6892430278884463,0.3107569721115538
79,assaultlilybouquet,0.6571428571428571,0.34285714285714286
80,astroboy,0.6219178082191781,0.3780821917808219
81,asuracryin,0.5647058823529412,0.43529411764705883
82,atomthebeginning,0.525,0.475
83,attacknumberone,0.5952380952380952,0.40476190476190477
84,attackontitan,0.6733828207847296,0.3266171792152704
85,attackontitanjuniorhigh,0.6938775510204082,0.30612244897959184
86,attackeryou,0.6896551724137931,0.3103448275862069
87,aurabattlerdunbine,0.5327868852459017,0.4672131147540984
88,avenger,0.5121951219512195,0.4878048780487805
89,ayakashiayashi,0.4642857142857143,0.5357142857142857
90,ayakashisamuraihorrortales,0.7017543859649122,0.2982456140350877
91,azumangadaioh,0.6754385964912281,0.32456140350877194
92,azurlane,0.7619047619047619,0.23809523809523808
93,bdamancrossfire,0.6511627906976745,0.3488372093023256
94,beck,0.717741935483871,0.28225806451612906
95,bgatahkei,0.7103448275862069,0.2896551724137931
96,bnabrandnewanimal,0.584,0.416
97,bproject,0.6296296296296297,0.37037037037037035
98,bthebeginning,0.6428571428571429,0.35714285714285715
99,babelii,0.25,0.75
100,babyfelixandfriends,0.25,0.75
101,babysteps,0.47368421052631576,0.5263157894736842
102,baccano,0.7324364723467862,0.26756352765321373
103,backarrow,0.4716981132075472,0.5283018867924528
104,backstreetgirls,0.7352941176470589,0.2647058823529412
105,backflip,0.5,0.5
106,bakaandtestsummonthebeasts,0.6914285714285714,0.30857142857142855
107,bakemonogatari,0.696969696969697,0.30303030303030304
108,bakithegrappler,0.6666666666666666,0.3333333333333333
109,bakuencampusguardress,0.4375,0.5625
110,bakugan,0.5740740740740741,0.42592592592592593
111,bakuganbattleplanet,0.5194805194805194,0.4805194805194805
112,bakuman,0.7976190476190477,0.20238095238095238
113,bakuon,0.4444444444444444,0.5555555555555556
114,bakusoukyoudailetsandgo,0.5957446808510638,0.40425531914893614
115,bakutenshootbeyblade,0.6218181818181818,0.3781818181818182
116,balladofashinigami,0.5263157894736842,0.47368421052631576
117,bambooblade,0.6544502617801047,0.34554973821989526
118,bananafish,0.625,0.375
119,bananya,0.5757575757575758,0.42424242424242425
120,bangdream,0.6833333333333333,0.31666666666666665
121,bannertail,0.6956521739130435,0.30434782608695654
122,bartender,0.7910447761194029,0.208955223880597
123,basilisk,0.6887755102040817,0.3112244897959184
124,basilisktheoukaninjascrolls,0.6811594202898551,0.3188405797101449
125,basquash,0.6853932584269663,0.3146067415730337
126,bastard1988,0.0,1.0
127,battleathletes,0.7037037037037037,0.2962962962962963
128,battlebdaman,0.6236559139784946,0.3763440860215054
129,battlegirlstimeparadox,0.6557377049180327,0.3442622950819672
130,battleoftheplanets,0.5428571428571428,0.45714285714285713
131,battleprogrammershirase,0.5,0.5
132,battlespiritsheroes,0.56,0.44
133,battlespiritssaikyogingaultimatezero,0.5476190476190477,0.4523809523809524
134,battlespiritsshonengekihadan,0.5882352941176471,0.4117647058823529
135,battlespiritsshonentoppabashin,0.6098901098901099,0.3901098901098901
136,battlespiritsswordeyes,0.625,0.375
137,beastsaga,0.625,0.375
138,beastwarsii,0.4519230769230769,0.5480769230769231
139,beastwarsneo,0.2926829268292683,0.7073170731707317
140,beastars,0.7161716171617162,0.2838283828382838
141,beelzebub,0.6692913385826772,0.33070866141732286
142,belleandsebastian,0.7222222222222222,0.2777777777777778
143,bento,0.7430555555555556,0.2569444444444444
144,berserk,0.6396761133603239,0.3603238866396761
145,berserk1997,0.6555555555555556,0.34444444444444444
146,berserk2016,0.5168539325842697,0.48314606741573035
147,beststudentcouncil,0.64,0.36
148,betrayalknowsmyname,0.6857142857142857,0.3142857142857143
149,betterman,0.6142857142857143,0.38571428571428573
150,beybladeburst,0.6335877862595419,0.366412213740458
151,beyondtheboundary,0.6643356643356644,0.3356643356643357
152,bigwindup,0.7613636363636364,0.23863636363636365
153,bikiniwarriors,0.6486486486486487,0.35135135135135137
154,binboushimaimonogatari,0.75,0.25
155,binchoutan,0.3333333333333333,0.6666666666666666
156,birdythemighty,0.6507936507936508,0.3492063492063492
157,blackbloodbrothers,0.6071428571428571,0.39285714285714285
158,blackbullet,0.7033492822966507,0.2966507177033493
159,blackbutler,0.6860670194003528,0.31393298059964725
160,blackcat,0.6200527704485488,0.37994722955145116
161,blackclover,0.5945945945945946,0.40540540540540543
162,blackgod,0.47058823529411764,0.5294117647058824
163,blackjack,0.7289156626506024,0.2710843373493976
164,blacklagoon,0.7286501377410468,0.2713498622589532
165,blackrockshooter,0.6485355648535565,0.3514644351464435
166,bladeandsoul,0.7459016393442623,0.2540983606557377
167,bladeoftheimmortal,0.6983471074380165,0.30165289256198347
168,blassreiter,0.6218487394957983,0.37815126050420167
169,blastoftempest,0.5555555555555556,0.4444444444444444
170,blazbluealtermemory,0.6851851851851852,0.3148148148148148
171,bleach,0.637434554973822,0.362565445026178
172,blends,0.6666666666666666,0.3333333333333333
173,bloodblockadebattlefront,0.68,0.32
174,bloodc,0.6767676767676768,0.32323232323232326
175,bloodplus,0.6942355889724311,0.3057644110275689
176,bloodreigncurseoftheyoma,0.7169811320754716,0.2830188679245283
177,bludgeoningangeldokurochan,0.6666666666666666,0.3333333333333333
178,bluecometsptlayzner,0.6226415094339622,0.37735849056603776
179,bluedrop,0.5675675675675675,0.43243243243243246
180,blueexorcist,0.6649874055415617,0.3350125944584383
181,bluegender,0.6506849315068494,0.3493150684931507
182,blueseed,0.6395348837209303,0.36046511627906974
183,bluesubmarineno6,0.636986301369863,0.363013698630137
184,bobobobobobobo,0.6317460317460317,0.3682539682539683
185,bodaciousspacepirates,0.6067961165048543,0.3932038834951456
186,bokurano,0.6966666666666667,0.30333333333333334
187,bombermanbdamanbakugaiden,0.5555555555555556,0.4444444444444444
188,bombermanjetters,0.5876288659793815,0.41237113402061853
189,boogiepopphantom,0.6875,0.3125
190,bookofbantorra,0.7317073170731707,0.2682926829268293
191,boruto,0.6802030456852792,0.3197969543147208
192,bottlefairy,0.4864864864864865,0.5135135135135135
193,boysbe,0.8214285714285714,0.17857142857142858
194,boysoverflowers,0.8219895287958116,0.17801047120418848
195,braiger,0.4117647058823529,0.5882352941176471
196,brainpowerd,0.4722222222222222,0.5277777777777778
197,bravebeats,0.5714285714285714,0.42857142857142855
