Topic 1,Topic 2
1126/0.004898391392456305,1618/0.008481712130514867
1063/0.00423070942135052,2295/0.008335526123439465
263/0.003724702751935784,2434/0.008215653597637634
2559/0.0032680625868541937,2405/0.0063152355056573985
207/0.0032581892859875647,1825/0.006174896938865012
111/0.002954585284338723,402/0.0061368885770254076
1170/0.0028953454791389496,88/0.0060521006929216735
1955/0.0028657255765390625,362/0.005987778849808496
744/0.0027793341939560587,2435/0.0057772709996199165
1187/0.0027509484539645006,624/0.005628161272403006
803/0.0027349043400562286,2573/0.005055112124667427
1343/0.0027225627139729424,1587/0.004847527994620355
318/0.0026756645348564546,1434/0.004324182089290413
698/0.002668259559206483,1306/0.004245241645469695
581/0.00252756502185702,839/0.0041516826009414375
649/0.0025152233957737337,202/0.004005496593866035
617/0.002458451915790617,2541/0.0039733356723094465
311/0.002431300338407387,819/0.003909013829196269
903/0.0023806996714659137,468/0.0038534631465076165
80/0.00235725058190767,2536/0.003841768265941584
38/0.0023424406306077265,686/0.003827149665234044
1762/0.002337503980174412,150/0.0038242259450925356
1322/0.0023300990045244403,420/0.003686811098441657
65/0.002323928191482797,1888/0.003631260415753004
31/0.0023091182401828534,701/0.0034967692892436337
486/0.002296776614099567,33/0.0034324474461304563
1176/0.002252346760199737,853/0.003409057684998392
67/0.002219024369774864,477/0.0033418121217437067
26/0.0022177902071665355,2570/0.0033184223606116422
614/0.002212853556733221,180/0.0032657953980644973
1931/0.002201746093258263,297/0.003245329357073941
1275/0.0021128863854586026,2047/0.0031693126333947313
1562/0.002106715572416959,895/0.003128380551413619
408/0.002094373946333673,90/0.0031049907902815544
901/0.002085734808075373,781/0.0030582112680174254
747/0.0020178558646172986,498/0.003040668947168377
351/0.0020042800759256835,475/0.0030318977867438528
1797/0.0019944067750590545,224/0.002993889424904248
274/0.001967255197675825,553/0.002979270824196708
998/0.001943806108117581,1895/0.0028506271379703536
345/0.0019401036202925954,296/0.0028067713358477324
661/0.0019252936689926519,1073/0.002774610414291144
2183/0.0018932054411761076,857/0.0027336783323100313
1775/0.0018870346281344645,125/0.002704441130894951
2629/0.0018845663029178072,752/0.0026956699704704266
852/0.0018796296524844927,252/0.002678127649621378
1412/0.0018463072620596198,191/0.002607958366225185
938/0.001830263148151348,78/0.002605034646083677
1256/0.001826560660326362,267/0.00256995000438558
2225/0.001826560660326362,807/0.0025670262842440723
2061/0.0017907699446848319,1283/0.002543636523112008
1467/0.0017821308064265315,1935/0.0025290179224044676
396/0.0017808966438182029,1415/0.002514399321696927
708/0.001777194155993217,35/0.002496857000847879
765/0.0017759599933848884,292/0.0024822384001403387
897/0.0017722575055599025,124/0.0024793146799988305
902/0.0017722575055599025,1563/0.0024763909598573223
466/0.0017710233429515739,1080/0.002441306318159226
99/0.0017562133916516304,83/0.002409145396602637
459/0.0017512767412183159,430/0.0023652895944800164
1059/0.0017401692777433584,1392/0.0023565184340554922
1310/0.0017401692777433584,231/0.0023302049527819195
39/0.0017389351151350298,1897/0.002300967751366839
264/0.0017327643020933867,115/0.002292196590942315
244/0.0017179543507934432,558/0.0022775779902347746
981/0.0017142518629684573,290/0.0022658831096687426
371/0.0017130177003601287,525/0.002248340788819694
1988/0.0017105493751434714,890/0.002227874747829138
2114/0.0016969735864518565,1404/0.0022161798672631055
1078/0.001692036936018542,935/0.002198637546414057
183/0.0016908027734102134,1838/0.002192790106131041
1588/0.0016846319603685703,151/0.002181095225565009
1019/0.001682163635151913,514/0.002178171505423501
1039/0.0016784611473269271,655/0.002146010583866912
587/0.00167599282211027,2044/0.002131391983159372
1136/0.0016587145455936691,928/0.0021167733824518317
1767/0.001650075407335369,1446/0.0021167733824518317
174/0.0016426704316853972,887/0.0020992310616027832
451/0.0016389679438604113,2341/0.0020963073414612754
476/0.0016389679438604113,2319/0.002084612460895243
1975/0.0016315629682104396,886/0.002081688740753735
440/0.0016155188543021675,386/0.002072917580329211
1133/0.0016142846916938388,2163/0.0020641464199046868
2130/0.0016118163664771816,387/0.0020641464199046868
2217/0.0016093480412605243,1871/0.0020553752594801625
917/0.0016056455534355384,889/0.0020495278191971465
866/0.0016044113908272098,2572/0.0020466040990556383
1364/0.0016044113908272098,2589/0.002037832938631114
1189/0.0016019430656105526,225/0.0020085957372160336
1632/0.001600708903002224,977/0.002005672017074526
682/0.001597006415177238,706/0.0020027482969330176
556/0.0015846647890939518,1506/0.0019939771365084934
313/0.0015723231630106655,830/0.0019881296962254774
1772/0.001571089000402337,221/0.001985205976083969
736/0.0015649181873606938,1363/0.001985205976083969
1307/0.0015636840247523652,134/0.001985205976083969
1908/0.0015562790491023936,517/0.001979358535800953
734/0.0015488740734524219,610/0.001970587375376429
1597/0.0015464057482357646,2503/0.0019501213343858725
2054/0.0015390007725857929,1642/0.0019442738941028565
696/0.0015365324473691356,1862/0.0019296552933953162
194/0.0015032100569442627,2053/0.001915036692687776
1074/0.001495805081294291,1326/0.0018916469315557116
1013/0.0014933367560776337,227/0.0018916469315557116
226/0.0014884001056443192,918/0.0018916469315557116
1371/0.0014871659430359906,2552/0.0018916469315557116
835/0.001485931780427662,545/0.0018857994912726953
2348/0.0014809951299943475,588/0.0018741046107066631
1186/0.0014809951299943475,339/0.0018624097301406309
236/0.0014772926421693616,2633/0.0018594860099991229
789/0.0014563118778277752,1111/0.0018565622898576149
429/0.0014550777152194465,979/0.0018507148495745987
1928/0.0014513752273944607,273/0.0018477911294330907
1293/0.0014377994387028458,269/0.0018331725287255504
645/0.0014094136987112874,1099/0.0018331725287255504
2388/0.0014044770482779729,473/0.0018185539280180102
585/0.0014020087230613156,1610/0.001815630207876502
2206/0.001400774560452987,658/0.001809782767593486
419/0.0013995403978446584,876/0.001806859047451978
1179/0.0013958379100196725,1611/0.0017922404467444375
1890/0.0013946037474113439,463/0.0017893167266029295
730/0.0013921354221946866,412/0.0017805455661784055
456/0.001390901259586358,2271/0.0017776218460368973
1497/0.0013884329343697007,954/0.0017776218460368973
337/0.0013871987717613721,1792/0.0017746981258953893
27/0.0013834962839363862,316/0.0017717744057538813
1523/0.001381027958719729,495/0.001763003245329357
461/0.0013785596335030717,557/0.001757155805046341
1527/0.0013723888204614286,447/0.0017513083647633248
1017/0.0013711546578531002,196/0.0017513083647633248
101/0.0013662180074197857,366/0.0017454609244803088
758/0.0013514080561198422,445/0.0017396134841972926
1605/0.0013514080561198422,2401/0.0017396134841972926
548/0.0013464714056865277,1536/0.0017366897640557846
299/0.0013378322674282273,1943/0.0017337660439142766
1796/0.001315617340478312,1592/0.0017308423237727684
113/0.0013069782022200117,939/0.0017308423237727684
385/0.0013045098770033544,1005/0.001701605122357688
23/0.001289699925703411,395/0.001695757682074672
579/0.0012872316004867536,1538/0.001695757682074672
528/0.001285997437878425,574/0.001695757682074672
795/0.0012847632752700964,664/0.0016928339619331637
168/0.0012724216491868104,368/0.0016840628015086397
631/0.001260080023103524,2055/0.0016811390813671315
1052/0.0012588458604951955,2420/0.0016694442008010992
563/0.0012576116978868668,2311/0.0016635967605180832
239/0.0012526750474535523,1755/0.0016606730403765752
448/0.001250206722236895,1023/0.0016606730403765752
978/0.0012477383970202378,114/0.001657749320235067
626/0.0012465042344119092,908/0.001657749320235067
1031/0.0012415675839785947,985/0.001654825600093559
1857/0.001240333421370266,851/0.001648978159810543
281/0.0012390992587619375,2321/0.0016460544396690348
883/0.0012378650961536088,1151/0.0016460544396690348
238/0.0012353967709369516,1843/0.0016314358389614945
731/0.0012329284457202943,2329/0.0016255883986784785
1/0.0012329284457202943,678/0.0016168172382539543
665/0.001230460120503637,1864/0.0016109697979709383
1354/0.0012292259578953085,2258/0.00160804607782943
388/0.0012267576326786512,1593/0.001605122357687922
1175/0.0012230551448536653,532/0.0015963511972633979
1555/0.0012218209822453367,1817/0.0015963511972633979
169/0.001220586819637008,1181/0.0015846563166973656
1423/0.001220586819637008,1859/0.0015788088764143496
716/0.001214416006595365,483/0.0015788088764143496
516/0.0012131818439870363,1701/0.0015700377159898254
11/0.0012057768683370646,1982/0.0015641902757068094
1941/0.0012057768683370646,625/0.0015641902757068094
53/0.00120084021790375,1342/0.0015641902757068094
1580/0.0011884985918204638,1832/0.0015583428354237932
270/0.0011835619413871493,62/0.001546647954857761
338/0.0011823277787788209,845/0.001540800514574745
519/0.0011761569657371778,14/0.001540800514574745
925/0.0011736886405205205,1154/0.001540800514574745
2136/0.0011736886405205205,21/0.001537876794433237
450/0.0011724544779121919,1082/0.001537876794433237
122/0.0011724544779121919,1180/0.0015349530742917287
1754/0.0011712203153038633,1387/0.0015291056340087127
1222/0.001168751990087206,699/0.0015232581937256965
382/0.0011650495022622201,1366/0.0015232581937256965
2468/0.0011613470144372343,411/0.0015232581937256965
1123/0.0011551762013955911,1554/0.0015174107534426805
542/0.0011514737135706052,1461/0.0015174107534426805
293/0.001149005388353948,259/0.0015086395930181563
423/0.0011465370631372907,2026/0.0015057158728766483
989/0.0011440687379206335,433/0.001491097272169108
2437/0.0011329612744456759,2535/0.0014823261117445838
1389/0.0011304929492290186,1375/0.0014823261117445838
52/0.0011304929492290186,1469/0.0014794023916030758
2391/0.0011280246240123614,1998/0.0014764786714615678
1047/0.0011280246240123614,621/0.0014706312311785516
961/0.001125556298795704,1104/0.0014647837908955356
1621/0.0011243221361873755,1617/0.0014589363506125194
2158/0.0011218538109707182,165/0.0014560126304710114
364/0.0011218538109707182,455/0.0014472414700464871
604/0.001119385485754061,272/0.0014472414700464871
583/0.0011169171605374037,964/0.0014472414700464871
306/0.0011132146727124178,317/0.0014472414700464871
257/0.0011107463474957606,2545/0.0014472414700464871
906/0.001109512184887432,1093/0.001438470309621963
4/0.001105809697062446,2538/0.001438470309621963
1678/0.0011045755344541175,2454/0.001435546589480455
2543/0.0011033413718457888,1408/0.001435546589480455
1217/0.0011021072092374602,2146/0.001429699149197439
580/0.0011021072092374602,1545/0.001429699149197439
942/0.0011008730466291316,829/0.0014209279887729147
603/0.0010971705588041457,2237/0.0014180042686314067
30/0.0010947022335874885,2659/0.0014180042686314067
1749/0.0010934680709791598,820/0.0014180042686314067
769/0.0010934680709791598,671/0.0014180042686314067
58/0.0010934680709791598,2542/0.0014004619477823582
1921/0.0010934680709791598,2413/0.0014004619477823582
25/0.0010922339083708312,2058/0.0014004619477823582
2578/0.0010909997457625026,2078/0.0013975382276408502
276/0.001089765583154174,2111/0.0013975382276408502
2489/0.0010848289327208597,1034/0.0013975382276408502
234/0.001083594770112531,833/0.001388767067216326
24/0.001083594770112531,278/0.001385843347074818
815/0.0010823606075042024,1430/0.00138291962693331
767/0.0010823606075042024,220/0.001379995906791802
