i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
0,worldofwarcraft,0.06332002281802625,0.023958927552766685,0.04278379920136908,0.023958927552766685,0.0838562464346834,0.0387906446092413,0.07701083856246435,0.034227039361095266,0.05476326297775243,0.018824871648602397,0.022818026240730177,0.02452937820878494,0.03080433542498574,0.040501996577296064,0.04848830576155162,0.045636052481460354,0.027381631488876214,0.0513405590416429,0.022247575584711923,0.03650884198516828,0.02167712492869367,0.02053622361665716,0.009697661152310326,0.03080433542498574,0.027952082144894468,0.02338847689674843,0.029092983456930975,0.008556759840273816,0.010838562464346835,0.005704506560182544
1,finalfantasyvii,0.07580978635423846,0.01791867677463818,0.042729152308752585,0.024121295658166782,0.10268780151619572,0.022053756030323914,0.09510682288077188,0.03790489317711923,0.06409372846312887,0.02343211578221916,0.018607856650585803,0.02343211578221916,0.053756030323914544,0.025499655410062026,0.025499655410062026,0.04066161268090972,0.025499655410062026,0.03514817367332874,0.021364576154376293,0.031013094417643005,0.018607856650585803,0.01791867677463818,0.010337698139214336,0.026188835286009647,0.022053756030323914,0.03308063404548587,0.04135079255685734,0.006202618883528601,0.009648518263266712,0.008270158511371467
2,theelderscrollsvskyrim,0.05363984674329502,0.03065134099616858,0.05517241379310345,0.028352490421455937,0.0896551724137931,0.03908045977011494,0.08582375478927202,0.0421455938697318,0.05057471264367816,0.01839080459770115,0.026053639846743294,0.028352490421455937,0.03065134099616858,0.0421455938697318,0.041379310344827586,0.037547892720306515,0.031417624521072794,0.05900383141762452,0.01839080459770115,0.01992337164750958,0.021455938697318006,0.017624521072796936,0.00842911877394636,0.02681992337164751,0.01992337164750958,0.019157088122605363,0.0367816091954023,0.00996168582375479,0.006896551724137931,0.004597701149425287
3,teamfortress2,0.08149959250203749,0.007334963325183374,0.05134474327628362,0.032599837000814993,0.08801955990220049,0.035859820700896494,0.07334963325183375,0.035859820700896494,0.06601466992665037,0.021189894050529748,0.026079869600651995,0.020374898125509373,0.035859820700896494,0.015484922575387123,0.03667481662591687,0.05215973920130399,0.016299918500407497,0.035859820700896494,0.0488997555012225,0.027709861450692746,0.027709861450692746,0.03015484922575387,0.018744906275468622,0.014669926650366748,0.012224938875305624,0.02852485737571312,0.026079869600651995,0.0057049714751426246,0.013039934800325998,0.014669926650366748
4,masseffect2,0.07517619420516837,0.009397024275646046,0.06499608457321848,0.028191072826938137,0.09397024275646046,0.022709475332811275,0.11119812059514488,0.028191072826938137,0.04072043852779953,0.020360219263899765,0.022709475332811275,0.02662490211433046,0.03915426781519186,0.02427564604541895,0.02975724353954581,0.030540328895849646,0.033672670321064996,0.03210649960845732,0.02975724353954581,0.05951448707909162,0.021143304620203602,0.028191072826938137,0.003915426781519186,0.00548159749412686,0.006264682850430697,0.01957713390759593,0.050117462803445575,0.004698512137823023,0.023492560689115115,0.014095536413469069
5,falloutnewvegas,0.06825657894736842,0.013157894736842105,0.07483552631578948,0.03289473684210526,0.09539473684210527,0.03782894736842105,0.09539473684210527,0.032072368421052634,0.033717105263157895,0.019736842105263157,0.029605263157894735,0.028782894736842105,0.022203947368421052,0.03700657894736842,0.028782894736842105,0.04276315789473684,0.03289473684210526,0.038651315789473686,0.038651315789473686,0.03700657894736842,0.024671052631578948,0.02055921052631579,0.005756578947368421,0.013980263157894737,0.013157894736842105,0.009046052631578948,0.022203947368421052,0.01069078947368421,0.02631578947368421,0.013980263157894737
6,fallout3,0.07196029776674938,0.013234077750206782,0.06286186931348221,0.04052936311000827,0.1141439205955335,0.034739454094292806,0.07361455748552523,0.036393713813068655,0.04218362282878412,0.022332506203473945,0.030603804797353185,0.02977667493796526,0.02481389578163772,0.03556658395368073,0.02977667493796526,0.0413564929693962,0.036393713813068655,0.034739454094292806,0.03225806451612903,0.043837882547559964,0.022332506203473945,0.026468155500413565,0.004962779156327543,0.011579818031430935,0.009098428453267164,0.009098428453267164,0.0206782464846981,0.010752688172043012,0.02315963606286187,0.010752688172043012
7,masseffect3,0.06876061120543293,0.012733446519524618,0.053480475382003394,0.027164685908319185,0.10441426146010187,0.03225806451612903,0.10271646859083192,0.03310696095076401,0.03395585738539898,0.02461799660441426,0.02631578947368421,0.02037351443123939,0.03735144312393888,0.02461799660441426,0.030560271646859084,0.0365025466893039,0.03310696095076401,0.03480475382003396,0.02801358234295416,0.06027164685908319,0.02461799660441426,0.02037351443123939,0.006791171477079796,0.005942275042444821,0.011035653650254669,0.015280135823429542,0.04584040747028863,0.0050933786078098476,0.02461799660441426,0.015280135823429542
8,dragonageorigins,0.06748466257668712,0.03067484662576687,0.08326029798422437,0.021034180543382998,0.10692375109553023,0.02716914986853637,0.12182296231375986,0.03680981595092025,0.040315512708150744,0.018404907975460124,0.021910604732690624,0.026292725679228746,0.04382120946538125,0.03768624014022787,0.02716914986853637,0.020157756354075372,0.03418054338299737,0.040315512708150744,0.009640666082383873,0.015775635407537247,0.018404907975460124,0.011393514460999123,0.0052585451358457495,0.022787028921998246,0.008764241893076249,0.010517090271691499,0.07537248028045573,0.007011393514460999,0.007011393514460999,0.0026292725679228747
9,persona3,0.07727272727272727,0.014545454545454545,0.035454545454545454,0.017272727272727273,0.13272727272727272,0.014545454545454545,0.09545454545454546,0.04090909090909091,0.06727272727272728,0.025454545454545455,0.02,0.022727272727272728,0.07454545454545454,0.02909090909090909,0.034545454545454546,0.02909090909090909,0.011818181818181818,0.05,0.013636363636363636,0.01818181818181818,0.019090909090909092,0.01090909090909091,0.011818181818181818,0.02727272727272727,0.005454545454545455,0.03090909090909091,0.06,0.0,0.004545454545454545,0.005454545454545455
