Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
564/0.012971068645243942,1814/0.04971277065841803,210/0.02649617716846823,1168/0.031594634873323396,2551/0.009807692307692307,644/0.03050363447559709,31/0.013586246538119873,2361/0.027548918640576726,2/0.019307450157397692,1917/0.03906991458399241,286/0.039349499056192824,474/0.04315279612505504,4/0.022425084342131377,1059/0.035652424942263276,616/0.031705539358600585,2772/0.018673597073828086,792/0.03706382209365395,1030/0.02492839715710194,486/0.024793388429752067,2168/0.025466893039049237,1271/0.04766747171730011,1786/0.03633033124713784,1393/0.03965303593556382,2798/0.036589459550184625,1610/0.041929133858267714,2255/0.030166666666666668,490/0.020972909991261286,531/0.14129353233830846,2370/0.05508798775822494,2639/0.09488139825218476
1727/0.012757553111988897,534/0.04396818382677861,517/0.0175322963353546,2042/0.030551415797317436,476/0.009786324786324786,832/0.02946521287642783,573/0.01165281914615666,874/0.02660487469962238,468/0.018730325288562433,2015/0.035748180955393866,1624/0.03673587919268186,667/0.03963011889035667,254/0.020539789640801748,145/0.029734411085450347,757/0.028425655976676383,880/0.018481085763788624,398/0.03543662990417646,705/0.024822318871327038,1175/0.023875114784205693,1150/0.02350790126681468,1310/0.04436252701156731,753/0.03617768279651962,1826/0.03345724907063197,2528/0.03390399462907016,2079/0.03740157480314961,234/0.028333333333333332,331/0.01951645790853481,2897/0.07960199004975124,101/0.0504973221117062,359/0.09238451935081149
1037/0.012597416462047614,580/0.04286345558992488,1132/0.013709464803585552,2875/0.027421758569299553,2398/0.009508547008547008,606/0.02570093457943925,696/0.01113027120238282,868/0.025231719876416064,2471/0.018520461699895067,232/0.035748180955393866,444/0.034993465950341224,1947/0.039520035226772346,36/0.020539789640801748,1004/0.02684757505773672,1469/0.026056851311953354,1342/0.01838483010876889,2512/0.029470258542758993,447/0.01973056115413175,943/0.023186409550045913,583/0.023377301815332374,243/0.043472734206177706,727/0.03541444054342848,348/0.03345724907063197,24/0.032225579053373615,2708/0.03720472440944882,316/0.026833333333333334,2059/0.01893387707544422,1155/0.0736318407960199,1089/0.045141545524101,2077/0.08905534748231378
318/0.012277143162165048,1049/0.03844454264250994,367/0.013313999472712891,1406/0.02399403874813711,581/0.009444444444444445,1313/0.02518172377985462,2534/0.011078016408005435,1884/0.025231719876416064,1107/0.01789087093389297,2284/0.03527364757987979,393/0.03383185712211413,910/0.03907970057243505,2623/0.020142885493153403,751/0.026558891454965358,2796/0.025510204081632654,2481/0.018096063143709692,1385/0.02802386548544567,117/0.01856370001060783,786/0.02203856749311295,2263/0.02102651168865091,2385/0.0416931485953985,2063/0.033887956037246224,3026/0.02932672449401074,540/0.03121852970795569,2224/0.03700787401574803,687/0.025333333333333333,1788/0.018060005825808332,354/0.06666666666666667,301/0.04284621270084162,1708/0.0657511444028298
2516/0.011689975445713676,1871/0.037560760053026956,907/0.013313999472712891,58/0.02399403874813711,2907/0.009423076923076923,55/0.02453271028037383,2425/0.010921252024873282,373/0.024459320288362514,951/0.017418677859391395,446/0.034166403037013605,1599/0.03368665601858574,619/0.035116688683399386,79/0.019349077197856716,2328/0.026270207852193996,92/0.024963556851311953,2935/0.0175185292135913,226/0.027662267221117337,135/0.017927230295958416,1269/0.020202020202020204,1522/0.020895912237168603,1467/0.0413118088216601,147/0.03327736223477332,1462/0.028500619578686492,1571/0.029540114132259147,2325/0.03366141732283465,2846/0.025166666666666667,2290/0.01602097290999126,1214/0.06567164179104477,647/0.04093343534812548,282/0.062005826050769874
1392/0.011689975445713676,755/0.0273972602739726,15/0.012391247034010018,2599/0.02324888226527571,1576/0.009294871794871795,1032/0.024273104880581518,437/0.010085175314835135,1217/0.02351527634740817,1582/0.01626442812172088,984/0.03400822524517558,38/0.03267024829388703,2019/0.034676354029062086,16/0.017959912681087518,641/0.025981524249422634,185/0.022776967930029153,1949/0.017133506593512367,596/0.027481468088953173,319/0.01739683886708391,1948/0.019742883379247015,1501/0.02037351443123939,2585/0.040040676242532096,1430/0.03297206533353687,11/0.026848409748038,1498/0.028700906344410877,2816/0.03228346456692913,296/0.025,68/0.01543839207690067,2143/0.06069651741293532,2781/0.03825554705432287,3003/0.06158967956720766
216/0.011636596562399914,297/0.02695536897923111,2477/0.012127603480094912,1799/0.023099850968703428,956/0.00920940170940171,1326/0.024143302180685357,512/0.009353608193551759,372/0.023171987641606592,2507/0.015057712486883526,944/0.03385004745333755,2350/0.03223464498330187,124/0.03313518273888155,1295/0.01766223457035126,593/0.02367205542725173,1436/0.018768221574344022,2212/0.016940995283472905,1564/0.02675827156029651,2120/0.016548212580884694,1108/0.017676767676767676,172/0.01867572156196944,44/0.03775263760010169,1371/0.03266676843230041,1505/0.026848409748038,1554/0.027190332326283987,338/0.03031496062992126,102/0.023333333333333334,1570/0.015001456452082727,2715/0.05771144278606965,2807/0.03366488140780413,1134/0.052434456928838954
541/0.01147645991245863,1324/0.026513477684489615,2731/0.011336672818349592,719/0.021907600596125187,1466/0.008974358974358974,1756/0.02336448598130841,1848/0.00898782463291007,384/0.023171987641606592,2853/0.014742917103882477,1880/0.03369186966149953,1926/0.03223464498330187,1115/0.03313518273888155,225/0.015677713832109544,2016/0.023094688221709007,165/0.015852769679300292,146/0.016170950043315046,1516/0.026577472428132343,1161/0.01633605600933489,650/0.017676767676767676,558/0.018545122110487137,1672/0.03775263760010169,1000/0.029308502518699434,1820/0.026022304832713755,155/0.026686807653575024,19/0.029330708661417324,1178/0.021666666666666667,9/0.014564520827264784,1722/0.05572139303482587,132/0.031752104055087986,842/0.049937578027465665
623/0.011316323262517348,670/0.026513477684489615,510/0.010809385710519377,339/0.021609538002980627,46/0.008696581196581196,794/0.022975077881619937,1651/0.008831060249777917,1533/0.022742876759354616,74/0.014375655823714585,2652/0.03337551407782347,1764/0.032089443879773485,1548/0.03148392778511669,214/0.015380035721373288,1101/0.0223729792147806,2814/0.01567055393586006,2277/0.015882183078255847,1235/0.02639667329596818,560/0.016123899437785087,1427/0.017676767676767676,390/0.018545122110487137,654/0.035973051989322484,32/0.028087314913753627,876/0.025196199917389507,1366/0.026518966096005372,2829/0.02795275590551181,299/0.021666666666666667,1840/0.014273230410719488,2137/0.04875621890547264,1952/0.031752104055087986,1356/0.04827299209321681
2435/0.011316323262517348,263/0.026513477684489615,415/0.010677563933561824,1079/0.021311475409836064,186/0.008653846153846154,224/0.02284527518172378,1097/0.008831060249777917,1126/0.022742876759354616,200/0.014375655823714585,695/0.03337551407782347,851/0.032089443879773485,1428/0.03148392778511669,997/0.014983131573724946,2115/0.022228637413394918,675/0.015123906705539359,1636/0.015882183078255847,1027/0.02386548544566986,1602/0.01591174286623528,67/0.016988062442607896,1138/0.018545122110487137,175/0.03521037244184568,266/0.027324072660662495,365/0.023130937629078894,1119/0.02601544142329641,2670/0.025393700787401576,438/0.02,41/0.013981939994174191,2192/0.04875621890547264,1855/0.03098699311400153,1525/0.04744069912609238
1244/0.010782534429379738,2460/0.026292532037118867,1234/0.010545742156604272,740/0.020715350223546945,2289/0.008568376068376068,789/0.021287642782969886,1358/0.008831060249777917,168/0.022485410230003434,653/0.013746065057712488,435/0.03116102499209111,2862/0.03005662843037607,402/0.028181417877586965,1165/0.01488390553681286,1197/0.02208429561200924,554/0.014941690962099125,718/0.015497160458176918,877/0.02350388718134153,974/0.015805664580460378,885/0.015610651974288337,1/0.018414522659004832,29/0.03432057963645608,1277/0.02701877575942604,1387/0.023130937629078894,921/0.02450486740516952,2676/0.025393700787401576,2680/0.02,659/0.013399359161083601,569/0.042786069651741296,1791/0.029456771231828615,516/0.04577611319184353
756/0.01040888224618341,1886/0.02562969509500663,947/0.010545742156604272,1979/0.020566318926974664,1731/0.008547008547008548,2307/0.020119418483904465,1021/0.008778805455400532,362/0.020425677995193958,1713/0.013431269674711437,452/0.03037013603290098,722/0.029766226223319297,1895/0.02774108322324967,302/0.014784679499900774,1673/0.02020785219399538,1769/0.014577259475218658,2252/0.015112137838097988,2302/0.0225998915205207,2762/0.01569958629468548,1111/0.015381083562901745,1763/0.018153323756040226,960/0.03330367357315368,1452/0.026713478858189588,674/0.02271788517141677,608/0.02450486740516952,995/0.024015748031496063,259/0.02,2866/0.013108068744538305,478/0.03980099502487562,2008/0.029074215761285386,2824/0.042863087806908035
183/0.010035230062987082,764/0.025187803800265134,1325/0.010282098602689164,2219/0.019821162444113263,977/0.00844017094017094,356/0.01985981308411215,184/0.008517531483513613,1735/0.0197391005835908,850/0.012906610703043022,116/0.029895602657386902,2660/0.029766226223319297,35/0.02564949361514751,1047/0.014784679499900774,1934/0.019630484988452657,2443/0.014577259475218658,2504/0.014919626528058524,532/0.022057494124028205,2237/0.015487429723135673,364/0.015151515151515152,2204/0.017108528144181793,1099/0.03190542773611288,2940/0.02595023660509846,1140/0.02271788517141677,2737/0.022826451829472977,2958/0.023818897637795277,369/0.019666666666666666,2539/0.012525487911447713,1424/0.03980099502487562,728/0.02448355011476664,2066/0.03870162297128589
588/0.009981851179673321,754/0.024745912505523642,2178/0.010282098602689164,2800/0.019374068554396422,1595/0.008418803418803418,196/0.019600207684319835,2203/0.008517531483513613,395/0.0197391005835908,169/0.012801678908709339,272/0.028155646947168617,1075/0.029475824016262524,1822/0.02498899163364157,1760/0.014288549315340345,1008/0.01760969976905312,1460/0.01403061224489796,439/0.014534603907979594,595/0.021695895859699874,27/0.015381351437360772,261/0.014692378328741965,1368/0.01658613033825258,890/0.031015634930723273,1171/0.024423752098916195,1857/0.021065675340768277,480/0.022826451829472977,2592/0.02283464566929134,100/0.0195,2513/0.012234197494902418,610/0.03383084577114428,495/0.02410099464422341,2075/0.03537245110278818
