Cluster 1,Cluster 2
bloodstainedritualofthenight,specopstheline
neverwinternights,batenkaitos
nierautomata,thelegendofzeldalinksawakening
haloreach,fireemblemthreehouses
fallenlondon,supermetroid
pokemongoldandsilver,godofwar
valkyriachronicles,hitman2
xenosaga,fivenightsatfreddys
cityofvillains,fireemblemthesacredstones
dishonored,alphaprotocol
earthbound,digitaldevilsaga
warframe,devilsurvivor
hollowknight,marioandluigisuperstarsaga
portal,thelegendofzeldaalinkbetweenworlds
pokemonswordandshield,spidermanps4
heroesofmightandmagic,marioandluigidreamteam
residentevil6,middleearthshadowofwar
supersmashbrosbrawl,marioandluigibowsersinsidestory
assassinscreediii,miitopia
jadeempire,kingdomhearts358daysover2
supermario64,papermario64
megamanzx,metroidprime
nethack,drakengard
payday2,scribblenauts
batmanarkhamasylum,doom
thelegendofheroestrailsinthesky,metroidfusion
etrianodyssey,fortnite
skiesofarcadia,kingdomheartsiii
talesseries,shinmegamitenseiivapocalypse
xenobladechroniclesx,metroidprimetrilogy
diablo,persona2
callofduty,kingdomheartschainofmemories
perfectdark,kingdomheartsbirthbysleep
pokemonredandblue,thelegendofzeldaspirittracks
xcom2,lanoire
reddeadredemption,metroidotherm
sengokubasara,dontstarve
metalgearsolidvthephantompain,metroidprime3corruption
borderlands,maxpayne
halflife,psychonauts
starcontrol,castlevaniachroniclesofsorrow
cyberpunk2077,fireemblemgenealogyoftheholywar
finalfantasyxi,callofdutyblackops
prototype,godofwarbetrayal
dynastywarriors,monsterhunter
grandtheftautov,fireemblemtheblazingblade
theelderscrollsonline,shinmegamitenseistrangejourney
megamanstarforce,fireemblemradiantdawn
supermariogalaxy,papermario
darkestdungeon,samandmaxfreelancepolice
darksoulsi,shovelknight
xenogears,thesims
thesecretworld,shinmegamitenseiiv
splatoon2,mortalkombat11
assassinscreedii,kingdomhearts3ddreamdropdistance
divinityoriginalsinii,maxpayne2thefallofmaxpayne
pokemondiamondandpearl,finalfantasyxiii2
darksoulsii,supermariorpg
baldursgateii,thesims3
sonicthehedgehog2006,mortalkombatx
finalfantasyviiremake,metalslug
perfectdarkzero,batmanarkhamorigins
gearsofwar2,bravelydefault
castlevaniasymphonyofthenight,trailsseries
startrekonline,bully
horizonzerodawn,thelegendofzeldaoraclegames
halo3,fireemblemgaiden
neverwinternights2,lamulana
iji,kingdomheartsi
grimdawn,ghosttrick
punchout,hitman2016
shadowhearts,thelegendofzeldaalinktothepast
marioparty,godofwarps4
halocombatevolved,terraria
hades,metroid
devilmaycry5,thesims2
fallout1,splintercell
shadowrunreturns,conkersbadfurday
nier,shinmegamitenseiiiinocturne
discoelysium,shantae
puyopuyo,lifeisstrange
farcry3,fireemblempathofradiance
residentevil2,catherine
dragonquestix,heavyrain
halo2,contra
saintsrow2,tomodachilife
arcanumofsteamworksandmagickobscura,pokemonmysterydungeon
halo,minecraft
goldensundarkdawn,fireemblemthebindingblade
kirby,persona4
supermariobros,gameofthronesascent
left4dead2,kingdomheartsii
supermarioodyssey,dragonageorigins
nomoreheroes,plantsvszombies
saintsrowiv,fireemblemawakening
maplestory,dragonageii
dissidiafinalfantasy,persona3
firstencounterassaultrecon,persona5
residentevil5,injustice2
