i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
0,worldofwarcraft,0.195094124358243,0.6862521391899601,0.0838562464346834,0.03479749001711352
1,finalfantasyvii,0.23501033769813923,0.627842866988284,0.10268780151619572,0.03445899379738112
2,theelderscrollsvskyrim,0.1900383141762452,0.6904214559386973,0.0896551724137931,0.029885057471264367
3,teamfortress2,0.2208638956805216,0.6389568052159739,0.08801955990220049,0.05215973920130399
4,masseffect2,0.22709475332811277,0.6327329678935004,0.09397024275646046,0.04620203602192639
5,falloutnewvegas,0.19736842105263158,0.6504934210526315,0.09539473684210527,0.05674342105263158
6,fallout3,0.18775847808105872,0.6484698097601324,0.1141439205955335,0.04962779156327544
7,masseffect3,0.20543293718166383,0.6383701188455009,0.10441426146010187,0.05178268251273345
8,dragonageorigins,0.22962313759859773,0.6415425065731815,0.10692375109553023,0.021910604732690624
9,persona3,0.24,0.6054545454545455,0.13272727272727272,0.02181818181818182
10,persona5,0.2575221238938053,0.6132743362831858,0.09469026548672567,0.034513274336283185
11,finalfantasyvi,0.2177191328934967,0.6333647502356268,0.13006597549481622,0.01885014137606032
12,theelderscrollsivoblivion,0.20760233918128654,0.6442495126705653,0.12378167641325535,0.024366471734892786
13,thelegendofzeldaocarinaoftime,0.1939275220372184,0.643486777668952,0.13320274240940255,0.029382957884427033
14,dragonageii,0.2336182336182336,0.6419753086419753,0.10731244064577398,0.017094017094017096
15,fallout,0.16895874263261296,0.6414538310412574,0.13261296660117877,0.05697445972495088
16,chronotrigger,0.18981018981018982,0.6363636363636364,0.14285714285714285,0.030969030969030968
17,metalgear,0.2624877571008815,0.5484818805093046,0.14299706170421156,0.04603330068560235
18,persona4,0.2407231208372978,0.6308277830637488,0.10846812559467174,0.019980970504281638
19,finalfantasyxiv,0.20295566502463055,0.6689655172413793,0.09753694581280788,0.030541871921182268
20,thelegendofzeldabreathofthewild,0.1856710393541877,0.6740665993945509,0.10393541876892028,0.03632694248234107
21,cityofheroes,0.16036772216547499,0.6731358529111338,0.12563840653728295,0.04085801838610827
22,thelegendofzeldatwilightprincess,0.1902834008097166,0.6518218623481782,0.13360323886639677,0.024291497975708502
23,leagueoflegends,0.17676767676767677,0.6707070707070707,0.1111111111111111,0.04141414141414142
24,finalfantasyviii,0.22845691382765532,0.6172344689378757,0.13627254509018036,0.018036072144288578
25,sonicthehedgehog,0.24074074074074073,0.5946502057613169,0.11316872427983539,0.051440329218107
26,finalfantasyx,0.22658610271903323,0.6555891238670695,0.09969788519637462,0.01812688821752266
27,overwatch,0.2081165452653486,0.6295525494276795,0.12070759625390219,0.04162330905306972
28,metalgearsolid,0.2740740740740741,0.5301587301587302,0.1439153439153439,0.05185185185185185
29,supersmashbros,0.2367816091954023,0.5885057471264368,0.11839080459770115,0.05632183908045977
30,undertale,0.25699481865284973,0.5761658031088083,0.13264248704663212,0.03419689119170984
31,touhou,0.20901639344262296,0.6485655737704918,0.1168032786885246,0.025614754098360656
32,talesofsymphonia,0.23311546840958605,0.6154684095860566,0.1394335511982571,0.011982570806100218
33,dragonageinquisition,0.2543478260869565,0.6141304347826086,0.10326086956521739,0.02826086956521739
34,mother3,0.22527472527472528,0.5868131868131868,0.15494505494505495,0.03296703296703297
35,thelegendofzeldaskywardsword,0.18855218855218855,0.6475869809203143,0.1425364758698092,0.02132435465768799
36,kingdomofloathing,0.16518847006651885,0.664079822616408,0.12527716186252771,0.045454545454545456
37,warcraft,0.18671248568155785,0.6529209621993127,0.140893470790378,0.019473081328751432
38,blazblue,0.2480181200453001,0.594563986409966,0.1347678369195923,0.022650056625141562
39,kingdomheartsii,0.23067776456599287,0.5648038049940547,0.1724137931034483,0.03210463733650416
40,fireemblemawakening,0.27647058823529413,0.6129411764705882,0.0988235294117647,0.011764705882352941
41,finalfantasyxii,0.20412844036697247,0.6353211009174312,0.143348623853211,0.017201834862385322
42,fallout4,0.1635150166852058,0.6674082313681868,0.10456062291434928,0.06451612903225806
43,theelderscrollsiiimorrowind,0.18181818181818182,0.6874221668742216,0.1095890410958904,0.021170610211706103
44,warcraftiii,0.17291414752116083,0.6517533252720678,0.14510278113663846,0.030229746070133012
45,halflife2,0.1745049504950495,0.6101485148514851,0.16336633663366337,0.05198019801980198
46,darksouls,0.17941952506596306,0.6609498680738787,0.13984168865435356,0.01978891820580475
47,thelegendofzeldathewindwaker,0.20848938826466917,0.6142322097378277,0.149812734082397,0.02746566791510612
48,finalfantasyxiii,0.21680876979293545,0.6004872107186358,0.16199756394640683,0.020706455542021926
49,dwarffortress,0.13745271122320302,0.7049180327868853,0.13114754098360656,0.02648171500630517
50,masseffect1,0.19949811794228356,0.5984943538268507,0.15056461731493098,0.05144291091593475
