Topic 1,Topic 2,Topic 3,Topic 4
2/0.006463965150796579,474/0.0024708945016294038,2551/0.009807692307692307,2639/0.02700461921118086
468/0.006270748801180376,1271/0.0023637383625281284,476/0.009786324786324786,359/0.026293971337202415
2471/0.006200488310410849,667/0.0022691888280270034,2398/0.009508547008547008,2077/0.02534644083856449
1107/0.005989706838102264,1947/0.002262885525726928,581/0.009444444444444445,1708/0.018713727348099018
951/0.005831620733870826,910/0.0022376723165266283,2907/0.009423076923076923,282/0.01764775553713135
1582/0.005445188034638422,1310/0.0021998525027261784,1576/0.009294871794871795,3003/0.017529314224801612
2507/0.005041190212713636,243/0.0021557293866256533,956/0.00920940170940171,2370/0.01705554897548265
2853/0.0049357994765593435,2385/0.002067483154424603,1466/0.008974358974358974,531/0.01681866635082317
200/0.00481284361771267,1467/0.002048573247524378,46/0.008696581196581196,101/0.01563425322752576
74/0.00481284361771267,2361/0.002023360038324078,186/0.008653846153846154,1134/0.014923605353547318
653/0.004602062145404086,619/0.002010753433723928,2289/0.008568376068376068,842/0.014212957479568874
31/0.004566931900019322,2585/0.001985540224523628,1731/0.008547008547008548,1089/0.013976074854909393
1713/0.004496671409249794,2019/0.001985540224523628,977/0.00844017094017094,1356/0.013739192230249912
850/0.004321020182325974,874/0.001954023713023253,1595/0.008418803418803418,1525/0.01350230960559043
169/0.00428588993694121,124/0.0018972939923225778,14/0.008354700854700855,301/0.013265426980930948
564/0.004268324814248828,1115/0.0018972939923225778,159/0.00829059829059829,516/0.013028544356271467
39/0.004250759691556446,1672/0.0018720807831222777,313/0.00814102564102564,647/0.012673220419282245
1704/0.0042331945688640635,44/0.0018720807831222777,893/0.008012820512820512,2824/0.012199455169963283
1727/0.004198064323479299,868/0.0018531708762220527,2351/0.00797008547008547,2781/0.011844131232974061
1037/0.004145368955402153,1884/0.0018531708762220527,324/0.007948717948717949,1393/0.011370365983655099
1782/0.004092673587325008,1428/0.0018027444578214526,914/0.007863247863247864,2066/0.011015042046665877
802/0.004075108464632626,1548/0.0018027444578214526,433/0.007799145299145299,2807/0.010422835485017174
318/0.004039978219247862,373/0.0017964411555213776,20/0.007692307692307693,2075/0.010067511548027952
715/0.0040048479738630976,654/0.0017838345509212277,2902/0.007692307692307693,1952/0.009830628923368471
1118/0.0039872828511707155,175/0.0017460147371207776,909/0.007564102564102564,132/0.009830628923368471
479/0.003952152605785951,1217/0.0017271048302205526,869/0.007329059829059829,348/0.00959374629870899
573/0.003917022360401187,286/0.0017081949233203274,425/0.007307692307692308,1826/0.00959374629870899
1487/0.003917022360401187,372/0.0017018916210202524,1308/0.007307692307692308,1855/0.00959374629870899
2516/0.0038467618696316594,29/0.0017018916210202524,514/0.007307692307692308,2897/0.00947530498637925
1392/0.0038467618696316594,384/0.0017018916210202524,1851/0.007222222222222222,1791/0.009119981049390028
216/0.0038291967469392773,1126/0.0016703751095198775,509/0.007200854700854701,2008/0.009001539737060287
760/0.0038291967469392773,1533/0.0016703751095198775,1584/0.007200854700854701,1155/0.008764657112400806
2157/0.0037940665015545132,960/0.0016514652026196524,1935/0.007158119658119658,656/0.008646215800071065
2048/0.0037940665015545132,168/0.0016514652026196524,499/0.007115384615384615,3026/0.008409333175411584
541/0.003776501378862131,402/0.0016136453888192025,1248/0.007094017094017094,1462/0.008172450550752103
696/0.0037413711334773675,1624/0.0015947354819189773,370/0.007094017094017094,526/0.008054009238422363
2534/0.0037238060107849854,1895/0.0015884321796189023,1540/0.007051282051282051,354/0.00793556792609262
623/0.0037238060107849854,1099/0.0015821288773188273,891/0.007008547008547009,1214/0.00781712661376288
2435/0.0037238060107849854,1059/0.0015569156681185274,1203/0.007008547008547009,1505/0.00769868530143314
669/0.0036886757654002213,1917/0.0015569156681185274,1112/0.006965811965811966,11/0.00769868530143314
281/0.003671110642707839,890/0.0015380057612183022,43/0.006965811965811966,728/0.007580243989103399
2425/0.003671110642707839,444/0.0015190958543180773,221/0.006944444444444444,495/0.007461802676773659
1332/0.003653545520015457,1786/0.0015001859474178523,323/0.006923076923076923,1820/0.007461802676773659
837/0.003653545520015457,362/0.0015001859474178523,749/0.006923076923076923,835/0.007224920052114178
3010/0.0036184152746306934,753/0.001493882645117777,843/0.006901709401709402,2143/0.007224920052114178
1244/0.003548154783861165,644/0.0014812760405176271,241/0.006837606837606838,876/0.007224920052114178
883/0.0034427640477068732,1030/0.0014812760405176271,2171/0.006837606837606838,739/0.007106478739784437
756/0.003425198925014491,705/0.0014749727382175522,1468/0.006816239316239316,2812/0.0069880374274546965
440/0.003407633802322109,35/0.0014686694359174772,638/0.0067735042735042736,1970/0.0069880374274546965
2193/0.003390068679629727,393/0.0014686694359174772,1384/0.006752136752136752,2715/0.006869596115124956
437/0.003390068679629727,1599/0.0014623661336174022,1411/0.006752136752136752,265/0.006869596115124956
2638/0.0033725035569373454,727/0.0014623661336174022,129/0.006730769230769231,1578/0.006751154802795215
1869/0.0033373733115525813,1735/0.0014497595290172522,1081/0.006730769230769231,2451/0.006632713490465474
183/0.003302243066167817,395/0.0014497595290172522,562/0.0067094017094017095,1722/0.006632713490465474
588/0.003284677943475435,1455/0.0014434562267171772,1670/0.006666666666666667,365/0.006632713490465474
1813/0.003267112820783053,680/0.0014434562267171772,176/0.0066452991452991455,1387/0.006632713490465474
1252/0.003249547698090671,832/0.001430849622117027,2496/0.006623931623931624,1140/0.006514272178135733
220/0.0032319825753982893,1822/0.001430849622117027,578/0.006602564102564102,674/0.006514272178135733
2918/0.0032144174527059073,4/0.001424546319816952,1493/0.006581196581196581,2777/0.006395830865805993
2024/0.0032144174527059073,2015/0.001424546319816952,98/0.006581196581196581,351/0.006158948241146512
60/0.003179287207321143,232/0.001424546319816952,357/0.006581196581196581,1857/0.006040506928816771
922/0.003179287207321143,1923/0.001418243017516877,1041/0.006517094017094017,193/0.00580362430415729
702/0.003161722084628761,1814/0.001418243017516877,2213/0.006517094017094017,2656/0.00580362430415729
1105/0.003161722084628761,38/0.001418243017516877,1261/0.006495726495726496,2192/0.00580362430415729
114/0.003161722084628761,1031/0.001418243017516877,2588/0.006431623931623932,2137/0.00580362430415729
2037/0.003144156961936379,2284/0.001405636412916727,522/0.006324786324786325,2804/0.005685182991827549
512/0.003144156961936379,1926/0.0013993331106166521,508/0.006217948717948718,1609/0.005685182991827549
590/0.003126591839243997,2063/0.0013993331106166521,194/0.006196581196581196,2517/0.005448300367168068
1898/0.0031090267165516153,2350/0.0013993331106166521,396/0.006196581196581196,1996/0.005448300367168068
2190/0.0030914615938592333,1596/0.0013993331106166521,2299/0.006196581196581196,2205/0.005211417742508587
1048/0.003073896471166851,1764/0.0013930298083165771,948/0.0061752136752136755,1593/0.005211417742508587
