i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
0,a3,0.2773109243697479,0.15966386554621848,0.06722689075630252,0.3697478991596639,0.08403361344537816,0.025210084033613446,0.008403361344537815,0.008403361344537815
1,abearsnightout,0.0,0.4,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
2,ablindlegend,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0
3,aboyandhisblob,0.0547945205479452,0.363013698630137,0.15753424657534246,0.2671232876712329,0.02054794520547945,0.0273972602739726,0.0547945205479452,0.0547945205479452
4,achangeintheweather,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
5,adarkroom,0.0,0.35714285714285715,0.09523809523809523,0.2857142857142857,0.023809523809523808,0.07142857142857142,0.09523809523809523,0.07142857142857142
6,afkarena,0.03571428571428571,0.35714285714285715,0.08928571428571429,0.25,0.03571428571428571,0.19642857142857142,0.017857142857142856,0.017857142857142856
7,afinalunity,0.0196078431372549,0.1568627450980392,0.06862745098039216,0.46078431372549017,0.10784313725490197,0.029411764705882353,0.12745098039215685,0.029411764705882353
8,agameofconcentration,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855
9,agameofthronesgenesis,0.15,0.3,0.05,0.15,0.0,0.15,0.15,0.05
10,agirladrift,0.05714285714285714,0.4,0.17142857142857143,0.14285714285714285,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.05714285714285714
11,ahatintime,0.07816711590296496,0.261455525606469,0.09703504043126684,0.40700808625336926,0.0646900269541779,0.03773584905660377,0.0431266846361186,0.01078167115902965
12,ahintofatint,0.14754098360655737,0.22950819672131148,0.04918032786885246,0.3442622950819672,0.13114754098360656,0.04918032786885246,0.01639344262295082,0.03278688524590164
13,ahomefaraway,0.015384615384615385,0.3384615384615385,0.2,0.26153846153846155,0.046153846153846156,0.1076923076923077,0.015384615384615385,0.015384615384615385
14,ahouseofmanydoors,0.03389830508474576,0.15254237288135594,0.059322033898305086,0.4745762711864407,0.17796610169491525,0.025423728813559324,0.05084745762711865,0.025423728813559324
15,aidungeon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,aidungeon2,0.055944055944055944,0.24475524475524477,0.02097902097902098,0.3916083916083916,0.13286713286713286,0.06993006993006994,0.04195804195804196,0.04195804195804196
17,aithesomniumfiles,0.128,0.124,0.048,0.528,0.132,0.004,0.016,0.02
18,ajugglerstale,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4
19,akingstalefinalfantasyxv,0.034482758620689655,0.3448275862068966,0.0,0.10344827586206896,0.0,0.3103448275862069,0.034482758620689655,0.1724137931034483
20,alegionarystale,0.04878048780487805,0.0975609756097561,0.0,0.6097560975609756,0.21951219512195122,0.0,0.024390243902439025,0.0
21,amindforevervoyaging,0.012048192771084338,0.12048192771084337,0.03614457831325301,0.5542168674698795,0.18072289156626506,0.0,0.04819277108433735,0.04819277108433735
22,anewbeginning,0.0625,0.09375,0.03125,0.4375,0.25,0.0,0.03125,0.09375
23,anightmareonelmstreetnes,0.0,0.4444444444444444,0.07407407407407407,0.18518518518518517,0.07407407407407407,0.1111111111111111,0.0,0.1111111111111111
24,anightmareonelmstreetpc,0.0,0.47058823529411764,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.0,0.23529411764705882
25,anoblecircle,0.0,0.3,0.06666666666666667,0.3333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.1
26,anormallostphone,0.4,0.05,0.1,0.2,0.1,0.0,0.0,0.15
27,aplaguetaleinnocence,0.06134969325153374,0.17791411042944785,0.04294478527607362,0.49693251533742333,0.15950920245398773,0.018404907975460124,0.03067484662576687,0.012269938650306749
28,aprestigetreemodaboutmerging,0.0,0.3,0.0,0.0,0.1,0.2,0.1,0.3
29,arksurvivalevolved,0.022727272727272728,0.38181818181818183,0.14545454545454545,0.20909090909090908,0.03636363636363636,0.10454545454545454,0.07727272727272727,0.022727272727272728
30,arms,0.13725490196078433,0.2549019607843137,0.05228758169934641,0.26143790849673204,0.013071895424836602,0.19607843137254902,0.0457516339869281,0.0392156862745098
31,arobotnamedfight,0.030303030303030304,0.3939393939393939,0.09090909090909091,0.2727272727272727,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.0
32,aroseinthetwilight,0.08333333333333333,0.3055555555555556,0.05555555555555555,0.3333333333333333,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.05555555555555555
33,asecondface,0.08333333333333333,0.125,0.041666666666666664,0.4583333333333333,0.16666666666666666,0.041666666666666664,0.0,0.08333333333333333
34,aseriesofunfortunateevents2004,0.038461538461538464,0.2692307692307692,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693
35,ashorthike,0.0,0.375,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664
36,asmallfavor,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.46153846153846156,0.0,0.0,0.0,0.07692307692307693
37,asmalltalkatthebackofbeyond,0.045454545454545456,0.13636363636363635,0.0,0.5,0.18181818181818182,0.0,0.09090909090909091,0.045454545454545456
38,aspacefortheunbound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,astoryaboutmyuncle,0.027777777777777776,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.0,0.08333333333333333,0.05555555555555555
40,astudyinsteampunk,0.10810810810810811,0.08108108108108109,0.013513513513513514,0.527027027027027,0.16216216216216217,0.05405405405405406,0.04054054054054054,0.013513513513513514
41,ataleoftwokingdoms,0.08247422680412371,0.1958762886597938,0.05154639175257732,0.41237113402061853,0.10309278350515463,0.061855670103092786,0.05154639175257732,0.041237113402061855
42,atechcybernetic,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.36363636363636365
43,atimelessstory,0.3902439024390244,0.024390243902439025,0.024390243902439025,0.43902439024390244,0.0975609756097561,0.0,0.0,0.024390243902439025
44,avalleywithoutwind,0.0,0.3103448275862069,0.034482758620689655,0.27586206896551724,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.06896551724137931
45,avalleywithoutwind2,0.0,0.3125,0.03125,0.5,0.03125,0.125,0.0,0.0
46,avampyrestory,0.11538461538461539,0.11538461538461539,0.10576923076923077,0.5384615384615384,0.07692307692307693,0.028846153846153848,0.0,0.019230769230769232
47,averylongropetothetopofthesky,0.07364341085271318,0.2131782945736434,0.07751937984496124,0.3372093023255814,0.09302325581395349,0.1124031007751938,0.07751937984496124,0.015503875968992248
48,avirusnamedtom,0.0,0.3333333333333333,0.0,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111
49,awalkinthewoods,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.0,0.0,0.07142857142857142
50,awayout,0.0707070707070707,0.15151515151515152,0.06060606060606061,0.5959595959595959,0.08080808080808081,0.04040404040404041,0.0,0.0
51,awaytobedead,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.0,0.0,0.23076923076923078
52,awitchstale,0.15217391304347827,0.2391304347826087,0.14130434782608695,0.2608695652173913,0.06521739130434782,0.08695652173913043,0.03260869565217391,0.021739130434782608
53,aaaaaaaaaaaaaaaaaaaaaaaaaarecklessdisregardforgravity,0.0625,0.40625,0.0,0.4375,0.03125,0.03125,0.0,0.03125
54,abadox,0.02631578947368421,0.3157894736842105,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.13157894736842105,0.02631578947368421,0.10526315789473684
55,abalaburn,0.041666666666666664,0.375,0.16666666666666666,0.0,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.08333333333333333
56,abandonship,0.018518518518518517,0.2037037037037037,0.05555555555555555,0.4074074074074074,0.12962962962962962,0.09259259259259259,0.05555555555555555,0.037037037037037035
57,aberoth,0.0,0.4782608695652174,0.0,0.13043478260869565,0.0,0.2608695652173913,0.08695652173913043,0.043478260869565216
58,abmneshitheprophecy,0.0,0.4583333333333333,0.125,0.08333333333333333,0.0,0.20833333333333334,0.0,0.125
59,abominationthenemesisproject,0.0,0.1935483870967742,0.06451612903225806,0.2903225806451613,0.1935483870967742,0.0967741935483871,0.16129032258064516,0.0
60,absolutepinball,0.0,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.0,0.21428571428571427
61,absolver,0.05128205128205128,0.358974358974359,0.02564102564102564,0.1794871794871795,0.0,0.2564102564102564,0.02564102564102564,0.10256410256410256
62,abuse,0.0,0.45161290322580644,0.11290322580645161,0.12903225806451613,0.0967741935483871,0.08064516129032258,0.04838709677419355,0.08064516129032258
63,abyssodyssey,0.08196721311475409,0.2459016393442623,0.04918032786885246,0.3770491803278688,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
64,abzu,0.06779661016949153,0.3220338983050847,0.1016949152542373,0.3389830508474576,0.03389830508474576,0.03389830508474576,0.06779661016949153,0.03389830508474576
65,acaratus,0.0,0.2727272727272727,0.0,0.2727272727272727,0.045454545454545456,0.3181818181818182,0.09090909090909091,0.0
66,accounting,0.0425531914893617,0.3617021276595745,0.0,0.44680851063829785,0.0851063829787234,0.0,0.0425531914893617,0.02127659574468085
67,acecombat,0.037142857142857144,0.22285714285714286,0.04,0.3942857142857143,0.11714285714285715,0.09714285714285714,0.07714285714285714,0.014285714285714285
68,acecombat04shatteredskies,0.05405405405405406,0.24864864864864866,0.04864864864864865,0.3621621621621622,0.11891891891891893,0.05405405405405406,0.0972972972972973,0.016216216216216217
69,acecombat2,0.013888888888888888,0.2638888888888889,0.06944444444444445,0.3194444444444444,0.09722222222222222,0.125,0.06944444444444445,0.041666666666666664
70,acecombat3electrosphere,0.023668639053254437,0.1893491124260355,0.023668639053254437,0.4260355029585799,0.15976331360946747,0.05325443786982249,0.09467455621301775,0.029585798816568046
71,acecombat5theunsungwar,0.03819444444444445,0.18055555555555555,0.03819444444444445,0.4583333333333333,0.11805555555555555,0.06597222222222222,0.08680555555555555,0.013888888888888888
72,acecombat6firesofliberation,0.04419889502762431,0.2430939226519337,0.022099447513812154,0.40331491712707185,0.11602209944751381,0.07734806629834254,0.06629834254143646,0.027624309392265192
73,acecombat7skiesunknown,0.02425876010781671,0.19946091644204852,0.026954177897574125,0.4609164420485175,0.12668463611859837,0.07547169811320754,0.07277628032345014,0.013477088948787063
74,acecombatassaulthorizon,0.026143790849673203,0.24836601307189543,0.0392156862745098,0.40522875816993464,0.06535947712418301,0.10457516339869281,0.08496732026143791,0.026143790849673203
75,acecombatassaulthorizonlegacy,0.009615384615384616,0.3269230769230769,0.038461538461538464,0.25961538461538464,0.125,0.14423076923076922,0.0673076923076923,0.028846153846153848
76,acecombatinfinity,0.0707070707070707,0.23232323232323232,0.020202020202020204,0.3939393939393939,0.09090909090909091,0.11616161616161616,0.05555555555555555,0.020202020202020204
77,acecombatjointassault,0.015625,0.34375,0.046875,0.328125,0.0625,0.109375,0.046875,0.046875
78,acecombatnorthernwings,0.045454545454545456,0.36363636363636365,0.045454545454545456,0.2727272727272727,0.09090909090909091,0.0,0.045454545454545456,0.13636363636363635
79,acecombatxskiesofdeception,0.021052631578947368,0.23157894736842105,0.031578947368421054,0.3894736842105263,0.10526315789473684,0.08421052631578947,0.09473684210526316,0.042105263157894736
80,acecombatzerothebelkanwar,0.03272727272727273,0.18181818181818182,0.03272727272727273,0.4509090909090909,0.13818181818181818,0.06909090909090909,0.07636363636363637,0.01818181818181818
81,acefishing,0.11764705882352941,0.38235294117647056,0.11764705882352941,0.2647058823529412,0.0,0.11764705882352941,0.0,0.0
82,aceonline,0.015267175572519083,0.37404580152671757,0.061068702290076333,0.13740458015267176,0.03816793893129771,0.21374045801526717,0.15267175572519084,0.007633587786259542
83,aceswildmanicbrawlingaction,0.0,0.5217391304347826,0.08695652173913043,0.043478260869565216,0.0,0.2608695652173913,0.043478260869565216,0.043478260869565216
84,achaea,0.033707865168539325,0.2696629213483146,0.011235955056179775,0.2808988764044944,0.15730337078651685,0.19101123595505617,0.033707865168539325,0.02247191011235955
85,achievementunlocked,0.03773584905660377,0.49056603773584906,0.1509433962264151,0.2641509433962264,0.0,0.018867924528301886,0.0,0.03773584905660377
86,aconcagua,0.0625,0.0625,0.1875,0.25,0.3125,0.0,0.0,0.125
87,acornstory,0.0,0.29411764705882354,0.11764705882352941,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
88,actofaggression,0.01639344262295082,0.14754098360655737,0.01639344262295082,0.2786885245901639,0.11475409836065574,0.21311475409836064,0.18032786885245902,0.03278688524590164
89,action52,0.022857142857142857,0.4057142857142857,0.16,0.21714285714285714,0.02857142857142857,0.05142857142857143,0.022857142857142857,0.09142857142857143
90,actionfish,0.0,0.14285714285714285,0.19047619047619047,0.38095238095238093,0.19047619047619047,0.0,0.047619047619047616,0.047619047619047616
91,actionmax,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,adverbum,0.0,0.3125,0.1875,0.3125,0.0625,0.0625,0.0,0.0625
93,adr1ft,0.0,0.36363636363636365,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
94,advancedvariablegeo,0.3129251700680272,0.1292517006802721,0.034013605442176874,0.3129251700680272,0.08163265306122448,0.08163265306122448,0.013605442176870748,0.034013605442176874
95,adventrising,0.0,0.4098360655737705,0.01639344262295082,0.3114754098360656,0.01639344262295082,0.13114754098360656,0.06557377049180328,0.04918032786885246
96,adventure,0.015384615384615385,0.4,0.18461538461538463,0.2,0.03076923076923077,0.07692307692307693,0.0,0.09230769230769231
97,adventureaplanetofdeath,0.0,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182
98,adventureallinthegame,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.4,0.13333333333333333,0.0,0.0,0.0
99,adventurebincacurse,0.0,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.36363636363636365
100,adventurecshipofdoom,0.0,0.35294117647058826,0.0,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413
101,adventurefunpak,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
102,adventureisland,0.07975460122699386,0.44785276073619634,0.1901840490797546,0.1165644171779141,0.018404907975460124,0.06134969325153374,0.018404907975460124,0.06748466257668712
103,adventurequest3d,0.0546448087431694,0.21311475409836064,0.07650273224043716,0.3770491803278688,0.06557377049180328,0.1366120218579235,0.04371584699453552,0.03278688524590164
104,adventurestory,0.0,0.5357142857142857,0.17857142857142858,0.10714285714285714,0.0,0.10714285714285714,0.0,0.07142857142857142
105,adventuretheinsidejob,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.0,0.0,0.11764705882352941
106,adventurewelcometothegenre,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.4,0.13333333333333333,0.0,0.0,0.0
107,adventuresinthegalaxyoffantabulouswonderment,0.0,0.3333333333333333,0.07407407407407407,0.25925925925925924,0.07407407407407407,0.0,0.07407407407407407,0.18518518518518517
108,adventuresinthemagickingdom,0.05555555555555555,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0
109,adventuresofdinoriki,0.04,0.48,0.24,0.04,0.0,0.08,0.0,0.12
110,adventuresoflolo,0.03571428571428571,0.5357142857142857,0.10714285714285714,0.09523809523809523,0.011904761904761904,0.09523809523809523,0.023809523809523808,0.09523809523809523
111,adventuresofpip,0.0,0.375,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.125,0.0,0.125
112,adventuresoftron,0.0,0.3,0.2,0.0,0.0,0.0,0.1,0.4
113,adventurestogo,0.0,0.16666666666666666,0.041666666666666664,0.375,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.0
114,adventureswithanxiety,0.04477611940298507,0.11940298507462686,0.05970149253731343,0.5671641791044776,0.16417910447761194,0.014925373134328358,0.0,0.029850746268656716
115,aegisofearthprotonovusassault,0.09090909090909091,0.22727272727272727,0.0,0.18181818181818182,0.045454545454545456,0.18181818181818182,0.22727272727272727,0.045454545454545456
116,aegiswing,0.0,0.42105263157894735,0.10526315789473684,0.15789473684210525,0.0,0.15789473684210525,0.05263157894736842,0.10526315789473684
117,aeondrive,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.4
118,aerofighters,0.05194805194805195,0.33766233766233766,0.1038961038961039,0.24675324675324675,0.03896103896103896,0.09090909090909091,0.07792207792207792,0.05194805194805195
119,aerotheacrobat,0.08196721311475409,0.4098360655737705,0.16393442622950818,0.22950819672131148,0.03278688524590164,0.04918032786885246,0.0,0.03278688524590164
120,aerobiz,0.043478260869565216,0.5217391304347826,0.0,0.21739130434782608,0.0,0.043478260869565216,0.13043478260869565,0.043478260869565216
121,aeternoblade,0.024390243902439025,0.2926829268292683,0.024390243902439025,0.3902439024390244,0.0975609756097561,0.12195121951219512,0.0,0.04878048780487805
122,aetherion,0.07142857142857142,0.09523809523809523,0.14285714285714285,0.21428571428571427,0.0,0.35714285714285715,0.07142857142857142,0.047619047619047616
123,aetolia,0.03278688524590164,0.29508196721311475,0.03278688524590164,0.4098360655737705,0.03278688524590164,0.13114754098360656,0.04918032786885246,0.01639344262295082
124,affordablespaceadventures,0.0,0.45714285714285713,0.08571428571428572,0.17142857142857143,0.14285714285714285,0.0,0.05714285714285714,0.08571428571428572
125,afrikakorpsvsdesertrats,0.0,0.16666666666666666,0.08333333333333333,0.25,0.0,0.041666666666666664,0.375,0.08333333333333333
