Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
1107/0.019517099404752405,1731/0.02974258356766336,176/0.020089835097218803,914/0.005456041480281846,1411/0.022306675479180436,1947/0.020437611501731557,910/0.03285787060621498,2471/0.07384898060139218
1125/0.014426376011362367,581/0.016306657383882314,2252/0.019074575436869308,893/0.005224216857241744,948/0.019387530293016084,2361/0.020017840277049007,508/0.032603158430973,577/0.06816013568425144
1487/0.013644415364728787,2551/0.014358176837041926,1895/0.018843834604971695,324/0.004900968439199911,2831/0.018919365499008592,468/0.019807954664707736,1814/0.03125318390219053,277/0.05925585668350942
598/0.012112410832548713,1576/0.013729780558594562,1428/0.017382476002953482,2351/0.004894438168128359,2082/0.014898656091650144,1467/0.019624304753909118,1150/0.02055527254202751,1763/0.05646443588565775
160/0.011282575044284506,476/0.01253627971319813,2019/0.017105587004676348,909/0.0047932189665193005,328/0.014650804141881472,843/0.019493126246195824,35/0.019001528273051453,2798/0.05554574043320024
475/0.01078786524743469,2907/0.012147487771137172,2213/0.01698252522766429,514/0.0047932189665193005,2496/0.013686935448336638,1310/0.01812886976597754,2168/0.019001528273051453,479/0.03833786791986149
695/0.010771906866891149,2398/0.011767737502147397,402/0.015275043071621953,749/0.0047736281533046435,2039/0.011249724608944701,868/0.018102634064434884,1596/0.017116658176260825,1507/0.03770184799123706
2255/0.009287777476341701,951/0.010836445175815333,2772/0.014813561407826728,1595/0.004698530035981793,2042/0.010561246970698391,667/0.017932102004407598,404/0.016912888436067246,944/0.03763117911027879
1392/0.009112235290362734,1466/0.01045669490682556,1000/0.014105956190007384,1248/0.004688734629374466,2263/0.010175699493280458,869/0.016672788330359956,172/0.015817626082526744,1499/0.03286102964559556
2623/0.008968609865470852,956/0.010307507301151006,1430/0.013859832635983263,1308/0.004688734629374466,444/0.009927847543511786,243/0.016567845524189318,792/0.015257259296994397,487/0.03003427440726476
1637/0.00888881796275314,977/0.010217090570439154,1676/0.013244523750922964,20/0.004580985156693854,31/0.009927847543511786,44/0.016515374121103998,2863/0.014900662251655629,2864/0.02932758559768206
1898/0.008809026060035427,159/0.009864465320662935,79/0.012490770366724096,2171/0.0042512064675804696,1244/0.00973507380480282,1115/0.015925070836394165,1362/0.014645950076413653,689/0.028444224585703684
1080/0.008729234157317715,313/0.00943046501324605,606/0.011690868816145705,323/0.004189168892400724,224/0.009611147829918485,1399/0.01538723895476965,2307/0.013194090677534387,1313/0.02826755238330801
225/0.008681359015687088,1271/0.009416902503639274,1104/0.011613955205513168,1041/0.004159782672578739,1600/0.009418374091209518,1884/0.015347885402455661,24/0.013168619460010189,13/0.024910780537790184
1295/0.008074940555032476,2289/0.008847277100154613,588/0.011460127984248093,370/0.0038887764231093232,1326/0.008936439744437101,874/0.015308531850141673,3005/0.012480896586856851,700/0.023356065156708242
2118/0.008011107032858306,2585/0.008747818696371576,757/0.011429362539995078,1468/0.003875715880966219,1032/0.008661048689138577,373/0.015006821282401092,1516/0.012302598064187467,1164/0.022154694180417652
1171/0.007915356749597051,1548/0.008657401965659726,590/0.011214004430223972,1003/0.0037614361372140556,922/0.008413196739369905,1735/0.014495225102319235,390/0.012251655629139073,1618/0.02197802197802198
16/0.007883439988509966,186/0.008408755956202135,3010/0.011214004430223972,129/0.003621035309175684,851/0.008316809870015422,619/0.013590093399097492,1501/0.012200713194090678,2846/0.021094660966043604
1129/0.007707897802530999,14/0.008304776715883507,281/0.011137090819591435,1112/0.0036047096314968034,58/0.00822042300066094,29/0.012684961695875747,163/0.011818644931227713,1552/0.020599978799335714
604/0.007245104766768268,2/0.008264089187063174,2518/0.010890967265567314,396/0.003558997733995938,1797/0.008165344789601233,168/0.011806065694196663,1368/0.011487519103413142,2901/0.02045864103741917
299/0.007229146386224726,46/0.008173672456351323,1452/0.010875584543440807,112/0.003545937191852834,362/0.00813780568407138,2048/0.011701122888026026,1138/0.011487519103413142,723/0.017525882477650967
2161/0.007149354483507014,638/0.00790242226421577,2224/0.01018336204774797,357/0.003529611514173953,101/0.00813780568407138,1126/0.011674887186483367,1522/0.011334691798267958,259/0.016183173739443835
541/0.007037645819702217,1851/0.007843651389253067,1571/0.010121831159241939,1081/0.00349042988774464,368/0.007834875523243004,680/0.011543708678770071,516/0.010494141619969435,687/0.015900498215610757
1026/0.006957853916984505,1584/0.007518151158690404,2325/0.010075682992862416,1493/0.003480634481137312,38/0.007463097598589998,1439/0.011373176618742785,244/0.010341314314824249,1521/0.015547153810819406
80/0.006909978775353877,474/0.00735088020687348,1899/0.010044917548609401,2349/0.0033892106861355817,519/0.00742178894029522,395/0.011110819603316193,1071/0.010341314314824249,2952/0.014769796120278435
1718/0.0068940203948103344,1935/0.007224296783876889,2935/0.009891090327344327,97/0.00334023365309894,731/0.00738048028200044,653/0.010966523244831567,229/0.010239429444727458,2851/0.01452245503692449
648/0.00686210363372325,2385/0.0071926509281277405,2592/0.00981417671671179,2329/0.0033369685175631643,2509/0.007366710729235514,3024/0.010599223423234338,285/0.01021395822720326,85/0.012579060810572064
915/0.006622727925570113,2902/0.007124838380093853,837/0.009537287718434654,1780/0.0033271731109558358,432/0.006857237276933245,372/0.010192570049323118,1651/0.01021395822720326,673/0.012155047524822445
201/0.006574852783939486,562/0.007088671687809112,2481/0.009429608663549102,125/0.003310847433276955,2327/0.006719541749283983,2284/0.009759680973869242,143/0.009730005094243505,1834/0.010918342108052719
892/0.006495060881221774,509/0.006921400735992188,1920/0.009029657888259907,2320/0.003310847433276955,1385/0.006485459352280238,705/0.009707209570783923,2204/0.009653591441670911,2272/0.009681636691282993
490/0.006415268978504062,433/0.006632067197714265,266/0.008921978833374354,2015/0.0032912566200622986,726/0.006444150693985459,1591/0.009156259838388078,21/0.009577177789098319,640/0.009398961167449914
302/0.0063195186952428066,425/0.006528087957395637,916/0.008552793502338174,1098/0.0032749309423834184,1320/0.006347763824630976,1031/0.00906443488298877,558/0.009475292919001529,864/0.009151620084095969
69/0.006287601934155722,221/0.006433150390148193,637/0.008552793502338174,1205/0.003222688773811001,1509/0.0063339942718660495,1533/0.009038199181446112,2297/0.009322465613856343,2702/0.007773576905409703
1202/0.006175893270350925,2431/0.006297525294080416,543/0.008552793502338174,801/0.003186772282917464,1459/0.006141220533157083,2862/0.009011963479903453,2412/0.009271523178807948,1579/0.0074555669410974875
134/0.006159934889807382,241/0.006098608486514345,2126/0.008337435392567068,1668/0.0030561668614864203,2333/0.006141220533157083,1943/0.008946374226046805,2075/0.009246051961283749,553/0.007349563619660083
298/0.006128018128720297,621/0.006035316775016049,326/0.00832205267044056,522/0.003043106319343316,1511/0.0060999118748623045,55/0.00876272431524819,531/0.009220580743759551,1529/0.006890215893431328
1274/0.005904600801110703,1670/0.006026275101944864,1366/0.008045163672163427,2507/0.0029222963045196005,1161/0.006017294558272747,1498/0.00873648861370553,804/0.009093224656138564,703/0.006890215893431328
1186/0.0058886424205671604,98/0.005976545900053346,2286/0.007845188284518828,1440/0.0028896449491618396,848/0.006003525005507821,1453/0.008303599538251653,620/0.008940397350993378,1445/0.0065015370481608424
438/0.005824808898392991,1672/0.005890650005877088,60/0.007629830174747723,1217/0.0028896449491618396,2260/0.005796981714033928,1163/0.008159303179767027,354/0.00891492613346918,2292/0.006077523762411222
1760/0.005808850517849449,1203/0.005845441640521162,829/0.0076144474526212156,43/0.0028733192714829594,178/0.005769442608504076,1268/0.008080596075139048,1336/0.00858380030565461,2023/0.005688844917140737
