Cluster 1,Cluster 2
a3,zyll
grandtheftautosanandreas,icey
superlesbiananimalrpg,hyperprincesspitch
dcuniverseonline,hyperrogue
obeyme,hyperdimensionneptuniauactionunleashed
supergemfighter,hypnagogia
supergearquest,hypnospaceoutlaw
grandtheftautovicecity,hysteriaproject
grandtheftautov,iamalive
dmcdevilmaycry,iamaninsanerogueai
danceofdeathdulacandfey,iambread
grandtheftautoivtheballadofgaytony,iamfish
daemonxmachina,iamsetsuna
grandtheftautoiv,ibecameadog
daikatana,icy
grandtheftautoiii,hoshigamiruiningblueearth
damexprince,idomination
superadventurerockman,ihave1day
superluckystale,ihavenomouthandimustscream
d2,il2sturmovik
supermario3dworld,immeen
supermario64,imadeagamewithzombiesinit
nox,ininja
supermariorpglegendofthesevenstars,iofthedragon
supermariorpg,irobot
supermarioodyssey,isdefense
gravityfallslegendofthegnomegemulets,isawherstandingthere
cyberbots,iwannabetheboshy
cyberpunk2077,hydrothunder
supermariogalaxy2,hydorah
supermariogalaxy,hydlide
grappleforcerena,hybridheaven
nusakana,hostilewatersantaeusrising
cythera,hotdogshorseshoesandhandgrenades
off,hotshotsgolf
supermariobros,hottinroofthecatthatworeafedora
grandiaiii,hotarunonikkithefireflydiary
danballsenki,hotelmario
suparobogakuen,hotlinemiami
gravityrush,hotlinemiami2wrongnumber
ogrebattle,house2020
suikodeniii,houseofashes
suikodenii,houseofshadows
suikodeni,houseofthedyingsun
suikoden,houseonthehill
suicidesquadkillthejusticeleague,hoverrevoltofgamers
sudeki,hovertank3d
dark,howtosurvive
ogrebattlethemarchoftheblackqueen,hue
sunsetoverdrive,huepixelpainter
styxshardsofdarkness,hugotrollrace
stylesavvy,hugoshouseofhorrors
styleboutique,hulk
stygianreignoftheoldones,humanfallflat
struggling,humankillingmachine
okageshadowking,humankind
strikesuitzero,huntthewumpus
suikodeniv,iwannabethefangame
suikodentactics,iwannabetheguygaiden
suikodentierkreis,iwasanatomicmutant
suikodenv,illusionofgaia
sunsetoverimdahl,ilomilo
dandara,imaginaryfriends
dandyace,immortalredneck
danganronpaanotherepisodeultradespairgirls,immortalrogue
odama,immortalsouls
oedipusinmyinventory,immortalunchained
grandtheftauto,imperatorrome
summonnightx,imperiumgalactica
summonnighttwinage,imperivm
summonnightswordcraftstory2,implosion
summonnightswordcraftstory,impossiblemission
summonnightcraftswordmonogatarihajimarinoishi,imscared
summonnight,inmomentum
summertimesaga,insilence
dantesinferno,insomniatheark
supermariosunshine,inthe1stdegree
cuteknightkingdom,inthehunt
thelifeandsufferingofsirbrante,inca
grimdawn,incobotomini
nomoreheroes2desperatestruggle,incoming
nomoreheroesiii,incredibox
grinsia,incremenergy
grimmshollow,incubo
superman64,indecision
grimgrimoire,indestructotank
superdimensionneptunevssegahardgirls,illyriad
crystar,illbleed
superrobotwarsz,ianseyes
cthulhumythosthesleepinggirlofthemiasmasea,illwill
supersmashbrosultimate,ib
supersmashbrosmelee,icarusneeds
supersmashbrosfornintendo3dsandwiiu,iceclimber
supersmashbrosbrawl,iceclimbers
supersmashbros64,ichu
supersmashbros,icycle
nomoreheroes,idcrosstheworldforyou
crusaderkingsiii,idlebouncer
survivinghighschool,idlebrainquest
crusader,idlebreakout
guenevere,idlechampionsoftheforgottenrealms
crisiscore,idlechop
guardiansofthegalaxy2021,idleempire
ninjala,idlemine
swordofmana,idlemineremix
swordcoastlegends,idlerecruit
swordandfairy6,idleskelly
guardianheroes,igglepop
cromaheroes,iggysreckinballs
crosscode,ignac
guacamelee2,ikachan
guacamelee,ikariwarriors
nioh2,ikariam
