i_doc,doc,Topic 1,Topic 2
0,a3,0.47058823529411764,0.5294117647058824
1,abearsnightout,0.4666666666666667,0.5333333333333333
2,ablindlegend,0.25,0.75
3,aboyandhisblob,0.3698630136986301,0.6301369863013698
4,achangeintheweather,0.14285714285714285,0.8571428571428571
5,adarkroom,0.35714285714285715,0.6428571428571429
6,afkarena,0.39285714285714285,0.6071428571428571
7,afinalunity,0.38235294117647056,0.6176470588235294
8,agameofconcentration,0.5714285714285714,0.42857142857142855
9,agameofthronesgenesis,0.55,0.45
10,agirladrift,0.45714285714285713,0.5428571428571428
11,ahatintime,0.33153638814016173,0.6684636118598383
12,ahintofatint,0.4262295081967213,0.5737704918032787
13,ahomefaraway,0.4,0.6
14,ahouseofmanydoors,0.3728813559322034,0.6271186440677966
15,aidungeon,0.0,1.0
16,aidungeon2,0.36363636363636365,0.6363636363636364
17,aithesomniumfiles,0.348,0.652
18,ajugglerstale,0.6,0.4
19,akingstalefinalfantasyxv,0.5517241379310345,0.4482758620689655
20,alegionarystale,0.2926829268292683,0.7073170731707317
21,amindforevervoyaging,0.3253012048192771,0.6746987951807228
22,anewbeginning,0.46875,0.53125
23,anightmareonelmstreetnes,0.37037037037037035,0.6296296296296297
24,anightmareonelmstreetpc,0.4117647058823529,0.5882352941176471
25,anoblecircle,0.36666666666666664,0.6333333333333333
26,anormallostphone,0.75,0.25
27,aplaguetaleinnocence,0.32515337423312884,0.6748466257668712
28,aprestigetreemodaboutmerging,0.7,0.3
29,arksurvivalevolved,0.4090909090909091,0.5909090909090909
30,arms,0.48366013071895425,0.5163398692810458
31,arobotnamedfight,0.3333333333333333,0.6666666666666666
32,aroseinthetwilight,0.3611111111111111,0.6388888888888888
33,asecondface,0.4166666666666667,0.5833333333333334
34,aseriesofunfortunateevents2004,0.34615384615384615,0.6538461538461539
35,ashorthike,0.375,0.625
36,asmallfavor,0.23076923076923078,0.7692307692307693
37,asmalltalkatthebackofbeyond,0.36363636363636365,0.6363636363636364
38,aspacefortheunbound,1.0,0.0
39,astoryaboutmyuncle,0.3333333333333333,0.6666666666666666
40,astudyinsteampunk,0.3918918918918919,0.6081081081081081
41,ataleoftwokingdoms,0.3917525773195876,0.6082474226804123
42,atechcybernetic,0.7272727272727273,0.2727272727272727
43,atimelessstory,0.5365853658536586,0.4634146341463415
44,avalleywithoutwind,0.41379310344827586,0.5862068965517241
