Topic 1,Topic 2
2471/0.006074027574341448,1731/0.012472889145041178
577/0.005606124014786915,581/0.006838381387165759
277/0.004873753225918951,2551/0.006021264010434835
1411/0.004708097928436911,1576/0.005757738916779154
1763/0.004644160796075422,476/0.0052572308252316746
2798/0.0045685987305573,2907/0.005094186522682117
1947/0.004527911464509079,2398/0.004934933948098828
2361/0.004434911999256004,951/0.004544385967573142
468/0.004388412266629467,1466/0.004385133392989854
1467/0.004347725000581247,956/0.004322569881546418
843/0.0043186626676896605,977/0.00428465260188373
948/0.004091976471135291,159/0.004136775211199248
1310/0.004016414405617168,313/0.003954772268818346
868/0.004010601939038851,1271/0.003949084676868943
2831/0.003993164539303899,2289/0.003710205814994009
667/0.003972820906279789,2585/0.0036684968073650522
176/0.003795540675641115,1548/0.0036305795277023645
910/0.003749040943014578,186/0.003526307008629973
508/0.0037199786101229917,14/0.0034827021370178817
869/0.0036938225105205644,2/0.0034656393611696723
243/0.003670572644207296,46/0.0034277220815069846
44/0.0036589477110506616,638/0.0033139702425189206
2252/0.003603729278556648,1851/0.0032893240107381735
1814/0.0035659482457975865,914/0.0031679887158175724
1895/0.0035601357792192697,1584/0.003152821803952497
1107/0.0035543233126409525,474/0.0030826748365765247
1115/0.003528167213038525,893/0.0030333823730150306
1399/0.003409011648183023,1935/0.0030295906450487618
1884/0.0034002929483155473,2385/0.0030163195971668207
874/0.003391574248448071,2902/0.002987881637419805
373/0.003324730882797424,562/0.00297271472555473
1428/0.0032840436167492037,509/0.002902567758178757
2019/0.003231731417544349,324/0.0028456918386847254
1735/0.003211387784520239,2351/0.0028419001107184566
2213/0.0032084815512310803,909/0.0027831283272412902
479/0.0031532631187370674,514/0.0027831283272412902
2082/0.0031445444188695913,433/0.002781232463258156
1507/0.003100950919532213,749/0.002771753143342484
944/0.0030951384529538956,425/0.002737627591646065
328/0.003092232219664737,1595/0.002728148271730393
619/0.0030108576875682966,1308/0.0027224606797809896
2496/0.002888795889423636,1248/0.0027224606797809896
402/0.002885889656134477,221/0.0026978144480002426
29/0.002810327590616354,20/0.002659897168337555
2772/0.0027987026574597196,2431/0.002640938528506211
1499/0.002702796958917486,241/0.0025575205132482974
1000/0.0026650159261584244,621/0.002530978417484416
1125/0.002627234893399363,1670/0.0025271866895181473
