i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42
0,worldofwarcraft,0.2415483870967742,0.013419354838709678,0.04,0.01625806451612903,0.023741935483870966,0.01703225806451613,0.03793548387096774,0.10012903225806452,0.04929032258064516,0.023225806451612905,0.024516129032258065,0.026064516129032256,0.013935483870967743,0.007225806451612903,0.02993548387096774,0.014451612903225806,0.01832258064516129,0.01858064516129032,0.015483870967741935,0.010838709677419355,0.02890322580645161,0.003870967741935484,0.014709677419354838,0.025548387096774195,0.01729032258064516,0.005935483870967742,0.022193548387096775,0.005161290322580645,0.01135483870967742,0.023225806451612905,0.015483870967741935,0.024516129032258065,0.006967741935483871,0.008774193548387097,0.002064516129032258,0.008774193548387097,0.008516129032258065,0.005935483870967742,0.008,0.005935483870967742,0.0036129032258064514,0.0012903225806451613
1,finalfantasyvii,0.19545104086353124,0.01156515034695451,0.02428681572860447,0.014649190439475714,0.015420200462606014,0.015805705474171164,0.07286044718581342,0.015420200462606014,0.04394757131842714,0.08943716268311488,0.008095605242868157,0.004626060138781804,0.011950655358519661,0.029298380878951428,0.018118735543562067,0.018889745566692366,0.02428681572860447,0.02313030069390902,0.0065535851966075555,0.01040863531225906,0.020046260601387818,0.0015420200462606013,0.03276792598303778,0.03970701619121048,0.008866615265998457,0.013107170393215111,0.014649190439475714,0.020431765612952967,0.008866615265998457,0.04394757131842714,0.008481110254433308,0.020046260601387818,0.007710100231303007,0.01966075558982267,0.03392444101773323,0.0050115651503469544,0.0019275250578257518,0.006168080185042405,0.010023130300693909,0.00963762528912876,0.005397070161912105,0.013878180416345412
2,theelderscrollsvskyrim,0.2197328737613098,0.02111158983196898,0.03188280913399397,0.018957345971563982,0.024127531236535976,0.004739336492890996,0.034467901766479965,0.12408444635932787,0.07970702283498492,0.02068074105988798,0.05127100387763895,0.012494614390348987,0.025850926324859975,0.002154243860404998,0.03705299439896596,0.00904782421370099,0.01981904351572598,0.012494614390348987,0.024989228780697974,0.007324429125376993,0.04997845756139595,0.004739336492890996,0.01809564842740198,0.020249892287806978,0.006462731581214994,0.0034467901766479965,0.008616975441619991,0.006031882809133994,0.012925463162429988,0.014218009478672985,0.006462731581214994,0.024127531236535976,0.006031882809133994,0.003015941404566997,0.0,0.002154243860404998,0.009478672985781991,0.006031882809133994,0.004308487720809996,0.004739336492890996,0.006893580353295993,0.0
3,teamfortress2,0.33575317604355714,0.002268602540834846,0.018148820326678767,0.02586206896551724,0.03221415607985481,0.003629764065335753,0.030852994555353903,0.024500907441016333,0.029491833030852996,0.02041742286751361,0.005898366606170599,0.02631578947368421,0.004083484573502722,0.013611615245009074,0.03584392014519056,0.013157894736842105,0.012704174228675136,0.02132486388384755,0.02631578947368421,0.025408348457350273,0.009981851179673321,0.009074410163339383,0.029945553539019964,0.009074410163339383,0.013157894736842105,0.018148820326678767,0.017695099818511795,0.0013611615245009074,0.02586206896551724,0.009074410163339383,0.014065335753176044,0.027676950998185117,0.0018148820326678765,0.010889292196007259,0.0018148820326678765,0.008166969147005444,0.003176043557168784,0.05353901996370236,0.018148820326678767,0.004083484573502722,0.004537205081669692,0.0009074410163339383
4,masseffect2,0.2984460694698355,0.006855575868372943,0.009140767824497258,0.03244972577696526,0.02056672760511883,0.0013711151736745886,0.06992687385740402,0.010054844606946984,0.1183729433272395,0.040676416819012795,0.021937842778793418,0.006398537477148081,0.008683729433272395,0.0013711151736745886,0.031078610603290677,0.004570383912248629,0.018738574040219377,0.03610603290676417,0.013711151736745886,0.005484460694698354,0.013254113345521023,0.006398537477148081,0.013254113345521023,0.010511882998171846,0.009140767824497258,0.011882998171846435,0.004570383912248629,0.002742230347349177,0.01736745886654479,0.011425959780621572,0.06170018281535649,0.011882998171846435,0.002742230347349177,0.0,0.0013711151736745886,0.010968921389396709,0.0009140767824497258,0.03976234003656307,0.0009140767824497258,0.0031992687385740404,0.009140767824497258,0.0009140767824497258
5,falloutnewvegas,0.23038090867370353,0.005507113354749885,0.02661771454795778,0.03717301514456173,0.020192748967416244,0.0009178522257916476,0.02799449288664525,0.021110601193207894,0.07801743919229004,0.01330885727397889,0.11060119320789352,0.008719596145020651,0.011932078935291418,0.005048187241854061,0.04084442404772832,0.0032124827902707664,0.021569527306103717,0.033501606241395136,0.02799449288664525,0.0073428178063331805,0.05094079853143644,0.012391005048187242,0.020192748967416244,0.01101422670949977,0.005966039467645709,0.006883891693437357,0.005048187241854061,0.0027535566773749425,0.027535566773749427,0.011932078935291418,0.010096374483708122,0.019274896741624598,0.0004589261128958238,0.0032124827902707664,0.0018357044515832951,0.006883891693437357,0.0,0.060578246902248736,0.0032124827902707664,0.0032124827902707664,0.0018357044515832951,0.0027535566773749425
6,fallout3,0.15176022835394862,0.002378686964795433,0.020456707897240724,0.037107516650808754,0.019980970504281638,0.0019029495718363464,0.02521408182683159,0.01807802093244529,0.05708848715509039,0.013320647002854425,0.10180780209324453,0.004281636536631779,0.014272121788772598,0.0461465271170314,0.03948620361560418,0.002378686964795433,0.02521408182683159,0.04091341579448145,0.030447193149381543,0.005233111322549952,0.054709800190294956,0.007611798287345386,0.02235965746907707,0.012369172216936251,0.006660323501427212,0.003805899143672693,0.002378686964795433,0.0004757373929590866,0.031874405328258804,0.012369172216936251,0.019980970504281638,0.01807802093244529,0.0,0.0028544243577545195,0.05946717411988582,0.006184586108468126,0.002378686964795433,0.060418648905804,0.003330161750713606,0.0028544243577545195,0.005708848715509039,0.006660323501427212
7,masseffect3,0.29193468579910936,0.004453240969816922,0.010390895596239486,0.02375061850569025,0.01979218208807521,0.0019792182088075212,0.07174666006927263,0.009401286491835725,0.11380504700643246,0.04156358238495794,0.02375061850569025,0.007916872835230085,0.011380504700643246,0.0019792182088075212,0.026719445818901535,0.007422068283028204,0.014844136566056407,0.03711034141514102,0.013854527461652647,0.010390895596239486,0.012370113805047007,0.004453240969816922,0.01583374567046017,0.009401286491835725,0.007916872835230085,0.011875309252845126,0.006432459178624443,0.0019792182088075212,0.02177140029688273,0.013854527461652647,0.06432459178624443,0.013854527461652647,0.0019792182088075212,0.0004948045522018803,0.0,0.013854527461652647,0.0004948045522018803,0.04156358238495794,0.0009896091044037606,0.0039584364176150424,0.006927263730826323,0.0014844136566056407
8,dragonageorigins,0.250499001996008,0.035429141716566866,0.01996007984031936,0.021457085828343315,0.018463073852295408,0.001996007984031936,0.05139720558882235,0.06187624750499002,0.1691616766467066,0.07135728542914171,0.03243512974051896,0.009481037924151697,0.018463073852295408,0.00249500998003992,0.022954091816367265,0.0074850299401197605,0.01746506986027944,0.003992015968063872,0.010479041916167664,0.00249500998003992,0.03992015968063872,0.00249500998003992,0.014970059880239521,0.02594810379241517,0.003992015968063872,0.003992015968063872,0.0014970059880239522,0.0029940119760479044,0.011477045908183632,0.01347305389221557,0.0029940119760479044,0.017964071856287425,0.00499001996007984,0.000998003992015968,0.0,0.006986027944111776,0.000998003992015968,0.0014970059880239522,0.00249500998003992,0.003992015968063872,0.006986027944111776,0.0
9,persona3,0.22997275204359674,0.007629427792915531,0.009809264305177113,0.008174386920980926,0.014168937329700272,0.015258855585831062,0.05449591280653951,0.013079019073569483,0.032152588555858314,0.1335149863760218,0.007084468664850136,0.0027247956403269754,0.012534059945504087,0.05013623978201635,0.01907356948228883,0.013079019073569483,0.032152588555858314,0.012534059945504087,0.0032697547683923707,0.008174386920980926,0.020163487738419618,0.0038147138964577656,0.02561307901907357,0.04250681198910082,0.0016348773841961854,0.0005449591280653951,0.004359673024523161,0.011989100817438692,0.004904632152588556,0.043596730245231606,0.0021798365122615805,0.02670299727520436,0.009264305177111716,0.017983651226158037,0.05340599455040872,0.0005449591280653951,0.0010899182561307902,0.0021798365122615805,0.014168937329700272,0.009264305177111716,0.0032697547683923707,0.021798365122615803
