Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42
heroofanotherstory/0.00200806659229383,masterswordsman/0.015848670756646217,sequencebreaking/0.018925881886642886,hideyourchildren/0.013131469179669395,harderthanhard/0.023342903507676944,optionalboss/0.04048582995951417,slidingscaleofgameplayandstoryintegration/0.015192286130732145,anaxetogrind/0.0088572558323448,darkactiongirl/0.007299855607251725,combinationattack/0.00726995776500727,karmameter/0.014476858960298312,ganguponthehuman/0.0239067055393586,theendoftheworldasweknowit/0.024415912439486424,shoutout/0.01468648629380102,videogamecaringpotential/0.014917879939754715,counterattack/0.02706943899568458,theverydefinitelyfinaldungeon/0.024018397070096245,humongousmecha/0.018224727940212404,explodingbarrels/0.014879885263535318,guestfighter/0.031026252983293555,helloinsertnamehere/0.015522771007055805,coolcar/0.01709776413853573,updatedrerelease/0.019956043956043956,easternrpg/0.01780821917808219,attackitsweakpoint/0.020582932692307692,twentyminutesintothefuture/0.018535127055306428,eternalengine/0.009519440302787016,autorevive/0.032029950083194675,bottomlessmagazines/0.02660957332925524,japanesegames/0.018343930424614484,kineticweaponsarejustbetter/0.008125772831655184,magikarppower/0.021142713314875407,fantasyvideogames/0.07152875175315568,supermode/0.012789904502046385,bittersweetending/0.009143668322825768,armorpiercingattack/0.043701799485861184,popularwithfurries/0.018656716417910446,shortrangeshotgun/0.013201320132013201,voicegrunting/0.016681695220919748,soreloser/0.018363273453093812,journeytothecenterofthemind/0.015481373971940009,themenaming/0.028111631696883275
hyperactivemetabolism/0.0016819703080751737,starcrossedlovers/0.014314928425357873,slippyslideyiceworld/0.01516052318668252,bullettime/0.011123126834543489,ruleofcool/0.021470478092622643,onewingedangel/0.023110661268556005,cutscenepowertothemax/0.010371117838322681,breakableweapons/0.006405693950177936,relationshipvalues/0.007059201026792876,fightingyourfriend/0.0072007200720072,artificialatmosphericactions/0.013380127220881772,purelyaestheticgender/0.02361516034985423,greatoffscreenwar/0.023153020416754367,bigbad/0.013331907460877625,nerf/0.014846159363121279,dualwielding/0.021969399764613574,infinityplusonesword/0.020781875479090366,wavemotiongun/0.016389143831126263,scarechord/0.013624955181068482,contestedsequel/0.030592319375135603,vendortrash/0.015522771007055805,logojoke/0.016220955721174924,thecomputerisacheatingbastard/0.019692307692307693,arbitraryheadcountlimit/0.017310087173100872,remixedlevel/0.018479567307692308,extremelyshorttimespan/0.017937219730941704,greenhillzone/0.009290056199105402,meteorsummoningattack/0.020798668885191347,moredakka/0.02171585869398991,paletteswap/0.01710151282613462,humanresources/0.00794912559618442,jackofallstats/0.019506670022652908,castfromhitpoints/0.04417952314165498,dancebattler/0.011937244201909959,justifiedtrope/0.00843388585027765,zergrush/0.042416452442159386,pointyears/0.017257462686567165,revolversarejustbetter/0.012415527267012415,minigame/0.015329125338142471,breakingoldtrends/0.015169660678642715,permastubble/0.01451378809869376,fanservice/0.026481971888368303
videogamesof20152019/0.0016304814210932807,mutuallyexclusivepartymembers/0.01303680981595092,lethallavaland/0.01466508125247721,bondoneliner/0.009578248107523559,cherrytapping/0.018100112345524902,playingwithfire/0.020242914979757085,cutsceneincompetence/0.009025675524161902,flamingsword/0.00608936338473705,amazonbrigade/0.007059201026792876,awardbaitsong/0.0063006300630063005,westernrpg/0.012722088177231848,humansarewhite/0.016909620991253645,finalbosspreview/0.01810145232582614,antifrustrationfeatures/0.012476383987452322,interfacescrew/0.014415835903320663,desperationattack/0.019615535504119264,interfacespoiler/0.020356017375010648,sciencefictionvideogames/0.01573357807788121,ourzombiesaredifferent/0.013445679455001793,signatureline/0.026903883705793014,beefgate/0.015266196279666452,vicecity/0.01183691363437089,luckbasedmission/0.018197802197802197,gueststarpartymember/0.01631382316313823,miniboss/0.017277644230769232,artificiallimbs/0.014947683109118086,palmtreepanic/0.007913751577015713,sadclown/0.019966722129783693,regeneratinghealth/0.018810215629301116,wakeupcallboss/0.014032010524007894,thefederation/0.007065889418830595,contractualbossimmunity/0.018751573118550215,secretcharacter/0.033309957924263674,ultimateshowdownofultimatedestiny/0.011425648021828104,nicejobbreakingithero/0.007724103377729531,zombieapocalypse/0.03641816623821765,scarystingingswarm/0.013992537313432836,shotgunsarejustbetter/0.011944051548011944,surprisecreepy/0.013300270513976555,mon/0.014770459081836327,catapultnightmare/0.013062409288824383,limitbreak/0.025870849460175187
badasslongcoat/0.00156182957178409,onlythechosenmaywield/0.01278118609406953,kingmook/0.012881490289338089,badassinanicesuit/0.009269272362119574,dropthehammer/0.016851828735488704,bfs/0.02007422402159244,andnowforsomeonecompletelydifferent/0.007119632245767463,shieldbash/0.0055357848952155,playerheadquarters/0.00657789186587518,guyssmashgirlsshoot/0.005885203905005885,optionalsexualencounter/0.011186663742048695,hitandruntactics/0.015160349854227406,artifactofdoom/0.017890970322037465,gameplayandstorysegregation/0.012298149930488719,timedmission/0.013770350713619737,finishingmove/0.0186347587289133,disconenuke/0.019419129546035262,macrossmissilemassacre/0.01402910711944408,videogamedemake/0.011115095016134816,superboss/0.018876111954870906,noobcave/0.01436818473380372,wantedmeter/0.009644892590968873,downloadablecontent/0.01775824175824176,bonusdungeon/0.014943960149439602,uniqueenemy/0.016526442307692308,anarmandaleg/0.014349775784753363,underthesea/0.007684367473334098,whitehairblackheart/0.018302828618968387,meleeatrois/0.01835142988224499,recurringboss/0.01366659358327852,rammingalwaysworks/0.006535947712418301,levelgrinding/0.015731185502139443,lightisnotgood/0.0273492286115007,rapidfirefisticuffs/0.010402455661664393,heroicsacrifice/0.007640599557429752,enemycivilwar/0.030848329048843187,wateriswomanly/0.010727611940298507,limitedloadout/0.010529624391010529,fastballspecial/0.013074842200180343,friendlyrivalry/0.014770459081836327,vaguenessiscoming/0.012578616352201259,characterdevelopment/0.024648604603788957
nonlethalko/0.0014245258731657084,heroeswantredheads/0.012269938650306749,shiftingsandland/0.011791518034086405,necksnap/0.008805808744013596,chargedattack/0.015104231681438023,didyoujustpunchoutcthulhu/0.01788124156545209,catharsisfactor/0.007063572149344097,chainmailbikini/0.005140371688414393,plotlinedeath/0.0059361463179849186,canonname/0.005262064668005262,boozebasedbuff/0.011186663742048695,scunthorpeproblem/0.013994169096209912,tragicmonster/0.01768048831824879,guidedangit/0.01162086051402702,andyourrewardisclothes/0.013411747830452557,improbableweaponuser/0.017653981953707338,braggingrightsreward/0.01899327144195554,mechamooks/0.011406844106463879,soundcodedforyourconvenience/0.010756543564001434,slidingscaleofsillinessversusseriousness/0.01865914515079193,sidequest/0.013341885824246311,theeighties/0.00920648838228847,oldsavebonus/0.015648351648351648,summonmagic/0.012453300124533,hublevel/0.014723557692307692,coldbloodedtorture/0.013751868460388639,consolecameo/0.0075696754214932905,retgone/0.01747088186356073,bfg/0.01743385838813274,bossrush/0.012789592925528028,magneticweapons/0.006535947712418301,antigrinding/0.014850239114019632,physicalgod/0.02664796633941094,theanimeofthegame/0.009549795361527967,elitemooks/0.007598847647279863,redshirt/0.026135389888603255,conlang/0.010727611940298507,grenadelauncher/0.009900990099009901,itemget/0.012623985572587917,glitchentity/0.01437125748502994,clearmyname/0.012094823415578132,spellmynamewithans/0.0222041148910165
defictionalization/0.0013730369861838154,distresseddude/0.012269938650306749,thegoomba/0.011791518034086405,mushroomsamba/0.007878881507801638,damagespongeboss/0.014729746598427162,thebattledidntcount/0.01788124156545209,gaidengame/0.006895391860074,medievalstasis/0.004903123764333729,uselessusefulstealth/0.005855928124498636,onetruethreesome/0.005054351589005054,romancesidequest/0.010528624698398771,colorcodeditemtiers/0.012244897959183673,publicdomainartifact/0.01768048831824879,developersforesight/0.01126439240009981,escortmission/0.012837983217385067,barefistedmonk/0.01706551588858376,nostalgialevel/0.018226726854612043,deflectorshields/0.011275730955814868,stocksoundeffects/0.010756543564001434,shockwavestomp/0.016706443914081145,inuniversegameclock/0.012443874278383579,gangbangers/0.00920648838228847,recurringriff/0.01556043956043956,duelboss/0.011955168119551681,kaizotrap/0.014272836538461538,notevenbotheringwiththeaccent/0.013751868460388639,surprisedifficulty/0.006766831058607639,somethingaboutarose/0.016638935108153077,boomheadshot/0.016669215476372533,dualboss/0.01249725937294453,alieninvasion/0.006535947712418301,squishywizard/0.014850239114019632,deaderthandead/0.024193548387096774,powercreeppowerseep/0.009549795361527967,whamline/0.007390088096530416,laststand/0.02442159383033419,prongsofposeidon/0.010261194029850746,aka47/0.009743831526009744,popquiz/0.011947700631199279,hearingvoices/0.01437125748502994,filmnoir/0.010159651669085631,thehero/0.020167040130372786
bearsarebadnews/0.00133871106152922,dragonrider/0.012014314928425357,warpwhistle/0.010998810939357907,fantasticdrug/0.007569905762397652,aibreaker/0.014355261515416303,darkisnotevil/0.017375168690958166,videogamesof20102014/0.006334790895840341,blackknight/0.0048240411229735075,defectorfromdecadence/0.0056152735440397885,redemptiondemotion/0.004846638510004847,dialoguetree/0.010528624698398771,resurrectiveimmortality/0.011661807580174927,talkingisafreeaction/0.016207114291728057,exaggeratedtrope/0.01083663066338716,gamemod/0.01262282148748476,intercontinuitycrossover/0.016869360533542564,newgameplus/0.01780086875053232,colonydrop/0.011144617805165858,invisiblemonsters/0.010577267837934744,doublejump/0.01648947711000217,moneyspider/0.012443874278383579,britishmedia/0.008768084173608066,promotedtoplayable/0.015032967032967033,linearwarriorsquadraticwizards/0.011083437110834371,tacticalsuicideboss/0.01397235576923077,immunetobullets/0.013452914798206279,junglejapes/0.006193370799403602,trippyfinalesyndrome/0.01622296173044925,missioncontrol/0.015598715399908243,turnsred/0.012131842432215158,thecaptain/0.005829358770535241,lethaljokecharacter/0.01434684117795117,camebackwrong/0.023492286115007012,stoutstrength/0.009379263301500683,jerkass/0.007056072815331302,solesurvivor/0.021850899742930592,crossoveralternateuniverse/0.009794776119402986,sniperrifle/0.009586672953009587,fishingminigame/0.011947700631199279,thirdoptionadaptation/0.013572854291417165,vigilanteman/0.010159651669085631,themanbehindtheman/0.019148502750050925
artisticlicensebiology/0.0013043851368746246,precursorheroes/0.011758691206543968,thelostwoods/0.010107015457788348,retirony/0.007569905762397652,katanasarejustbetter/0.013481462988390962,teleportspam/0.01720647773279352,nocutsceneinventoryinertia/0.005886310124453414,onehandedzweihander/0.0048240411229735075,villainwithgoodpublicity/0.005535055350553505,slidingscaleofgenderinequality/0.00456968773800457,cult/0.010528624698398771,splashdamage/0.011370262390670554,voiceofthelegion/0.01557566828036203,foreshadowing/0.010800983851994439,difficultbutawesome/0.01262282148748476,crossovership/0.016673205178501373,takeyourtime/0.017630525508900433,poweredarmor/0.011013504654516847,explosivebarrels/0.010039440659734672,excuseplot/0.016055543501844217,adamsmithhatesyourguts/0.012059012187299552,theallegedcar/0.008768084173608066,compilationrerelease/0.013186813186813187,swordofplotadvancement/0.010709838107098382,bottomlesspits/0.013521634615384616,smokingiscool/0.012855007473841554,yoursizemayvary/0.0060786787475627935,costumeevolution/0.014559068219633943,handcannon/0.01529285823520416,climaxboss/0.01169334210333991,alienworks/0.005652711535064477,itemcrafting/0.01409514220991694,inthehood/0.023492286115007012,mechanicallyunusualfighter/0.009379263301500683,toodumbtolive/0.0069308170848816335,thecavalry/0.02056555269922879,switchoutmove/0.009794776119402986,gasmaskmooks/0.009586672953009587,neversaydie/0.011496844003606854,changingoftheguard/0.01277445109780439,dissimile/0.010159651669085631,defeatmeansfriendship/0.017722550417600326
riddlefortheages/0.0010812666266197546,swordandsorcerer/0.011503067484662576,doortobefore/0.010007927070947284,clusterfbomb/0.007260930016993666,armorisuseless/0.013481462988390962,sealedevilinacan/0.016869095816464237,friendlyfandoms/0.00566206973875995,thepaladin/0.004744958481613286,forscience/0.005535055350553505,gracefulloser/0.004292736966004292,talkingthemonstertodeath/0.009870585654748848,theengineer/0.011078717201166181,doomedhometown/0.015154704272784677,lampshadehanging/0.010765337040601718,insurmountablewaistheightfence/0.012264218604317579,walkingshirtlessscene/0.01647704982346018,hundredpercentcompletion/0.017034324163188827,killsat/0.010489052051920808,thetetriseffect/0.00986016493366798,stocksubtitle/0.01583857669776524,nowwherewasigoingagain/0.011545862732520847,mobwar/0.008768084173608066,killerapp/0.01221978021978022,healersignsonearly/0.010709838107098382,blackoutbasement/0.013521634615384616,backforthedead/0.012556053811659192,platformgame/0.0060786787475627935,liplock/0.014559068219633943,implacableman/0.015139929652852118,giantspacefleafromnowhere/0.01118175838631879,scarydogmaticaliens/0.005652711535064477,criticalhit/0.013969292725899824,darkisevil/0.023492286115007012,comebackmechanic/0.008697135061391541,playercharacter/0.006596801803682518,gunshiprescue/0.01970865467009426,hotbloodedsideburns/0.009328358208955223,standardfpsguns/0.009272355807009273,creditsmedley/0.01127141568981064,onegameforthepriceoftwo/0.012375249500998005,evilisnotwelllit/0.009675858732462506,disconefinalboss/0.01711142798940721
barbiedollanatomy/0.0010469407019651593,kingincognito/0.011247443762781187,bigbooshaunt/0.009908838684106223,vomitindiscretionshot/0.006797466398887687,flashstep/0.013356634627387343,statuseffects/0.016700404858299597,hijackedbyganon/0.0053257091602197555,crystaldragonjesus/0.004744958481613286,facelessgoons/0.005454837157067223,tokenminimoe/0.0040157861940040155,nippleanddimed/0.008993200263215618,portalnetwork/0.010787172011661808,legendaryinthesequel/0.014733740265207325,finalboss/0.010587102983638113,colourcodedforyourconvenience/0.012120777451050706,lagcancel/0.01490780698313064,nonstandardgameover/0.016182607955029384,attackdrone/0.010357938901271797,sprintmeter/0.00986016493366798,techdemogame/0.014753742677370363,kleptomaniachero/0.011161000641436818,lol69/0.008768084173608066,thememusicpowerup/0.012043956043956043,uselessusefulspell/0.01046077210460772,speedrun/0.013070913461538462,ngosuperpower/0.012556053811659192,invincibilitypowerup/0.0060786787475627935,teensareshort/0.014559068219633943,unusableenemyequipment/0.014987001070500076,sequentialboss/0.010670174669297669,mildlymilitary/0.005476064299593711,peninsulaofpowerleveling/0.013843443241882709,yinyangbomb/0.02244039270687237,assistcharacter/0.008697135061391541,whathappenedtothemouse/0.006346290342783182,theberserker/0.019280205655526992,eternalequinox/0.009328358208955223,firstpersonshooter/0.009115197234009114,rainbowspeak/0.01127141568981064,comicbooktime/0.011976047904191617,charactertitle/0.009192065795839382,truecompanions/0.016092890609085354
