Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
bloodstainedritualofthenight,pokemonswordandshield,thebindingofisaac,left4dead2,specopstheline
supersmashbrosbrawl,finalfantasyx2,godofwarbetrayal,metalgearsolid4gunsofthepatriots,deusex
diabloiii,talesoftheabyss,warioware,discoelysium,perfectdark
paladins,thelegendofheroestrailsofcoldsteel,crashteamracingnitrofueled,assassinscreedii,callofduty
asuraswrath,xenobladechronicles1,thelegendofzeldaoraclegames,metroid,batmanarkhamknight
nier,trialsofmana,dota2,metroidfusion,alphaprotocol
shinmegamitenseistrangejourney,theworldendswithyou,nethack,shadowrunreturns,wingcommander
papermario,talesofberseria,xenosaga,fallout1,yakuza0
marioparty,grandiaii,thesims2,sidmeiersalphacentauri,gearsofwar
shovelknight,bravelydefault,banjokazooie,metalgearsolid3snakeeater,maxpayne
grimdawn,thelegendofzeldamajorasmask,dwarffortress,grandtheftautosanandreas,spidermanps4
neverwinternights2,jadeempire,puyopuyo,catherine,deusexhumanrevolution
castlevaniasymphonyofthenight,finalfantasyxiii,thelegendofzeldalinksawakening,reddeadredemption,halo5guardians
finalfantasyviiremake,thelegendofzeldathewindwaker,devilmaycry4,portal2,batmanarkhamcity
arcanumofsteamworksandmagickobscura,batenkaitos,warcraftiii,commandandconquerredalert3,modernwarfare
projectxzone,etrianodyssey,cuphead,acecombat,callofdutyblackops
yakuza,talesofphantasia,devilmaycry5,samandmaxfreelancepolice,jaggedalliance
hyrulewarriors,dragonquestix,fireemblemawakening,marathon,nomoreheroes2desperatestruggle
elsword,finalfantasyxii,ninjagaiden,civilization,doom2016
fzero,pokemondiamondandpearl,scribblenauts,deadrising2,metalgearsolidvthephantompain
superrobotwarsoriginalgeneration,solatorobo,tomodachilife,iji,x
dissidiafinalfantasy,trailsseries,warcraft,silenthill2,nomoreheroes
maplestory,finalfantasyxi,thesims,saintsrowthethird,perfectdarkzero
supermariobros,pokemonblack2andwhite2,guiltygear,xcom2,gearsofwar2
kirby,finalfantasyiii,thesecretworld,starcraft,startrekonline
sonicthehedgehog2006,skiesofarcadia,xenogears,halflife2,halo3
supermariorpg,persona2,monsterhunter,acecombat7skiesunknown,halo4
baldursgateii,pokemonxandy,mortalkombat11,dishonored,halocombatevolved
darksoulsii,pokemongoldandsilver,plantsvszombies,reddeadredemption2,halo2
thelegendofheroestrailsinthesky,secretofmana,injusticegodsamongus,fallout4,batmanarkhamorigins
megamanzx,finalfantasyv,livealive,farcry4,alanwake
shinmegamitenseiiiinocturne,disgaea3absenceofjustice,darkstalkers,grandtheftautovicecity,metalgearsolidpeacewalker
darksoulsiii,radianthistoria,fireemblemfates,borderlands,batmanarkhamasylum
dungeonfighteronline,finalfantasyi,dontstarve,warframe,payday2
miitopia,chronocross,fireemblemthreehouses,borderlands2,splintercell
marvelvscapcom3,disgaea4apromiseunforgotten,cityofvillains,grandtheftautov,haloreach
streetfighterv,thelegendofdragoon,minecraft,halflife1,borderlandsthepresequel
fireemblemthesacredstones,pokemonblackandwhite,animalcrossing,spore,stellaris
deadoralive,finalfantasytacticsa2,devilmaycry,xcomenemyunknown,masseffect1
devilsurvivor,pokemonsunandmoon,godofwar,deadspace,maxpayne2thefallofmaxpayne
marioandluigisuperstarsaga,megamanstarforce,conkersbadfurday,bioshock2,gameofthronesascent
nintendowars,dragonquest,blazblue,lifeisstrange,alanwakesamericannightmare
supermariosunshine,disgaeahourofdarkness,devilmaycry3dantesawakening,saintsrow,overwatch
shadowthehedgehog,finalfantasytactics,thelegendofzeldabreathofthewild,ftlfasterthanlight,
marioandluigidreamteam,dragonquestxi,persona4,bully,
supermario3dworld,chronotrigger,thelegendofzeldaalinktothepast,prototype,
titanquest,finalfantasyvi,horizonzerodawn,metroidprime3corruption,
marioandluigibowsersinsidestory,pokemonrubyandsapphire,middleearthshadowofwar,hitman2,
castlevaniachroniclesofsorrow,boxxyquestthegatheringstorm,injustice2,metroidotherm,
inazumaeleven,digitaldevilsaga,assassinscreedodyssey,fivenightsatfreddys,
senrankagura,finalfantasyxv,mortalkombatx,lanoire,
fatalfury,sandsofdestruction,thesims3,heavyrain,
fireemblemgenealogyoftheholywar,goldensundarkdawn,persona5,prototype2,
streetsofrage,finalfantasyviii,nierautomata,cyberpunk2077,
supermariogalaxy2,finalfantasyxiii2,skullgirls,masseffectandromeda,
sonicheroes,pokemonredandblue,mortalkombat9,psychonauts,
sonicunleashed,thelegendofzeldaocarinaoftime,thelegendofzeldaalinkbetweenworlds,starcontrol,
fireemblemgaiden,persona3,skylanders,doom,
sonic3andknuckles,goldensun,xenobladechroniclesx,residentevil4,
lamulana,epicbattlefantasy,theelderscrollsvskyrim,halflife,
supermarioworld,finalfantasytacticsadvance,heroesofthestorm,metroidprimetrilogy,
dragonsdogma,thelegendofzeldatwilightprincess,kingdomofloathing,metalgearsolid2sonsofliberty,
littlebigplanet,xenobladechronicles2,fallenlondon,residentevil2,
supermario64,hades,cityofheroes,farcry3,
heroesofmightandmagic,thelegendofzeldaskywardsword,undertale,armoredcore,
papermario64,finalfantasyvii,thewitcher3wildhunt,supermetroid,
kingdomhearts3ddreamdropdistance,crisiscore,ahatintime,commandandconquerredalert2,
sonicadventure2,ensemblestars,fortnite,metalslug,
guildwars2,disgaea2cursedmemories,arknights,borderlands1,
kingdomheartsbirthbysleep,dragonquestviii,supermarioodyssey,assassinscreedbrotherhood,
superpapermario,medabots,godofwarps4,assassinscreedi,
kidicarusuprising,oracleoftao,touhou,doometernal,
talesofvesperia,finalfantasyii,supersmashbros,metroidprime,
bayonetta,sagafrontier,stardewvalley,ghosttrick,
kingdomheartsiii,shadowhearts,punchout,deadrising,
soulseries,,terraria,metalgear,
okami,,sonicthehedgehog,residentevil7biohazard,
megamanbattlenetwork,,fategrandorder,bioshock1,
finalfantasyix,,leagueoflegends,fallout,
tekken,,thelegendofzeldaspirittracks,destiny2,
thekingoffighters,,,left4dead,
superrobotwars,,,girlsfrontline,
megamanx,,,residentevil5,
papermariothethousandyeardoor,,,bioshockinfinite,
finalfantasyiv,,,twistedmetal,
darksouls,,,firstencounterassaultrecon,
theelderscrollsiiimorrowind,,,mechwarrior,
kingdomheartsii,,,saintsrowiv,
mother3,,,masseffect3,
dragonageinquisition,,,fallout3,
talesofsymphonia,,,falloutnewvegas,
finalfantasyx,,,traumacenter,
finalfantasyxiv,,,masseffect2,
dragonageii,,,teamfortress2,
theelderscrollsivoblivion,,,battletech,
dragonageorigins,,,metalgearrisingrevengeance,
planescapetorment,,,gradius,
supersmashbrosultimate,,,psychonauts2,
diabloii,,,eveonline,
fireemblempathofradiance,,,assassinscreedivblackflag,
shinmegamitenseiiv,,,control,
hollowknight,,,fallout2,
earthbound,,,saintsrow2,
valkyriachronicles,,,portal,
fireemblemradiantdawn,,,destiny,
neverwinternights,,,halo,
talesseries,,,needforspeed,
diablo,,,contra,
divinityoriginalsinii,,,hitman2016,
splatoon2,,,systemshock,
fireemblemtheblazingblade,,,residentevil2remake,
darksoulsi,,,thelastofuspartii,
darkestdungeon,,,deadspace3,
supermariogalaxy,,,homeworld,
bloodborne,,,grandtheftauto,
shantae,,,eternaldarkness,
theelderscrollsonline,,,farcry5,
dynastywarriors,,,grimfandango,
sengokubasara,,,metalgearsolid,
kingdomheartsi,,,deadspace2,
baldursgate,,,residentevil6,
samuraishodown,,,wolfensteintheneworder,
genshinimpact,,,grandtheftautoiv,
splatoon,,,starfox64,
megamanzero,,,assassinscreediii,
sonicadventure,,,theouterworlds,
cavestory,,,tombraider2013,
megamanclassic,,,,
kingdomhearts358daysover2,,,,
worldofwarcraft,,,,
demonssouls,,,,
dothackgu,,,,
sonicforces,,,,
sekiroshadowsdietwice,,,,
kirbysuperstar,,,,
fireemblemthebindingblade,,,,
megamanlegends,,,,
pillarsofeternityiideadfire,,,,
bugfables,,,,
kirbystarallies,,,,
kingdomheartschainofmemories,,,,
dragonquestv,,,,
pillarsofeternity,,,,
thelegendofheroestrailsfromzeroandtrailstoazure,,,,
theelderscrollsiidaggerfall,,,,
magiarecordpuellamagimadokamagicasidestory,,,,
donkeykong64,,,,
shinmegamitenseiivapocalypse,,,,
streetfighteriv,,,,
soniccolors,,,,
persona4arena,,,,
suikoden,,,,
thewitcher,,,,
talesofgraces,,,,
souledge,,,,
zoneoftheenders,,,,
mugen,,,,
supermariobros3,,,,
drakengard,,,,
sonicgenerations,,,,
pokemonmysterydungeon,,,,
fablei,,,,
hearthstoneheroesofwarcraft,,,,
superrobotwarsz,,,,
ys,,,,
yakuzalikeadragon,,,,
sonicthehedgehog2,,,,
totalwarwarhammer,,,,
papermariotheorigamiking,,,,
ratchetandclankgoingcommando,,,,
mariokart,,,,
granbluefantasy,,,,
neptunia,,,,
fableii,,,,
samuraiwarriors,,,,
