i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
0,worldofwarcraft,0.2415483870967742,0.048,0.3112258064516129,0.08903225806451613,0.21083870967741936,0.07716129032258065,0.022193548387096775
1,finalfantasyvii,0.19545104086353124,0.061295296838858905,0.3126445643793369,0.0528141865844256,0.19853508095605243,0.15420200462606015,0.025057825751734774
2,theelderscrollsvskyrim,0.2197328737613098,0.05170185264971995,0.34510986643688063,0.12063765618267988,0.17190866006031882,0.07367514002585093,0.017233950883239983
3,teamfortress2,0.33575317604355714,0.030852994555353903,0.19782214156079855,0.1515426497277677,0.161978221415608,0.08212341197822141,0.039927404718693285
4,masseffect2,0.2984460694698355,0.01736745886654479,0.2783363802559415,0.18692870201096892,0.07678244972577697,0.10374771480804387,0.038391224862888484
5,falloutnewvegas,0.23038090867370353,0.015144561725562184,0.24644332262505736,0.27397888939880677,0.13033501606241396,0.07572280862781092,0.02799449288664525
6,fallout3,0.15176022835394862,0.011417697431018078,0.22978116079923883,0.28163653663177923,0.131779257849667,0.170313986679353,0.023311132254995242
7,masseffect3,0.29193468579910936,0.013854527461652647,0.2765957446808511,0.18901533894111827,0.09104403760514597,0.10044532409698169,0.03711034141514102
8,dragonageorigins,0.250499001996008,0.05089820359281437,0.3907185628742515,0.08033932135728543,0.13023952095808383,0.07684630738522955,0.020459081836327345
9,persona3,0.22997275204359674,0.05340599455040872,0.31662125340599456,0.02779291553133515,0.18692098092643053,0.1771117166212534,0.008174386920980926
10,persona5,0.3598635588402501,0.06196702671972712,0.27970437748720867,0.052870949403069925,0.1404206935758954,0.0778851620238772,0.027288231949971573
11,finalfantasyvi,0.15059897318881918,0.07016543069024529,0.3439817455790074,0.02452937820878494,0.22932116371933828,0.16657159155733028,0.014831717056474614
12,theelderscrollsivoblivion,0.16532258064516128,0.03859447004608295,0.3191244239631336,0.125,0.17684331797235023,0.1630184331797235,0.012096774193548387
13,thelegendofzeldaocarinaoftime,0.11493582263710618,0.15344224037339557,0.31505250875145857,0.047257876312718786,0.20945157526254377,0.15402567094515754,0.005834305717619603
14,dragonageii,0.2927120669056153,0.04778972520908005,0.3763440860215054,0.06989247311827956,0.10931899641577061,0.08363201911589008,0.02031063321385902
15,fallout,0.13349514563106796,0.014563106796116505,0.22269417475728157,0.30097087378640774,0.15169902912621358,0.1553398058252427,0.021237864077669904
16,chronotrigger,0.1529126213592233,0.06553398058252427,0.32402912621359226,0.04308252427184466,0.25485436893203883,0.15048543689320387,0.009101941747572815
17,metalgear,0.19282238442822383,0.025547445255474453,0.2305352798053528,0.11982968369829684,0.12226277372262774,0.20316301703163017,0.10583941605839416
18,persona4,0.33496631965707285,0.05572565829761176,0.33435394978567057,0.02449479485609308,0.15370483772198407,0.07960808328230251,0.017146356399265157
19,finalfantasyxiv,0.1913312693498452,0.0804953560371517,0.33869969040247677,0.047058823529411764,0.2501547987616099,0.08297213622291022,0.009287925696594427
20,thelegendofzeldabreathofthewild,0.15403726708074533,0.13788819875776398,0.3273291925465838,0.06770186335403727,0.2217391304347826,0.08509316770186336,0.006211180124223602
21,cityofheroes,0.10206637445209768,0.033813400125234816,0.25046963055729493,0.12398246712586099,0.25234815278647466,0.17908578584846588,0.05823418910457107
22,thelegendofzeldatwilightprincess,0.12100313479623824,0.13793103448275862,0.30532915360501567,0.05203761755485893,0.21818181818181817,0.1592476489028213,0.006269592476489028
23,leagueoflegends,0.21351863550221098,0.05053695514845231,0.26847757422615287,0.06759317751105495,0.24826279216677194,0.13455464308275428,0.017056222362602652
24,finalfantasyviii,0.1535031847133758,0.06878980891719745,0.32802547770700635,0.040127388535031845,0.23630573248407644,0.15987261146496815,0.01337579617834395
25,sonicthehedgehog,0.17360666239590006,0.04932735426008968,0.2946828955797566,0.03843689942344651,0.3068545803971813,0.12491992312620115,0.012171684817424727
26,finalfantasyx,0.17930591259640102,0.08226221079691516,0.37467866323907456,0.032133676092544985,0.22557840616966582,0.09254498714652956,0.013496143958868894
27,overwatch,0.24664879356568364,0.030160857908847184,0.17962466487935658,0.12533512064343164,0.15951742627345844,0.21514745308310992,0.0435656836461126
28,metalgearsolid,0.21409395973154363,0.024832214765100672,0.24496644295302014,0.10335570469798658,0.10134228187919463,0.21140939597315436,0.1
29,supersmashbros,0.1684931506849315,0.05958904109589041,0.276027397260274,0.05,0.3452054794520548,0.08767123287671233,0.013013698630136987
30,undertale,0.3514070006863418,0.06794783802333562,0.26835964310226496,0.04941660947151681,0.15442690459849004,0.091283459162663,0.017158544955387784
31,touhou,0.29896907216494845,0.07010309278350516,0.2309278350515464,0.05360824742268041,0.19243986254295534,0.13539518900343642,0.018556701030927835
32,talesofsymphonia,0.1507537688442211,0.06604450825556353,0.3646805455850682,0.022254127781765973,0.22972002871500358,0.15649676956209618,0.010050251256281407
33,dragonageinquisition,0.32875722543352603,0.04985549132947977,0.35621387283236994,0.06647398843930635,0.09754335260115607,0.08236994219653179,0.01878612716763006
34,mother3,0.19724437998549674,0.05946337926033358,0.28063814358230604,0.03698332124728064,0.19724437998549674,0.2131979695431472,0.015228426395939087
35,thelegendofzeldaskywardsword,0.112,0.12509090909090909,0.30763636363636365,0.03927272727272727,0.22036363636363637,0.1890909090909091,0.006545454545454545
36,kingdomofloathing,0.2955376737381127,0.043891733723482075,0.2121433796634967,0.07095830285296269,0.2033650329188003,0.15581565471836137,0.018288222384784197
37,warcraft,0.005852231163130944,0.051207022677395755,0.3701536210680322,0.07315288953913679,0.24359912216532553,0.2282370153621068,0.027798098024871983
38,blazblue,0.19390787518573552,0.048291233283803865,0.2890044576523031,0.02674591381872214,0.23699851411589895,0.19093610698365526,0.01411589895988113
39,kingdomheartsii,0.12342007434944238,0.11747211895910781,0.2483271375464684,0.023048327137546468,0.2066914498141264,0.2684014869888476,0.012639405204460967
40,fireemblemawakening,0.22288706058339566,0.1323859386686612,0.39715781600598354,0.016454749439042633,0.14360508601346297,0.07853403141361257,0.008975317875841436
41,finalfantasyxii,0.08214016578749057,0.07611152976639035,0.33911077618688773,0.03918613413715147,0.28334589299171065,0.17030896759608138,0.009796533534287867
42,fallout4,0.20045731707317074,0.011432926829268292,0.25228658536585363,0.2995426829268293,0.1486280487804878,0.0701219512195122,0.01753048780487805
43,theelderscrollsiiimorrowind,0.1561771561771562,0.04195804195804196,0.38306138306138304,0.11499611499611499,0.21445221445221446,0.07847707847707848,0.010878010878010878
44,warcraftiii,0.005443234836702955,0.045878693623639194,0.3320373250388802,0.08398133748055987,0.2682737169517885,0.2301710730948678,0.03421461897356143
45,halflife2,0.160828025477707,0.014331210191082803,0.21178343949044587,0.2802547770700637,0.10111464968152867,0.20302547770700638,0.028662420382165606
46,darksouls,0.08974358974358974,0.038461538461538464,0.3838141025641026,0.07291666666666667,0.25080128205128205,0.15384615384615385,0.010416666666666666
47,thelegendofzeldathewindwaker,0.09797570850202429,0.13522267206477734,0.28663967611336033,0.05101214574898785,0.242914979757085,0.17813765182186234,0.008097165991902834
48,finalfantasyxiii,0.10746513535684987,0.04922067268252666,0.3314191960623462,0.03609515996718622,0.24856439704675964,0.20508613617719443,0.022149302707136997
49,dwarffortress,0.1787479406919275,0.03706754530477759,0.2883031301482702,0.12932454695222406,0.1672158154859967,0.17627677100494235,0.023064250411861616
50,masseffect1,0.16169154228855723,0.02155887230514096,0.25787728026533996,0.20398009950248755,0.11442786069651742,0.208955223880597,0.03150912106135987
