Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
heroofanotherstory/0.00200806659229383,fantasyvideogames/0.011176245000821783,theverydefinitelyfinaldungeon/0.002762457999862857,bottomlessmagazines/0.004946976373923179,optionalboss/0.003254899301552858,shoutout/0.0049173479739810224,armorpiercingattack/0.01017253415777401
hyperactivemetabolism/0.0016819703080751737,castfromhitpoints/0.006902974853448748,japanesegames/0.002458783538885025,moredakka/0.004037187615500526,magikarppower/0.0022784295110870006,bigbad/0.004463806170555589,zergrush/0.00987334197666301
videogamesof20152019/0.0016304814210932807,secretcharacter/0.005204623897441516,infinityplusonesword/0.0023902118864061596,regeneratinghealth/0.0034970005401870753,jackofallstats/0.0021021224655862207,antifrustrationfeatures/0.0041773587157605775,zombieapocalypse/0.00847711179814501
badasslongcoat/0.00156182957178409,lightisnotgood/0.004273270147373035,interfacespoiler/0.002341232134635542,meleeatrois/0.0034117078440849516,contractualbossimmunity/0.0020207499830473996,gameplayandstorysegregation/0.004117682162678283,enemycivilwar/0.007180612346664007
nonlethalko/0.0014245258731657084,autorevive/0.004218484632663124,paletteswap/0.0022922523828649236,bfg/0.003241122451880704,guestfighter/0.001939377500508578,guidedangit/0.003890911260965567,twentyminutesintothefuture/0.006183305076294006
defictionalization/0.0013730369861838154,physicalgod/0.004163699117953213,disconenuke/0.002233476680740182,boomheadshot/0.0030989679583771643,easternrpg/0.001939377500508578,developersforesight/0.003771558154800979,redshirt/0.006083574349257006
bearsarebadnews/0.00133871106152922,voicegrunting/0.004054128088533392,updatedrerelease/0.0022236807303860585,missioncontrol/0.0028999516674722086,contestedsequel/0.0019122533396623042,exaggeratedtrope/0.0036283344274034733,extremelyshorttimespan/0.005983843622220006
artisticlicensebiology/0.0013043851368746246,deaderthandead/0.003780200514983838,thecomputerisacheatingbastard/0.0021942928793236877,handcannon/0.002843089870070793,arbitraryheadcountlimit/0.0018851291788160305,foreshadowing/0.0036163991167870143,laststand/0.005684651441109006
riddlefortheages/0.0010812666266197546,minigame/0.0037254150002739277,braggingrightsreward/0.0021844969289695638,implacableman/0.002814658971370085,themenaming/0.0018715670983928934,lampshadehanging/0.0036044638061705557,solesurvivor/0.005086267078887005
barbiedollanatomy/0.0010469407019651593,camebackwrong/0.003670629485564017,nostalgialevel/0.0020963333757824517,unusableenemyequipment/0.002786228072669377,counterattack/0.0018715670983928934,finalboss/0.0035447872530882615,artificiallimbs/0.004986536351850005
coolshades/0.0010469407019651593,inthehood/0.003670629485564017,newgameplus/0.0020473536240118335,ludicrousgibs/0.002558780883063714,onewingedangel/0.0018580050179697566,awesomebutimpractical/0.003246404487676792,thecavalry/0.004787074897776005
cargoship/0.0010469407019651593,darkisevil/0.003670629485564017,luckbasedmission/0.002027761723303586,redshirtarmy/0.002530349984363006,attackitsweakpoint/0.0018580050179697566,slidingscaleofgameplayandstoryintegration/0.003234469177060333,anarmandaleg/0.004787074897776005
villainhasapoint/0.0010469407019651593,yinyangbomb/0.0035062729414342846,takeyourtime/0.002027761723303586,enemychatter/0.0025019190856622976,gueststarpartymember/0.001776632535430935,onehitkill/0.0031509220027451214,notevenbotheringwiththeaccent/0.004587613443702005
almightyjanitor/0.0010126147773105638,masterswordsman/0.0033967019120144633,downloadablecontent/0.0019787819715329684,hideyourchildren/0.002416626389560174,fanservice/0.0017630704550077982,videogamecrueltypotential/0.0030315688965805335,gunshiprescue/0.004587613443702005
