i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
0,a3,0.07086614173228346,0.11811023622047244,0.2440944881889764,0.2125984251968504,0.07874015748031496,0.03937007874015748,0.11023622047244094,0.015748031496062992,0.015748031496062992,0.007874015748031496,0.03937007874015748,0.023622047244094488,0.015748031496062992,0.007874015748031496,0.0,0.0,0.0
1,abearsnightout,0.0,0.23529411764705882,0.0,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0
2,ablindlegend,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
3,aboyandhisblob,0.16875,0.33125,0.04375,0.1,0.01875,0.09375,0.03125,0.0375,0.10625,0.0,0.0,0.00625,0.025,0.00625,0.0,0.025,0.00625
4,achangeintheweather,0.125,0.25,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0
5,adarkroom,0.0,0.25,0.022727272727272728,0.18181818181818182,0.0,0.11363636363636363,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.13636363636363635,0.09090909090909091,0.0,0.022727272727272728,0.06818181818181818
6,afkarena,0.13333333333333333,0.16666666666666666,0.11666666666666667,0.03333333333333333,0.05,0.18333333333333332,0.03333333333333333,0.05,0.0,0.0,0.05,0.016666666666666666,0.016666666666666666,0.08333333333333333,0.0,0.06666666666666667,0.0
7,afinalunity,0.009433962264150943,0.08490566037735849,0.04716981132075472,0.19811320754716982,0.1792452830188679,0.0660377358490566,0.09433962264150944,0.08490566037735849,0.0,0.02830188679245283,0.0,0.0,0.03773584905660377,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.14150943396226415
8,agameofconcentration,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
9,agameofthronesgenesis,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456
