Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
japanesegames/0.013615012279739621,shoutout/0.020024335129497653,permanentlymissablecontent/0.010143814392033264,antifrustrationfeatures/0.013336145877279333,schrodingersgun/0.0020291639844384115,colourcodedforyourconvenience/0.014385532264693794,heroicsacrifice/0.01002872074956448,moredakka/0.009816497657273255,platformgame/0.02772437518971972,gayoption/0.00869667410976613,blackknight/0.006856156919723937,showntheirwork/0.01777631771061469,videogamesof20152019/0.047318029761218135,easternrpg/0.014579725321196987,adventuregame/0.09195208368483213,glasscannon/0.014743516290439632,sciencefictionvideogames/0.0328083525039816
nintendohard/0.011858492890467903,bigbad/0.015447013152558085,slidingscaleofgameplayandstoryintegration/0.009786264798580396,foreshadowing/0.010718917483085674,riddlefortheages/0.0019172101094349129,luckbasedmission/0.012827099602685299,heelfaceturn/0.008157163708272517,bottomlessmagazines/0.008992830040913325,excuseplot/0.02694863233161321,ragnarokproofing/0.007403925255611705,crystaldragonjesus/0.006856156919723937,anachronismstew/0.014600671630895021,videogamesof20102014/0.03562117891336948,anaxetogrind/0.011015344959523138,attractmode/0.03526235869748608,mightyglacier/0.014495244643061763,missioncontrol/0.013625906919129358
paletteswap/0.007987791792841984,finalboss/0.010452517527087316,interfacespoiler/0.00920359138702757,allthereinthemanual/0.010492351442991297,onlysixfaces/0.0019172101094349129,eldritchabomination/0.01251883819701329,bigdamnheroes/0.006497481049013607,crapsackworld/0.007548036025331155,onehitpointwonder/0.025228506863637895,optionalsexualencounter/0.006581266893877071,ambiguouslybrown/0.006810751907010534,reallife/0.01208205577456563,videogamesofthe2020s/0.015226669742761564,statuseffects/0.008296749768415965,moonlogicpuzzle/0.03205668972498735,thecomputerisacheatingbastard/0.01371223406287002,aiisacrapshoot/0.013024243496726243
optionalboss/0.007590389216083677,guidedangit/0.010446723448635495,hopelessbossfight/0.007693937548004344,exaggeratedtrope/0.0102970358911858,vomitindiscretionshot/0.0018332447031822888,playercharacter/0.011302918207973694,whamepisode/0.005508733932859363,bfg/0.00746701953847608,videogamesofthe1980s/0.01882019629667105,boozebasedbuff/0.006581266893877071,fishingminigame/0.006674536868870323,acceptablebreaksfromreality/0.009161921448386626,bodyhorror/0.014419194832160573,actionrpg/0.008236336541946917,pointandclickgame/0.030706934368145773,shockandawe/0.013654940605782819,megacorp/0.01012210228278181
updatedrerelease/0.006565090568047243,videogamesofthe2000s/0.009566023523958514,curbstompbattle/0.007058293826310353,videogamecrueltypotential/0.00965640088126377,meaningfulbackgroundevent/0.001707296593803353,unintentionallyunwinnable/0.010857651733114124,cutscenepowertothemax/0.005273317952822637,regeneratinghealth/0.006967417869536451,awinnerisyou/0.017302438530810482,multiplechoicepast/0.006169937713009754,starcrossedlovers/0.00599346167816927,truthintelevision/0.009125419769309388,horrorvideogames/0.010658668819933095,levelgrinding/0.00811551008900882,pixelhunt/0.029694617850514596,lightningbruiser/0.012069821626370268,cripplingoverspecialization/0.009024951336046718
slippyslideyiceworld/0.005221869858604163,videogamesofthe1990s/0.008824381482125268,pointofnoreturn/0.006833170008210398,lampshadehanging/0.009562649416397132,ironicname/0.0016373254219261663,deathisaslaponthewrist/0.010617892862035896,driventosuicide/0.0052262347568152925,wellintentionedextremist/0.006670357417734509,bottomlesspits/0.016998886977638367,spacecompression/0.005876131155247385,generationxerox/0.005948056665455866,aka47/0.00879690465761425,freewaregames/0.010220325297035414,squishywizard/0.007914132667445326,pointandclick/0.028513581913278217,difficultbutawesome/0.011993430350254,colonydrop/0.008210936117501327
playingwithfire/0.005158285446322834,multipleendings/0.007775653282345443,takeyourtime/0.006621288767645735,bittersweetending/0.009109517336208378,wrenchwench/0.0015953427187998545,schmuckbait/0.010515139060145225,andnowforsomeonecompletelydifferent/0.0052262347568152925,aftertheend/0.006548832687451897,spikesofdoom/0.015717224864245,screwtherulesihavemoney/0.005758608532142437,bowandswordinaccord/0.005039956411187795,hideyourchildren/0.007373339173601986,mindscrew/0.009989618179720845,bonusdungeon/0.007873857183132627,everythingsbetterwithdinosaurs/0.02497047410156909,fragilespeedster/0.011840647798021466,recycledinspace/0.008069368253406477
lethallavaland/0.004951636106408514,awesomebutimpractical/0.007543890144272553,themenaming/0.005959159890881161,gameplayandstorysegregation/0.009093892092063939,stoppokingme/0.0015533600156735425,cap/0.009607480476777642,backfromthedead/0.005049672771787749,stuffblowingup/0.006346291470314209,retraux/0.015616041013187629,shopliftanddie/0.005288518039722647,medievalstasis/0.004994551398474391,privatemilitarycontractors/0.007117827420061323,jumpscare/0.009620486792017534,elementalrockpaperscissors/0.007108622981191349,interactivefiction/0.022439682807491142,jackofallstats/0.01157327833161453,wehavereserves/0.007927800389311627
nostalgialevel/0.004872155591056852,onehitkill/0.007341097398458775,fetchquest/0.005694308340175332,exactlywhatitsaysonthetin/0.00898451538305286,companioncube/0.0014973830781717932,everythingtryingtokillyou/0.0094019728729963,andimustscream/0.0049790479777767314,deathfromabove/0.006157253000985701,lifemeter/0.014401834800499174,romancesidequest/0.005229756728170173,chivalrouspervert/0.004903741373047585,limitedloadout/0.006752810629288947,survivalhorror/0.009043718998731111,randomdrop/0.006927383301784204,tropemakers/0.021596085709465158,humongousmecha/0.010885756846568121,realtimestrategy/0.007927800389311627
downloadablecontent/0.004760882869564526,fantasyvideogames/0.006784865867083841,brokenbridge/0.00568106576264004,developersforesight/0.008867326051969562,chekhovsboomerang/0.001483388843796356,wideopensandbox/0.008939580764488286,gaidengame/0.004472903620697773,artificialbrilliance/0.005806181557947042,doublejump/0.013895915545212318,justbeforetheend/0.005112234105065225,impliedloveinterest/0.00472212132219397,alternatehistory/0.006314790480362096,apocalypticlog/0.009020648286999654,gueststarpartymember/0.00672600588022071,solvethesoupcans/0.021596085709465158,dropthehammer/0.00998815935220198,greatoffscreenwar/0.007644664661121925
