i_doc,doc,Topic 1,Topic 2,Topic 3
0,a3,0.4015748031496063,0.5275590551181102,0.07086614173228346
1,abearsnightout,0.5294117647058824,0.4117647058823529,0.058823529411764705
2,ablindlegend,0.5,0.5,0.0
3,aboyandhisblob,0.6,0.3875,0.0125
4,achangeintheweather,0.5,0.375,0.125
5,adarkroom,0.4318181818181818,0.5,0.06818181818181818
6,afkarena,0.3333333333333333,0.6,0.06666666666666667
7,afinalunity,0.29245283018867924,0.5283018867924528,0.1792452830188679
8,agameofconcentration,0.14285714285714285,0.7142857142857143,0.14285714285714285
9,agameofthronesgenesis,0.2727272727272727,0.5454545454545454,0.18181818181818182
10,agirladrift,0.275,0.55,0.175
11,ahatintime,0.55,0.4217391304347826,0.02826086956521739
12,ahintofatint,0.27419354838709675,0.6774193548387096,0.04838709677419355
13,ahomefaraway,0.4084507042253521,0.5774647887323944,0.014084507042253521
14,ahouseofmanydoors,0.3333333333333333,0.5853658536585366,0.08130081300813008
15,aidungeon,0.0,1.0,0.0
16,aidungeon2,0.32098765432098764,0.6111111111111112,0.06790123456790123
17,aithesomniumfiles,0.3333333333333333,0.5789473684210527,0.08771929824561403
18,ajugglerstale,0.2,0.8,0.0
19,akingstalefinalfantasyxv,0.4666666666666667,0.5333333333333333,0.0
20,alegionarystale,0.2619047619047619,0.5238095238095238,0.21428571428571427
21,amindforevervoyaging,0.27586206896551724,0.5287356321839081,0.19540229885057472
22,anewbeginning,0.35294117647058826,0.5,0.14705882352941177
23,anightmareonelmstreetnes,0.5333333333333333,0.4666666666666667,0.0
24,anightmareonelmstreetpc,0.47058823529411764,0.4117647058823529,0.11764705882352941
25,anoblecircle,0.4666666666666667,0.4666666666666667,0.06666666666666667
26,anormallostphone,0.14285714285714285,0.6666666666666666,0.19047619047619047
27,aplaguetaleinnocence,0.3,0.5777777777777777,0.12222222222222222
28,aprestigetreemodaboutmerging,0.1,0.8,0.1
29,arksurvivalevolved,0.3978494623655914,0.4265232974910394,0.17562724014336917
30,arms,0.5843373493975904,0.39759036144578314,0.018072289156626505
31,arobotnamedfight,0.3939393939393939,0.48484848484848486,0.12121212121212122
32,aroseinthetwilight,0.3611111111111111,0.6388888888888888,0.0
33,asecondface,0.2,0.6,0.2
34,aseriesofunfortunateevents2004,0.4074074074074074,0.5185185185185185,0.07407407407407407
35,ashorthike,0.4166666666666667,0.4583333333333333,0.125
36,asmallfavor,0.5714285714285714,0.35714285714285715,0.07142857142857142
37,asmalltalkatthebackofbeyond,0.2692307692307692,0.5,0.23076923076923078
38,aspacefortheunbound,0.0,1.0,0.0
39,astoryaboutmyuncle,0.45,0.5,0.05
40,astudyinsteampunk,0.2,0.6,0.2
41,ataleoftwokingdoms,0.36893203883495146,0.5436893203883495,0.08737864077669903
42,atechcybernetic,0.0,0.9166666666666666,0.08333333333333333
