Topic 1,Topic 2,Topic 3
shoutout/0.008104970626517044,videogamesof20152019/0.0038024223525333104,sciencefictionvideogames/0.009212880143112702
bigbad/0.006252271901126863,videogamesof20102014/0.00286247689532493,adventuregame/0.005416418207115882
finalboss/0.004230719621017578,heroicsacrifice/0.0015795533127052075,showntheirwork/0.0048399920492943746
guidedangit/0.004228374432757589,colourcodedforyourconvenience/0.001557306082948796,anachronismstew/0.0039753528125621145
japanesegames/0.004017307489358708,platformgame/0.001523935238314179,missioncontrol/0.0038262770820910357
antifrustrationfeatures/0.004003236359798783,excuseplot/0.0014812947146143906,aiisacrapshoot/0.0036573245875571457
videogamesofthe2000s/0.003871905817239479,glasscannon/0.001431238447662465,reallife/0.00328960445239515
videogamesofthe1990s/0.00357172171996107,permanentlymissablecontent/0.0014201148327842594,megacorp/0.002842377260981912
nintendohard/0.0034990208839014553,mightyglacier/0.0014071372820930194,cripplingoverspecialization/0.002534287418008348
foreshadowing/0.003217598292702947,luckbasedmission/0.0013885979239626766,acceptablebreaksfromreality/0.002494533889882727
allthereinthemanual/0.003149587833163307,onehitpointwonder/0.0013867439881496424,truthintelevision/0.002484595507851322
multipleendings/0.0031472426449033197,slidingscaleofgameplayandstoryintegration/0.0013700585658323338,aka47/0.002395150069568674
exaggeratedtrope/0.003090958126663618,eldritchabomination/0.0013552270793280596,colonydrop/0.0023057046312860265
awesomebutimpractical/0.0030534351145038168,moredakka/0.0013478113360759223,recycledinspace/0.0022659511031604056
onehitkill/0.0029713535254042517,easternrpg/0.0013422495286368194,wehavereserves/0.002226197575034784
videogamecrueltypotential/0.002898652689344637,thecomputerisacheatingbastard/0.0013311259137586138,realtimestrategy/0.002226197575034784
lampshadehanging/0.002870510430224786,shockandawe/0.001325564106319511,greatoffscreenwar/0.002146690518783542
fantasyvideogames/0.002746215452445445,interfacespoiler/0.0012884853900588253,attractmode/0.002077121844563705
bittersweetending/0.002734489511145507,heelfaceturn/0.0012847775184327568,hideyourchildren/0.002007553170343868
gameplayandstorysegregation/0.0027297991346255323,bottomlessmagazines/0.0012347212514808312,privatemilitarycontractors/0.001937984496124031
exactlywhatitsaysonthetin/0.002696966498985706,playercharacter/0.0012235976366026255,nukeem/0.0018982309679984098
developersforesight/0.0026617886750858926,videogamesofthe2020s/0.0012235976366026255,moonlogicpuzzle/0.0018882925859670045
meaningfulname/0.0026125397216261535,unintentionallyunwinnable/0.0011753953054637343,alieninvasion/0.001868415821904194
mythologygag/0.002610194533366166,lightningbruiser/0.0011716874338376657,jetpack/0.0018485390578413833
expy/0.0025632907681664143,difficultbutawesome/0.0011642716905855286,limitedloadout/0.0018386006758099782
timedmission/0.0025539100151264643,bodyhorror/0.0011587098831464257,pointandclickgame/0.0018087855297157622
boringbutpractical/0.002392092025187322,deathisaslaponthewrist/0.0011494402040812543,losttechnology/0.001798847147684357
paletteswap/0.0023569142012875082,fragilespeedster/0.0011494402040812543,easylogistics/0.0017789703836215464
artificialstupidity/0.0023029748713077943,schmuckbait/0.0011383165892030487,geoeffects/0.001759093619558736
optionalboss/0.00223965478828813,jackofallstats/0.0011234851026987744,pixelhunt/0.0017491552375273306
easteregg/0.0021997865878683413,hopelessbossfight/0.0010771367073729174,alternatehistory/0.0017193400914331147
newgameplus/0.0021106694339888135,humongousmecha/0.0010567434134295403,subsystemdamage/0.0016795865633074936
ohcrap/0.002091907927908913,cap/0.0010400579911122316,pointandclick/0.0016795865633074936
nonstandardgameover/0.002080181986608975,crapsackworld/0.001036350119486163,invisibilitycloak/0.001659709799244683
mooks/0.002056730104009099,videogamesofthe1980s/0.0010344961836731288,aluminumchristmastrees/0.0016497714172132778
continuitynod/0.002047349350969149,bfg/0.0010252265046079574,onebulletclips/0.0016398330351818724
gamebreakingbug/0.0020332782214092238,bigdamnheroes/0.001023372568794923,aliensky/0.001629894653150467
interfacescrew/0.002009826338809348,everythingtryingtokillyou/0.0010178107613558203,humanpopsicle/0.0015802027429934406
theverydefinitelyfinaldungeon/0.0019934100209894347,anaxetogrind/0.0010141028897297517,turnbasedstrategy/0.0015305108328364143
infinityplusonesword/0.001948851444049671,curbstompbattle/0.0009881477883472718,crystaldragonjesus/0.0015006956867421983
updatedrerelease/0.0019371255027497332,dropthehammer/0.000969608430216929,blackknight/0.0015006956867421983
elitemooks/0.0019347803144897458,wideopensandbox/0.0009677544944038947,ambiguouslybrown/0.0014907573047107932
thecameo/0.0019277447497097829,arbitraryheadcountlimit/0.000956630879525689,warishell/0.0014808189226793878
hundredpercentcompletion/0.00191132843188987,regeneratinghealth/0.000956630879525689,sciencefantasy/0.0014808189226793878
bookends/0.0019089832436298825,pointofnoreturn/0.000956630879525689,everythingsbetterwithdinosaurs/0.0014708805406479825
darkerandedgier/0.0019019476788499196,awinnerisyou/0.0009510690720865862,robotbuddy/0.0014708805406479825
downerending/0.001894912114069957,dualwielding/0.0009510690720865862,gayoption/0.0014708805406479825
spiritualsuccessor/0.001894912114069957,videogamecrueltypunishment/0.0009473612004605176,takecover/0.0014609421586165771
subvertedtrope/0.001873805419730069,bottomlesspits/0.0009343836497692777,fishingminigame/0.0014609421586165771
callback/0.001862079478430131,takeyourtime/0.0009269679065171405,artisticlicensehistory/0.001451003776585172
actiongirl/0.001845663160610218,energyweapon/0.0009251139707041063,yourequiremorevespenegas/0.001451003776585172
sequelhook/0.0017987593954104666,zergrush/0.000923260034891072,militaryandwarfarevideogames/0.0014410653945537667
avertedtrope/0.0017893786423705163,wellintentionedextremist/0.0009158442916389349,sentrygun/0.0013913734843967402
justifiedtrope/0.0017729623245506033,magikarppower/0.0009158442916389349,antiair/0.0013814351023653348
sceneryporn/0.001758891194990678,aftertheend/0.0008991588693216263,everycarisapinto/0.0013615583383025244
nicejobbreakingithero/0.0017330941241308147,macrossmissilemassacre/0.0008954509976955578,eagleland/0.0013416815742397137
andyourrewardisclothes/0.0017002614884909885,bfs/0.0008880352544434207,artisticlicensegeography/0.0013317431922083085
disconenuke/0.0016603932880712,stuffblowingup/0.0008713498321261122,interactivefiction/0.0013218048101769032
thedragon/0.0016510125350312497,whamepisode/0.0008676419605000436,starcrossedlovers/0.0013118664281454979
harderthanhard/0.001643976970251287,spikesofdoom/0.000863934088873975,coldsniper/0.0013019280461140925
butthoumust/0.001643976970251287,whatthehellplayer/0.0008583722814348722,coolplane/0.0013019280461140925
videogamecaringpotential/0.0016392865937313117,retraux/0.0008583722814348722,magneticweapons/0.0013019280461140925
runninggag/0.0016252154641713864,horrorvideogames/0.0008565183456218379,generationxerox/0.0013019280461140925
heroicmime/0.0016252154641713864,deathfromabove/0.0008453947307436322,tropemakers/0.0012721129000198767
unexpectedgameplaychange/0.0015900376402715728,insurmountablewaistheightfence/0.0008361250516784608,artificialintelligence/0.0012721129000198767
chekhovsgun/0.001557205004631747,themenaming/0.0008342711158654266,solvethesoupcans/0.0012721129000198767
slippyslideyiceworld/0.0015407886868118337,cutscenepowertothemax/0.000830563244239358,fogofwar/0.0012621745179884716
whathappenedtothemouse/0.0015360983102918587,wavemotiongun/0.000825001436800255,selfdestructmechanism/0.0012621745179884716
bossrush/0.001533753122031871,andnowforsomeonecompletelydifferent/0.0008231475009872208,brainuploading/0.0012621745179884716
hoistbyhisownpetard/0.001533753122031871,driventosuicide/0.0008231475009872208,ragnarokproofing/0.0012522361359570662
titledrop/0.0015314079337718836,freewaregames/0.0008212935651741865,hollywoodsilencer/0.001242297753925661
dualboss/0.0015267175572519084,deflectorshields/0.0008083160144829465,beehivebarrier/0.001212482607831445
playingwithfire/0.0015220271807319333,stripperiffic/0.0008027542070438437,kineticweaponsarejustbetter/0.001212482607831445
flunkyboss/0.0015196819924719457,mindscrew/0.0008027542070438437,acepilot/0.0011926058437686344
escortmission/0.0015149916159519705,fetchquest/0.0007971923996047409,techtree/0.0011926058437686344
onewingedangel/0.0015079560511720078,artificialbrilliance/0.0007971923996047409,historicaldomaincharacter/0.0011627906976744186
wordofgod/0.0015079560511720078,fanservice/0.0007953384637917066,unitsnottoscale/0.0011627906976744186
jerkass/0.0015009204863920451,backfromthedead/0.0007953384637917066,powercrystal/0.0011627906976744186
killitwithfire/0.0014985752981320575,brokenbridge/0.0007953384637917066,braininajar/0.0011528523156430132
toodumbtolive/0.0014915397333520948,lifemeter/0.000791630592165638,slowlaser/0.0011429139336116081
wakeupcallboss/0.0014891945450921072,gatlinggood/0.000791630592165638,sniperpistol/0.0011429139336116081
pun/0.0014891945450921072,castfromhitpoints/0.0007860687847265352,theengineer/0.0011329755515802028
lethallavaland/0.0014610522859722565,andimustscream/0.0007842148489135009,notevenbotheringwiththeaccent/0.0011230371695487974
braggingrightsreward/0.0014563619094522813,itemcrafting/0.0007842148489135009,colorcodedarmies/0.0011230371695487974
breakingthefourthwall/0.0014493263446723186,helloinsertnamehere/0.0007805069772874323,acecustom/0.001113098787517392
thereveal/0.001446981156412331,bossbattle/0.0007805069772874323,ridiculouslyhumanrobots/0.001113098787517392
nostalgialevel/0.0014376004033723807,nosell/0.0007767991056613638,optionalsexualencounter/0.001113098787517392
turnsred/0.0014282196503324304,jumpscare/0.0007730912340352952,realtimewithpause/0.001113098787517392
downloadablecontent/0.0014047677677325547,statuseffects/0.0007638215549701238,boozebasedbuff/0.001113098787517392
deadpansnarker/0.0013906966381726294,doublejump/0.0007638215549701238,bowandswordinaccord/0.001103160405485987
punnyname/0.0013860062616526541,convectionschmonvection/0.0007601136833440553,designityourselfequipment/0.001103160405485987
guestfighter/0.0013766255086127038,actionrpg/0.000758259747531021,medievalstasis/0.0010932220234545816
licensedgame/0.0013695899438327412,scoringpoints/0.0007545518759049524,cyberneticseatyoursoul/0.0010932220234545816
bossinmookclothing/0.0013672447555727536,fantasticracism/0.0007526979400919181,emp/0.0010832836414231763
nerf/0.0013648995673127661,gamebreaker/0.0007508440042788839,sawedoffshotgun/0.0010832836414231763
limitbreak/0.0013555188142728158,bloodknight/0.0007508440042788839,topdownview/0.001073345259391771
whamline/0.0013367573081929152,criticalexistencefailure/0.0007508440042788839,translationconvention/0.001073345259391771
gameover/0.0013344121199329276,savescumming/0.0007489900684658496,chivalrouspervert/0.001073345259391771
degradedboss/0.0013297217434129526,sealedevilinacan/0.0007489900684658496,regeneratingshieldstatichealth/0.0010634068773603658
largeham/0.0013203409903730023,levelgrinding/0.0007471361326528153,thefederation/0.0010634068773603658
giantspacefleafromnowhere/0.001315650613853027,superdrowningskills/0.000745282196839781,neversmileatacrocodile/0.0010634068773603658
takethat/0.001303924672553089,boomheadshot/0.0007434282610267467,tokenminority/0.0010634068773603658
gottacatchthemall/0.0013015794842931017,collisiondamage/0.0007415743252137125,coolguns/0.0010534684953289605
bilingualbonus/0.0012968891077731264,firstpersonshooter/0.0007341585819615753,alienworks/0.0010534684953289605
puzzleboss/0.001294543919513139,bribingyourwaytovictory/0.0007304507103355068,multiplechoicepast/0.0010435301132975551
attackitsweakpoint/0.0012921987312531514,charactercustomization/0.0007285967745224725,thepasswordisalwaysswordfish/0.0010335917312661498
recurringboss/0.0012921987312531514,cosmeticaward/0.0007285967745224725,impliedloveinterest/0.0010335917312661498
damnyoumusclememory/0.0012898535429931638,squishywizard/0.0007285967745224725,supremechef/0.0010236533492347447
whatthehellhero/0.0012710920369132632,survivalhorror/0.0007267428387094382,cannonfodder/0.0010236533492347447
goldenending/0.0012710920369132632,bonusdungeon/0.0007248889028964039,medievaleuropeanfantasy/0.0010236533492347447
chargedattack/0.0012710920369132632,apocalypticlog/0.0007248889028964039,coolship/0.0010236533492347447
earlyinstallmentweirdness/0.0012452949660534,weaponofchoice/0.0007174731596442668,itsrainingmen/0.0010236533492347447
leaningonthefourthwall/0.0012265334599734993,madeofiron/0.0007156192238312325,ancestralweapon/0.0010236533492347447
inuniverse/0.001224188271713512,gaidengame/0.0007044956089530269,overheating/0.0010137149672033393
promotedtoplayable/0.0012218430834535243,defeatmeansfriendship/0.0007026416731399926,misplacedwildlife/0.0010137149672033393
sequencebreaking/0.0012218430834535243,endlessgame/0.0007007877373269583,killerrobot/0.0010137149672033393
lighterandsofter/0.001212462330413574,attackdrone/0.0006878101866357183,storybranchfavoritism/0.001003776585171934
truefinalboss/0.0012101171421535863,counterattack/0.0006841023150096498,brainwashed/0.001003776585171934
marathonlevel/0.0012101171421535863,thehero/0.0006822483791966155,rockbeatslaser/0.001003776585171934
tookalevelinbadass/0.001196046012593661,darkisnotevil/0.0006785405075705469,spacecompression/0.0009938382031405286
difficultyspike/0.0011913556360736858,combinationattack/0.000672978700131444,deliberatevaluesdissonance/0.0009938382031405286
ruleofcool/0.0011913556360736858,eldritchlocation/0.0006711247643184097,evilweapon/0.0009938382031405286
damselindistress/0.0011890104478136983,featurelessprotagonist/0.0006674168926923412,ridiculouslyfastconstruction/0.0009838998211091235
onemanarmy/0.0011819748830337355,cutsceneincompetence/0.0006655629568793069,alldesertshavecacti/0.0009739614390777182
actionbomb/0.0011749393182537728,webgames/0.0006581472136271698,cybercyclops/0.0009739614390777182
thestinger/0.0011749393182537728,friendlyfireproof/0.0006581472136271698,quickmelee/0.0009739614390777182
gamemod/0.0011679037534738101,apocalypsehow/0.0006581472136271698,dieselpunk/0.0009739614390777182
macguffin/0.0011655585652138225,mechamooks/0.0006562932778141355,gunshiprescue/0.0009739614390777182
oldsavebonus/0.0011632133769538349,vendortrash/0.0006544393420011012,thatonepuzzle/0.0009739614390777182
moodwhiplash/0.0011538326239138848,elementalrockpaperscissors/0.0006544393420011012,screwtherulesihavemoney/0.0009739614390777182
violationofcommonsense/0.0011374163060939716,adultfear/0.0006525854061880669,snipingmission/0.0009640230570463128
axcrazy/0.0011374163060939716,themanbehindtheman/0.0006525854061880669,breakoutthemuseumpiece/0.0009640230570463128
ascendedextra/0.0011374163060939716,killemall/0.0006525854061880669,religiousandmythologicalthemenaming/0.0009640230570463128
continuingispainful/0.0011233451765340463,indiegame/0.0006488775345619984,robotandaiworks/0.0009640230570463128
earlygamehell/0.0011209999882740586,noplotnoproblem/0.0006470235987489641,spacestation/0.0009540846750149076
faceheelturn/0.0011209999882740586,youalllookfamiliar/0.0006470235987489641,spacepirates/0.0009540846750149076
dembones/0.0011186548000140712,nothingisscarier/0.0006470235987489641,masterswordsman/0.0009540846750149076
enemymine/0.0011116192352341083,moneyfornothing/0.0006451696629359298,unrealisticblackhole/0.0009540846750149076
thereisnokilllikeoverkill/0.001109274046974121,heroicbsod/0.0006433157271228955,ateamfiring/0.0009540846750149076
downplayedtrope/0.0010998932939341706,cherrytapping/0.0006433157271228955,pinballscoring/0.0009441462929835022
compilationrerelease/0.0010952029174141954,ludicrousgibs/0.0006414617913098612,goodcolorsevilcolors/0.000934207910952097
idiosyncraticdifficultylevels/0.0010905125408942203,shootemup/0.0006414617913098612,everybulletisatracer/0.000934207910952097
bowdlerise/0.0010905125408942203,pressxtonotdie/0.0006414617913098612,humansarewhite/0.000934207910952097
arsonmurderandjaywalking/0.0010834769761142577,katanasarejustbetter/0.0006377539196837927,ngosuperpower/0.000934207910952097
yougottahavebluehair/0.0010740962230743074,randomdrop/0.0006377539196837927,cosmeticallydifferentsides/0.000934207910952097
greaterscopevillain/0.0010694058465543321,bloodlesscarnage/0.0006358999838707584,facklerscaleoffpsrealism/0.0009242695289206917
madscientist/0.0010670606582943445,criticalhit/0.0006284842406186213,heroeswantredheads/0.0009143311468892864
leitmotif/0.0010670606582943445,badassnormal/0.000626630304805587,distantsequel/0.0009143311468892864
demotedtoextra/0.0010623702817743694,teleportspam/0.000626630304805587,awesomepersonnelcarrier/0.0009043927648578811
kingmook/0.0010576799052543944,gunsakimbo/0.0006247763689925527,slidingscaleofgenderinequality/0.0009043927648578811
sequentialboss/0.0010576799052543944,knifenut/0.0006229224331795184,herounit/0.0009043927648578811
spellmynamewithans/0.0010576799052543944,damagespongeboss/0.0006229224331795184,rareguns/0.0009043927648578811
fakedifficulty/0.0010576799052543944,shotgunsarejustbetter/0.0006192145615534499,theworldisjustawesome/0.0008944543828264759
supertitle64advance/0.0010389183991744938,gueststarpartymember/0.0006192145615534499,coolstarship/0.0008944543828264759
brutalbonuslevel/0.0010365732109145062,hyperspacearsenal/0.0006192145615534499,shopliftanddie/0.0008944543828264759
giantmook/0.0010365732109145062,combatmedic/0.0006155066899273813,leadthetarget/0.0008944543828264759
namestorunawayfromreallyfast/0.0010271924578745559,characterdevelopment/0.0006155066899273813,mutualkill/0.0008944543828264759
mookmaker/0.0010271924578745559,didyoujustpunchoutcthulhu/0.000613652754114347,thealliance/0.0008944543828264759
takingyouwithme/0.0010248472696145683,simulationgame/0.0006043830750491756,romancesidequest/0.0008845160007950705
powerupletdown/0.0010178117048346056,bigcreepycrawlies/0.0006025291392361414,armsdealer/0.0008845160007950705
blatantlies/0.001015466516574618,inuniversegameclock/0.0006006752034231071,troperworks/0.0008845160007950705
idleanimation/0.001015466516574618,warpwhistle/0.0006006752034231071,killallhumans/0.0008845160007950705
artshift/0.0010084309517946553,shortrangeshotgun/0.0005988212676100728,noswastikas/0.0008745776187636653
aniceperson/0.0010084309517946553,disconefinalboss/0.0005988212676100728,unorthodoxreload/0.0008745776187636653
evillaugh/0.0010060857635346677,beatemup/0.0005969673317970385,cardboardprison/0.0008646392367322599
improbableweaponuser/0.0010013953870146926,theendoftheworldasweknowit/0.0005951133959840042,justbeforetheend/0.0008646392367322599
dubnamechange/0.0010013953870146926,killedoffforreal/0.0005914055243579357,kingincognito/0.0008646392367322599
arcwords/0.000999050198754705,stonewall/0.0005914055243579357,moralemechanic/0.0008646392367322599
buttmonkey/0.0009967050104947174,theempire/0.0005914055243579357,scoremultiplier/0.0008646392367322599
nofaircheating/0.0009967050104947174,timeskip/0.0005914055243579357,robotwar/0.0008547008547008547
earnyourhappyending/0.0009802886926748044,luckilymyshieldwillprotectme/0.0005895515885449014,awesomemomentofcrowning/0.0008447624726694495
redherring/0.0009802886926748044,eyescream/0.0005839897811057986,arbitrarymaximumrange/0.0008447624726694495
zigzaggingtrope/0.0009755983161548294,bearsarebadnews/0.0005821358452927643,singlebiomeplanet/0.0008447624726694495
invertedtrope/0.0009755983161548294,spinattack/0.0005821358452927643,aliensspeakingenglish/0.0008447624726694495
cuttingoffthebranches/0.0009755983161548294,heartcontainer/0.0005821358452927643,ohmygods/0.0008447624726694495
brickjoke/0.0009709079396348542,actiongame/0.00058028190947973,friendlyrivalry/0.0008447624726694495
stealthpun/0.0009709079396348542,poweredarmor/0.00058028190947973,alternativecalendar/0.0008447624726694495
brainwashedandcrazy/0.0009662175631148791,relationshipvalues/0.0005784279736666957,elitesaremoreglamorous/0.0008348240906380441
loadsandloadsofloading/0.0009638723748548914,spreadshot/0.0005784279736666957,multinationalteam/0.0008348240906380441
screwthisimouttahere/0.0009638723748548914,laresistance/0.0005765740378536614,nonentitygeneral/0.0008348240906380441
warmupboss/0.0009615271865949039,holdtheline/0.0005765740378536614,raygun/0.0008348240906380441
playedforlaughs/0.0009615271865949039,fissionmailed/0.0005747201020406272,plasmacannon/0.0008248857086066389
