i_doc,doc,Topic 1,Topic 2
0,a3,1.0,0.0
1,abearsnightout,1.0,0.0
2,ablindlegend,1.0,0.0
3,aboyandhisblob,1.0,0.0
4,achangeintheweather,1.0,0.0
5,adarkroom,1.0,0.0
6,afkarena,1.0,0.0
7,afinalunity,1.0,0.0
8,agameofconcentration,1.0,0.0
9,agameofthronesgenesis,1.0,0.0
10,agirladrift,1.0,0.0
11,ahatintime,1.0,0.0
12,ahintofatint,1.0,0.0
13,ahomefaraway,1.0,0.0
14,ahouseofmanydoors,1.0,0.0
15,aidungeon,1.0,0.0
16,aidungeon2,1.0,0.0
17,aithesomniumfiles,1.0,0.0
18,ajugglerstale,1.0,0.0
19,akingstalefinalfantasyxv,1.0,0.0
20,alegionarystale,1.0,0.0
21,amindforevervoyaging,1.0,0.0
22,anewbeginning,1.0,0.0
23,anightmareonelmstreetnes,1.0,0.0
24,anightmareonelmstreetpc,1.0,0.0
25,anoblecircle,1.0,0.0
26,anormallostphone,1.0,0.0
27,aplaguetaleinnocence,1.0,0.0
28,aprestigetreemodaboutmerging,1.0,0.0
29,arksurvivalevolved,1.0,0.0
30,arms,1.0,0.0
31,arobotnamedfight,1.0,0.0
32,aroseinthetwilight,1.0,0.0
33,asecondface,1.0,0.0
34,aseriesofunfortunateevents2004,1.0,0.0
35,ashorthike,1.0,0.0
36,asmallfavor,1.0,0.0
37,asmalltalkatthebackofbeyond,1.0,0.0
38,aspacefortheunbound,1.0,0.0
39,astoryaboutmyuncle,1.0,0.0
40,astudyinsteampunk,1.0,0.0
41,ataleoftwokingdoms,1.0,0.0
42,atechcybernetic,1.0,0.0
43,atimelessstory,1.0,0.0
44,avalleywithoutwind,1.0,0.0
45,avalleywithoutwind2,1.0,0.0
46,avampyrestory,1.0,0.0
47,averylongropetothetopofthesky,1.0,0.0
48,avirusnamedtom,1.0,0.0
49,awalkinthewoods,1.0,0.0
50,awayout,1.0,0.0
51,awaytobedead,1.0,0.0
52,awitchstale,1.0,0.0
53,aaaaaaaaaaaaaaaaaaaaaaaaaarecklessdisregardforgravity,1.0,0.0
54,abadox,1.0,0.0
55,abalaburn,1.0,0.0
56,abandonship,1.0,0.0
57,aberoth,1.0,0.0
58,abmneshitheprophecy,1.0,0.0
59,abominationthenemesisproject,1.0,0.0
60,absolutepinball,1.0,0.0
61,absolver,1.0,0.0
62,abuse,1.0,0.0
63,abyssodyssey,1.0,0.0
64,abzu,1.0,0.0
65,acaratus,1.0,0.0
66,accounting,1.0,0.0
67,acecombat,1.0,0.0
68,acecombat04shatteredskies,1.0,0.0
69,acecombat2,1.0,0.0
70,acecombat3electrosphere,1.0,0.0
71,acecombat5theunsungwar,1.0,0.0
72,acecombat6firesofliberation,1.0,0.0
73,acecombat7skiesunknown,1.0,0.0
74,acecombatassaulthorizon,1.0,0.0
75,acecombatassaulthorizonlegacy,1.0,0.0
76,acecombatinfinity,1.0,0.0
77,acecombatjointassault,1.0,0.0
78,acecombatnorthernwings,1.0,0.0
79,acecombatxskiesofdeception,1.0,0.0
80,acecombatzerothebelkanwar,1.0,0.0
81,acefishing,1.0,0.0
