Topic 1,Topic 2
2/0.2184646515745542,24/0.3939393939393939
3/0.21644112811432908,27/0.09848484848484848
7/0.1962058935120779,21/0.08333333333333333
4/0.18543063108637917,8/0.07575757575757576
0/0.17258125711394967,15/0.07575757575757576
32/0.006981155937776653,13/0.06060606060606061
16/0.00389528266093335,37/0.05303030303030303
,36/0.030303030303030304
,12/0.030303030303030304
,9/0.022727272727272728
,33/0.022727272727272728
,22/0.015151515151515152
,23/0.015151515151515152
,34/0.007575757575757576
,35/0.007575757575757576
,11/0.007575757575757576
