i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,worldofwarcraft,0.03587962962962963,0.09722222222222222,0.11516203703703703,0.10127314814814815,0.046875,0.11921296296296297,0.06655092592592593,0.041087962962962965,0.050347222222222224,0.043402777777777776,0.07407407407407407,0.009259259259259259,0.048032407407407406,0.032407407407407406,0.023148148148148147,0.013888888888888888,0.03530092592592592,0.03414351851851852,0.01273148148148148
1,finalfantasyvii,0.05240793201133145,0.1253541076487252,0.07507082152974505,0.08781869688385269,0.036827195467422094,0.14305949008498584,0.08427762039660057,0.04178470254957507,0.03611898016997167,0.039660056657223795,0.09206798866855524,0.006373937677053824,0.06303116147308782,0.031161473087818695,0.014164305949008499,0.009206798866855524,0.026912181303116147,0.0226628895184136,0.012039660056657223
2,theelderscrollsvskyrim,0.026033690658499236,0.09571209800918837,0.12710566615620214,0.11562021439509954,0.055130168453292494,0.13782542113323124,0.07427258805513016,0.04670750382848392,0.05666156202143951,0.04670750382848392,0.062021439509954056,0.005359877488514548,0.04134762633996937,0.027565084226646247,0.016845329249617153,0.009188361408882083,0.02450229709035222,0.018376722817764167,0.013016845329249618
3,teamfortress2,0.04971932638331997,0.08981555733761026,0.09382518043303929,0.11226944667201283,0.03608660785886127,0.13071371291098638,0.056134723336006415,0.04570970328789094,0.023255813953488372,0.040096230954290296,0.10184442662389735,0.00801924619085806,0.05292702485966319,0.05052125100240577,0.00801924619085806,0.012830793905372895,0.03929430633520449,0.04330392943063352,0.0056134723336006415
4,masseffect2,0.028985507246376812,0.12738367658276126,0.07322654462242563,0.12890922959572845,0.04576659038901602,0.13119755911517925,0.07780320366132723,0.034324942791762014,0.02517162471395881,0.04042715484363082,0.07475209763539283,0.016018306636155607,0.04958047292143402,0.04958047292143402,0.005339435545385202,0.014492753623188406,0.017543859649122806,0.05491990846681922,0.004576659038901602
5,falloutnewvegas,0.027755102040816326,0.08897959183673469,0.09795918367346938,0.13877551020408163,0.0473469387755102,0.1469387755102041,0.06693877551020408,0.037551020408163265,0.02857142857142857,0.03346938775510204,0.08,0.009795918367346938,0.04816326530612245,0.052244897959183675,0.013061224489795919,0.011428571428571429,0.017142857142857144,0.04979591836734694,0.004081632653061225
6,fallout3,0.024066390041493777,0.07136929460580912,0.08464730290456432,0.12282157676348547,0.05726141078838174,0.17593360995850624,0.06058091286307054,0.046473029045643155,0.030705394190871368,0.038174273858921165,0.08215767634854772,0.013278008298755186,0.053112033195020746,0.04896265560165975,0.008298755186721992,0.013278008298755186,0.013278008298755186,0.05062240663900415,0.004979253112033195
7,masseffect3,0.034874290348742905,0.11354420113544202,0.072992700729927,0.10867802108678021,0.05596107055961071,0.13706407137064072,0.08191403081914031,0.042984590429845905,0.030008110300081103,0.038929440389294405,0.07948094079480941,0.0170316301703163,0.050283860502838604,0.039740470397404706,0.010543390105433901,0.012976480129764802,0.016220600162206,0.05190592051905921,0.004866180048661801
8,dragonageorigins,0.034482758620689655,0.1724137931034483,0.09251471825063078,0.12699747687132043,0.04121110176619008,0.13708999158957108,0.08494533221194281,0.045416316232127836,0.04709840201850295,0.031118587047939444,0.05887300252312868,0.00336417157275021,0.04709840201850295,0.02943650126156434,0.00672834314550042,0.001682085786375105,0.017661900756938603,0.010933557611438183,0.010933557611438183
9,persona3,0.057709648331830475,0.15058611361587015,0.07664562669071236,0.07844905320108206,0.03787195671776375,0.16501352569882777,0.09107303877366997,0.046889089269612265,0.03606853020739405,0.02164111812443643,0.08746618575293057,0.0018034265103697023,0.0721370604147881,0.024346257889990983,0.002705139765554554,0.002705139765554554,0.018034265103697024,0.018034265103697024,0.010820559062218215
10,persona5,0.053415061295971976,0.14886164623467601,0.07443082311733801,0.1042031523642732,0.03064798598949212,0.13922942206654992,0.08493870402802102,0.04553415061295972,0.03327495621716287,0.01926444833625219,0.09632224168126094,0.0017513134851138354,0.05604203152364273,0.042907180385288964,0.0017513134851138354,0.005253940455341506,0.03415061295971979,0.02276707530647986,0.005253940455341506
11,finalfantasyvi,0.05478180129990715,0.08449396471680594,0.09099350046425256,0.07428040854224698,0.05013927576601671,0.16991643454038996,0.08449396471680594,0.056638811513463325,0.0436397400185701,0.04271123491179202,0.06406685236768803,0.0064995357474466105,0.07613741875580315,0.012999071494893221,0.013927576601671309,0.004642525533890436,0.02692664809656453,0.025069637883008356,0.017641597028783658
12,theelderscrollsivoblivion,0.018026565464895637,0.06261859582542695,0.13282732447817835,0.11385199240986717,0.055977229601518026,0.1859582542694497,0.07210626185958255,0.05502846299810247,0.0635673624288425,0.03225806451612903,0.06072106261859583,0.003795066413662239,0.04933586337760911,0.024667931688804556,0.014231499051233396,0.009487666034155597,0.016129032258064516,0.018975332068311195,0.010436432637571158
13,thelegendofzeldaocarinaoftime,0.06051873198847262,0.11047070124879924,0.09510086455331412,0.05187319884726225,0.03650336215177714,0.18155619596541786,0.053794428434197884,0.040345821325648415,0.040345821325648415,0.053794428434197884,0.07012487992315082,0.0019212295869356388,0.07588856868395773,0.008645533141210375,0.024975984630163303,0.009606147934678195,0.04803073967339097,0.01729106628242075,0.01921229586935639
14,dragonageii,0.03601895734597156,0.18104265402843603,0.09194312796208531,0.13459715639810427,0.029383886255924172,0.12132701421800948,0.0966824644549763,0.04265402843601896,0.05023696682464455,0.03033175355450237,0.06824644549763033,0.0009478672985781991,0.04265402843601896,0.029383886255924172,0.0018957345971563982,0.0037914691943127963,0.01800947867298578,0.007582938388625593,0.013270142180094787
15,fallout,0.02485089463220676,0.06560636182902585,0.10437375745526839,0.11133200795228629,0.05964214711729622,0.16401590457256462,0.05964214711729622,0.04771371769383698,0.03180914512922465,0.0437375745526839,0.08449304174950298,0.012922465208747515,0.048707753479125246,0.036779324055666,0.013916500994035786,0.010934393638170975,0.017892644135188866,0.055666003976143144,0.005964214711729622
