Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1073/0.019198142691311725,800/0.009379141604648792,243/0.011603749683303775,765/0.01208681713815362,1030/0.027765257369512304,586/0.007696764048663411,1176/0.015777308813184603,267/0.024881439615409603,475/0.026396139072195412,1081/0.026582931865106674,558/0.012079217191816096,269/0.07760814249363868,2301/0.020465305706867585,1986/0.025583014270797077,2358/0.07813465101914763,1158/0.08129820051413882,1288/0.027084214980956412,2633/0.029258098223615466,995/0.09923916639100232
420/0.018483793195821056,79/0.008206748904067694,867/0.011299721307322017,1588/0.010223974353420266,1784/0.023167763454430723,263/0.007580898783414715,99/0.013767460556727966,278/0.022867537192230235,664/0.024918743228602384,1660/0.023227804542326223,981/0.011423755793810572,227/0.06997455470737914,1384/0.020414396986203738,1685/0.022450400278454578,694/0.04045707226683138,21/0.06137532133676093,2465/0.026378896882494004,114/0.02612330198537095,20/0.0869996692027787
556/0.017233681578712384,122/0.008155775308390253,749/0.011198378515328098,2114/0.01000736472728848,2363/0.02289732263589651,2559/0.007498137879665646,1052/0.013566475731082304,363/0.02208796206067693,1888/0.023638333497488426,1759/0.022883688919476945,65/0.010815113067091157,2456/0.056615776081424936,207/0.018530774321641297,171/0.02018795683954055,846/0.03705991352686844,349/0.06073264781491003,807/0.025250387924954154,282/0.025891094856612097,2461/0.04895798875289448
734/0.017144387891776053,338/0.007646039351615863,990/0.010894350139346339,665/0.009487501624572197,2279/0.02163526548273686,865/0.007365720433667135,744/0.013315244699025224,271/0.021958032872084712,634/0.022653402935093075,1231/0.022711631108052306,2096/0.010768294395805048,2383/0.05597964376590331,1852/0.017359873746372753,138/0.017925513400626522,672/0.035824583075972825,1247/0.060411311053984576,1312/0.02271124277048949,201/0.025658887727853245,144/0.04697320542507443
1136/0.016965800517903383,2061/0.007544092160260985,340/0.010640993159361541,1236/0.009444179699345839,93/0.020283061390065808,794/0.007316063891417694,614/0.01311425987337956,292/0.021438316117715846,1831/0.021274500147739583,1478/0.02193737095664143,1634/0.01058101971066061,1962/0.052798982188295165,2587/0.017308965025708903,830/0.01775147928994083,1585/0.033662754786905495,774/0.05398457583547558,262/0.021723797432642123,1086/0.024033437826541274,1423/0.04631161098246775
868/0.01634074470934905,2391/0.007442144968906107,589/0.010286293387382822,276/0.008751028895724126,1122/0.01838997566032633,89/0.00729951171066788,1074/0.01311425987337956,386/0.021438316117715846,2093/0.020092583472865164,1193/0.021249139710942878,998/0.010066014326513413,1032/0.047073791348600506,1988/0.017258056305045053,639/0.017055342847198052,308/0.032736256948733784,97/0.05334190231362468,2611/0.021723797432642123,433/0.023685127133402994,1695/0.04465762487595104
545/0.015537101526922047,788/0.007391171373228668,1417/0.009880922219407144,1824/0.008404453493913269,1191/0.01829982872081493,1063/0.007282959529918066,1434/0.012762536428499649,756/0.020139024231793673,2319/0.0185166945730326,2605/0.0209050240880936,1955/0.010019195655227305,310/0.045165394402035625,1111/0.017258056305045053,1156/0.013922728854855551,2127/0.030265596046942556,2660/0.05334190231362468,886/0.021300606573564678,470/0.023336816440264717,484/0.04465762487595104
2458/0.014912045718367711,2635/0.007289224181873789,1181/0.009678236635419305,736/0.008404453493913269,1971/0.017939240962769314,94/0.007200198626168997,2536/0.012762536428499649,812/0.020074059637497563,1206/0.0185166945730326,1353/0.020216792842395043,852/0.009972376983941196,19/0.043256997455470736,976/0.01654533421575116,1110/0.013748694744169856,356/0.029956763434218655,1146/0.053020565552699225,245/0.021159542953872196,395/0.02055033089515848,939/0.04234204432682766
191/0.01464416465755871,385/0.007187276990518911,1582/0.009627565239422346,396/0.008187843867781484,1065/0.017939240962769314,1071/0.0070512289994206735,516/0.012712290222088233,198/0.01942441369453648,1623/0.017630257066876785,432/0.01952856159669649,1275/0.009925558312655087,2602/0.04262086513994911,1663/0.016036247009112662,1118/0.013400626522798468,941/0.029956763434218655,690/0.04177377892030849,764/0.019748906756947383,2257/0.020434227330779056,1241/0.041680449884220976
1305/0.01339405304045004,459/0.007187276990518911,1061/0.009374208259437548,374/0.008014556166876055,710/0.017668800144235105,548/0.0069684680956716046,194/0.012410812983619736,522/0.01942441369453648,1010/0.01674381956072097,85/0.018926359256710254,270/0.009270096914649563,1062/0.039440203562340966,115/0.014865346433844117,761/0.013400626522798468,414/0.029339098208770845,1378/0.035025706940874035,1578/0.01932571589786994,1519/0.018576570300708233,818/0.041680449884220976
