Cluster 1,Cluster 2
specopstheline,bloodstainedritualofthenight
lifeisstrange,warioware
deadrising,grimdawn
supermarioworld,shovelknight
assassinscreedbrotherhood,punchout
farcry5,kingdomheartsbirthbysleep
hitman2016,shadowhearts
godofwarps4,marioparty
terraria,halocombatevolved
metroid,persona2
thesims2,papermario
splintercell,devilmaycry5
bioshock2,fallout1
shinmegamitenseiiiinocturne,superpapermario
bully,kidicarusuprising
sonic3andknuckles,talesofvesperia
godofwarbetrayal,puyopuyo
batmanarkhamorigins,residentevil2
farcry3,dragonquestix
discoelysium,halo2
nier,dota2
shinmegamitenseistrangejourney,iji
shadowrunreturns,guildwars2
hades,halo3
samandmaxfreelancepolice,projectxzone
neverwinternights2,elsword
finalfantasyviiremake,hyrulewarriors
saintsrow2,eternaldarkness
lamulana,dragonquestviii
fireemblemgaiden,halo4
lanoire,heroesofthestorm
alphaprotocol,disgaeahourofdarkness
metroidprime3corruption,sonicadventure2
mariokart,halo
superrobotwarsz,horizonzerodawn
saintsrow,arcanumofsteamworksandmagickobscura
drakengard,chronocross
batenkaitos,xcomenemyunknown
farcry4,banjokazooie
supermetroid,perfectdarkzero
crisiscore,gearsofwar2
hitman2,castlevaniasymphonyofthenight
heavyrain,startrekonline
fireemblemthesacredstones,masseffectandromeda
digitaldevilsaga,bayonetta
supermariogalaxy2,doometernal
devilsurvivor,metalgearsolidpeacewalker
nintendowars,commandandconquerredalert3
deadrising2,littlebigplanet
ensemblestars,dragonsdogma
mortalkombat9,skullgirls
supermario3dworld,destiny
middleearthshadowofwar,finalfantasyix
assassinscreedivblackflag,metalgearsolid2sonsofliberty
castlevaniachroniclesofsorrow,guiltygear
metroidprime,ghosttrick
fireemblemgenealogyoftheholywar,pokemonblackandwhite
trailsseries,borderlands2
maxpayne2thefallofmaxpayne,tekken
yakuza,mechwarrior
oracleoftao,metalgearsolid4gunsofthepatriots
grandtheftautosanandreas,finalfantasyxv
finalfantasytactics,sonicheroes
godofwar,thekingoffighters
fireemblemthreehouses,streetsofrage
planescapetorment,thelegendofzeldaoraclegames
psychonauts,residentevil4
maxpayne,doom
deusexhumanrevolution,ninjagaiden
batmanarkhamcity,halflife1
thewitcher3wildhunt,bravelydefault
modernwarfare,trialsofmana
fireemblemfates,kingdomheartsiii
minecraft,ftlfasterthanlight
talesoftheabyss,pokemonxandy
finalfantasyxiii2,asuraswrath
fireemblemawakening,paladins
kingdomofloathing,spore
dragonageinquisition,diabloiii
talesofsymphonia,pokemonblack2andwhite2
cityofheroes,soulseries
finalfantasyxiv,conkersbadfurday
persona4,darksoulsiii
dragonageii,dungeonfighteronline
persona5,inazumaeleven
persona3,finalfantasyv
dragonageorigins,okami
theelderscrollsvskyrim,megamanbattlenetwork
grandtheftauto,fzero
grandtheftautoiv,superrobotwarsoriginalgeneration
fategrandorder,superrobotwars
baldursgate,nierautomata
thesims3,prototype
mortalkombatx,fallout2
assassinscreedodyssey,theelderscrollsonline
metalslug,megamanstarforce
baldursgateii,shantae
batmanarkhamasylum,megamanzero
payday2,darkestdungeon
supermario64,darksoulsi
jadeempire,sonicadventure
assassinscreediii,xenogears
mortalkombat11,thesecretworld
shinmegamitenseiiv,cavestory
dishonored,splatoon2
thesims,megamanclassic
fireemblemradiantdawn,divinityoriginalsinii
neverwinternights,diablo
assassinscreedii,talesseries
fireemblemtheblazingblade,bloodborne
monsterhunter,starcraft
fireemblempathofradiance,finalfantasyxi
supermariogalaxy,cyberpunk2077
grandtheftautov,starcontrol
dynastywarriors,batmanarkhamknight
metalgearsolidvthephantompain,left4dead
reddeadredemption,goldensun
metroidotherm,splatoon
worldofwarcraft,metalgearrisingrevengeance
grimfandango,genshinimpact
scribblenauts,samuraishodown
persona4arena,pokemonrubyandsapphire
grandtheftautovicecity,xenobladechroniclesx
stardewvalley,callofduty
gameofthronesascent,halflife
arknights,perfectdark
metroidfusion,kingdomheartsi
soniccolors,pokemonredandblue
assassinscreedi,xcom2
radianthistoria,thelegendofzeldaalinktothepast
sonicthehedgehog2,sengokubasara
supermariobros3,xenobladechronicles2
donkeykong64,borderlands
contra,skiesofarcadia
callofdutyblackops,haloreach
jaggedalliance,deusex
needforspeed,fallenlondon
suikoden,etrianodyssey
thewitcher,pokemondiamondandpearl
livealive,darksoulsii
yakuzalikeadragon,diabloii
kirbysuperstar,supermariorpg
zoneoftheenders,sonicthehedgehog2006
shinmegamitenseiivapocalypse,kirby
thelastofuspartii,supermariobros
dragonquestv,left4dead2
sagafrontier,supermarioodyssey
psychonauts2,nomoreheroes
starfox64,saintsrowiv
ratchetandclankgoingcommando,maplestory
gradius,dissidiafinalfantasy
streetfighteriv,firstencounterassaultrecon
tombraider2013,residentevil5
metroidprimetrilogy,supersmashbrosultimate
reddeadredemption2,gearsofwar
fireemblemthebindingblade,goldensundarkdawn
,thelegendofheroestrailsinthesky
,dragonquest
,nethack
,portal
,pokemongoldandsilver
,valkyriachronicles
,xenosaga
,cityofvillains
,saintsrowthethird
,earthbound
,warframe
,hollowknight
,pokemonswordandshield
,megamanzx
,civilization
,marathon
,kingdomhearts3ddreamdropdistance
,heroesofmightandmagic
,residentevil6
,supersmashbrosbrawl
,finalfantasyx2
,animalcrossing
,finalfantasyi
,sonicunleashed
,pokemonsunandmoon
,secretofmana
,pillarsofeternityiideadfire
,thelegendofzeldabreathofthewild
,solatorobo
,armoredcore
,sonicforces
,commandandconquerredalert2
,tomodachilife
,talesofberseria
,grandiaii
,nomoreheroes2desperatestruggle
,crashteamracingnitrofueled
,metalgear
,sonicgenerations
,systemshock
,residentevil2remake
,chronotrigger
,deadspace3
,homeworld
,papermariotheorigamiking
,acecombat7skiesunknown
,bugfables
,darkstalkers
,souledge
,cuphead
,disgaea3absenceofjustice
,hearthstoneheroesofwarcraft
,metalgearsolid
,overwatch
,fatalfury
,finalfantasyx
,sonicthehedgehog
,thelegendofdragoon
,injusticegodsamongus
,acecombat
,finalfantasyviii
,dothackgu
,finalfantasytacticsa2
,leagueoflegends
,thelegendofzeldatwilightprincess
,silenthill2
,plantsvszombies
,talesofphantasia
,samuraiwarriors
,theouterworlds
,masseffect3
,sekiroshadowsdietwice
,girlsfrontline
,dragonquestxi
,twistedmetal
,injustice2
,medabots
,talesofgraces
,epicbattlefantasy
,fallout3
,sandsofdestruction
,kirbystarallies
,traumacenter
,falloutnewvegas
,masseffect2
,battletech
,mugen
,teamfortress2
,finalfantasyvii
,destiny2
,granbluefantasy
,deadspace2
,ahatintime
,neptunia
,x
,fallout
,thelegendofzeldaocarinaoftime
,theelderscrollsivoblivion
,devilmaycry3dantesawakening
,wolfensteintheneworder
,magiarecordpuellamagimadokamagicasidestory
,bioshockinfinite
,residentevil7biohazard
,eveonline
,alanwakesamericannightmare
,fableii
,finalfantasyvi
,finalfantasytacticsadvance
,pokemonmysterydungeon
,fablei
,ys
,halo5guardians
,catherine
,supersmashbros
,halflife2
,doom2016
,sidmeiersalphacentauri
,marioandluigisuperstarsaga
,theworldendswithyou
,papermariothethousandyeardoor
,boxxyquestthegatheringstorm
,finalfantasyiv
,deadoralive
,thelegendofzeldamajorasmask
,masseffect1
,fivenightsatfreddys
,dwarffortress
,disgaea2cursedmemories
,streetfighterv
,finalfantasyxiii
,darksouls
,devilmaycry4
,marvelvscapcom3
,thelegendofzeldalinksawakening
,portal2
,thelegendofzeldaalinkbetweenworlds
,supermariosunshine
,stellaris
,senrankagura
,borderlandsthepresequel
,megamanx
,devilmaycry
,control
,miitopia
,marioandluigibowsersinsidestory
,finalfantasyii
,titanquest
,spidermanps4
,metalgearsolid3snakeeater
,borderlands1
,alanwake
,thelegendofheroestrailsofcoldsteel
,skylanders
,xenobladechronicles1
,marioandluigidreamteam
,shadowthehedgehog
,kingdomhearts358daysover2
,thelegendofzeldathewindwaker
,deadspace
,thebindingofisaac
,wingcommander
,thelegendofzeldaspirittracks
,prototype2
,papermario64
,disgaea4apromiseunforgotten
,yakuza0
,kingdomheartschainofmemories
,warcraft
,pillarsofeternity
,thelegendofheroestrailsfromzeroandtrailstoazure
,theelderscrollsiidaggerfall
,demonssouls
,thelegendofzeldaskywardsword
,mother3
,finalfantasyiii
,touhou
,undertale
,fortnite
,blazblue
,megamanlegends
,kingdomheartsii
,totalwarwarhammer
,warcraftiii
,theelderscrollsiiimorrowind
,fallout4
,dontstarve
,finalfantasyxii
,bioshock1
