Topic 1,Topic 2,Topic 3,Topic 4
1081/0.004716333165437978,2301/0.0028976523249695458,586/0.007696764048663411,995/0.027409776153494745
1030/0.004701069951310347,1384/0.002890444234608925,263/0.007580898783414715,20/0.024029237094563727
1660/0.004121067814460369,267/0.0027606986081177513,2559/0.007498137879665646,1158/0.023115577889447236
475/0.0040905413862051074,207/0.0026237448912659568,865/0.007365720433667135,2358/0.023115577889447236
1759/0.004060014957949845,278/0.0025372478069385076,794/0.007316063891417694,21/0.01745089081772499
1231/0.004029488529694583,1852/0.0024579588129716792,89/0.00729951171066788,349/0.01726815897670169
1784/0.003922646030801166,363/0.0024507507226110585,1063/0.007282959529918066,1247/0.01717679305619004
1478/0.003892119602545904,2587/0.0024507507226110585,94/0.007200198626168997,774/0.015349474645957059
2363/0.003876856388418273,1988/0.0024435426322504377,1071/0.0070512289994206735,97/0.015166742804933759
664/0.0038615931742906422,1111/0.0024435426322504377,548/0.0069684680956716046,2660/0.015166742804933759
2633/0.003846329960163011,271/0.002436334541889817,1448/0.0069353637341719775,1146/0.01507537688442211
1193/0.003770013889524856,386/0.002378669819004851,1264/0.00690225937267235,2461/0.013522156235724074
2605/0.0037089610330143324,292/0.002378669819004851,80/0.006869155011172722,144/0.01297396071265418
2279/0.0036631713906314393,976/0.002342629367201747,439/0.006869155011172722,1423/0.012791228871630882
1888/0.0036631713906314393,1663/0.00227054846359554,318/0.0068526028304229086,484/0.012334399269072635
1353/0.0035868553199932844,1176/0.002263340373234919,111/0.00676984192667384,1695/0.012334399269072635
634/0.003510539249355129,756/0.002234508011792436,98/0.006720185384424398,694/0.011968935587026039
432/0.0034647496069722364,812/0.0022272999214318153,1214/0.006587767938425888,690/0.01187756966651439
114/0.003434223178716974,198/0.0021552190178256076,337/0.006538111396176446,939/0.011694837825491092
93/0.003434223178716974,522/0.0021552190178256076,1117/0.006505007034676819,1241/0.011512105984467794
282/0.003403696750461712,157/0.002140802837104366,378/0.006438798311677564,818/0.011512105984467794
201/0.0033731703222064503,115/0.0021047623853012623,2021/0.00642224613092775,269/0.011146642302421197
85/0.003357907108078819,351/0.0020975542949406415,2435/0.006322933046428867,846/0.0109639104613979
1697/0.0033426438939511884,226/0.0020903462045800208,500/0.006306380865679053,1415/0.010598446779351301
780/0.003312117465695926,264/0.0020398895720556754,1126/0.006091202515931474,672/0.010598446779351301
1831/0.0032968542515682954,1554/0.0020398895720556754,427/0.006041545973682032,81/0.010324349017816354
1073/0.0032815910374406642,765/0.0020110572106131924,1562/0.005991889431432591,1658/0.010050251256281407
2009/0.0032815910374406642,2014/0.0020110572106131924,853/0.005991889431432591,227/0.010050251256281407
9/0.0032510646091854023,1375/0.0020038491202525716,754/0.005975337250682777,1585/0.009958885335769758
2650/0.003235801395057771,1781/0.0019822248491707093,1170/0.005958785069932963,1378/0.009958885335769758
2020/0.003235801395057771,99/0.0019750167588100886,2143/0.005925680708433336,308/0.009684787574234811
1997/0.0031747485385472474,1052/0.0019461843973676055,681/0.005909128527683522,2312/0.009593421653723162
621/0.0031747485385472474,1961/0.0019461843973676055,649/0.005859471985434081,1602/0.009502055733211513
1315/0.0031594853244196162,1461/0.0019461843973676055,1341/0.0058098154431846395,132/0.009319323892188213
1086/0.0031594853244196162,2503/0.0019389763070069847,1144/0.0058098154431846395,894/0.009136592051164915
420/0.0031594853244196162,1976/0.0019389763070069847,256/0.0057601589009351984,2127/0.008953860210141617
433/0.003113695682036723,46/0.001931768216646364,903/0.0057436067201853845,356/0.008862494289629968
2093/0.003113695682036723,555/0.001931768216646364,1868/0.0056773979971861295,941/0.008862494289629968
1122/0.003113695682036723,1635/0.0019173520359251225,498/0.0056773979971861295,414/0.00867976244860667
1191/0.0030984324679090925,745/0.0019173520359251225,2099/0.005644293635686502,2443/0.00867976244860667
470/0.00306790603965383,744/0.0019101439455645017,1404/0.005594637093437061,1044/0.00858839652809502
1971/0.0030373796113985683,813/0.0018957277648432602,31/0.005594637093437061,1079/0.00858839652809502
1065/0.0030373796113985683,637/0.0018957277648432602,879/0.005544980551187619,251/0.008405664687071723
78/0.003022116397270937,869/0.0018885196744826394,1632/0.005544980551187619,1452/0.008314298766560074
574/0.0030068531831433064,1074/0.0018813115841220186,49/0.005511876189687992,1892/0.008131566925536775
710/0.0029915899690156752,781/0.0018813115841220186,1941/0.005412563105189109,2456/0.008131566925536775
556/0.002945800326632782,614/0.0018813115841220186,343/0.005346354382189854,303/0.008131566925536775
2205/0.002945800326632782,658/0.0018741034937613979,617/0.00532980220144004,2383/0.008040201005025126
1288/0.0029305371125051514,180/0.0018741034937613979,576/0.005247041297690971,1873/0.007948835084513476
734/0.0029305371125051514,581/0.0018741034937613979,698/0.005213936936191343,2115/0.007948835084513476
2667/0.002900010684249889,533/0.0018596873130401564,1/0.00519738475544153,1274/0.007948835084513476
1136/0.002900010684249889,558/0.0018596873130401564,150/0.005081519490192833,1317/0.007857469164001827
2319/0.0028694842559946272,739/0.0018308549515976733,1978/0.005081519490192833,843/0.007857469164001827
1206/0.0028694842559946272,2536/0.0018308549515976733,408/0.005048415128693205,2231/0.007857469164001827
2465/0.0028542210418669965,1434/0.0018308549515976733,1704/0.005048415128693205,108/0.007674737322978529
868/0.0027931681853564723,516/0.0018236468612370525,957/0.004965654224944136,1318/0.0075833714024668795
536/0.0027779049712288416,2054/0.001809230680515811,274/0.004882893321195067,1542/0.0075833714024668795
2612/0.0027626417571012104,897/0.0018020225901551903,1880/0.004866341140445253,1252/0.0075833714024668795
578/0.0027626417571012104,194/0.001780398319073328,38/0.00484978895969544,2582/0.0075833714024668795
1812/0.0027626417571012104,2118/0.001780398319073328,168/0.00484978895969544,1962/0.0075833714024668795
1636/0.0027626417571012104,231/0.0017731902287127072,671/0.004833236778945626,1756/0.00749200548195523
491/0.0027626417571012104,1424/0.0017731902287127072,315/0.004816684598195812,1610/0.007400639561443581
807/0.0027321153288459485,587/0.0017659821383520864,1815/0.004800132417445998,2307/0.007309273640931932
1623/0.0027321153288459485,5/0.0017659821383520864,1762/0.004800132417445998,1369/0.007126541799908634
543/0.0027168521147183174,981/0.0017587740479914657,1548/0.004783580236696184,2047/0.006943809958885336
74/0.0027168521147183174,819/0.001751565957630845,985/0.004767028055946371,651/0.006852444038373686
395/0.0027015889005906862,451/0.0017371497769096034,486/0.004750475875196557,320/0.006852444038373686
2257/0.0026863256864630555,1588/0.0017011093251064996,2088/0.004733923694446743,1228/0.006852444038373686
545/0.0026557992582077936,820/0.0017011093251064996,381/0.004684267152197302,1032/0.006761078117862037
277/0.0026557992582077936,2413/0.0016939012347458788,631/0.004667714971447488,2606/0.006669712197350388
571/0.0026100096158249006,507/0.0016794850540246373,59/0.004667714971447488,1449/0.006578346276838739
1010/0.0025947464016972694,2541/0.0016722769636640165,1728/0.004667714971447488,310/0.00648698035632709
705/0.0025947464016972694,65/0.0016650688733033958,902/0.004651162790697674,1787/0.006395614435815441
2042/0.0025642199734420075,2114/0.0016650688733033958,1860/0.004618058429198046,2051/0.006304248515303792
230/0.0025489567593143764,1821/0.001657860782942775,2555/0.004584954067698419,19/0.006212882594792143
190/0.0025489567593143764,2096/0.001657860782942775,735/0.004568401886948605,825/0.006121516674280493
2458/0.0025489567593143764,62/0.0016506526925821542,2003/0.0045518497061987915,2602/0.006121516674280493
399/0.0025336935451867456,1497/0.0016506526925821542,866/0.0045352975254489775,2208/0.006030150753768844
14/0.0025336935451867456,243/0.0016506526925821542,559/0.0044856409831995365,1360/0.005847418912745546
284/0.0025336935451867456,461/0.001629028421500292,1535/0.0044690888024497225,2022/0.005847418912745546
221/0.0025184303310591145,1634/0.001629028421500292,2411/0.0044525366216999086,1380/0.005756052992233897
344/0.0025031671169314833,1013/0.0016146122407790504,514/0.0044194322602002815,674/0.005664687071722248
2535/0.0025031671169314833,1857/0.0016146122407790504,1256/0.0043532235372010265,1062/0.005664687071722248
191/0.0025031671169314833,128/0.0016074041504184297,1797/0.004336671356451213,607/0.005573321151210599
196/0.0024726406886762214,2534/0.0016074041504184297,1496/0.004320119175701399,1309/0.00548195523069895
544/0.0024573774745485903,867/0.0016074041504184297,355/0.004320119175701399,160/0.0053905893101873
1312/0.0024573774745485903,1019/0.001600196060057809,319/0.004320119175701399,872/0.005025125628140704
1519/0.0024421142604209595,120/0.001600196060057809,1053/0.004303566994951585,2662/0.0049337597076290545
2311/0.0024115878321656977,749/0.0015929879696971881,2473/0.004303566994951585,397/0.0049337597076290545
1516/0.0023963246180380665,665/0.0015785717889759466,90/0.004287014814201771,561/0.0049337597076290545
963/0.0023963246180380665,517/0.0015785717889759466,2183/0.004287014814201771,1203/0.0048423937871174055
772/0.0023810614039104353,1744/0.0015785717889759466,312/0.004287014814201771,1257/0.0047510278666057565
881/0.0023505349756551734,1236/0.0015713636986153258,77/0.004270462633451958,1960/0.0046596619460941065
2611/0.0023505349756551734,998/0.0015497394275334636,930/0.004253910452702144,2649/0.0046596619460941065
262/0.0023505349756551734,371/0.0015497394275334636,471/0.004220806091202516,2344/0.0045682960255824575
82/0.0023352717615275423,990/0.0015497394275334636,2664/0.004204253910452702,250/0.0045682960255824575
1302/0.0023352717615275423,1955/0.0015425313371728428,1006/0.004204253910452702,1568/0.0044769301050708084
692/0.0023352717615275423,852/0.001535323246812222,1648/0.004204253910452702,2251/0.0044769301050708084
405/0.0023047453332722804,1275/0.0015281151564516013,440/0.004187701729702889,322/0.00429419826404751
1981/0.0023047453332722804,1796/0.0015209070660909805,1605/0.004187701729702889,409/0.004202832343535861
886/0.0023047453332722804,1263/0.0015209070660909805,101/0.004154597368203261,1091/0.004111466423024212
152/0.0022894821191446497,179/0.0015209070660909805,1172/0.004154597368203261,1316/0.003928734582000913
245/0.0022894821191446497,340/0.0015136989757303597,259/0.004154597368203261,472/0.003928734582000913
1803/0.0022894821191446497,2037/0.0015136989757303597,1165/0.004138045187453447,1917/0.003928734582000913
76/0.0022894821191446497,2163/0.0014992827950091182,2674/0.004121493006703633,783/0.0038373686614892647
1450/0.0022894821191446497,1754/0.0014848666142878767,708/0.00410494082595382,2097/0.003746002740977615
445/0.0022894821191446497,12/0.001477658523927256,67/0.004071836464454192,810/0.003746002740977615
